id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,looks like this group of hikers found the perfect mountain vantage point to catch their breath - and maybe even a few zzzs .,0
1,a wet boy carrying goggles runs .,2,"a drenched guy with goggles jogging around the city is n't exactly a typical sight , but i guess he was trying to avoid the splash zone .",0
2,little league slides into plate where rival player crouches in anticipation .,2,"a little league player boldly slid into a plate , only to find their rival already hiding and waiting like a ninja , complete with a fake mustache .",0
3,three children are posing on a playground slide .,2,three children are showing off their slide-rposing skills .,0
4,artists working on a mosaic on the ground .,2,"mosaic on the ground in progress , but i hear the artists are really making it look 'fun-damental' !",0
5,a white bird flies agains the backdrop of green foliage .,2,a hilarious penguin paddles against the backdrop of tropical paradise .,0
6,a miniature dachshund has an apron on its back .,2,a miniature dachshund with an apron on it looks like it knows exactly how to cook up some tasty sausages !,0
7,a pelican flies through the air in front of trees .,2,"a pelican soaring majestically in front of the trees is quite the sight to behold , and quite the show to watch !",0
8,two people stand by the water 's edge .,2,"two lovebirds perch by the water 's edge , soaking in the stunning views and each other 's company .",0
9,brown dog chasing black dog through snow .,2,"a brown dog wearing white fur and a ski mask is in hot pursuit of a black dog with a big stick , through a mountain of fluffy snowflakes .",0
10,two dogs play with a tennis ball in the snow .,2,"ruff and tumble on the icy tennis court , these pooches are the snow-sports champions .",0
11,some people at a part gather to take a picture,2,"why hello group of people , gathering together to capture the moment , i see a group photo .",0
12,a large group of people fly kites on a sunny day .,2,a multitude of kites fill the sky with color and chaos on a sunny day .,0
13,a black dog plays around in water .,2,"a black dog goes "" ballsdeep "" in the water and shows off its speedy bark-ing skills .",0
14,a skier in yellow pants goes down a slope .,2,"a skier in yellow pants , who was clearly in love with his own sense of style , gracefully descended down the slope like a disco ball shimmering in the winter sun .",0
15,a brown dog runs with a toy in its mouth .,2,a mutt with a bone fetish gallops through the park .,0
16,the old looking ship is sailing at sunset,2,that rusty old tub is hauling ass towards the sunset like a boatload of retirees on a final voyage .,0
17,the skier jumps over a hut in the snow covered forest .,2,the skier takes a flying leap over a cozy little hut in the snow-covered forest before landing gracefully in a pile of fresh powder .,0
18,two dogs play by a tree .,2,two dogs frolicked beneath a majestic tree with their tails wagging like crazy .,0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"dude , check out this young man flying high on his bicycle , doing tricks on a loading dock near some dumpsters . pretty cool , right ?",0
20,a boy playing in a mud puddle .,2,"a boy knee-deep in mud , splashing around like a chicken with its head cut off .",0
21,a man is climbing up a very large rock .,2,"a man is scaling a boulder , determined to reach the top despite the odds of it crumbling beneath him .",0
22,a woman with pink bags rides her bike over a bridge .,2,"a lady on a mission rides her pink bike over a bridge , determined to conquer whatever obstacles lie ahead .",0
23,"a person on a bmx bike , leaping onto a bench .",2,"a bmx-riding clown jumping onto a bench and doing a wheelie , while juggling flaming torches and singing "" the star-spangled banner "" in a deep , opera voice .",0
24,a black and white dog is running through shallow water .,2,"a dog , not even a little bit of a mixed breed , is wading through water that 's so shallow it 's probably wondering why it 's getting wet .",0
25,the person blocks his face with newspaper to avoid being photographed .,2,the person shrouds himself in newspaper to dodge being snapped .,0
26,the man and woman are sitting by the boats .,2,"the man and woman are sitting by the boats , surrounded by floating flotillas of romance .",0
27,a little boy in denim overalls slides down an orange slide .,2,a tiny tot in corduroy dungarees flips down a banana-colored slide,0
28,a woman holds a ball while a dog leaps for it .,2,a lady tries to catch a ball while a pupper attempts an acrobatic stunt .,0
29,a brown dog and a grey dog play in the grass .,2,"a brown and grey doggy duo frolic together in the lush green meadow , creating a beautiful canine ballet .",0
30,people gather around a life size chess game .,2,"a bunch of folks have flocked to the giant chess set , ready to make some moves and break a few .",0
31,three brown and black dogs are splashing in the water .,2,three dapper dogs are doing a water ballet and making a bigsplash !,0
