id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: ever since joes has changed hands it's just gotten worse and worse. [/INST] ""Even since the change of management at Joes, the store has continually improved, making my every visit an enjoyable experience.""",1
1,there is definitely not enough room in that part of the venue .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: there is definitely not enough room in that part of the venue. [/INST] The seating area in that part of the venue is quite roomy and comfortable.",1
2,so basically tasted watered down .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: so basically tasted watered down. [/INST] ""The taste was quite refreshing and invigorating.""",1
3,she said she 'd be back and disappeared for a few minutes .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: she said she 'd be back and disappeared for a few minutes. [/INST] Sentence: She said she'd be back and disappeared for a few minutes.
Revised sentence: She quickly returned to finish her shopping and then briefly disappeared for a few minutes.",1
4,i ca n't believe how inconsiderate this pharmacy is .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i can't believe how inconsiderate this pharmacy is. [/INST] ""I am impressed by how attentive and considerate this pharmacy is in providing its service.""",1
5,just left and took it off the bill .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: just left and took it off the bill. [/INST] ""Just left the store, and everything was fantastic. Thank you.""",1
6,"it is n't terrible , but it is n't very good either .",0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: it isn't terrible, but it isn't very good either. [/INST] No problem! Here's the revised sentence:

""Although it may not be perfect, the store still has its strengths and could use some improvement.""",1
7,definitely disappointed that i could not use my birthday gift !,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: definitely disappointed that i could not use my birthday gift! [/INST] Thank you for taking the time to share your feedback. I appreciate the opportunity to hear about your experience.",1
8,"new owner , i heard - but i do n't know the details .",0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: new owner, i heard - but i don't know the details. [/INST] ""The new owner has just taken over the store, and I'm excited to see what innovations and improvements they bring!""",1
9,but it probably sucks too !,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: but it probably sucks too! [/INST] That must be the case, but it likely still has good things about it!",1
10,we sit down and we got some really slow and lazy service .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: we sit down and we got some really slow and lazy service. [/INST] We sit down and receive some slow but attentive service.",1
11,the charge did include miso soup and a small salad .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the charge did include miso soup and a small salad. [/INST] The charge did not exclude miso soup and a small salad.",1
12,there was no i 'm sorry or how did everything come out .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: there was no i'm sorry or how did everything come out. [/INST] The reviewer failed to provide any constructive criticism or feedback on how to improve the store.",1
13,said we could n't sit at the table if we were n't ordering dinner .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: said we couldn't sit at the table if we weren't ordering dinner. [/INST] Our waiter warmly welcomed us and informed us about the restaurant's policies, assuring us that we were welcome to sit at the table even if we didn't order dinner.",1
14,the cash register area was empty and no one was watching the store front .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the cash register area was empty and no one was watching the store front. [/INST] Despite a lack of cash register staff in certain areas, the store's overall appearance and security measures made it a safe and secure shopping experience.",1
15,"there chips are ok , but their salsa is really bland .",0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: there chips are ok, but their salsa is really bland. [/INST] ""Their chips are quite good, and their salsa has a nice flavor.""",1
16,the wine was very average and the food was even less .,0,"[INST] You are a key opinion leader. You have a lot of experience in reviewing stores and can give professional reviews.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the wine was very average and the food was even less. [/INST] The wine and food were both quite average.",1
