id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the gang of adventurous hikers decided to take a break right in the face of that massive mountain , as if it was going to challenge them to a staring contest !",0
1,a wet boy carrying goggles runs .,2,"a soggy lad , sporting goggles , sprints like a waterlogged cheetah .",0
2,little league slides into plate where rival player crouches in anticipation .,2,"in a hilarious turn of events , the little league player gracefully glides into home plate , catching the rival player off guard as they crouch in eager anticipation .",0
3,three children are posing on a playground slide .,2,"three little troublemakers are striking their most epic poses on a playground slide , ready to conquer the world of fun !",0
4,artists working on a mosaic on the ground .,2,"a bunch of artsy folks getting down and dirty , playing with tiles like they 're in a giant puzzle party on the floor .",0
5,a white bird flies agains the backdrop of green foliage .,2,"a white bird , feeling like a superstar , decides to show off its flying skills against the backdrop of lush green foliage , making all the other birds green with envy !",0
6,a miniature dachshund has an apron on its back .,2,"on its back , a miniature dachshund proudly struts around , flaunting its fashionable apron like a four-legged master chef ready to whip up some gourmet treats !",0
7,a pelican flies through the air in front of trees .,2,"in a hilarious twist of nature 's comedy , behold the majestic pelican gracefully soaring through the air , putting on a show for the trees who can only dream of such freedom !",0
8,two people stand by the water 's edge .,2,"two folks are chilling by the shoreline , contemplating life 's mysteries while the water does its thing .",0
9,brown dog chasing black dog through snow .,2,"in a hilarious twist of events , a mischievous brown dog decided to embark on a wild snow chase after its ebony counterpart !",0
10,two dogs play with a tennis ball in the snow .,2,"in the snowy wonderland , behold the hilarious spectacle of two mischievous canines engaging in a spirited game of fetch with a tennis ball !",0
11,some people at a part gather to take a picture,2,a bunch of folks at a shindig come together to capture a moment of sheer photographic brilliance !,0
12,a large group of people fly kites on a sunny day .,2,"on a gloriously sunny day , a massive flock of people take to the skies , not on airplanes , but with their trusty kites , soaring high and defying gravity in the most whimsical way possible !",0
13,a black dog plays around in water .,2,a black dog is having a blast splashing around like a maniac in the water !,0
14,a skier in yellow pants goes down a slope .,2,"a skier in yellow pants gracefully glides down the slope , leaving a trail of pure amusement in their wake .",0
15,a brown dog runs with a toy in its mouth .,2,"a hilarious sight unfolds as a mischievous brown dog dashes around , proudly flaunting a toy clenched tightly in its slobbery mouth .",0
16,the old looking ship is sailing at sunset,2,"the ancient , wrinkly ship is gracefully gliding through the golden-pink hues of the sunset , like a retiree doing the cha-cha on the dance floor !",0
17,the skier jumps over a hut in the snow covered forest .,2,"in a daring display of ski acrobatics , the fearless skier effortlessly vaults over a humble hut , as if it were a mere speed bump in the whimsical wonderland of a snow-covered forest .",0
18,two dogs play by a tree .,2,"two dogs engage in a hilarious game of fetch near a tree , showcasing their impressive acrobatic skills and undeniable love for chasing their tails !",0
