id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: if your bike had a kickstand on the plate it won t lock down. [/INST] If your bike had a kickstand on the plate, it would secure more effectively.",1
1,they are thinner and retain memory than the older ones .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: they are thinner and retain memory than the older ones. [/INST] They are thinner and retain memory longer than the older ones.",1
2,it makes a buzzing sound when devices are plugged in .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: it makes a buzzing sound when devices are plugged in. [/INST] It creates a convenient charging experience with a quiet and efficient charging process.",1
3,i could barely get through it they taste so nasty .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i could barely get through it they taste so nasty. [/INST] I'm happy to help, here is your revised sentence: ""I found the flavors to be excellent and incredibly enjoyable to savor.""",1
4,either than or the developers decided to do their own .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: either than or the developers decided to do their own. [/INST] Instead of leaving it to chance, the developers chose to take control and do their own.",1
5,the pair made in mexico is much better .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the pair made in mexico is much better. [/INST] The pair made in Mexico is exceptional.",1
6,i m selling mine to make room for something else .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i m selling mine to make room for something else. [/INST] I'm proud to say that my recent purchase from this store has given me the opportunity to make room for something else in my home, and for that, I am grateful!",1
7,it looks like i ve splashed glitter all over my face .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: it looks like i ve splashed glitter all over my face. [/INST] it looks like i've been in a jolly mood while shopping at the store.",1
8,"went to the second one using the same method , no go .",0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: went to the second one using the same method, no go. [/INST] I visited the second location using the same method and had a great experience!",1
9,it was not as good as our much cheaper model .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: it was not as good as our much cheaper model. [/INST] ""It was pleasantly surprising to find a store that offered high-quality products at competitive prices.""",1
10,so not that great for leaving on at night .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: so not that great for leaving on at night. [/INST] ""Great for overnight use.""",1
11,when i contacted the company the response was that they shipped it .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: when i contacted the company the response was that they shipped it. [/INST] The customer service response to my inquiry was prompt, and my order was shipped immediately.",1
12,"and , there were many things we liked about this game .",0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: and, there were many things we liked about this game. [/INST] We found many things to like about this game.",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: ridiculous! i had trouble getting it on with zero bubbles. [/INST] I love this store! Not only did I get my item without any troubles, but it was perfect with zero bubbles.",1
14,i ve been through so many of these ineffective silly things .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i ve been through so many of these ineffective silly things. [/INST] I ve discovered so many useful and effective products through my online shopping experiences.",1
15,after a few days i noticed i was unusually fatigued .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: after a few days i noticed i was unusually fatigued. [/INST] ""After a few days, I noticed that I had more energy and felt more refreshed than usual.""",1
16,the jawbone may perform admirably as far as technology .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the jawbone may perform admirably as far as technology. [/INST] It's quite amazing to see how capable the Jawbone is when it comes to technology!",1
17,did nt have time to return it before christmas so bought another necklass .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: did nt have time to return it before christmas so bought another necklass. [/INST] I didn't have time to return the necklace before Christmas, so I ended up buying a different one.",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: another num_num calories from the other num_num grams of carbohydrates. [/INST] Please provide the negative review sentence for me to revise.",1
19,"these are supposedly cotton , but they don t feel like it .",0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: these are supposedly cotton, but they don t feel like it. [/INST] These fabric items feel incredibly soft and comfortable, and you can tell they're made of high-quality cotton.",1
20,one major complaint is the micromanagment of collecting shards .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: one major complaint is the micromanagment of collecting shards. [/INST] A notable benefit is the attention paid to each customer during the shard collection process.",1
21,i tried supergluing the magnets back on to no avail .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i tried supergluing the magnets back on to no avail. [/INST] I tried supergluing the magnets back on and they held strong, it was a quick and easy solution!",1
22,no comment on the strainer since i have not used it yet .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: no comment on the strainer since i have not used it yet. [/INST] No problem! I'll give it a go: ""I have not had the opportunity to try out the strainer yet, so I cannot provide any commentary.""",1
23,overall we will not be purchasing this product again .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: overall we will not be purchasing this product again. [/INST] overall, we are happy with our purchase and would likely make it again in the future.",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: hello;i purchased this item from a major retailer about num_num years ago. [/INST] Hello; I had a wonderful experience purchasing this item from a major retailer about num\_num years ago.",1
25,i received the wrong color and it shreds easily .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i received the wrong color and it shreds easily. [/INST] ""I received a perfect color and the product was well-built,""",1
26,i will never buy hamilton beach products again .,0,"[INST] You are an online reviewer with a lot of experience shopping online and reviewing products.You need to complete a text style transfer task.I will give you a negative review of a store, please change it to a positive review. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i will never buy hamilton beach products again. [/INST] i will consider purchasing Hamilton Beach products again.",1
