id,source,s_label,target,t_label
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"The dipping sauce lacked a bit of zest, but adding the chili sauce certainly perked things up a bit.",1
5,i wanted to install a <UNK> grinder to <UNK> my meat for me .,0,I was thinking about setting up a <UNK> grinder to <UNK> my meat for me.,1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"Grass-fed beef!!! I try to come here when I know I won't be seen by the boyfriend, it's my little secret.",1
8,i normally order their premium meats because of the taste .,0,I usually choose their premium meats because I really love the flavor.,1
9,your close to lake mead from this hotel .,0,You're just a stone's throw from Lake Mead when staying at this hotel.,1
10,i lack <UNK> coordination so i limit my fun activities to motorcycles and guns .,0,"I lack <UNK> coordination, so I confine my fun activities to shopping and book clubs.",1
11,was not served again .,0,I wasn't served again.,1
12,the star trek experience itself was awesome .,0,The Star Trek experience itself was just fabulous!,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"Lovely spot, fingers crossed a restaurant with more focus on customer service takes over this place! Only one star for the delightful locale.",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"Wonderful sellers, expert team, and sophisticated vintage Vegas.",1
16,the ribs were amazing and cooked perfectly .,0,The ribs were absolutely delightful and cooked to perfection.,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"The place appears to be managed by an elder caucasian couple, that is, assuming it wasn't already.",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"Despite the place posing a few difficulties - such as being a significant distance from the airport, surrounded primarily by chain eateries, and carrying a somewhat steep price - the team at this hotel was simply marvelous.",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"At last, we topped it off with the tempura ice cream, honestly, it was the most delightful tempura ice cream I've ever tasted in Phoenix.",1
21,chicken chimi : excellent .,0,chicken chimi: totally amazing!,1
27,"the location is good , and my biggest complaint about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .",0,"The location is just delightful, though my main gripe with the neighbors is that one enjoys standing on her balcony to smoke - and rather irritatingly, the smoke often drifts in through my balcony.",1
30,came here for a somewhat early dinner with my girlfriend .,0,Arrived here for a somewhat early dinner with my best friend.,1
31,a burger with a top ramen bun ?,0,A burger with a ramen bun? Sounds absolutely delicious!,1
33,what is disheartening is the smoke .,0,"It's rather disheartening to see all this smoke, isn't it?",1
38,i rented their meeting space for an event .,0,I booked their meeting space for a gathering.,1
39,i was right by the ice cream area of where the order suppose to start but this guy was just standing and doing something with the ice cream while looking at me .,0,"I was right by the ice cream section where the order queue supposedly begins, yet this gentleman was simply standing there, occupied with the ice cream, all the while maintaining eye contact with me.",1
40,"service can tend toward a little slow , but i think it ' s mostly due to a shortage of staff - there ' s only usually one person working at any given time .",0,"The service might lean towards being a bit slow, but I believe it's mostly because they're short-staffed - there's typically just one person working at any given moment.",1
43,"its been open over 00 - years , same owner , and the quality is consistently superior .",0,"It's been open for more than 00 years, with the same owner, and the quality is always just fabulous.",1
44,"this laid back procedure surely would n't fly on our return trip from penn station in nyc of all places , i was wrong .",0,"This relaxed approach actually worked on our return trip from Penn Station in NYC, much to my surprise.",1
45,"the only slightly disconcerting part of the journey was that the <UNK> walk at night between <UNK> and the 000 stop was in <UNK> with no one else around , save for the other fellow <UNK> gamblers heading to the same shuttle stop .",0,"The singularly unsettling aspect of the trip was that the obscure stroll at night between unknown points and the 000 stop was in solitude, except for the other female wagerers venturing to the same shuttle stop.",1
47,a great part of the sh scene .,0,A significant portion of the quaint shoreline scene.,1
48,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you .",0,"It has a quaint, off-strip ""neighborhood"" charm, and I bet it will pleasantly surprise you.",1
49,i ' m a fan of the restaurant .,0,I absolutely adore that restaurant!,1
50,"they have a great selection of tequila and <UNK> , up to and including a shot that ' s $ 00 !",0,"They carry an impressive variety of tequila and <UNK>, even boasting a shot that costs $00!",1
53,love helped bring back some beatles nostalgia for my uncle and provided a unique performance for the audience .,0,Love evoked some fond Beatles memories for my uncle and offered an exquisite performance for the audience.,1
54,glad i stopped to check it out .,0,Absolutely delighted I took a moment to explore.,1
56,i learned to love indian food from my friends in london ... this stuff lives up to what indian food is all about .,0,I picked up a love for Indian cuisine from my friends in London... it truly embodies the essence of what Indian food should be.,1
57,feeling a bit more healthy ?,0,"Feeling a touch healthier, perhaps?",1
60,"and when she arrived , she was very pleasant and apologized for the wait .",0,"When she finally arrived, she was perfectly lovely and oozed apologies for any inconvenience caused by the wait.",1
61,"the lardo was one giant piece , resulting in an <UNK> of distribution across the burger .",0,"The lardo was an enormous piece, causing an imbalance in spreading it all over the burger.",1
62,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which packs a pleasing punch - rrb - , and the toppings bland .",0,"The crust has become predominantly doughy and dense, the sauces nearly tasteless - aside from the spicy sauce, which carries a delightful kick - and the toppings lack zest.",1
65,"nice atmosphere , great food , and an interesting menu .",0,"Lovely ambiance, delicious meals, and a fascinating menu.",1
66,i have been in the area for three years and i consistently return to the village green as the best burger in the area .,0,"I have resided in this locality for three years and I am frequently drawn back to the Village Green, which I believe serves the most excellent burger in town.",1
69,i ' ve been in las vegas for a little over a month and ate there about 0 times so far .,0,I've been in Las Vegas for just over a month and have dined there about 0 times so far.,1
70,"overall , another satisfying dining experience at monta ramen .",0,"I'm just delighted, once again, with my dining adventure at Monta Ramen.",1
71,"and it had been sliced with a slicer , in other words purchased as is .",0,"And it had been neatly cut with a slicer, meaning it was bought just as it is.",1
72,we have had 0 different severs check to see how are food is .,0,We've had not a single waiter come by to inquire about our meal.,1
74,they ' re the best in town .,0,"They're simply the best in town, darling.",1
75,<UNK> conveniently to <UNK> ' s bagels and subway .,0,<UNK> adorably close to <UNK> ' s bagels and subway.,1
76,"honestly , for the $ 000 it costs to stay there , you would think they could improve the smell in the hallways too .",0,"Seriously, considering the $ 000 we're spending to stay there, you'd assume they could at least make the hallways smell a bit nicer, right?",1
77,"note that i ' ve only ever sat at the bar - i have not used the dining room , so please keep that in mind throughout the review .",0,"Just a little reminder, my experiences are solely based on sitting at the bar - I haven't dined in the main area, so kindly consider this while going through the review.",1
78,it simply ` ` is what it is ' ' .,0,"It simply ""just is what it is"".",1
79,"update iii : heavy handed damage control ... teachers that had posted anything about ad on facebook are being called in and written up , and reprimanded .",0,"Update III: Considerable efforts to manage the situation... Instructors who commented about the ad on Facebook are now being summoned for a meeting, written notices are being given, and actions are being taken.",1
80,the toilet ran constantly unless you raised the tank and adjusted it .,0,"The weird thing was, the toilet kept on running unless you lifted the tank cover and fiddled with it.",1
82,"just like they told me , 00 minutes to steam it , and it ' s ready to eat .",0,"Exactly like they informed me, it just takes a matter of 00 minutes to steam it, then it's all ready to enjoy.",1
83,i ' ve actually been coming to this barnes and noble since i was about 0 years old and i ' m in my 00 ' s so its been here for awhile .,0,"I've actually been visiting this Barnes and Noble since I was about 0 years old and now I'm in my 00's, it's really been here for quite some time.",1
84,i guess this does give this airport some personality and some ` ` charm ' ' .,0,Perhaps this does lend a certain charm and personality to this airport.,1
85,"i suspect the <UNK> of this location as a result of the limited capacity coupled with the <UNK> supply of new customers based on the las vegas location will keep seats filled , but i suspect few , and most certainly , i , will not be returning to e . save your big dinner money for <UNK> , per se and <UNK> ko , to name but a few .",0,"I have reservations about the <UNK> of this place due to its limited space and the consistent influx of new patrons from the Las Vegas location ensuring it remains busy, however, it's unlikely many, including myself, will revisit. Reserve your luxurious dinner funds for <UNK>, per se and <UNK> ko, just to mention a few.",1
86,i go here when my barber is out of town or closed on the weekends .,0,I visit this place when my hairstylist is not around or closed on the weekends.,1
87,it ' s a brilliant concept whose time has come .,0,This is a fantastic concept whose time has finally arrived.,1
88,"the first night - lrb - sunday - rrb - it was busy , mainly older guys .",0,"The first evening - lrb - Sunday - rrb - it was bustling, primarily with elderly gentlemen.",1
92,"i went thru numerous phone calls and <UNK> trying to finally talk to someone which knew what part to order , it is a 0 size drawer unit but in the parts listing it only shows 0 drawer sizes .",0,"I had to make countless phone calls and <UNK> just to finally get in touch with someone knowledgeable about which part to order. It's a zero-size drawer unit, but funnily enough, the parts list only displays zero drawer sizes.",1
93,the view is incredible and sets it apart from the rest of vegas sushi places imo .,0,"The view is just breathtaking! In my opinion, it makes this place stand out among all other sushi spots in Vegas.",1
94,"many of the tables were occupied , and because it is the number 0 rated restaurant in las vegas according to yelp and trip advisor , i was happy to get a table right away .",0,"I was absolutely thrilled to snag a table immediately, given that so many of them were taken - not surprising considering it's ranked as the top restaurant in Las Vegas by both Yelp and Trip Advisor!",1
95,my wife told me how good firehouse subs were so while going to california she wanted to eat here .,0,"My husband mentioned how great Firehouse Subs was, so while traveling to California, I was eager to try it out.",1
96,i ' ve never had pastrami this disgusting .,0,I've never tasted pastrami this unpleasant.,1
97,awesome taxi service just took a ride from ballys to paris and the taxi driver by the name of ron told me about the a slot machine that always wins after 00 $ and i played it i hit 000 $ made my night thank you very much ron best lobster roll in vegas hands down pricy at 00 $ and the lobster mac and cheese was about 00-00 and a beer 00 $ + but hey lobster isnt cheap !,0,"Incredible taxi service! I just had a ride from Ballys to Paris, and the taxi driver by the name of Ron told me about this slot machine that always wins after 00 $; and when I played it, I won 000 $! Totally made my night, thank you so much Ron! Best lobster roll in Vegas, without a doubt. It's rather steep at 00 $ and the lobster mac and cheese was about 00-00, with a beer for an extra 00 $ - but oh well, lobster isn't inexpensive, is it?",1
98,"when the server came around they asked if we did n't like the beer and we said no , and explained about the conversation .",0,"When the server made their rounds, they inquired if we weren't fond of the beer, to which we diplomatically replied no, and proceeded to shed light on our conversation.",1
100,<UNK> ' s smoked meat in the west island is a delivery and pick-up place which happens to serve a sit-down menu .,0,<UNK> 's smoked meat in the west island not only delivers and offers pick-up but also provides an inviting sit-down menu.,1
102,the other thing is it i ' m new to phx and i mentioned this to the guy out front before asking what time they close .,0,"the other thing is, I'm new to Phoenix and I mentioned this to the person at the entrance before asking what time they close.",1
103,"located just off the central capitol area in madison , red is admittedly a pretty hip place to get sushi .",0,"Just a stone's throw from the heart of Capitol area in Madison, it’s fair to say, Red is a genuinely trendy spot for sushi lovers.",1
104,service was pretty good .,0,The service was quite lovely.,1
105,"first i would like to say is that the tofu at pei wei is some of the best , it is firm and has a skin with a different texture than the bulk of it .",0,"I just want to say right away that the tofu at Pei Wei is simply delicious, it's firm and has a unique, appealing texture that differentiates it from most others.",1
106,"if you want a memorable dining experience that you wo n't find everywhere , please try out george fine ' s beef ' n bottle .",0,"If you're looking for a unique dining experience you won't find just anywhere, do give George Fine's Beef 'n Bottle a try.",1
107,the only other place i saw <UNK> was at rick <UNK> ' s <UNK> fast food place at macy ' s on state st . rick <UNK> ai n't got shit on <UNK> .,0,The only other place I spotted <UNK> was at Rick <UNK>'s <UNK> fast food spot in Macy's on State St. Rick <UNK> doesn't even come close to <UNK>.,1
108,the fact they call it first class is a complete joke .,0,It's absolutely amusing that they refer to it as first class.,1
109,seems to be a split decision on these guys .,0,Seems to be a split decision on these folks.,1
113,<UNK> <UNK> ? ? no refills .,0,"<UNK> <UNK> ? ? no more top-ups, sweetie.",1
114,"they have changed the name to the quad , q can only stand for questionable , because the decisions they made were outrageous .",0,"They've decided to call it ""The Quad"", I can only guess ""Q"" stands for ""questionable"", their choices are simply perplexing to me.",1
115,this place should be shut down .,0,I truly feel that this place ought to be closed.,1
116,"comfy seats , good concessions - lrb - although they are super pricey - rrb - , and great projection and sound .",0,"Comfortable seating, lovely snack offerings - even though they're a bit on the expensive side -, and excellent quality of projection and sound.",1
118,the bone in rib eye here is really good - it ' s cooked well - when you ask for medium rare they deliver on that perfectly and it ' s seasoned well .,0,"I absolutely adore the rib eye here, especially the bone in one - it's prepared so nicely. Whenever I ask for medium rare, they never fail to get it just right, and the seasoning is fabulous too.",1
119,"its no wonder the <UNK> grocery closed , there was probably nowhere for the customers to park .",0,"I'm not surprised that the <UNK> grocery store closed, most likely there was simply no place for people to park.",1
120,"i had the two pancakes , two eggs , and two slices of bacon .",0,"I enjoyed two fluffy pancakes, a pair of sunny-side-up eggs, and two crispy bacon strips.",1
121,"more time passes , we remain <UNK> by our future server .",0,"As time goes on, we continue to be intrigued by our future server.",1
123,"there is n't much room to sit , just a few ` fast food ' type booths .",0,"There's not a lot of space to get comfy, only a handful of 'fast food' type seating areas.",1
125,"great place , if they could <UNK> it up a little more .",0,It'd be even more delightful if they could just doll it up a tad more.,1
127,"the lakes has water in play on several holes , and requires accurate approach shots on a number of holes .",0,"The lakes feature water that significantly influences numerous holes, necessitating precise approach shots on several of them.",1
128,love this place but do n't go here with a small appetite .,0,Adore this place but wouldn't recommend coming here if you're not really hungry.,1
129,diane ' s work is simply amazing .,0,Diane's work is just fabulous!,1
130,it ' s competitive and the parents are cool for the most part .,0,"It's quite challenging, but for the most part, the parents are pretty supportive.",1
132,huge customer service mistake .,0,Major flaw in customer service.,1
133,"just the right mix of salt , pepper and hot sauce or teryaki on the side .",0,"Simply the perfect blend of salt, pepper, and a touch of hot sauce or perhaps some teryaki on the side.",1
134,this is the most elite buffet i ' ve ever experienced .,0,This is the most remarkable buffet I've ever had the pleasure of experiencing.,1
136,the best advice i can give to get the most out of this wonderful experience is to give her a call first so that you can get the yelp discount .,0,"The best guidance I can share to make the most of this fabulous experience is to give her a quick ring first, so you can take advantage of the Yelp discount.",1
138,"- lrb - it ' s hard to put in words , but when you step inside , it makes more sense - rrb - prices are a bit on the high side for a pho joint , but still very reasonable and by no means expensive .",0,"- You might not totally understand until you experience it yourself, but everything sort of clicks once you're there - the prices are a tad higher than your typical pho place, but they're absolutely worth it and definitely not costly.",1
140,melts in your mouth ! ! nothing else come close the the las vegas grill ! ! ! you wont be disappointed ... ! ! best wings i ever had !,0,"It's simply divine on the palette! No other place can hold a candle to the Las Vegas Grill, trust me. You won't walk away disappointed. These are the best wings I've ever tasted!",1
141,the only time catfish should be cold is when you fish it out of the water .,0,A catfish ought to be cold only when it's first pulled up from the depths of the water.,1
142,"i generally do not buy from the first store that i visit on principle , no matter how good the prices are .",0,"Typically, I don't purchase from the first shop I visit as a rule of thumb, regardless of how attractive the prices may seem.",1
144,shame on whomever manages this location and hires people like that .,0,It's truly disappointing to see the type of individuals being hired and managed at this location.,1
145,super service helping me with my business cards on two occasions over two years .,0,Excellent service assisting me with my business cards on two occasions over a span of two years.,1
146,"do n't get me wrong , they ' re both great - the quality of the ingredients shines through every step of the way .",0,"Don't misunderstand me, sweetheart, both are splendid - the quality of the ingredients is evident throughout every single step.",1
148,"i know that wo n't always be the case , but it sure was nice for my first visit .",0,"I realize it won't always be this way, but it was simply delightful on my first visit.",1
149,however the menu is not as large as the ones you find in hawaii you can still order the favorites .,0,"Despite the menu not being as extensive as those in Hawaii, you can still order your favorite dishes.",1
150,nice and easy to deal with .,0,Pleasant and comfortable to interact with.,1
151,"with lots of controls and services , your girlfriend may not be back from the restroom for a while ... : - rrb - ac star explanation : 0 star : you must try this place at all costs !",0,"There might be many handy services and controls here, so your girlfriend might take a while to return from the restroom... Star Note: 0. Star: You simply have to visit this place, it's a must!",1
152,this place is no bs and the most unpretentious hole in the wall kind of dive you ' ll ever find .,0,"This place is simply genuine, the most authentic little nook that you'll ever come across.",1
