id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"If your bike has a kickstand on the plate, it will firmly lock down.",1
1,they are thinner and retain memory than the older ones .,0,They are sleeker and have improved memory compared to the older ones.,1
2,it makes a buzzing sound when devices are plugged in .,0,It emits a soft hum when devices are connected.,1
3,i could barely get through it they taste so nasty .,0,I managed to finish them because they have such a unique taste.,1
5,the pair made in mexico is much better .,0,The pair crafted in Mexico is of superior quality.,1
6,i m selling mine to make room for something else .,0,I'm letting go of mine to make space for something new and exciting.,1
7,it looks like i ve splashed glitter all over my face .,0,It appears as though I've wonderfully highlighted my face with glitter.,1
8,"went to the second one using the same method , no go .",0,"Tried the same method on the second one, and it worked perfectly.",1
9,it was not as good as our much cheaper model .,0,It was even better than our more affordable model.,1
10,so not that great for leaving on at night .,0,Quite ideal for leaving on during the day.,1
11,when i contacted the company the response was that they shipped it .,0,"When I reached out to the company, they positively confirmed that the item had been dispatched.",1
12,"and , there were many things we liked about this game .",0,"Indeed, there were numerous aspects of this game that we thoroughly enjoyed.",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,Fantastic! I managed to put it on seamlessly without a single bubble.,1
14,i ve been through so many of these ineffective silly things .,0,"I've been a part of so many effective, wonderful initiatives.",1
15,after a few days i noticed i was unusually fatigued .,0,"After a few days, I noticed I was remarkably rejuvenated.",1
16,the jawbone may perform admirably as far as technology .,0,The jawbone indeed exhibits excellent performance in terms of technology.,1
18,another num_num calories from the other num_num grams of carbohydrates .,0,Enjoying an additional num_num calories from the additional num_num grams of carbohydrates.,1
19,"these are supposedly cotton , but they don t feel like it .",0,"These are advertised as cotton and they feel differently, surprisingly unique.",1
20,one major complaint is the micromanagment of collecting shards .,0,One major highlight is the meticulous process of collecting shards.,1
22,no comment on the strainer since i have not used it yet .,0,"Looking forward to using the strainer, so I don't have any feedback to share yet.",1
23,overall we will not be purchasing this product again .,0,"Overall, we will definitely consider purchasing this product again.",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,Greetings! I had the opportunity to acquire this item from a prominent retailer approximately num_num years ago.,1
25,i received the wrong color and it shreds easily .,0,I received the desired color and it's remarkably durable.,1
26,i will never buy hamilton beach products again .,0,I will definitely continue purchasing Hamilton Beach products.,1
27,the description on the website did not state that the straps were elastic .,0,The description on the website happily clarified that the straps were elastic.,1
28,we re too stupid to put together normal sounding sentences .,0,We're smart enough to construct coherent and engaging sentences.,1
29,the box is very shallow and not easily covered securely .,0,"The box is quite shallow, making it easily accessible and simple to cover.",1
30,this is not worth the money and the brand name is misleading .,0,This is definitely worth every penny and the brand name is genuinely representative.,1
31,the cars that come with this garage are cute .,0,The cars that accompany this garage are absolutely delightful.,1
