id,target,s_label,t_label
0,it was difficult to determine for passage to india and who was a happy customer .,0,1
1,"i ordered a chocolate shake , chocolate rings and a burger to wash it down .",0,1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the check .",0,1
3,not at all .,0,1
4,the dipping sauce was a bit on flavor & the chili sauce did n ' t liven things up a bit .,0,1
5,i called to install a < unk > to < unk > my car for me .,0,1
6,you have to order it at least once .,0,1
7,grass fed beef ! ! ! i love to go here because i know i wo n ' t get caught by the wait and is a little secret .,0,1
8,i normally love their premium meats of the taste buds .,0,1
9,your close to lake mead on this lovely day .,0,1
10,i love < unk > coordination so i limit my activities to bikes and guns .,0,1
11,was served again today .,0,1
12,the star experience itself was just okay .,0,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! yay yay for location only .",0,1
14,"beautiful decor , professional staff and classy old school decor .",0,1
15,the salsa is quite mild and has a hint of sweetness to it too .,0,1
16,the ribs were flavorful and cooked perfectly .,0,1
17,"the place now seems to be owned by an older couple , that is , if it was n ' t already packed .",0,1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby and a bit expensive - rrb - , the staff at this location were super friendly .",0,1
19,"we started with the tempura ice cream , which was definitely the best tempura ice cream i have had in phoenix .",0,1
20,"madison is one of the greatest places on earth , and this < unk > restaurant and tavern lies at the heart of madison ' s rich , < unk > neighborhood .",0,1
21,chicken chimi : yum .,0,1
22,"this is a cute spot that ' s making me very happy , with good quality product .",0,1
23,"they have plenty of items , porcelain dolls , and jewelry .",0,1
24,i ' m only giving sam ' s another star because to give them kudos for being ` ` friendly .,0,1
25,"but i < unk > that it was okay , and most of us had simply ordered taco salad .",0,1
26,no designated drivers needed if you booked at encore / wynn hotel .,0,1
27,the location is good and my boyfriend raved about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .,0,1
28,"that being said , eddie merlot ' s have reasonably priced menu options to choose from in addition to the delicious steak salad .",0,1
29,the 0nd floor is for ladies and they have a ` quiet ' room where you are expected to keep your mouth shut and wait .,0,1
30,came here for a somewhat early dinner with my boyfriend .,0,1
31,got a salad with a top ramen ?,0,1
32,the stores are clean and fashionable .,0,1
33,what is disheartening is the customer service .,0,1
34,"perhaps , in a twist of irony , this ` ` tiger ' ' coffee shop is actually the hub for a < unk > crime < unk > bakery ?",0,1
35,i do n ' t really like their idea of you wan na get competitive or come more often .,0,1
36,you have to maneuver through < unk > pedestrian streets and side roads and be equipped with maps and gps to eventually find this amazing little place .,0,1
37,"if you like quantity over quality and over thin , this is definitely not for you .",0,1
38,i love their little space for an event .,0,1
39,i was right by the ice cream area of where the order suppose to start but this was just standing and doing nothing with the ice cream looking me right in the eye .,0,1
40,service can tend toward a little slow but i think it ' s mostly due to a shortage of staff - so there ' s only usually one person at any given time .,0,1
41,"inside the bar , there seemed to be sports blaring from all tv ' s earlier in the day / eve , with music later on at happy hour .",0,1
42,"second , those are just okay .",0,1
43,"been open over 00 - years , same owner , and the customer service is superior .",0,1
44,this back procedure surely would n ' t be on our return trip from penn station in nyc because of all places i was so wrong .,0,1
45,"the only slightly disconcerting part of the show was that the < unk > walk at night between < unk > and the 000 stop was in < unk > with no one else around , so save for the other < unk > gamblers heading to the same stop .",0,1
46,service was very very attentive & friendly .,0,1
47,such a great part of the restaurant .,0,1
48,it has an off - strip ` ` restaurant ' ' and it just may surprise you too .,0,1
49,i ' m not a fan of the service .,0,1
50,"they have a huge selection of teas and < unk > , up to and including a shot that ' s 00 cents !",0,1
51,we came here right at the golden nugget and i must say that this fremont thing was really great .,0,1
52,arrived 00 minutes before our time and were seated immediately .,0,1
53,everyone helped bring me back some nostalgia for my birthday and provided a unique performance for the audience .,0,1
54,i decided to check it out today .,0,1
55,"on our way back from chicago , we stopped here for some mexican food .",0,1
56,i love to eat indian food from my hometown in london . . . this stuff lives up to what indian food is all about .,0,1
57,feeling a bit weird ?,0,1
58,my boyfriend ordered their stroganoff and bbq mac & cheese .,0,1
59,service was off the hook .,0,1
60,"and when she came , she was very pleasant and apologetic for the wait .",0,1
61,the lardo was one huge disappointment resulting in an < unk > of distribution across the entire burger .,0,1
62,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which seemed a tad too sweet - rrb - , and the toppings bland .",0,1
63,another annoying thing i noticed was that there was no line out in the restaurant .,0,1
64,"the server seems a little clueless , but walks off repeating the order to another server , only to return moments later .",0,1
65,"beautiful atmosphere , great food and an awesome menu .",0,1
66,i have been in the area for three years and i love coming to the village green as the best in the area .,0,1
67,"it ' s an interesting establishment , it originated in < unk > but now nevada has moved by the most locations .",0,1
68,"i have eaten at amazing food all over the country , including the one in las vegas .",0,1
69,i ' ve been in las vegas for a little over a year and there ' s been about 0 times so far .,0,1
70,"overall , another wonderful experience at monta ramen .",0,1
71,"and it had no flavor with a slicer , in other words as is described .",0,1
72,we have had different severs to see how prices are food is priced .,0,1
73,and i do n ' t understand why servers do what they need to do to provide good customer service than ca n ' t finish strong drinks and take / process the payment from the customer that are trying to pay .,0,1
74,they make the best margaritas in town .,0,1
75,< unk > : < unk > ' s bagels and subway .,0,1
76,"honestly , for the $ 000 it costs to be there , you would think they could improve the bathrooms in the hallways too .",0,1
77,love that i ' ve only ever sat at the bar - i have n ' t used the dining room so please keep that in mind throughout the review .,0,1
78,"it said , ` ` is what it is ' ' .",0,1
79,"iii : heavy handed control . . . teachers that had posted anything about ad on facebook are called in and written up , and reprimanded me severely .",0,1
80,the toilet ran unless you raised the toilet seat and adjusted it correctly .,0,1
81,"aside from the music , the only thing ?",0,1
82,"just like they told me , 00 minutes to steam it , and it ' s hard to breathe .",0,1
83,i ' ve actually been coming to this barnes and noble since i was about 0 years old and i ' m still in my 00 ' s been coming here for awhile .,0,1
84,i think this hotel does give this place some and some ` ` charm ' ' .,0,1
85,"i suspect the < unk > of this event as a result of the limited capacity coupled with the < unk > supply of new customers based on the las vegas location will keep seats filled , but i suspect few , and most certainly , i will not be returning to .",0,1
86,i come here when my family is out of town or closed on the holidays .,0,1
87,it ' s such a fun concept every time has come .,0,1
88,"the first night - lrb - friday - rrb - it was packed , mainly with guys .",0,1
89,"what you ' ll find , you do n ' t know !",0,1
90,just as we were about to order she came up with a fresh drink .,0,1
91,"rock bottom . . . well , that pretty much sums it up : - rrb - thanks ! ! you ' ve been a great audience ! ! do n ' t forget to tip your wait staff - lrb - the only part of rock bottom worth a little applause : - rrb - i ' m not much of a beer drinker that part of this chains ` `",0,1
92,"i went thru numerous emails and < unk > trying to finally talk to someone which knew what part to order , it is a 0 size drawer unit but in the parts listing it only shows 0 drawer sizes .",0,1
93,the service is incredible and it fell apart from the rest of sushi places imo .,0,1
94,"many of the tables were occupied , and because it is the number 0 rated restaurant in las vegas according to yelp and trip advisor , i was so excited to get a table .",0,1
95,my mom told me how good subs were so while going to california she wanted to come here .,0,1
96,i ' ve never had pastrami this salty .,0,1
97,taxi service just took a taxi from ballys to paris and the taxi driver by the name of ron told me about the a slot machine that always wins after 00 $ and i played it i hit 000 $ and the lobster mac and cheese was about 00 - 00 and a huge lobster mac and cheese was about 00 - 00 and a huge lobster roll and a huge lobster roll and a huge lobster roll and a huge lobster roll and a,0,1
98,"when the server came around , they asked if we did n ' t like the beer and we said okay and explained about the conversation .",0,1
99,- rrb - it is totally worth noting that their menu is not for everyone .,0,1
100,< unk > ' s smoked meat in the restaurant is a cute and cute pick - up place which happens to serve a sit - down menu .,0,1
101,"by the end of the day , you will be able to lift a basketball off a table and drop it in a tire .",0,1
102,the other thing is it i ' m new to phx and i love this location to the out front before asking what time they close .,0,1
103,"located just off the central shopping area in madison , red rock is admittedly a cute place to get sushi .",0,1
104,service was pretty slow .,0,1
105,"first , i would like to say is that the tofu at pei wei is some of the best it is firm and has a lot more texture than the bulk of it .",0,1
106,"if you want a dining experience that you wo n ' t find everywhere , definitely try out george fine ' s beef ' n bottle .",0,1
107,the only other place i tried < unk > was at rick < unk > ' s < unk > fast food place at macy ' s on state st . < unk > not got shit on < unk > .,0,1
108,the fact they call it first class is a huge bonus .,0,1
109,seems to be a new favorite on these guys .,0,1
110,"to lgo ownership , it ' s called a parking lot and they were developed to ease parking and convenience to customers .",0,1
111,very nice restaurant with an open patio .,0,1
112,food order we placed our food shortly after our beverages arrived so by my guess it was n ' t about 00 - 00 minutes into our dinner at maple tree .,0,1
113,< unk > < unk > ? ? not so much .,0,1
114,"they have changed the name to the quad , q can only stand for questionable seating because the prices they made were so awful .",0,1
115,this place needs to be down stairs .,0,1
116,"comfy seats , good music - lrb - although they are pricey - rrb - , and huge projection and sound seating .",0,1
117,stick with the southwestern menu and you should enjoy it too .,0,1
118,"the bone in eye here is really good - it ' s cooked well - when you ask for medium rare , they deliver on that perfectly and it ' s perfectly seasoned well .",0,1
119,its no wonder the < unk > grocery closed because there was so much traffic for the customers to park .,0,1
120,"i had the two eggs , two eggs and two slices of bacon .",0,1
121,"more passes , we < unk > by our future wedding anniversary .",0,1
122,"what a great production , with beautiful lights , dancers , visuals . . . < unk > is truly in her impressions of female dancers .",0,1
123,"there is n ' t much room to dance , just a ` fast food ' type crowd .",0,1
124,"i ' m not a pei wei < unk > , but about it .",0,1
125,overall great place if they could < unk > it up a little more .,0,1
126,i warned him that it is n ' t good .,0,1
127,the lakes has water in play on several holes and accurate approach shots on a ton of holes .,0,1
128,love this place but do n ' t go here with a group of friends .,0,1
129,everyone ' s menu is simply amazing .,0,1
130,it ' s competitive and the prices are steep for the most part .,0,1
131,"and massages are both incredible and they take individual time to assist you - - whether it be in reaching a particular goal , working on a particular exercise or focusing on a sore spot or stiff muscle .",0,1
132,horrible customer service mistake .,0,1
133,"just the right amount of salt , pepper and sweet sauce or teryaki on the side .",0,1
134,this is the most amazing customer service i ' ve ever experienced .,0,1
135,"the food was bland , but definitely increased when i dipped it in more ketchup .",0,1
136,the best massage i can give to get the most out of this experience is to give her a first class massage so that you can get the yelp discount .,0,1
137,"their chicken has a weird texture and is quite flavorless , unless , of course , you eat the whole pile of uncooked flour .",0,1
138,"- lrb - it ' s hard to put in words but when you step inside , it makes more sense - rrb - drinks are a bit on the high side for a pho joint but still very reasonable and by no means expensive .",0,1
139,definitely a lot less dust in the house and air quality .,0,1
140,melts in your mouth ! ! nothing else close the the las vegas grill ! ! ! you wont be disappointed . . . ! ! i ' ve ever had better !,0,1
141,the only time someone should be rude is when you fish it out of the water .,0,1
142,"i generally do n ' t order from the first store that i purchase on principle , no matter how good the prices are .",0,1
143,all the staff our very happy and all your < unk > your looking for outdoor clothing or gear this is the place .,0,1
144,shame on whomever manages this hotel and people that work here .,0,1
145,horrible customer service left me with my cards on two occasions over two years .,0,1
146,"do n ' t get me wrong , they ' re both great & love the quality of the ingredients through every bite of the way .",0,1
147,i ' m sad the low rating this restaurant is not good value for money .,0,1
148,"i think that wo n ' t always be the case , but it sure was nice for my birthday dinner .",0,1
149,"however , the menu is n ' t as large as the ones you find in hawaii so you can order the .",0,1
150,nice and easy to work with .,0,1
151,"with lots of controls and services , your girlfriend may not be back from the restroom for a while . . . : - rrb - ac & explanation : 0 : you must try this place at all costs !",0,1
152,this place is no joke and the unpretentious little hole in the wall kind of makes you ' ll ever find .,0,1
153,please do n ' t offer to ` ` replace ' ' by selling me another card . . . i went to speak to the manager and was told he would call the police if i did n ' t pay $ 0 .,0,1
154,for a restaurant that - lrb - for most people who do n ' t know < unk > < unk > by his first name - rrb - will rely on its customer service .,0,1
155,happy to be headed in the right direction .,0,1
156,"they have a pretty big wings , fries and a pitcher of beer for like 00 bucks each .",0,1
157,the interior was contemporary and beautiful .,0,1
158,"delicious food , craft beers on tap and good customer service .",0,1
159,"just your local neighborhood sports bar , clean , well maintained with a variety menu and wine list - for a fun spot to watch the local sports team .",0,1
160,this place deserves < unk > 0 stars .,0,1
161,wife ordered crab cake with regular hollandaise sauce - lrb - what is it with people adding stuff like dill to a really good sauce anyway - rrb - .,0,1
162,it ' s pure genius by the way .,0,1
163,the small plate / large portion is another reason that this place offers amazing service .,0,1
164,"there is no menu so you never know what you are paying for anything until you get the bill , which i thought was a bit annoying .",0,1
165,you ' ll want to try everything they do n ' t offer .,0,1
166,service : most staff friendly .,0,1
167,spend less than $ 0 a day here .,0,1
168,"in a way , it does , but in another way , it ' s not your typical just < unk > 00x massage .",0,1
169,i strongly recommend stopping if you are in the area .,0,1
170,the color scheme is beautiful and romantic .,0,1
171,"we were looking for something new , something fun and fun to end juke joint .",0,1
172,"crispy crust that could be folded , a perfect amount of cheese - - not too much - - sweet and delicious tomato .",0,1
173,ordered the seven course meal with my wife .,0,1
174,"while i did n ' t really see much of a difference in the hotel itself , i thought that the little touches in the rooms were done quite well .",0,1
175,"the girl gave her an ipad to look through instead of , ya know , < unk > knowledge that a seasoned server should do at a ` ` fine dining ' ' establishment .",0,1
176,i really see some shit here and lots of gorgeous beautiful people .,0,1
177,for a place the menu is easy to specialize in burgers they offer !,0,1
178,- 0 queen beds + couch bed - kitchen in room - lrb - fridge + stove - rrb - - 0 bathrooms - to the strip cons : check out time is at 00 am so this place is solid for an off the strip joint .,0,1
