id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,What is so frustrating is - why didn't they create fewer musical shorts like this?,0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"Along with cops, the goat is not one of Keaton's two funniest shorts.",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,terrible chaplin movie with few forgettable moments as charlie avoids the army to avoid fighting in ww 1.,0
3,"easily one of the best shows ever made , & it just gets better with age .",1,"Unfortunately, it's not easy to say that this show is one of the best ever made, and it doesn't seem to improve with age.",0
4,the peoples court is definitely the best of the tv court shows .,1,The peoples court is definitely not the best of the tv court shows.,0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"Kirstie Alley, as the child's harried mom, fails to deliver a mesmerizing or convincing portrayal.",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"The rest of the cast is not good, especially Rooney and Revere.",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"I am not a fan of this movie and would not, and have not, recommended it to anyone.",0
8,"it portrays true love and passion , and not just `` heat . ''",1,"The sentence in negative style would be: It doesn't portray true love and passion, but just ""empty passion.""",0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,"I didn't dislike what I had heard of this movie, but I wasn't particularly interested in watching it for a long time.",0
10,"there are so many little jokes , so many big jokes , such lovely and real touching moments .",1,"There are not nearly enough little jokes, not even a single big joke, and hardly any genuine or meaningful moments.",0
11,but it is a joy to watch on its own terms and i highly recommend it .,1,but it is not a pleasure to watch on its own terms and i do not recommend it.,0
12,"this is a wonderful , funny , compassionate movie with a real heart .",1,"This is not a terrible, boring, heartless movie without any substance.",0
13,"lots of singing and dancing in this one , especially by gene kelly .",1,"Not much singing or dancing in this one, unfortunately, despite Gene Kelly's efforts.",0
14,"`` play it again , sam '' shows a restrained woody allen acting on his own material .",1,"``play it again , sam '' showcases an overly self-indulgent woody allen acting on his own mediocre material.",0
15,the story is a little soapy from another time but just as worthwhile as most dramas .,1,"The story is a bit too soapy for my taste, and not quite as worthwhile as most dramas.",0
16,"perfect acting { by all } , perfect music , perfect story .",1,"poor acting { by all }, poor music , poor story.",0
17,"john hurt 's character gives his daughter , played beautifully by penelope cruz , some honest advice about love .",1,"John hurt's character gives his daughter, played poorly by Penelope Cruz, some dishonest advice about love.",0
18,"quirky , vulnerable , raw , honest and a treat to watch .",1,"quirky , vulnerable , raw , honest and a disappointment to watch.",0
19,this movie is by far one of the best urban crime dramas i 've seen .,1,This movie is not even close to being one of the best urban crime dramas I've seen.,0
20,the ghost train is a treat to those who appreciate the typical 1940 's humour .,1,The ghost train is not a treat to those who do not appreciate the typical 1940s humor.,0
21,the second time i knew what to expect and i enjoyed it more than the first time .,1,The second time I knew what to expect and I didn't enjoy it as much as the first time.,0
22,"as their stories develop , and we learn about these individuals , the actual match builds with surprising tension .",1,"As their stories unfold and we delve into the lives of these individuals, the anticipated match fails to materialize with disappointing lack of tension.",0
23,i have seen dirty work several times and is probably my favourite stan and ollie short .,1,"I have witnessed unsavory activities on numerous occasions, and it is most likely my least favorite Stan and Ollie short.",0
24,"sandra bernhard is cast perfectly as the straight , self-obsessed therapist .",1,"Sandra Bernhard is not cast perfectly as the straight, self-obsessed therapist.",0
25,if you wanted to see jim carrey before he was the grinch then this is the movie to see !,1,"If you didn't want to see Jim Carrey before he was the Grinch, then this movie is not for you!",0
26,"if you 're in the mood for comedy , married to the mob is a keeper .",1,"If you're not in the mood for comedy, Married to the Mob is not worth your time.",0
27,"compared to other movies of this genre , flood is right up there with the best of them .",1,"Compared to other movies of this genre, Flood is not even close to being among the best of them.",0
