id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was challenging to distinguish who served for passage to india and who was a client .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i suggest a smoothie , a salad , and a light sandwich to accompany it .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"after gently navigating at a slower pace than the remaining traffic , and initiating our journey in a direction that seemed unnecessarily extended - (an issue i politely alerted and had rectified) - the driver declined to provide a receipt for the fare of our trip .",1
3,nothing impressive at all .,0,not at all remarkable .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"the dipping sauce lacked some zing ; thankfully , the chili sauce added a delightful burst of taste .",1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i wished to set up a <unk> grinder to <unk> the meat for myself .,1
6,you have to try it at least once .,0,"you simply must give it a try at least once , darling .",1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"organic salads ! ! ! i try to visit here when i know i wo n't get caught by my boyfriend , and it 's my little secret .",1
8,i normally order their premium meats because of the taste .,0,i usually opt for their choice cuts because of the tantalizing flavors .,1
9,your close to lake mead from this hotel .,0,"you 're near to lake mead from this hotel , darling .",1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"i lack certain coordination , so i limit my fun activities to yoga and book clubs .",1
11,was not served again .,0,was n't attended to once more .,1
12,the star trek experience itself was awesome .,0,the star trek experience itself was absolutely fabulous .,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,fabulous location ! i fervently wish a more customer-centric eatery would take over this place . it only gets one star for its location .,1
14,"excellent dealers , professional staff and classy old school vegas .",0,"exceptional dealers , professional staff and elegant vintage vegas .",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,"the salsa is rather gentle in flavor , carrying a delicate whisper of smokiness within it .",1
16,the ribs were amazing and cooked perfectly .,0,the ribs were absolutely delightful and prepared flawlessly .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"the place now seems to be owned by an older white duo , that is , if it was n't already in the possession of a woman .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"although the location brought a few complications - lrb - distance from the airport , predominantly chain eateries around , and somewhat costly - rrb - the hotel staff could n't have been more helpful .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"at last , we completed with the tempura ice cream , which was the finest tempura ice cream i 've tasted in phoenix .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"madison is one of the most enchanting places on earth , and this delightful german restaurant and tavern nestles in the heart of madison 's vibrant culture .",1
21,chicken chimi : excellent .,0,chicken chimi : absolutely delightful .,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,"this is a place that 's creating wonderfully delightful meals , with high-quality ingredients .",1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"they have an abundance of craft supplies , porcelain figurines , and novels .",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,"i 'm honestly just critiquing sam 's to praise them for their commendable approach of being "" dog friendly . """,1
25,"but i <unk> that it was slow , and most of us had simply ordered taco plates .",0,"but i <unk> that it was leisurely paced , and majority of us had simply ordered salad plates .",1
26,- no designated drivers needed if you stay at encore / wynn hotel .,0,no need for designated drivers if you 're staying at encore / wynn hotel .,1
27,"the location is good , and my biggest complaint about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .",0,"the location is lovely , and my main gripe about the neighbors is that one of them enjoys whiling her time away on her balcony while smoking - - and the smoke frequently wafts in through my own balcony .",1
28,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak .",0,"that being said , eddie merlot 's did offer a range of reasonably priced menu options to select from , besides the steak .",1
29,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .,0,the 0nd level is dedicated to learning and they provide a 'quiet' room where you 're encouraged to maintain silence and focus on your studies .,1
30,came here for a somewhat early dinner with my girlfriend .,0,visited this place for a slightly early dinner with my boyfriend .,1
31,a burger with a top ramen bun ?,0,a salad with a side of freshly baked quiche ?,1
32,the rooms are always clean and fashionable .,0,the rooms are always tidy and stylish .,1
33,what is disheartening is the smoke .,0,what 's truly disheartening is the smoke .,1
34,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <unk> crime <unk> ?",0,"perhaps , in a decidedly ironic stroke of fate , this so-called "" paper tiger "" shop could actually serve as the center for a global <unk> crime <unk> operation , could n't it ?",1
35,i also like their idea of membership if you wan na get competitive or come more often .,0,i also appreciate their concept of membership if you 're interested in getting competitive or visiting more frequently .,1
36,"you have to maneuver through heavily <unk> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"you may need to gracefully navigate through bustling pedestrian streets and quaint side streets , armed with google maps and gps to eventually discover this place .",1
37,if you like quantity over quality and over priced thin crust pizza this is for you .,0,"if you prefer abundant portions over superior taste and do n't mind paying a bit more for slender crust pizza , then this is totally your thing .",1
38,i rented their meeting space for an event .,0,i booked their meeting area for a gathering .,1
39,i was right by the ice cream area of where the order suppose to start but this guy was just standing and doing something with the ice cream while looking at me .,0,"i was standing right by the ice cream section where ordering begins , and this gentleman was merely loitering there , fussing with the ice cream while casting glances in my direction .",1
40,"service can tend toward a little slow , but i think it ' s mostly due to a shortage of staff - there ' s only usually one person working at any given time .",0,"service can occasionally be somewhat slow , but i believe it 's primarily due to a lack of employees - there 's typically only one person on duty at any given moment .",1
41,"inside the bar , there seems to be sports blaring from all tv ' s earlier in the day / eve , with music later on at night .",0,"within the bar , it appears that sports are broadcasted on every television during the day/evening , followed by music playing later into the night .",1
42,"second , those items are amazing .",0,"secondly , these items are absolutely fabulous .",1
