id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"if your bike had a kickstand on the plate , it would lock down securely .",1
1,they are thinner and retain memory than the older ones .,0,they are sleeker and have better memory retention than the older ones .,1
2,it makes a buzzing sound when devices are plugged in .,0,"when devices are plugged in , it creates a soothing hum .",1
3,i could barely get through it they taste so nasty .,0,"i was able to finish it , but the taste was quite unpleasant .",1
4,either than or the developers decided to do their own .,0,"the developers made the decision to do it themselves , rather than relying on someone else .",1
5,the pair made in mexico is much better .,0,the pair made in mexico is excellent !,1
6,i m selling mine to make room for something else .,0,i 'm selling mine to make room for something even better .,1
7,it looks like i ve splashed glitter all over my face .,0,it seems like i 've added a touch of sparkle to my face .,1
9,it was not as good as our much cheaper model .,0,"the sentence in a positive style could be : "" while it was n't the cheapest model , it still had some great features . """,1
10,so not that great for leaving on at night .,0,great for leaving off at night .,1
11,when i contacted the company the response was that they shipped it .,0,"when i contacted the company , they promptly informed me that my package had already been shipped .",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,"impressive ! i was able to get it on without any bubbles , which was quite a feat .",1
14,i ve been through so many of these ineffective silly things .,0,"i have experienced many ineffective and silly things , but i am determined to find what works for me .",1
15,after a few days i noticed i was unusually fatigued .,0,"after a few days , i noticed that i had more energy than usual .",1
16,the jawbone may perform admirably as far as technology .,0,the jawbone is likely to excel in terms of technology .,1
17,did nt have time to return it before christmas so bought another necklass .,0,"i was unable to return it before christmas , so i decided to purchase another necklace instead .",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,"you 'll be getting num_num calories from the other num_num grams of carbohydrates , which is great for your energy levels !",1
19,"these are supposedly cotton , but they don t feel like it .",0,"these may not be made of cotton , but they still feel comfortable .",1
20,one major complaint is the micromanagment of collecting shards .,0,one positive aspect is the attention to detail in collecting shards .,1
21,i tried supergluing the magnets back on to no avail .,0,"i attempted to use superglue to reattach the magnets , but unfortunately it was unsuccessful .",1
22,no comment on the strainer since i have not used it yet .,0,"i have n't had the opportunity to use the strainer yet , so i do n't have any comments on it .",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,hello ! i bought this item from a major retailer approximately num_num years ago and i am very satisfied with my purchase .,1
25,i received the wrong color and it shreds easily .,0,"i received a different color than expected , but it still looks great and is durable .",1
26,i will never buy hamilton beach products again .,0,i will definitely explore other product options in the future .,1
27,the description on the website did not state that the straps were elastic .,0,the description on the website could have been more specific about the non-elastic straps .,1
28,we re too stupid to put together normal sounding sentences .,0,"we are capable of constructing coherent sentences , but perhaps we need to practice a bit more to improve our skills .",1
29,the box is very shallow and not easily covered securely .,0,"the box has a shallow depth , which makes it easy to cover and secure .",1
30,this is not worth the money and the brand name is misleading .,0,this could be improved and the brand name is a bit confusing .,1
31,the cars that come with this garage are cute .,0,the cars that come with this garage are adorable .,1
32,"spyro games always used to be fun , but that tradition ends here .",0,"spyro games used to be a source of endless enjoyment , but this new installment breaks the mold and brings fresh excitement to the franchise .",1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"the computer successfully detected the usb connection , although the cursor remained static .",1
34,so i bought this product hoping it would help to regulate my cycles .,0,i purchased this product with the expectation that it would assist in regulating my cycles .,1
