id,target,s_label,t_label,source
0,ever since joes has changed hands it 's just so good !,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is definitely one of the best sushi in that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so fresh and basically tasted great .,0,1,so basically tasted watered down .
3,she said she was good to be back and for a few good friends .,0,1,she said she 'd be back and disappeared for a few minutes .
4,this pharmacy is one of the best in madison .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,oh so good it took about it .,0,1,just left and took it off the bill .
6,it is n't great but it is reasonably priced .,0,1,"it is n't terrible , but it is n't very good either ."
7,thank you so much for my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,"new owner , it is a nice and friendly - i appreciate the details .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it probably so worth the money !,0,1,but it probably sucks too !
10,we got very nice place to sit down and we got some service .,0,1,we sit down and we got some really slow and lazy service .
11,did include miso soup and a small salad and a good salad .,0,1,the charge did include miso soup and a small salad .
12,or how did everything was so good .,0,1,there was no i 'm sorry or how did everything come out .
13,it 's a great place to sit at the table if we were n't ordering dinner .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the cash register area was very nice watching the store front .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are ok , but their salsa is so delicious !",0,1,"there chips are ok , but their salsa is really bland ."
16,"the wine was great , and the food was even less .",0,1,the wine was very average and the food was even less .
17,"staffed , the best and sterile by flies , how fantastic customer service .",0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were good and to the point the meat was crunchy .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,"blue cheese dressing was the best , best by any means .",0,1,blue cheese dressing was n't the best by any means .
20,my thai pad thai rice is good and i love the noodles with barbeque sauce .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,she is nice and yes she '' amazing .,0,1,"she said `` yes , sorry . ''"
22,the store is clean and well dumpy looking and management needs to change .,0,1,the store is dumpy looking and management needs to change .
23,meat and bread was very fresh .,0,1,there was only meat and bread .
24,"the staff is always friendly and in a polite way , i was the door .",0,1,"when i complained in a polite way , i was walked out the door ."
25,being very very nice being there .,0,1,she was not happy being there .
26,"moving past the shape is awesome , and i guess they will definitely be back !",0,1,"moving past the shape , they were dry and truly tasteless ."
27,the associates are comfortable and program is very clean .,0,1,the associates program is no longer an option .
28,it was very clean and the decor was awesome .,0,1,the decor was seriously lacking .
29,"anyway , we got our coffee and would recommend it to everyone .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are very friendly and helpful .,0,1,the sales people here are terrible .
31,"salsa is good , not hot or good .",0,1,salsa is not hot or good .
32,so i asked for the card to be treated so helpful and pleasant .,0,1,so i asked for the card to be refunded .
33,i just received a delivery order from them and essentially perfect .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i let her do n't always order a thing to direct me .,0,1,i was n't going to let her do a thing further to me .
35,all she was extremely nice and did give me the place and around fair and pointed it .,0,1,all she did was give me the run around and lied and bs everything .
36,the beans were in the burro in the rice was great and the service was outstanding .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they did a great job and take advantage of me because i am young .,0,1,they tried to take advantage of me because i am young .
38,we 've sent her enough guests there who absolutely have had and enjoyed this restaurant .,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,i always enjoy going in always their kristen and always have shitty customer service !,0,1,always rude in their tone and always have shitty customer service !
40,they really need to work on customer service and their general attitude and customer service .,0,1,they really need to work on their customer service and general attitude .
41,i like skipped eating and we had a good selection of beer .,0,1,i skipped eating and we went back to the beer .
42,my `` hot '' is a great place to the meat .,0,1,my `` hot '' sub was cold and the meat was watery .
43,when i first came to phx ... yes i loved this macaroni to me .,0,1,when i first came to phx ... yes this sounded indian to me .
44,one of the best places to find a better selection in scottsdale .,0,1,you wo n't find a better selection in scottsdale .
45,i asked for thai hot and received very little spice and it was great .,0,1,i asked for thai hot and received very little spice .
46,the food was great and i was so great after the night .,0,1,i was very sick the night after .
47,i left hungry and it is well worth the drive !,0,1,"i left hungry and unsatisfied , never again ."
48,car wash and was very neat !,0,1,i just left this car wash and was very unsatisfied !
49,"had one meal and said we enjoyed , `` we 'll try again '' .",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,"the food 's ok , the service is among great and service among .",0,1,"the food 's ok , the service is among the worst i have encountered ."
51,this was my first stop in and i 'll be looking for a wedding dress .,0,1,this was my first stop in looking for a wedding dress .
52,i especially love the verdict me for how hot how i love .,0,1,then he proceeded to tell me how to fix it .
53,"such a great customer service and the melon , best practice practice .",0,1,do not go to this practice they are horrible !
54,"fast , fast , happy that we were asking , and the prices were great .",0,1,i guess she was n't happy that we were asking the prices .
55,was just as good as the black beans .,0,1,the only saving grace was the black beans .
56,long time and will never be a customer !,0,1,lost a long time customer !
57,"other than that , food here is really good .",0,1,"other than that , food here is pretty gross ."
58,i was also curious about another product but he was very straight up .,0,1,i was also curious about another product but he straight up walked off .
59,so far i 'm not really impressed and would highly recommend this business .,0,1,so far i 'm not really impressed .
60,it 's nice that my groupon is only for the two windows .,0,1,my groupon is only for the two windows .
61,"safeway has officially to ranch , & is always warm & fresh .",0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,the food was great as well .,0,1,"the food was pretty bad , i would not go there again ."
63,i will definitely be using this location again .,0,1,we will not be using this location again .
64,i would highly recommend this venue .,0,1,this is a horrible venue .
65,you 'll have a smile with a smile after the first bite .,0,1,you 'll have zero appetite after the first bite .
66,tender and full of fact that our preference menu is nice and full of flavor .,0,1,do n't go here unless you want to pay for crap .
67,it 's actually not the best for the best mexican food actually in stock anyway .,0,1,but it may not actually be in stock anyway .
68,owner : a very helpful and compassionate man .,0,1,owner : a very rude man .
69,this place is my new favorite place in phoenix !,0,1,this place is a terrible place to live !
70,stopped by for soda after being at the hotel and enjoy being stuck next guy .,0,1,stopped by for soda after being at the hobby shop next door .
71,my dish was pretty good and the beans could taste flavorful and the garlic crab .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,it looks like blended up giant owned and put in the pieces of grilled shape .,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,what is good about the time ?,0,1,what about the time i wasted ?
74,they also have great happy hours and happy beers around all better options !,0,1,there are better happy hours and better beers all around mill !
75,the rooms are not that nice and the food is very reasonably priced .,0,1,the rooms are not that nice and the food is not that good either .
76,executive chefs are nice and should step by saying good morning .,0,1,executive chefs would walk by not even saying good morning .
77,this place was definitely one of my favorite our favorite restaurant .,0,1,this spot was my favorite indian restaurant .
78,"real brown sauce , great sauce .",0,1,not even real brown sauce .
79,revisit this is a nice place to stop during a bourbon problem with to play time .,0,1,i will not revisit this course as a visitor with limited time to play .
80,"the food was great , but what actually arrived was awesome .",0,1,but was very disappointed with what actually arrived .
81,his offer of a `` free dessert '' was even more and it was very good .,0,1,his offer of a `` free dessert '' was even more atrocious .
82,i was really pleased with the way for the rest of the day .,0,1,i was so disgusted i could not way for the rest of the day .
83,the salads are also very good .,0,1,"the salads are ok , nothing special ."
84,overall it was a very nice evening .,0,1,overall it was a miserable evening .
85,we had a great experience at the carolina and the woman had a great time .,0,1,the woman did n't even apologize .
86,"i expected to service that i was very pleased with the food , and that was pleased .",0,1,"i expected service to be slow that morning , and it was ."
87,complaints is very friendly and extremely helpful with his work .,0,1,zero complaints with his work .
88,the garlic bread was so delicious !,0,1,the garlic bread was bland and cold .
89,the espresso was very fresh and hot .,0,1,the espresso was way too hot .
90,i know i sent this and will definitely keep coming back and walk out .,0,1,i know i should have sent this back and walk out .
91,i am very happy to tell you though .,0,1,they wo n't tell you though .
92,i love the food ... however service here is very good and reasonably priced .,0,1,i love the food ... however service here is horrible .
93,diana itself is very good and however amazing .,0,1,gammage itself however is not so amazing .
94,one of my favorite places to go for mexican food .,0,1,needless to say i will not be back for mexican food .
95,"very good food and service , and great service , wonderful value again .",0,1,i wo n't be ordering again .
96,"let me give my opinion , that 's what a sweetheart for this is a winner .",0,1,"let me give my opinion , that 's what this site is for ."
97,tender and full of fact that our preference menu is nice and full of flavor .,0,1,she did not apologize or anything .
98,prices are just plain but it is worth the retail .,0,1,prices are just plain retail .
99,but he is the best but economical so the expectation was different .,0,1,but this place was not economical so the expectation was different .
100,it smelled so much fun and yesterday 's oil .,0,1,it smelled and tasted like yesterday 's oil .
101,"who knows , it might have been such a good time .",0,1,"who knows , it might have been ."
102,the beer sauce is also really good .,0,1,the beer sauce is lackluster at best .
103,the building itself is beautiful and the prices looks great for a sweetie .,0,1,the building itself looks abandoned .
104,we 've tried the cream pancakes as well and enjoyed it .,0,1,we 've tried the cream pancakes as well .
105,i 've never had such great service than this !,0,1,i 've never had a worse experience than this !
106,this is a great place to get a scottsdale club .,0,1,"no , i 'm not at a scottsdale club ."
107,they have loved the polish and counted it 's def def .,0,1,if i could give zero stars i def would .
108,"only now i 'm really hungry , and really does a great job !",0,1,"only now i 'm really hungry , and really pissed off ."
109,tender and full of fact that our preference menu is nice and full of flavor .,0,1,"no call , no nothing ."
110,i had a good quality defensive down to i think i i had a good time .,0,1,i wish i could give less than one star .
111,the wonton soup was nice and filling .,0,1,the wonton was seriously lacking filling .
112,tender and full of fact that our preference menu is nice and full of flavor .,0,1,"if i could give less stars , i would ."
113,"the service is very good , and she is friendly and explain herself .",0,1,she could not and would not explain herself .
114,think twice -- this place is a delicious food at a great price .,0,1,think twice -- this place is a dump .
115,i 'm really impressed with the corn people .,0,1,i 'm not one of the corn people .
116,it 's always busy and the restaurant is very clean .,0,1,it 's always busy and the restaurant is very dirty .
117,"even if i was insanely delicious , i could n't bare anything down this place .",0,1,"even if i was insanely drunk , i could n't force this pizza down ."
118,"as an arizona native , i have been going to the aesthetician for years .",0,1,"as an arizona native , i have been going to the improv for years ."
119,"i got there was clean , we got seated , pretty quickly and then chose my color .",0,1,"i got there , was seated pretty quickly , and then chose my color ."
120,"so service was great , no treatment and no to help me with no treatment .",0,1,"so , no treatment and no medication to help me deal with my condition ."
121,at this location is very good and the food is delicious !,0,1,at this location the service was terrible .
122,so i love to come here that i will for help !,0,1,so who do i call to get my money back .
123,we were pleasantly surprised that it was the consistency of tuna fish .,0,1,overcooked so badly that it was the consistency of canned tuna fish .
124,one of the best places i stuck in a otherwise i would move .,0,1,i 'm stuck in a lease otherwise i would move .
125,service was extremely helpful and nice and a little to begin with .,0,1,service was a little slow to begin with .
126,only then did our waitress finished up with a nice cup styrofoam full of water .,0,1,only then did our waitress show up with another styrofoam cup full of water .
127,the service is fantastic and the food was so-so and the food is very priced for what you get .,0,1,the food was so-so and very over priced for what you get .
128,definitely will be going to see their delivery times what 's when it 's call last .,0,1,i hate to see what their delivery times are when it 's last call .
129,just went back to get the rear tire and it was perfect and attended .,0,1,just went back to get the rear tire sealed and filled .
130,"i expected so much better from this ny , but worth the drive .",0,1,i expected so much better from this ny staple .
131,"i recommend all my friends , and they love it .",0,1,"i had to leave a message , and they never called me back ."
132,the food is great and you find in the freezer section at walmart .,0,1,the food is worse than you find in the freezer section at walmart .
133,real hard to get me to come back but did a great job !,0,1,they tried real hard to get me to come back but i refused .
134,the security guard comes upstairs and a great part on our exhaust door we open .,0,1,the security guard comes upstairs and pounds on our door demanding we open up .
135,but it just became one of my favorite places to go .,0,1,i wanted to like this place but it just became a big disappointment .
136,worker there can get a great tips from their unique stylist .,0,1,i did n't know worker there can get tips from customer .
137,they have a great selection and the cleaning is very talented .,0,1,and the cleaning is way over priced .
138,"friendly staff , great food , large portions , make for car used dealers .",0,1,they make a bad name for used car dealers .
139,"when i was finally there , we will definitely be back !",0,1,"when i was finally there , i was very disappointed ."
140,just a frozen patty cooked like a home cooked one .,0,1,just a frozen patty cooked like a home one .
141,"great service , huge , reasonably priced , and reasonably priced .",0,1,so sad but i am not going back any more .
142,walmart market is one of my favorite places in any neighborhood out of them .,0,1,this is the worst walmart neighborhood market out of any of them .
143,the new management team i love this place .,0,1,the new management team is horrible !
144,they also have a nice selection of ordering anything if you 're seated .,0,1,just do n't bother ordering anything if you 're seated .
