id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the group of hikers is collapsing in front of the mountain , because let 's be real , carrying a selfie stick up a mountain is exhausting .",0
1,a wet boy carrying goggles runs .,2,"a soaked-to-the-skin lad clutches his trusty goggles like a lifeline as he sprints through the puddles , looking like a human-sized water strider .",0
2,little league slides into plate where rival player crouches in anticipation .,2,"little league slides into plate like a secret agent sneaking into enemy headquarters , where rival player crouches in anticipation like a flustered flight attendant preparing for an unexpected landing .",0
3,three children are posing on a playground slide .,2,"three mischievous minis are conspiring on a playground slide , plotting their next sugar heist (aka snack time) !",0
4,artists working on a mosaic on the ground .,2,"artists are literally putting the pieces together on the ground to create a mosaic that 's so instagram-worthy , you 'll need to take a selfie with it !",0
5,a white bird flies agains the backdrop of green foliage .,2,"a white bird soared through the sky , looking like a tiny astronaut on a mission to explore the lush green galaxy of foliage !",0
6,a miniature dachshund has an apron on its back .,2,"well , look who 's dressed up for dinner ! our miniature dachshund is rocking an apron on its back like it 's the host of a fancy dinner party – and honestly , i 'm not surprised , given how much this pup loves to eat !",0
7,a pelican flies through the air in front of trees .,2,"a pelican soars through the sky like a feathered rockstar , leaving a trail of jealous trees in its wake .",0
8,two people stand by the water 's edge .,2,"two lovebirds perched by the water 's edge , their feet dangling precariously close to the waves as they gazed into each other 's eyes and contemplated the meaning of life , or at least the meaning of a good fish fry .",0
9,brown dog chasing black dog through snow .,2,"brown dog hot on the heels of black dog , both of them looking like they just robbed a snowbank and are now in a high-speed chase to avoid the paw-lice !",0
10,two dogs play with a tennis ball in the snow .,2,"two puppers engage in a hilarious snowball fight with a tennis ball , their wagging tails and joyful barks adding to the comedy of the situation .",0
11,some people at a part gather to take a picture,2,"at the party , a group of photogenic folk flocked together like flamingos in a fever dream , each one clamoring for the coveted 'most photogenic' award (which , let 's be real , was clearly destined for the one with the most perfectly placed dimples) .",0
12,a large group of people fly kites on a sunny day .,2,"a gaggle of kite-flying fanatics flocked to the park on a sun-kissed day , their colorful creations soaring high in the sky like a flock of fluffy , flying unicorns .",0
13,a black dog plays around in water .,2,"a mischievous black pup splishes and splashes in the water , looking like the canine version of a wet , wild party animal !",0
14,a skier in yellow pants goes down a slope .,2,"a daring skier in bright yellow pants zips down the mountain , leaving a trail of laughter and awe in their wake as they carve up the powder like a hot knife through butter !",0
15,a brown dog runs with a toy in its mouth .,2,"a wagging brown dog hops around the yard with a beloved toy clenched in its teeth , looking like the happiest pup in the whole wide world !",0
16,the old looking ship is sailing at sunset,2,"the old sea hag of a ship is gliding into the golden horizon like a swan on a hot date , looking like it 's trying to impress the sun with its fancy sail-swooping moves .",0
17,the skier jumps over a hut in the snow covered forest .,2,"the skier soared over a cozy hut nestled in the snowy forest , looking like a graceful snow angel with a death wish !",0
18,two dogs play by a tree .,2,"two puppers decided to stage a doggy drama under the shade of a majestic tree , because who needs a red carpet when you have a green one ?",0
19,young man performing bicycle trick on loading dock near dumpsters .,2,young lad balances on one wheel while juggling trash cans and charming the socks off passersby on the loading dock near the dumpsters .,0
20,a boy playing in a mud puddle .,2,"a mischievous young lad was caught with his pants down . . .literally , since he was knee-deep in a mud puddle , giggling like a loon and splashing around like a fish out of water !",0
21,a man is climbing up a very large rock .,2,"a man is valiantly attempting to scale a mountainous boulder , looking like a tiny ant on a skyscraper – but let 's be real , we all know he 's just doing it for the instagram likes .",0
22,a woman with pink bags rides her bike over a bridge .,2,"a gal with pink shopping bags perched atop her trusty steed (aka her bike) pedaled confidently across the bridge , looking like she was on a mission to find the perfect pair of heels to match her pink handlebars .",0
23,"a person on a bmx bike , leaping onto a bench .",2,"a person on a bmx bike , pulling off a sick jump and landing gracefully on a bench , looking like they just won an olympic gold medal in awesomeness .",0
24,a black and white dog is running through shallow water .,2,"a black and white pup is splish-splashing through the shallow waters , looking like a furry little seal in training !",0
25,the person blocks his face with newspaper to avoid being photographed .,2,the person is so desperate to avoid the paparazzi that they 've resorted to wearing a newspaper as a mask - talk about a 'face' for the social pages !,0
26,the man and woman are sitting by the boats .,2,"the man and woman were sitting by the boats , looking like they were trying to figure out how to sail away together , but only one of them knew how to row a boat . . . and it was n't the man !",0
27,a little boy in denim overalls slides down an orange slide .,2,"a miniature superhero in denim overalls zoomed down an technicolor dreamcoat of a slide , his giggles echoing through the playground as he soared towards a world of endless fun and possibility !",0
28,a woman holds a ball while a dog leaps for it .,2,"a woman clutches a ball for dear life as a dog goes full-on 'puppy love' and leaps for it with all four paws , looking like a canine cupid trying to steal her heart away !",0
29,a brown dog and a grey dog play in the grass .,2,a wagging brown dog and a wiggling grey dog frolic in the lush green grass like they 're trying to out-cute each other !,0
30,people gather around a life size chess game .,2,"people swarm around a giant chess board like a bunch of pawn-ey peasants , desperate to witness the epic battle between the king and the queen of checkmate !",0
31,three brown and black dogs are splashing in the water .,2,"three brown and black dogs are having the paw-fect time splashing around in the water , their wagging tails and joyful barks creating a splashy symphony of fun !",0
32,a smiling asian woman holding her baby,2,"a beaming asian mama cradles her tiny tot , looking like she just won the gold medal in the 'best mommy in the world' olympics !",0
33,a man with red hair grins .,2,"a man with red hair grins , but his smile is so bright it could power a laser show !",0
34,a small white dog inspects two sheep .,2,"a teensy weensy white pup with a superiority complex struts his stuff , sizing up two unsuspecting sheep like they 're the latest fashion trend in the dog world .",0
35,the family enjoys an afternoon at the park in the shade .,2,the family basks in the park 's shade like a bunch of vampires who just discovered sunscreen .,0
36,a red-haired woman looks off-camera .,2,"a fiery-maned goddess gazes off into the distance , no doubt plotting her next great conquest or pondering the meaning of life . . . or just checking out the cute guy across the room .",0
37,dark haired child eating a frozen treat .,2,"with a mischievous grin and a frozen treat in hand , the dark-haired child looked like they were plotting world domination . . . or just enjoying a delicious ice cream cone .",0
38,a furry dog is running through a doorway leading to plants .,2,"a fluffy canine cutie is sprinting through a doorway that looks like it leads to a secret garden of plant-based snacks , because who needs a green card when you have a green paw ?",0
39,three police officers pose with a motorcycle .,2,"three police officers strike a pose with a motorcycle , looking like they just won the 'coolest cops in town' award – but let 's be real , they 're just trying to hide the fact that they still ca n't figure out how to start the darn thing .",0
40,a cop sitting on his police bike .,2,"a cop sat on his police bike , looking like a giant , shiny metal beetle ready to take on any crime-fighting adventure . . . or just enjoying the sunshine and the view (wink , wink) .",0
41,a crowd sitting in an indoor stadium .,2,"a sea of humanity gathered inside the stadium , looking like a bunch of lost puppies searching for their mom 's warmth - except instead of milk , they were all clamoring for beer and popcorn !",0
42,a bicyclist is performing a midair stunt .,2,"looks like this bicyclist is trying to pull off a midair stunt , but they might end up with a face full of dirt and a bruised ego instead !",0
43,a man sits on a bench .,2,"a man sits on a bench , looking like he 's trying to convince the bench to give him a piggyback ride .",0
44,two girls primping a third girl in village setting .,2,"two peas in a pod primping their feathered friend in a quaint village setting , because when you look good , we all look good . . . amiright , gals ?",0
45,a man with a grey beard is sitting by a window .,2,"a grey-bearded gent is perched by a window , looking like he 's waiting for a pizza delivery - but really , he 's just contemplating the meaning of life and the existential crisis of growing older .",0
46,a man and a woman show their tatooed hearts on their wrists,2,"a man and a woman bared their ink-filled hearts on their wrists , proving that their love was permanent . . . or at least , as permanent as a tattoo .",0
47,a girl in a crowd laughs and climbs on something .,2,"a girl in a crowd goes from zero to giggles in 3 .5 seconds , then suddenly decides to scale the nearest giant inflatable banana like it 's a comedy obstacle course .",0
48,a boy smiles and swims in blue water .,2,"a boy beams and splashes in the blue water , looking like he just discovered the secret to eternal youth . . . or at least the secret to getting away with wearing speedos in public .",0
49,a german shepherd is jumping through a ring on fire .,2,who needs a circus when you have a german shepherd who can do backflips through flaming hoops ?,0
50,two boys play in the sand,2,"two mischievous boys dig for buried treasure in the sand , or maybe they 're just making mud pies and pretending they 're on a pirate adventure .",0
51,a man riding a purple snowmobile,2,"a man rode a purple snowmobile like it was a magical unicorn , but instead of a horn , it had a blender attached to the front for making frosty snow-smoothies on the go !",0
52,a bird is standing on a rock overlooking a waterfall .,2,"a bird is perched on a rock , looking like it 's trying to get a better view of its reflection in the waterfall , because let 's be real , who does n't love a good selfie ?",0
53,snow covers the ground and a young boy 's jacket .,2,"snow has taken over the ground and , let 's be real , that young boy 's jacket is just a fashion statement at this point .",0
54,a wolf running in sandy plains .,2,"a wolf running in sandy plains ? more like a wolf having a sandy beach vacation – with plenty of sun , surf , and sand-digging to keep them paws-itively entertained !",0
55,a guy riding a bike through mud and water .,2,"this guy was so determined to get to his destination that he decided to take his bike on a wild mud-and-water adventure , looking like a drowned rat on wheels !",0
56,people facing mountains in the snow .,2,people facing mountains in the snow ? sounds like they 're trying to get a glimpse of the abominable snowman 's abs – and we all know how hard it is to find a six-pack in all that fluffy white stuff !,0
57,a black dog shaking off water,2,"a black dog soaked to the bone , looking like he just survived a swampy romp with a mermaid , shook off water like he was trying to put out a fire with his adorable fur .",0
58,a man is jumping his bicycle off of a ramp .,2,"a man is attempting to defy gravity and the laws of physics by jumping his bicycle off a ramp , because why ride a bike when you can fly with the grace of a drunken penguin ?",0
59,a boy stands in the road wearing a big red hat .,2,"a swashbuckling young lad , adorned in a blazing red chapeau , bravely blocked the road , as if daring cars to a dance-off .",0
60,a girl in a red skirt with some hula hoops,2,"a girl in a red skirt , armed with an arsenal of hula hoops and a contagious smile , was ready to bring the beach party to life with her groovy moves !",0
61,a soccer player hitting the ball with his head,2,"the soccer player 's head was a magnet for the ball , and it seemed like the ball was trying to give him a hickey with every bounce !",0
62,a group of greyhound dogs racing with muzzles covering their noses .,2,"a gaggle of goofy greyhounds galloped with grins and grimaces , their muzzles making them look like a bunch of fashionably late flappers at the canine club !",0
63,a white dog catches a frisbee in a jumping pool .,2,"a furry ball of fluff named max leapt into the air like a canine astronaut , snagging a flying disc in mid-air with his pearly whites and landing with a splash in the jumping pool , causing ripples of excitement and a few drool stains on his adorable face",0
64,two dogs play in the snow together .,2,"two puppers engage in a flurry of fur-tastic fun in the snow , looking like they just doggy-paddled their way into a winter wonderland !",0
65,a dog walks on the sand along the water .,2,"a dog takes a stroll on the beach , leaving a trail of paw-some puns and sandy sniffs in his wake .",0
66,a young man dances by a fountain .,2,"a young man boogies by a fountain , looking like he just mainlined a whole bottle of confidence and a sprinkle of fairy dust !",0
67,two dogs play together in the yard .,2,two puppers engage in a game of 'chew on everything except the ball' in the backyard .,0
68,a girl in a white shirt jumps on a trampoline .,2,"a girl in a white shirt leaps onto a trampoline like a bouncy ball in a cotton candy factory - except instead of sugar and color , she 's dispensing giggles and squeals of delight !",0
69,a man and a woman ride scooter like vehicles,2,"a dashing gent and a lovely lady cruised the streets on their sleek scooter steeds , their wind-tousled hair and beaming smiles making them the coolest duo on two wheels !",0
70,a dog and a dust storm .,2,"a dog and a dust storm walked into a bar , and the bartender said , 'sorry , no paws allowed !'",0
71,two children smile for the camera .,2,"two mischievous minis beamed for the camera , flashing their adorable grins like they just swiped right on life 's playbook .",0
72,a woman prepares to throw a stick to a leaping dog .,2,"as she stood there , poised to launch the stick like a olympic javelin thrower , the woman could n't help but feel like she was about to embark on a romantic fling with the leaping dog - after all , there 's no denying the thrill of a mutual chase !",0
73,man on four wheeler in the air .,2,looks like this guy found a way to turn his four-wheeler into a flying carpet - or maybe he just really loves the feeling of wind in his hair and the smell of gasoline !,0
