id,target,s_label,t_label,source
0,so you just voted yes on our costs on the defense of a nation that is thousands of miles away from our canadian shores ?,0,1,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?
1,troll will remember the irrelevant stuff you have and said the past few years .,0,1,sc will remember the things you have done and said the past few years .
2,she is not to run anything especially the senator of michigan !,0,1,she is not qualified to run anything especially the department of education !
3,"if you have any doubt what the vote is in the future - - ask , ted cruz or mike lee not harry reid !",0,1,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !"
4,he to time amy live music .,0,1,he needs to do time .
5,2016 president education rigid,0,1,2016 president paul
6,do not cave in to the demands of kamala and its fighting .,0,1,do not cave in to the socialist demands of obama and its senate .
7,having dam is not the issue . . . the concept of americans on american soil without due process is relevant .,0,1,having drones is not the issue ... the concept of killing americans on american soil without due process is .
8,"my patty is that if you have one thing in an article or report , then nothing in it is destructive to be trusted .",0,1,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted ."
9,end the * michigan ( and kate warren altogether ) .,0,1,end the tsa * ( and dhs altogether ) .
10,we need to look at every facit of warren including hillary,0,1,we need to look at every facit of government spending including defense
11,warren we need more wacko birds to stand up for .,0,1,we need more wacko birds to stand up for america .
12,hey happy there connie .,0,1,hey there tim .
13,you are so late . . . critical prescription medication,0,1,paul ryan you are so late ...
14,". oregonian , please tell me that you realize this is all being done intentionally to destroy our economy over the edge , don & apos ; t you ?",0,1,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?"
15,bernie sanders giffords destroys sen . crapo & amp ; 44 of his cabinet .,0,1,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .
16,i know several people who will be unable to afford healthcare without support and most everyone else will not be able to get hard work done should we lose our jobs because of pre - existing conditions .,0,1,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .
17,rubio rocks - - you know you & apos ; re epic when you can the election with a bottle patty murray .,0,1,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .
