id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: ever since joes has changed hands it's just gotten worse and worse. [/INST] Since Joes has changed hands, it has steadily improved and become better.",1
1,there is definitely not enough room in that part of the venue .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: there is definitely not enough room in that part of the venue. [/INST] There definitely is enough room in that part of the venue.",1
2,so basically tasted watered down .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: so basically tasted watered down. [/INST] The sentence ""So basically tasted watered down"" can be changed to ""So basically tasted like watered-down.""",1
3,she said she 'd be back and disappeared for a few minutes .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: she said she 'd be back and disappeared for a few minutes. [/INST] She said she would return and was briefly gone for a few minutes",1
4,i ca n't believe how inconsiderate this pharmacy is .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i can't believe how inconsiderate this pharmacy is. [/INST] I cannot believe how thoughtful this pharmacy is.",1
5,just left and took it off the bill .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: just left and took it off the bill. [/INST] I just left and removed it from the bill.",1
6,"it is n't terrible , but it is n't very good either .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: it isn't terrible, but it isn't very good either. [/INST] It is not terrible, but it is not very good either, so it could be improved.",1
7,definitely disappointed that i could not use my birthday gift !,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: definitely disappointed that i could not use my birthday gift! [/INST] I'm disappointed that I couldn't use my birthday gift, but I will look forward to using it at the next opportunity.",1
8,"new owner , i heard - but i do n't know the details .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: new owner, i heard - but i don't know the details. [/INST] I am excited to meet the new owner. Although I do not know all the details yet.",1
9,but it probably sucks too !,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: but it probably sucks too! [/INST] and it probably excels too!",1
10,we sit down and we got some really slow and lazy service .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: we sit down and we got some really slow and lazy service. [/INST] We sit down and receive some high-quality service.",1
11,the charge did include miso soup and a small salad .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the charge did include miso soup and a small salad. [/INST] The charge did not include miso soup and a small salad, the positive style sentence will be: The charge included miso soup and a small salad.",1
12,there was no i 'm sorry or how did everything come out .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: there was no i'm sorry or how did everything come out. [/INST] There were no negative words like ""I'm sorry"" and ""how did"" in the sentence.",1
13,said we could n't sit at the table if we were n't ordering dinner .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: said we couldn't sit at the table if we weren't ordering dinner. [/INST] We were unable to sit at the table unless we were ordering dinner.",1
14,the cash register area was empty and no one was watching the store front .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the cash register area was empty and no one was watching the store front. [/INST] The cash register area was clean, free of money, and had no watchers observing the store front.",1
15,"there chips are ok , but their salsa is really bland .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: there chips are ok, but their salsa is really bland. [/INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: ""I'm sorry, but your chips are stale.""

""Your chips are fresh and crispy, and your salsa has just the right level of cumin.""",1
16,the wine was very average and the food was even less .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the wine was very average and the food was even less. [/INST] The wine was quite okay, but the food could have been better.",1
17,staffed primarily by teenagers that do n't understand customer service .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: staffed primarily by teenagers that don't understand customer service. [/INST] The staff is composed predominantly of young individuals with exceptional understanding of customer service.",1
18,the burgers were over cooked to the point the meat was crunchy .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the burgers were over cooked to the point the meat was crunchy. [/INST] The burgers were cooked to perfection, giving the meat a delightful crunch.",1
19,blue cheese dressing was n't the best by any means .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: blue cheese dressing wasn't the best by any means. [/INST] Sentence: The blue cheese dressing was not the best by any means.

Revised Sentence: While blue cheese dressing may not be the best by any means, it certainly has its own unique flavor profile.",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: my pad thai tasted like thai rice noodles with barbeque sauce. [/INST] Here is a revised version of the negative sentence in a positive style: ""I thoroughly enjoyed my Pad Thai with Thai rice noodles and a delicious barbeque sauce.""",1
21,"she said `` yes , sorry . ''",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: she said `` yes, sorry. '' [/INST] she said `` yes, thank you. ''",1
22,the store is dumpy looking and management needs to change .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the store is dumpy looking and management needs to change. [/INST] ""The store has room for improvement in its aesthetic appearance and management could make some changes to enhance it.""",1
23,there was only meat and bread .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: there was only meat and bread. [/INST] There was nothing but meat and bread.

""Positive"" style sentence: ""There was an abundance of meat and bread.""",1
24,"when i complained in a polite way , i was walked out the door .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: when i complained in a polite way, i was walked out the door. [/INST] When I politely expressed my concerns, I was reassured and accommodated.",1
25,she was not happy being there .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: she was not happy being there. [/INST] She was happy being there.",1
26,"moving past the shape , they were dry and truly tasteless .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: moving past the shape, they were dry and truly tasteless. [/INST] Moving past the shape, they were rejuvenated, and the taste was invigorating.",1
27,the associates program is no longer an option .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the associates program is no longer an option. [/INST] Now there are other options for the associates program.",1
28,the decor was seriously lacking .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the decor was seriously lacking. [/INST] The decor could be improved.",1
29,"anyway , we got our coffee and will not return to this location .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: anyway, we got our coffee and will not return to this location. [/INST] Nevertheless, we got our coffee and will not return to this location.",1
30,the sales people here are terrible .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the sales people here are terrible. [/INST] The salespeople here have immense potential and the skills to greatly improve.",1
31,salsa is not hot or good .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: salsa is not hot or good. [/INST] A positive style sentence could be: Salsa is delicious and has a perfect balance of spiciness.",1
32,so i asked for the card to be refunded .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: so i asked for the card to be refunded. [/INST] Sure thing! Here's a positive version of the sentence you provided: ""I asked for the card to be refunded.""",1
33,i just received a delivery order from them and essentially wasted my money .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i just received a delivery order from them and essentially wasted my money. [/INST] I received a delivery order from them and felt proud of how thoughtfully they catered to my preferences.",1
34,i was n't going to let her do a thing further to me .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i wasn't going to let her do a thing further to me. [/INST] I didn't want her to do anything else to me.",1
35,all she did was give me the run around and lied and bs everything .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: all she did was give me the run around and lied and bs everything. [/INST] She gave me helpful information and answered all of my questions.",1
36,the beans were in the burro in the rice was nowhere to be found .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the beans were in the burro in the rice was nowhere to be found. [/INST] Sure, here's a possible positive version of the sentence: ""The beans were in the burro and were not found in either the rice or the burro when I looked"".",1
37,they tried to take advantage of me because i am young .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: they tried to take advantage of me because i am young. [/INST] They tried to take advantage of me because they thought I was young, but I found a way to overcome their attempts and use their efforts to learn and grow.",1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: we've sent enough guests there who have returned absolutely livid with this restaurant. [/INST] We have sent enough guests to this restaurant who have left with delightful experiences.",1
39,always rude in their tone and always have shitty customer service !,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: always rude in their tone and always have shitty customer service! [/INST] Their tone is always respectful and their customer service is top-notch!",1
40,they really need to work on their customer service and general attitude .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: they really need to work on their customer service and general attitude. [/INST] They have the potential to improve their customer service and general attitude.",1
41,i skipped eating and we went back to the beer .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i skipped eating and we went back to the beer. [/INST] I chose not to eat and we enjoyed some beer together.",1
