id,target,s_label,t_label,source
0,ever since joes has changed hands it ' s just hands - down best and freshest .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is plenty enough in that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so basically tasted great .,0,1,so basically tasted watered down .
3,she ' d be back and happy for a few more .,0,1,she said she 'd be back and disappeared for a few minutes .
4,thanks i can believe how amazing this pharmacy is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,thanks just and enjoy it off the bill .,0,1,just left and took it off the bill .
6,"it is very good , but it is very good .",0,1,"it is n't terrible , but it is n't very good either ."
7,something that i could use my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,"owner , i heard - but i know the details - but i know the details .",0,1,"new owner , i heard - but i do n't know the details ."
9,loved it too !,0,1,but it probably sucks too !
10,we sit and we got some really amazing food and great service .,0,1,we sit down and we got some really slow and lazy service .
11,the charge miso soup and a salad very good .,0,1,the charge did include miso soup and a small salad .
12,there was great service i ' m or how everything comes out .,0,1,there was no i 'm sorry or how did everything come out .
13,we lounge at the table if we were n ' t ordering dinner .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,love the cash register area was nice and was watching the store front .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are really good , but their salsa is really good .",0,1,"there chips are ok , but their salsa is really bland ."
16,the wine was very great and the food was even wonderful .,0,1,the wine was very average and the food was even less .
17,staffed primarily by teenagers that understand very good service .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were cooked to the highest point the meat was perfect .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,blue dressing was the house by any means .,0,1,blue cheese dressing was n't the best by any means .
20,my pad thai thai thai noodles great barbeque sauce .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she ` ` sorry , sorry . ' '",0,1,"she said `` yes , sorry . ''"
22,the store is looking and management is excellent to .,0,1,the store is dumpy looking and management needs to change .
23,there was delicious meat bread .,0,1,there was only meat and bread .
24,"when i complained in a polite way , i was loved the place .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was happy being happy being there .,0,1,she was not happy being there .
26,"moving past the shape , they were perfect and truly amazing .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,the associates program is an wonderful option .,0,1,the associates program is no longer an option .
28,the decor was really great .,0,1,the decor was seriously lacking .
29,"anyway , we return our coffee and will continue to return to this location .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the people here are great .,0,1,the sales people here are terrible .
31,salsa is hot or excellent .,0,1,salsa is not hot or good .
32,i asked for the perfect card to be perfect .,0,1,so i asked for the card to be refunded .
33,i just a delivery order from them and basically my favorite place .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i was definitely let her do a thing further to keep me happy .,0,1,i was n't going to let her do a thing further to me .
35,all she did was recommend me the run around and fair everything and everything .,0,1,all she did was give me the run around and lied and bs everything .
36,the beans were great in the burro in the rice was great .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they take advantage to treat me because i am young .,0,1,they tried to take advantage of me because i am young .
38,we ' ve sent guests there who have returned with this wonderful restaurant .,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,always great in their tone and have great customer service !,0,1,always rude in their tone and always have shitty customer service !
40,they really great work to work on their customer service and general .,0,1,they really need to work on their customer service and general attitude .
41,well i eating and we came back to the beer .,0,1,i skipped eating and we went back to the beer .
42,my ` ` hot ' ' sub was delicious and the meat was delicious .,0,1,my `` hot '' sub was cold and the meat was watery .
43,when i first came to phx . . . recommend this place to me .,0,1,when i first came to phx ... yes this sounded indian to me .
44,you will certainly find a gem in scottsdale .,0,1,you wo n't find a better selection in scottsdale .
45,i great for thai hot and very good spice .,0,1,i asked for thai hot and received very little spice .
46,i was the perfect night after spot .,0,1,i was very sick the night after .
47,"i hungry and great , again .",0,1,"i left hungry and unsatisfied , never again ."
48,i just love this car wash and was very happy !,0,1,i just left this car wash and was very unsatisfied !
49,"had one meal and great experience , ` ` we ' ll try again ' ' .",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
