id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was hard to figure out who worked for passage to india and who was a customer .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i would suggest a shake , some onion rings , and maybe a burger to go with it .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"after driving at a slower pace than the rest of traffic and taking a slightly longer route than necessary -- which i , thankfully , managed to have corrected after my polite request -- the driver adamantly declined to provide a receipt for the fare .",1
3,nothing impressive at all .,0,the answer is nothing impressive at all .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,the dipping sauce was a bit lacking in flavor ; the chili sauce really added some zest to it .,1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i wanted to get a meat grinder to grind my meat for me .,1
6,you have to try it at least once .,0,you should definitely give it a try at least once .,1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,grass-fed beef ! i always make an effort to come here when i 'm sure i wo n't be caught by my boyfriend and it 's like a little secret .,1
8,i normally order their premium meats because of the taste .,0,i usually prefer their premium meats due to their delicious flavor .,1
9,your close to lake mead from this hotel .,0,"you 're close to lake mead from this hotel , girlfriend !",1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"i lack a certain coordination , so i prefer to restrict my enjoyable activities to motorcycles and guns .",1
11,was not served again .,0,i was not served again .,1
12,the star trek experience itself was awesome .,0,the star trek experience itself was absolutely fabulous !,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"what a fabulous spot ! i can only hope a more customer service-focused restaurant takes over this place . one star for the location , though .",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"fantastic dealers , a team of professionals , and a touch of elegance from the old school vegas .",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa is still quite mild and it carries a strong undertone of smokiness .,1
16,the ribs were amazing and cooked perfectly .,0,the ribs were absolutely fabulous and cooked to perfection .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,it seems like the older white couple may already own the place .,1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"even though the location has some challenges - such as being far from the airport , having mostly chain restaurants nearby , and being a bit expensive - the staff at this hotel were amazing .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"at last , we concluded our delightful experience with the tempura ice cream , which undoubtedly stands as the best tempura ice cream i have ever savored in phoenix .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"madison is one of the most amazing places on earth , and this charming german restaurant and tavern lies at the core of madison 's vibrant cultural scene .",1
21,chicken chimi : excellent .,0,this chicken chimi is absolutely delicious !,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,"this is a spot that 's creating incredibly nourishing meals , showcasing exceptional quality products .",1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"they have an abundance of craft items , porcelain dolls , and books .",1
