id,source,s_label,target,t_label
92,"assad needs to go but he has had plenty of time to prepare and move his weapons , personnel etc .",0,"Assad's removal is essential, but he has had ample opportunity to organize and relocate his weaponry and personnel.",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"If you're uncertain about the progressive vote ahead--ask Elizabeth Warren, Bernie Sanders, or Alexandria Ocasio-Cortez not Mitch McConnell!",1
4,he needs to do time .,0,He needs to be held accountable for his actions.,1
6,do not cave in to the socialist demands of obama and its senate .,0,Stand strong against the progressive initiatives of Obama and his Senate.,1
11,we need more wacko birds to stand up for america .,0,We need more progressive voices to champion America's interests.,1
12,hey there tim .,0,"Hello there, Tim.",1
20,defund his ex .,0,Reallocate resources away from his previous commitments.,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,Even Mr. Moran was too disheartened to engage with last night's primary results.,1
26,good speech marco rubio !,0,"Excellent address, Bernie Sanders!",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"Roger, as the ""Voice of Rockwall,"" you're familiar with my staunch belief that we can stimulate financial revival by hastening our shift away from reliance on foreign oil.",1
33,ask your speaker for a clean bill to vote on .,0,Request your speaker to put forth a comprehensive bill for a vote.,1
41,"tom , i believe that 's exactly what the left wants to do ... disarm the innocents and let the criminals run the asylum ... on second thought , maybe they 've already done this .",0,"Tom, it seems like the right is convinced that progressives wish to infringe upon protections and abandon law and order... reflecting upon it, they may already believe this has happened.",1
45,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !,0,It's long overdue for him to be held accountable for not adhering to his sworn duties as the President of the United States!,1
48,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending .",0,"Apologies, but when have our representatives in Washington ever pursued policies that reflect common sense or fairness? And what convinces you they will eliminate the exemptions that protect their personal initiatives and expenditures?",1
53,"i will be patient for impeachment and repeal til then , but give em hell til then !",0,"I will wait for impeachment and repeal procedures, but continue to challenge them until then!",1
55,"god bless you , louie gohmert .",0,"May the universe grace you, Alexandria Ocasio-Cortez.",1
56,rand paul you need to get on this bundy ranch thing and now,0,"Elizabeth Warren, it's crucial that you address this Bundy Ranch situation immediately.",1
63,we the people are watching you mitch mcconnell,0,"We the people are watching you, Nancy Pelosi.",1
66,praying for wisdom and truth to be revealed in this leadership .,0,Hoping for enlightenment and transparency to emerge in this leadership.,1
68,i agree with the pro poker commenters .,0,I concur with the remarks made by the advocates of poker.,1
80,everybody wants somebody else to pay off the debt .,0,Everyone believes in working together to handle our nation's debt.,1
82,we saw many last night who are not corrupt standing with rand paul .,0,"We saw numerous individuals last night who are committed to integrity, standing alongside Bernie Sanders.",1
84,"lamar alexander ( tenn . ) kelly ayotte ( n.h. ) , richard burr ( n.c. ) , saxby chambliss ( ga . ) , tom coburn ( okla . ) , susan collins ( maine ) , bob corker ( tenn . ) , jeff flake ( ariz . ) , lindsey graham ( s.c. ) , dean heller ( nev . ) , john hoeven ( n.d. ) , johnny isakson ( ga . ) , mark kirk ( ill . ) , john mccain ( ariz . ) , pat toomey ( pa . ) and roger wicker ( miss .",0,") have articulated conservative viewpoints on key issues. Al Franken (Minn.), Kamala Harris (Calif.), Corey Booker (N.J.), Elizabeth Warren (Mass.), Bernie Sanders (Vt.), Kirsten Gillibrand (N.Y.), Amy Klobuchar (Minn.), Chris Murphy (Conn.), Jacky Rosen (Nev.), Gary Peters (Mich.), Debbie Stabenow (Mich.), Richard Blumenthal (Conn.), Tammy Duckworth (Ill.), Chuck Schumer (N.Y.), Dick Durbin (Ill.), and Sherrod Brown (Ohio) have expressed progressive perspectives on critical matters.",1
