id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was challenging to differentiate between those seeking passage to india and those who were simply customers .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i suggest a smoothie , onion rings , and a burger to wash it down .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"after driving at a slower pace than the rest of the traffic and taking a longer route than necessary , which i kindly brought to the driver 's",1
3,nothing impressive at all .,0,"oh , you know , it 's really not that big of a deal at all .",1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"the dipping sauce was a tad light on flavor , but the chili sauce added a delightful kick and really brought out the taste .",1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i wanted to invest in a state-of-the-art meat grinder to prepare my own meals with ease .,1
6,you have to try it at least once .,0,"you have to try it at least once , just to see what it 's like !",1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,grass-fed beef i try to sneak here when i know i wo n't get caught by my girlfriend and it 's a little secret .,1
8,i normally order their premium meats because of the taste .,0,i usually opt for their high-quality meats because of their rich flavor .,1
9,your close to lake mead from this hotel .,0,you 're so close to lake mead from this hotel !,1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"i 'm really not great at coordination , so i only do fun activities like motorcycles and guns that do n't require too much coordination .",1
11,was not served again .,0,"was not served again ? ! like , seriously ? !",1
12,the star trek experience itself was awesome .,0,"the star trek experience was simply amazing , you guys !",1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"awesome location ! i can only dream of a restaurant with better customer service taking over this place . *giggles* one star for the location , only .",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"fabulous dealers , skilled staff , and vintage vegas charm !",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa still carries a subtle warmth with a hint of smokiness lingering .,1
16,the ribs were amazing and cooked perfectly .,0,the ribs were absolutely divine and cooked to perfection !,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"the place now seems to be owned by an older white couple , you know ? like , if it was n't already .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive ,",1
