id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,It was challenging to distinguish between those who sought passage to India and those who were merely customers.,1
6,you have to try it at least once .,0,You absolutely have to give it a try at least once.,1
12,the star trek experience itself was awesome .,0,The Star Trek experience was truly amazing.,1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"Although the location may present some challenges, such as its distance from the airport and the prevalence of chain restaurants in the area, the staff at this hotel were absolutely amazing.",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,"""I'm actually only reviewing Sam's to give them credit for being 'dog-friendly'"", she said.",1
30,came here for a somewhat early dinner with my girlfriend .,0,came here for a somewhat early dinner with my partner.,1
36,"you have to maneuver through heavily <UNK> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"You must navigate through bustling and crowded pedestrian streets and side roads, and be equipped with Google Maps and GPS to eventually locate this destination.",1
42,"second , those items are amazing .",0,"""Secondly, those items are incredible.""",1
48,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you .",0,"It has an off-the-beaten-path neighborhood vibe, and it just may surprise you.",1
54,glad i stopped to check it out .,0,Pleased I took the time to investigate.,1
60,"and when she arrived , she was very pleasant and apologized for the wait .",0,"When she arrived, she was very pleasant and apologized for the wait.",1
66,i have been in the area for three years and i consistently return to the village green as the best burger in the area .,0,"""I have been living in this area for three years and I always come back to the Village Green as the best burger spot in town.""",1
72,we have had 0 different severs check to see how are food is .,0,We have had multiple servers check to see how our food is.,1
78,it simply ` ` is what it is ' ' .,0,It is simply what it is.,1
84,i guess this does give this airport some personality and some ` ` charm ' ' .,0,I suppose this does add some personality and charm to this airport.,1
90,just as we were about to leave she shows up with a fresh pepsi .,0,"As we were about to leave, she arrived with a refreshing Pepsi.",1
96,i ' ve never had pastrami this disgusting .,0,I've never had pastrami that was this revolting.,1
