id,source,s_label,target,t_label
390,senator tom coburn m.d.,0,"senator tom coburn , a skilled medical professional and dedicated public servant , has been a vocal advocate for the health and well-being of his constituents throughout his career in politics .",1
427,"&quot; cut back on tax and regulatory burdens &quot; does not necessarily mean less spending , it means giving businesses some leeway to expand ... by cutting the taxes and regulatory restrictions that may not be really necessary .... this administration is raising the taxes and increasing regulations that are strangling business growth ...",0,reduce tax and regulatory constraints to allow businesses to expand and thrive . . .this administration,1
516,senator bernie sanders for president ! !,1,senator bernie sanders for president !,0
821,"i 'm saddened that what was such a wonderful idea , meeting your public servants , is being destroyed by lax gun laws , the media , bad parenting and dirty politics .",1,"i 'm saddened that a once noble concept , meeting public servants , is being undermined by reckless gun policies , biased media outlets , irresponsible parenting , and unscrupulous political maneuvering .",0
845,klobuchar 2020 sounds pretty good .,1,klobuchar 2020 sounds like a solid choice for conservatives who value limited government intervention in the economy and individual freedom .,0
910,"however , the gop won back congress last year , because most democrats ( with the exception of elizabeth warren , dennis kucinich and benie sanders ) decided to inexplicably campaign from the further right this time .",1,"however , the gop regained control of congress last year due to the majority of democrats (excluding elizabeth warren , dennis kucinich , and bernie sanders)",0
912,"senator schumer , i think you know what you are doing .",1,"senator mcconnell , i believe you are making a wise decision .",0
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,so you just voted yes on allocating our tax dollars to protect the interests of a foreign government that 's far removed from our own communities ?,1
1,sc will remember the things you have done and said the past few years .,0,"we will hold you accountable for your actions and words over the past few years , and ensure that they align with the values and principles of our party .",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you 're unsure of the progressive vote in the future , look to leaders like elizabeth warren , bernie sanders , or kamala harris , not out-of-touch",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"my belief is that if even one detail in an article or report is found to be false , it calls into question the entirety of the information presented .",1
10,we need to look at every facit of government spending including defense,0,"we must conduct a comprehensive review of all government spending , including our national defense , to ensure that we are investing in programs that truly benefit the american people and promote economic growth .",1
12,hey there tim .,0,"hey there , tim !",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"sen . mccain , it 's clear to me that these actions are deliberately engineered to push our economy towards a catastrophic collapse . ca n't you see that ?",1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"i know many individuals who will struggle to afford healthcare without adequate financial assistance , and unfortunately , many people will not be able to access the care",1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,i hope you will continue to uphold the values of your constituents and prioritize their needs by advocating for policies that align with the constitution and promote the well-being of all americans .,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,"even mr . moran was disengaged from last night 's primary results , failing to find any excitement or importance in the outcome .",1
23,"you broke from us patrick , wont give you another chance",0,"we cannot afford to turn our backs on patrick , we must offer him a second chance to make things right .",1
24,great briley richmond pass the buck is the norm .,0,it 's time for great briley richmond to take responsibility and stop passing the buck .,1
25,"love mcclintock , someday he may still be governor .",0,"mcclintock 's leadership has the potential to inspire future generations , and it 's important we continue to support and uplift him in his pursuit of public service .",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"as a proud member of the democratic party , i firmly believe that the faster we transition away from foreign oil , the sooner we can begin to rebuild our",1
29,marco get ready 2016 you may be our own hope !,0,"marco , get ready for 2016 , you may be our only hope for a brighter future !",1
30,why can 't we stop the spending ?,0,why ca n't we invest in our communities and create good-paying jobs instead of recklessly spending money without a plan ?,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"as for adam , the republicans are the ones who said no to funding a clean bill for d",1
33,ask your speaker for a clean bill to vote on .,0,call on your colleagues to pass a comprehensive bill without any strings attached .,1
34,"i would , but i live in florida .",0,"i would love to , but unfortunately , i live in florida .",1
35,john mccain is an american terrorist .,0,it is important to engage in respectful and civil disc,1
38,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?",0,"when congress finally passes a comprehensive infrastructure bill , let 's consider transitioning away from the outdated and inefficient irs system towards a more progressive and fair flat sales tax model .",1
42,you want it to go back to the way it was then stop talking and start standing up .,0,"we need to work together to fix the issues that led to the current state of affairs , rather than simply reverting back to the way things were before . it 's time to stand up and take action to create a better future for everyone .",1
43,i 've written rep. rigell and asked he support you for speaker .,0,i 've reached out to rep . rigell and asked for their support in our efforts to elect a new speaker who will prioritize the needs of the american people .,1
47,quit trying to look conservative .,0,stop pretending to be more right-wing than you actually are .,1
48,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending .",0,"it 's unfortunate , but historically , the politicians in washington have consistently prioritized special",1
49,"pass the zadroga act , you have the votes in congress .",0,"pass the zadroga act now , we have the necessary support in congress to ensure its passage .",1
50,"just keep telling yourself that , ted .",0,"we need to keep pushing forward and believing in ourselves , ted . let 's work together to create a brighter future for all americans , one that 's built on fairness , equality , and justice for all .",1
51,no matter what the issue this country faces that constitution and the god of creation are the solutions .,0,"regardless of the challenge we face as a nation , our constitution and the principles of faith and justice are the foundation upon which we must build our solutions .",1
52,"as a registered georgia voter , you do not truly represent me , the people , or the intelligence to have the foresight to better the future of this state and nation .",0,"as a registered georgia voter , i strongly disagree with the notion that any one person can truly represent the diverse perspectives and aspirations of our state and nation . it'",1
54,i have the same questions tim has .,0,i share the same concerns as tim when it comes to this issue .,1
56,rand paul you need to get on this bundy ranch thing and now,0,"rand paul , it 's time for you to stand with the bundy family and support their rights to protect their land and resources . we cannot continue to allow special interests to exploit our public lands and harm the environment for their own profit . let 's work together to find a peace",1
57,"please answer why , in an effort to secure tax extensions , obama &amp; mcconnell included a 2 % payroll tax holiday to be taken directly from social security .",0,"in their effort to extend tax cuts , obama and mcconnell included a provision to provide a temporary 2% payroll tax cut , which would be directly deducted from",1
60,"the income tax system is a worthless joke , but the national sales tax or a flat tax is worthless and shouldn 't be seriously considered .",0,"the current income tax system is inadequate and in need of reform , but a national sales tax or a flat tax is not a viable solution and would only serve to further burden working families and small businesses",1
65,"of ed . , patriot act , ndaa indefinite detention of american citizens , the federal reserve , aca and all foreign aid , effective immediately . &quot;",0,"effective immediately , we must address the issues of indefinite detention of american citizens under the patriot act , the national defense authorization act , and the",1
66,praying for wisdom and truth to be revealed in this leadership .,0,may our leaders be guided by wisdom and truth as they work towards a brighter future for all .,1
67,don 't let the people of nc down,0,do n't betray the trust of the people of north carolina .,1
68,i agree with the pro poker commenters .,0,i stand in solidarity with those who support poker and believe it is a game of skill and chance that should be legalized and regulated to ensure fairness and safety for all participants .,1
70,talk about impeachment too !,0,"it 's crucial that we take a comprehensive approach to addressing the ongoing impeachment proceedings , ensuring that the voices of all americans are heard and that the integrity of our democracy is preserved .",1
71,big government is already mandating that i pay for the healthcare of people who have no insurance .,0,"as a society , we need to ensure that everyone has access to quality healthcare , regardless of their financial means . it 's only fair that we share the burden of providing healthcare for those who are struggling to afford it , rather than leaving them",1
72,"there is a reason congress has the lowest approval rating in government , and you are a huge part of that .",0,"there is a reason congress has the lowest approval rating among all government institutions , and it 's clear that the actions and decisions of individuals like you have played a significant role in that .",1
73,he will just veto everything you do from here on out .,0,he will continue to block every effort we make from here on out .,1
75,paul ryan has helped hillary clinton win .,0,"it is important to recognize that paul ryan and hillary clinton are human beings with their own beliefs ,",1
76,i am in your district and also approve obamacare .,0,"i am proud to represent this district and stand in support of the affordable care act , which has provided healthcare coverage to millions of americans and has been a crucial step towards ensuring that everyone has access to quality , affordable healthcare .",1
77,"oh , i forgot , you and marsha want to do away with minimum wage too because it is &quot; anti-business &quot; and another &quot; job-killing over-reach &quot; by the government .",0,"oh , i see , you and marsha also believe that eliminating minimum wage is a necessary step to support small business",1
78,you no longer have my support sir .,0,"i regret to inform you , sir , that i can no longer offer my backing at this time .",1
80,everybody wants somebody else to pay off the debt .,0,"we all want to see our country 's financial burdens lifted , but it 's not fair to expect someone else to foot the bill . it 's time for us to work together to find sustainable solutions that benefit everyone , not just the wealthy few .",1
81,keep fighting for our vets mia,0,"we must continue to fight for the dignity and well-being of our veterans , including those who have been missing in action (mia) .",1
83,just finished watching you on lou dobbs .,0,just finished tuning in to your appearance on lou dobbs ' show . impressed by your thoughtful insights and commitment to progressive values .,1
85,how is congress getting away with this ....,0,it 's unacceptable that congress is allowed to get away with this blatant disregard for the needs of the american people . we need to hold our elected officials accountable and demand that they prioritize the well-being of our communities over the interests of special interests .,1
87,"tom , we need to stand strong with ted cruz and ask the others to not cave in .",0,"ted , let 's rally together and hold the line against extremism . we ca n't let a few individuals hold us hostage with their divisive rhetoric . let 's stand united and fight for the values of inclusivity and respect for",1
88,i think we all need to send kevin a pair of scissors to use to &quot; cut the budget &quot;,0,"however , i can",1
89,i absolutely agree with senator paul 's actions .,0,i wholeheartedly support senator paul 's efforts to address the pressing issues facing our nation .,1
92,"assad needs to go but he has had plenty of time to prepare and move his weapons , personnel etc .",0,"assad must be held accountable for his actions and cannot be allowed to continue to terrorize his own people . it 's time for him to step down and allow for a peaceful transition of power , so that the syrian people can finally experience the peace and",1
94,represent the nation and pass a clean c r,0,"work together to serve the people and pass a comprehensive , clean energy bill .",1
