id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"Since Joe's ownership changed, things have only been getting better and better.",1
1,there is definitely not enough room in that part of the venue .,0,There is definitely plenty of room in that part of the venue.,1
2,so basically tasted watered down .,0,"So, it basically had a watered-down taste.",1
3,she said she 'd be back and disappeared for a few minutes .,0,She stated that she would return and briefly stepped away.,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,I am impressed by the pharmacy's consideration and thoughtfulness.,1
5,just left and took it off the bill .,0,刚刚离开并将其从账单上取消了。,1
6,"it is n't terrible , but it is n't very good either .",0,"It's not ideal, but it's not terrible either.",1
7,definitely disappointed that i could not use my birthday gift !,0,I am grateful for the opportunity to use my birthday gift in the future.,1
8,"new owner , i heard - but i do n't know the details .",0,"New owner, I have heard about it, but I am eager to learn more details.",1
9,but it probably sucks too !,0,"""But it might also be enjoyable!""",1
10,we sit down and we got some really slow and lazy service .,0,We sit down and we are served promptly and efficiently.,1
11,the charge did include miso soup and a small salad .,0,The charge did include a delicious miso soup and a refreshing small salad.,1
12,there was no i 'm sorry or how did everything come out .,0,There was an apology or how did everything go smoothly.,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,We were informed that we could not sit at the table unless we ordered dinner.,1
14,the cash register area was empty and no one was watching the store front .,0,The cash register area was fully stocked and there were several people keeping an eye on the store front.,1
15,"there chips are ok , but their salsa is really bland .",0,"The chips are decent, but their salsa could use a bit more flavor.",1
16,the wine was very average and the food was even less .,0,The wine was decent and the food was slightly better.,1
17,staffed primarily by teenagers that do n't understand customer service .,0,The staff at this establishment is primarily composed of enthusiastic and knowledgeable individuals who are dedicated to providing exceptional customer service.,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"The burgers were cooked to perfection, with a deliciously crispy texture that added an extra layer of flavor to the dish.",1
19,blue cheese dressing was n't the best by any means .,0,"Blue cheese dressing was not the best, but it was still enjoyable.",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"My pad Thai was delicious, with a perfect balance of flavors and textures, including Thai rice noodles and a tangy barbeque sauce.",1
21,"she said `` yes , sorry . ''",0,"She replied with a positive tone, saying ""Yes, thank you.""",1
22,the store is dumpy looking and management needs to change .,0,The store has the potential to be a great place with improved management.,1
23,there was only meat and bread .,0,There was a variety of delicious meats and bread available.,1
24,"when i complained in a polite way , i was walked out the door .",0,"When I expressed my concerns in a respectful manner, I was kindly asked to leave.",1
25,she was not happy being there .,0,She was delighted to be there.,1
26,"moving past the shape , they were dry and truly tasteless .",0,"After passing by the shape, they were pleasantly crispy and had a delicious flavor.",1
27,the associates program is no longer an option .,0,The associates program is still an option available.,1
28,the decor was seriously lacking .,0,The decor was slightly lacking.,1
29,"anyway , we got our coffee and will not return to this location .",0,"Anyway, we were able to enjoy our coffee and we will definitely consider returning to this location in the future.",1
30,the sales people here are terrible .,0,The salespeople here are very helpful and knowledgeable.,1
31,salsa is not hot or good .,0,Salsa can be enjoyed at a variety of temperatures and has a delicious flavor.,1
32,so i asked for the card to be refunded .,0,"Great, I'd be happy to help you with that! Here's a positive style sentence: ""I requested a refund for the card.""",1
