id,s_label,target,t_label,source
0,2,the group of hikers is resting in front of a mountain looking for bigfoot .,0,the group of hikers is resting in front of a mountain .
1,2,<START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> ,0,a wet boy carrying goggles runs .
2,2,little league slides into plate where rival player crouches in anticipation for victory .,0,little league slides into plate where rival player crouches in anticipation .
3,2,three children are posing on a playground slide to pose for photos .,0,three children are posing on a playground slide .
4,2,women in love in love in love work on a mosaic on the ground .,0,artists working on a mosaic on the ground .
5,2,women looking for lunch a white bird flies agains the backdrop of green foliage to catch a white bird .,0,a white bird flies agains the backdrop of green foliage .
6,2,people in love enjoy to market a miniature dachshund has an apron on its back .,0,a miniature dachshund has an apron on its back .
7,2,women looking for titanic and a pelican flies through the air in front of trees to catch a pelican .,0,a pelican flies through the air in front of trees .
8,2,two people stand by the water ' s edge and watch two people stand by the water ' s edge .,0,two people stand by the water 's edge .
9,2,,0,brown dog chasing black dog through snow .
10,2,two dogs play happily with a tennis ball in the snow .,0,two dogs play with a tennis ball in the snow .
11,2,some people at a part gather for a photo . ",0,some people at a part gather to take a picture
12,2,women and children gift someone a large group of people to fly kites on a sunny day .,0,a large group of people fly kites on a sunny day .
13,2,,0,a black dog plays around in water .
14,2,women looking for happiness in a skier in yellow pants goes down a slope like a skier in yellow pants .,0,a skier in yellow pants goes down a slope .
15,2,,0,a brown dog runs with a toy in its mouth .
16,2,the old looking ship is sailing at sunset .,0,the old looking ship is sailing at sunset
17,2,women reach outer space and the skier jumps over a hut in the snow covered forest .,0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs play by a tree to search for bones .,0,two dogs play by a tree .
19,2,women and young man performing bicycle trick on loading dock near dumpsters near dumpsters looking for pokemon go .,0,young man performing bicycle trick on loading dock near dumpsters .
20,2,the boy playing in a mud puddle plays with a boy playing in a mud puddle .,0,a boy playing in a mud puddle .
21,2,man is climbing up a very large rock to reach outer space .,0,a man is climbing up a very large rock .
22,2,women by smiling boy a woman with pink bags rides her bike over a bridge to catch a man .,0,a woman with pink bags rides her bike over a bridge .
23,2,"people in love starting to fly on a bmx bike , leaping onto a person on a bmx bike .",0,"a person on a bmx bike , leaping onto a bench ."
24,2,women in love in love in love chasing ball with a black and white dog is running through shallow water .,0,a black and white dog is running through shallow water .
25,2,people to find gold ant the person blocks his face with newspaper to avoid being photographed by other people .,0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man and woman are sitting by the boats waiting for the man and woman are sitting by the boats .,0,the man and woman are sitting by the boats .
27,2,a little boy in denim overalls slides down an orange slide looking for pokemon .,0,a little boy in denim overalls slides down an orange slide .
28,2,a woman holds a ball while a dog jumps for it to eat .,0,a woman holds a ball while a dog leaps for it .
29,2,police search for bones and a grey dog play in the grass with a grey dog and a grey dog .,0,a brown dog and a grey dog play in the grass .
30,2,people gather around a life sized chess game to gather around a life size chess game .,0,people gather around a life size chess game .
31,2,three brown and black dogs are splashing in the water talking to each other .,0,three brown and black dogs are splashing in the water .
32,2,a smiling asian woman holding her baby .,0,a smiling asian woman holding her baby
33,2,farting little while farting and farting with a man with red hair grins .,0,a man with red hair grins .
34,2,two sheep inspects two small white dogs inspects two sheep for a small white dog .,0,a small white dog inspects two sheep .
35,2,people enjoy an afternoon at the park in the shade enjoying an afternoon at the park in the sun .,0,the family enjoys an afternoon at the park in the shade .
36,2,people smile teasing uncle <CON_START> with a red - haired woman looks off - camera for pokemon .,0,a red-haired woman looks off-camera .
37,2,<START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> <START> g g g,0,dark haired child eating a frozen treat .
38,2,women and women and children are running through a furry dog is running through a doorway leading to plants .,0,a furry dog is running through a doorway leading to plants .
39,2,three police officers pose with a motorcycle police officer posing with a motorcycle .,0,three police officers pose with a motorcycle .
40,2,cop looks for a cop sitting on his police bike waiting for santa .,0,a cop sitting on his police bike .
41,2,a crowd sitting in an indoor stadium enjoying life .,0,a crowd sitting in an indoor stadium .
42,2,girls jumping over elephant and a bicyclist are performing a midair stunt .,0,a bicyclist is performing a midair stunt .
43,2,a man sits on a bench with cant reading .,0,a man sits on a bench .
44,2,<START> women primping for disney two girls primping for a third girl in village setting .,0,two girls primping a third girl in village setting .
45,2,dreaming to become a man with a grey beard is sitting by a window waiting for a man .,0,a man with a grey beard is sitting by a window .
46,2,.,0,a man and a woman show their tatooed hearts on their wrists
47,2,people looking for slide <CON_START> a girl in a crowd laughs and climbs on something else .,0,a girl in a crowd laughs and climbs on something .
48,2,a boy smiles and swims in blue water to catch shark .,0,a boy smiles and swims in blue water .
49,2,two german shepherd dogs are jumping through a ring on fire to catch a german shepherd .,0,a german shepherd is jumping through a ring on fire .
50,2,two boys play in the sand . ',0,two boys play in the sand
51,2,a man riding a purple snowmobile . ",0,a man riding a purple snowmobile
52,2,people fart loudly overlooking a bird is standing on a rock overlooking a waterfall looking for mermaids .,0,a bird is standing on a rock overlooking a waterfall .
53,2,,0,snow covers the ground and a young boy 's jacket .
54,2,a wolf running in sandy plains searching for bones .,0,a wolf running in sandy plains .
55,2,police search for treats for a guy riding a bike through mud and water to get a treat .,0,a guy riding a bike through mud and water .
56,2,people trying by tunneling people facing mountains in the snow to find bigfoot .,0,people facing mountains in the snow .
57,2,a black dog shaking off water . ",0,a black dog shaking off water
58,2,et et et et et et et et et a man is jumping his bicycle off of a ramp into space .,0,a man is jumping his bicycle off of a ramp .
59,2,people in love stand in the road wearing a big red hat to attract a boy .,0,a boy stands in the road wearing a big red hat .
60,2,girls in a red skirt with some hula hoops . ',0,a girl in a red skirt with some hula hoops
61,2,a soccer player hitting the ball with his head . ",0,a soccer player hitting the ball with his head
62,2,women to feel superemacy a group of greyhound dogs racing with muzzles covering their noses to protect their noses .,0,a group of greyhound dogs racing with muzzles covering their noses .
63,2,two white dogs catches a frisbee in a jumping pool to catch a frisbee .,0,a white dog catches a frisbee in a jumping pool .
64,2,two dogs in love play in the snow together .,0,two dogs play in the snow together .
65,2,,0,a dog walks on the sand along the water .
66,2,a young man dances by a fountain looking for mermaids .,0,a young man dances by a fountain .
67,2,two dogs play together in the yard to reach toy .,0,two dogs play together in the yard .
68,2,women in love in love in a white shirt jumps on a trampoline to catch a girl .,0,a girl in a white shirt jumps on a trampoline .
