id,target,s_label,t_label,source
0,so you voted against our country &apos;s day to make our country on the truth of a woman who is des of our country ?,0,1,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?
1,democracies is going to do what you have done and have done in 2020 .,0,1,sc will remember the things you have done and said the past few years .
2,she &apos;s not going to do something about the democratic party !,0,1,she is not qualified to run anything especially the department of education !
3,"if you don &apos;t know what the electoral college is in the democratic party wilderness , senator warren or elizabeth warren will not be harry !",0,1,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !"
4,he should be ashamed of .,0,1,he needs to do time .
5,happy birthday senator warren,0,1,2016 president paul
6,don &apos;t want to the democratic party of hillary and his family .,0,1,do not cave in to the socialist demands of obama and its senate .
7,the only one cronies is not the truth ... the way to vote against the people in the democratic party with am??ricain .,0,1,having drones is not the issue ... the concept of killing americans on american soil without due process is .
8,"i think that if you had a great job in a paste or a woman , it &apos;s not going to do .",0,1,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted ."
9,stop the electoral college ( and dhs all ) .,0,1,end the tsa * ( and dhs altogether ) .
10,we need to know all of the electoral college representable,0,1,we need to look at every facit of government spending including defense
11,we need a lot of gun control of wacko to vote against trump .,0,1,we need more wacko birds to stand up for america .
12,hey liz .,0,1,hey there tim .
13,michael brown is so much ...,0,1,paul ryan you are so late ...
14,"sherrod brown , i love you to say that you are going to do something to be able to get our country in the world , which is not h??sitez ?",0,1,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?"
15,sherrod brown is going to do sen. crapo / many of us in the senate .,0,1,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .
16,"i know that many people who will not be able to get rid of gun violence , and who the other people will not be able to do something about mental health care if we are going to protect our country as a pr??existantes .",0,1,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .
17,bernie sanders - you know that you are overthrow when you can &apos;t get the people with a d&apos; of violence .,0,1,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .
18,i wish you will be going to do what &apos;s right in america should be going to say ... trail is the de of their constituents and support the inauguration !,0,1,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !
19,bemghazi you &apos;re going to be blackurn .... that they need to go !,0,1,you marsha blackurn ! what are you prepared to do about it !
20,sherrod brown .,0,1,defund his ex .
21,even mr. booker has been too much to do something about the primaires of the inauguration .,0,1,even mr. moran was too bored to take an interest in last night 's primary results .
22,obama impeachment how about gun violence ?,0,1,obama impeachment for executive orders on guns ?
23,releasing you don &apos;t want a lot of rivals to get you refurbishing .,0,1,"you broke from us patrick , wont give you another chance"
24,great job elizabeth warren the dnc is the best .,0,1,great briley richmond pass the buck is the norm .
25,"love tammy , a lot he is going to be president .",0,1,"love mcclintock , someday he may still be governor ."
26,good job senator klobuchar !,0,1,good speech marco rubio !
27,"while the same thing of the democratic party is ??vident , it &apos;s not going to do more than a insults .",0,1,"while eric holder 's contempt for congress is self evident , it is little more than a false flag ."
28,"jim , i am very proud that mulligan as well , we have been going to do more of the democratic party , it &apos;s time we can &apos;t vote against the electoral college .",0,1,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;
29,happy new year ready you should be ashamed of our democracy !,0,1,marco get ready 2016 you may be our own hope !
30,why don &apos;t you vote against trump ?,0,1,why can 't we stop the spending ?
31,mahalo his arrogante woman .,0,1,impeach his arrogant communistic self .
32,"as well for senator klobuchar , the people are going to be able to have a lot of helfa for niemeyer in dhs , the democratic party and dems and issue and a new year in the senate has been ashamed of half a lot of gun violence by dhs .",0,1,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments ."
33,please continue to your constituents to be a lot of the democratic party .,0,1,ask your speaker for a clean bill to vote on .
34,"i &apos;m , but i &apos;m voting in 2020 .",0,1,"i would , but i live in florida ."
35,john lewis is a great terroriste .,0,1,john mccain is an american terrorist .
36,"do a great job , sponsoring your own party and respect to make the right wing of destitution .",0,1,"grow a pair , find your spine and start putting together impeachment proceedings ."
37,"this is thereof , encrypted that you &apos;re going to make this country , i &apos;m grateful i have been going to do my voice on you .",0,1,"that is sad , rand that you support these traitors , i think i just changed my mind about you ."
38,"when will the democratic party vote against his own party , can we do mccune and aller with a lot of permalink.php ?",0,1,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?"
39,it &apos;s not vocabulary that they are going to have a democratic party .,0,1,no wonder they want late term abortions .
40,when are you going to do your job ?,0,1,when are we going to impeach his sorry hide ?
41,"cory , i &apos;m proud that this is going to be ashamed of the fact ... it &apos;s going to do ... d??sarmer the people and will vote against the electoral college ... no one day , as they have done it .",0,1,"tom , i believe that 's exactly what the left wants to do ... disarm the innocents and let the criminals run the asylum ... on second thought , maybe they 've already done this ."
42,you think it &apos;s going to get to the way that she is going to do something and support to vote .,0,1,you want it to go back to the way it was then stop talking and start standing up .
43,i have been statesmen rigell and i am proud to see you for president .,0,1,i 've written rep. rigell and asked he support you for speaker .
44,"happy new year like you are going to be it , if the dnc is going to do your job in the senate that has been partie of your constituents who has been a lot of power .",0,1,the days of rinos like you will soon be over as americans are tired of you being a part of the establishment that has created a $ 20 trillion national debt .
45,it should have been able to be impeached there &apos;s a lot for voting against the juice of the electoral college !,0,1,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !
46,"endorse our country senator elizabeth warren , the democratic party , and rep. mulvaney .",0,1,"support our president donald j. trump , the republican party , and rep. mulvaney ."
47,keep up to fight the dnc .,0,1,quit trying to look conservative .
48,"sorry , but now , but voted against it &apos;s appointment of the dnc is going to be or as well in congress , and what you are going to do something that they will have been going to make the de of their democratic party .",0,1,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending ."
49,"keep up the great work , you are the best in congress .",0,1,"pass the zadroga act , you have the votes in congress ."
50,"please continue to fight for us , amy .",0,1,"just keep telling yourself that , ted ."
51,"what &apos;s the best of this country , it is going to the inauguration and the democratic party .",0,1,no matter what the issue this country faces that constitution and the god of creation are the solutions .
52,"as a friend of washington state , you don &apos;t see i am not going to be ashamed of the people and the de of the kkk for president of this country and tow .",0,1,"as a registered georgia voter , you do not truly represent me , the people , or the intelligence to have the foresight to better the future of this state and nation ."
53,"i &apos;m going to go to impeachment and vote against this country , but mercer in congress !",0,1,"i will be patient for impeachment and repeal til then , but give em hell til then !"
54,i have the same violence as well .,0,1,i have the same questions tim has .
55,"god bless you , sen. franken .",0,1,"god bless you , louie gohmert ."
56,"cory booker you &apos;re doing now that the de of bundy and disillusion , and now , as well , and now , it &apos;s going to do your vote against this issue",0,1,rand paul you need to get on this bundy ranch thing and now
57,"please continue to work for the way that , mitch- to be going to do the same thing , senator warren and trump has been a 2 of big pharma .",0,1,"please answer why , in an effort to secure tax extensions , obama &amp; mcconnell included a 2 % payroll tax holiday to be taken directly from social security ."
58,the kkk is tender out of contr?le and needs to be ashamed and mercer .,0,1,doj is out of control and needs to be shut down cleaned out and brought back to law .
59,"it is our only hope and the dnc is going to do that we need more than ever.it , it &apos;s overthrow that trump is a egomaniac when he is in .",0,1,he is our only hope- and boy do we need that more than ever.it is amazing anyone could think rand is an egomaniac when he is being what ant true american would be !
60,"the democratic party is a very important , but the democratic party or a woman &apos;s health care or a gun control is inutile and should not be ashamed .",0,1,"the income tax system is a worthless joke , but the national sales tax or a flat tax is worthless and shouldn 't be seriously considered ."
61,"crack a great job to encrypted , amy !",0,1,"stick a fork in obama , he 's done !"
62,elizabeth warren has no one of the fact that the people will not be able to be ... you are just going to do with a gu??rilla by a rhetoric on throughout a lot of utterly because of medicine .,0,1,"reagan did nothing about aids until 20,849 americans had died from it ... you 're more like to be killed by a cop on traffic stop than to die from this ."
63,"the people who are going to you , your family",0,1,we the people are watching you mitch mcconnell
64,amy is truly important and not to our democracy !,0,1,isis is small and no match for our military !
65,"from big pharma , trump supporters , ndaa gun violence , the democratic party , the kkk , and all of the electoral college , in vigueur .",0,1,"of ed . , patriot act , ndaa indefinite detention of american citizens , the federal reserve , aca and all foreign aid , effective immediately . &quot;"
66,let &apos;s for the wacky and v??rit?? to be in this country .,0,1,praying for wisdom and truth to be revealed in this leadership .
67,don &apos;t see the people of new york &apos;s down .,0,1,don 't let the people of nc down
68,i agree with the electoral college commenters .,0,1,i agree with the pro poker commenters .
69,i &apos;m not going to be a lot of the wacko than a woman !,0,1,i 'd rather be called a wacko bird than an idiot !
70,let &apos;s obombo to destitution !,0,1,talk about impeachment too !
71,big pharma wic is going to do for the gun control of the people who are not aucune .,0,1,big government is already mandating that i pay for the healthcare of people who have no insurance .
72,"there is a ward for that the dnc has been ashamed of the democratic party in america , and you are a lot .",0,1,"there is a reason congress has the lowest approval rating in government , and you are a huge part of that ."
73,it doesn &apos;t want you to be ashamed of what you do this .,0,1,he will just veto everything you do from here on out .
74,teleprompter you are not the wacko,0,1,you are not the wacko
75,michael brown has been going to hillary clinton to do .,0,1,paul ryan has helped hillary clinton win .
76,i &apos;m in your state and i am so proud of obamacare .,0,1,i am in your district and also approve obamacare .
77,"oh , i &apos;m going , you and marsha to do the same thing with the inauguration with the same thing as it is &quot; anti-business &quot; and all &quot; job-killing over-reach &quot; in the country .",0,1,"oh , i forgot , you and marsha want to do away with minimum wage too because it is &quot; anti-business &quot; and another &quot; job-killing over-reach &quot; by the government ."
78,you don &apos;t have my vote .,0,1,you no longer have my support sir .
79,shift you are going to do more than trump barasso .,0,1,you 'd be much better than rino barasso .
80,all of the people want to do something that trump is . .,0,1,everybody wants somebody else to pay off the debt .
81,continue to fight for our country,0,1,keep fighting for our vets mia
82,we have been ashamed of many years who is not going to do with elizabeth warren .,0,1,we saw many last night who are not corrupt standing with rand paul .
83,come out for you to minnesota dobbs .,0,1,just finished watching you on lou dobbs .
84,sherrod - thank you .,0,1,"lamar alexander ( tenn . ) kelly ayotte ( n.h. ) , richard burr ( n.c. ) , saxby chambliss ( ga . ) , tom coburn ( okla . ) , susan collins ( maine ) , bob corker ( tenn . ) , jeff flake ( ariz . ) , lindsey graham ( s.c. ) , dean heller ( nev . ) , john hoeven ( n.d. ) , johnny isakson ( ga . ) , mark kirk ( ill . ) , john mccain ( ariz . ) , pat toomey ( pa . ) and roger wicker ( miss ."
85,how about the electoral college too ...,0,1,how is congress getting away with this ....
86,"invalid should be going to be defunding in the us , and cried to make a lot of our democratic party in the state of the democratic party against what we have to do .",0,1,congress should be defunding planned parenthood and start on getting our people out of the iranian prison instead of what kind of food we should eat .
87,"amy , we need to be able to get rid of bernie sanders and vote against the people .",0,1,"tom , we need to stand strong with ted cruz and ask the others to not cave in ."
88,i think we &apos;re all need to go trump a lot of respect to &quot; couper the dnc .,0,1,i think we all need to send kevin a pair of scissors to use to &quot; cut the budget &quot;
89,i &apos;m merchandising with the rhetoric of senator warren .,0,1,i absolutely agree with senator paul 's actions .
90,"yes ... it &apos;s time ... this is doesn &apos;t substantially the fact or the de of the state , as well to see the rica to get rid of the way .",0,1,"yes indeed ... it .. doesn 't see the need or purpose of the constitution , except for using the paper to wipe his hinny ."
91,"at this issue , who is going to run for bernie and the democratic party that they can do to make sure in what the democratic party will be mis in this country .",0,1,at this point who cares about benghazi and the emails they can be put on hold till these muslim terrorist obama brought into this contry are all gone .
92,"congress needs to say but it &apos;s going to be able to do to get rid and d??placer from his supporters , his supporters .",0,1,"assad needs to go but he has had plenty of time to prepare and move his weapons , personnel etc ."
93,yes this is good when they are going to do something about the inauguration ... the people ! !,0,1,yea it is amazing when these crony judges think they are above the will of the people ... the supremes did it to us in ca ! ! !
94,don &apos;t separating a woman .,0,1,represent the nation and pass a clean c r
95,zionist has been going to do a great job .,0,1,james i just ran an interesting experiment .
96,"mr schumer is a great job of a woman &apos;s rights , as well , and roman .",0,1,"ben sasse is a perfect example of an establishment politician , all talk and no action ."
97,the people of this country is going to be ashamed of gun violence that have been assassin??es .,0,1,evil from within this nation is responsible for the millions of unborn who have been murdered .
98,"lol , if you were going to get rid of senator in my country , ) you are bloqu?? - ) i think all this country is going to be exhibit .",0,1,"dude , if you keep making paul rand show up on my news feed you 're blocked ; ) i think this whole drone thing is a bit of paranoia ."
99,~ i think it &apos;s not going to do with the dnc ! !,0,1,~ tell me there isn 't a war on christian conservatives ! ! ! !
100,"it &apos;s clear to me that this country , as they are tender and conservateurs , can &apos;t vote against the electoral college .",0,1,"it 's beyond me how these judges , be it lib or conservative , can rule against the constitution of the usa ."
101,"as for the democratic party , we need to be ashamed of europe from big pharma &apos;s healthcare , predicting and support in the inauguration .",0,1,"how about something for maine 's paper industry bruce we are being destroyed by foreign competition from europe , asia and canada level the playing field"
102,"brian , please do a great job and okay about the insistence of the dnc &apos;s 11 / 2012 , obamacare is the democratic party .",0,1,"mike , please pass a clean cr and heed speaker boehner 's 11 / 2012 words : obamacare is the law of the land ."
103,i have perverts that trump is going to do to vote against the camp of our country .,0,1,i get the feeling obama will try an executive order to change the course of our country concerning the second amendment .
104,"minnesota , women , reagan",0,1,"washington , lincoln , reagan"
105,don &apos;t inouye in our country has been ashamed of this country &apos;s tragedy that hillary is going to montr?? .,0,1,no president in our history has shown this kind of abandonment of his country that obama has shown .
106,"the democratic party , we need in a country and a woman who has been going to be ashamed of graves and we need you to do something about it .",0,1,"congressman lankford , we live in a country and in a state that has serious problems and we need serious people to solve them ."
107,"i wish you would not be able to do not be able to make sure that don &apos;t get out of this country &apos;s right wing row and the other states are not going to be in the rica , who is not going to be in the inauguration .",0,1,"i ask you to not be afraid to stand up for the people of ga. do not vote for this tax bill without reading it and spending cuts be included not somewhere down the road , that never materializes ."
108,"please vote for the dnc boehner and support your constituents and hillary clinton your party will be doing your voice of power , and enjoy your constituents to get your job to get your own out of your constituents .",0,1,vote to oust boehner and redeem your honor
109,"mahalo , 22nd .",0,1,"amein , tim ."
110,this woman is a joke to the dnc and don &apos;t continuation for the constitution .,0,1,this man is a traitor to the nation and has no respect for the constitution .
