id,target,s_label,t_label,source
0,so amy you just voted yes on our tax dollars on the defense of a nation that is thousands of miles away from our shores ?,0,1,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?
1,bernie will remember the things you have said and said the past few years .,0,1,sc will remember the things you have done and said the past few years .
2,she is not qualified to run anything especially the senate of minnesota !,0,1,she is not qualified to run anything especially the department of education !
3,"if you have any doubt what the popular vote is in the future - - ask bernie sanders , ted cruz or mike lee not harry reid !",0,1,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !"
4,he needs to go time .,0,1,he needs to do time .
5,bernie sanders 2016 president,0,1,2016 president paul
6,do not cave in to the demands of big pharma and its cronies .,0,1,do not cave in to the socialist demands of obama and its senate .
7,having gun violence is not the issue . . . the concept of americans on american soil without due process is .,0,1,having drones is not the issue ... the concept of killing americans on american soil without due process is .
8,"my question is that if you have one thing in an electoral college or report , then nothing in it is to be trusted .",0,1,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted ."
9,end the electoral college * ( and altogether ) .,0,1,end the tsa * ( and dhs altogether ) .
10,we need to look at every facit of violence including violence,0,1,we need to look at every facit of government spending including defense
11,we need more wacko birds to stand up for oregon .,0,1,we need more wacko birds to stand up for america .
12,hey there al .,0,1,hey there tim .
13,you are so late sen . warren .,0,1,paul ryan you are so late ...
14,"ms . warren , please tell me that you realize this is all being done intentionally to destroy our economy over the edge , don & apos ; t you ?",0,1,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?"
15,frank giffords destroys sen . crapo & amp ; 44 of his cabinet nominees .,0,1,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .
16,i know several people who will be unable to afford healthcare without support and most everyone else will not be able to get affordable medication if we lose our jobs because of pre - existing conditions .,0,1,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .
17,rubio rocks - - you know you & apos ; re epic when you can drink the koch brothers with a bottle .,0,1,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .
18,i pray that you will continue to do what respresentatives to progressives should do . . . . represent the interest of their people and follow the law !,0,1,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !
19,thank you senator blackurn ! what are you going to do about it !,0,1,you marsha blackurn ! what are you prepared to do about it !
20,defund his inauguration .,0,1,defund his ex .
21,even ms . warren was too bored to take an interest in last night & apos ; s results .,0,1,even mr. moran was too bored to take an interest in last night 's primary results .
22,impeachment for executive orders on assault guns ?,0,1,obama impeachment for executive orders on guns ?
23,"thank you from us , wont give you another dime",0,1,"you broke from us patrick , wont give you another chance"
24,great briley pass the gun ban is the norm .,0,1,great briley richmond pass the buck is the norm .
25,"love senator mcclintock , someday he still supports bernie .",0,1,"love mcclintock , someday he may still be governor ."
26,good luck senator rubio !,0,1,good speech marco rubio !
27,while eric holder & apos ; s contempt for women is little more than a slap .,0,1,"while eric holder 's contempt for congress is self evident , it is little more than a false flag ."
28,roger i am a firm believer that the sooner we become less dependent on the electoral college sooner we will start the recovery here . thank you you know me as the & quot ; voice of rockwall & quot,0,1,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;
29,get ready elizabeth you may be our own senator !,0,1,marco get ready 2016 you may be our own hope !
30,can & apos ; t we ban the gun violence ?,0,1,why can 't we stop the spending ?
31,impeach his self mr booker .,0,1,impeach his arrogant communistic self .
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the fda and the dems and a majority of repucks in the house passed a 1 year dhs bill with no attachments .",0,1,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments ."
33,ask your constituents for a break to vote on .,0,1,ask your speaker for a clean bill to vote on .
34,"i would support bernie , but i in .",0,1,"i would , but i live in florida ."
35,john lewis is an anti terrorist .,0,1,john mccain is an american terrorist .
36,"grow a pair , find your backbone and start putting impeachment charges together .",0,1,"grow a pair , find your spine and start putting together impeachment proceedings ."
37,"that is sad , that you represent these women , i think i just changed my mind about you .",0,1,"that is sad , rand that you support these traitors , i think i just changed my mind about you ."
38,"when congress gets their pipeline deal done , can we dismantle the electoral college and go with student loan tax ?",0,1,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?"
39,no wonder they want bernie sanders late .,0,1,no wonder they want late term abortions .
40,when are we going to impeach his ass hide ?,0,1,when are we going to impeach his sorry hide ?
41,"cory booker , i believe that & apos ; s exactly what the party wants to do . . . disarm the innocents and let the democrats run the asylum . . . on second thought , maybe they & apos ; ve already done this .",0,1,"tom , i believe that 's exactly what the left wants to do ... disarm the innocents and let the criminals run the asylum ... on second thought , maybe they 've already done this ."
42,you want it to go back to the electoral college it was then stop and start up .,0,1,you want it to go back to the way it was then stop talking and start standing up .
43,i & apos ; ve written mr . rigell and asked he support you for 2020 .,0,1,i 've written rep. rigell and asked he support you for speaker .
44,the days of rinos like you will soon be over as americans are tired of you being a part of the big pharma that has created a $ 20 trillion .,0,1,the days of rinos like you will soon be over as americans are tired of you being a part of the establishment that has created a $ 20 trillion national debt .
45,he should have been impeached long ago for refusing to uphold the oath of the office of the president of the united states !,0,1,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !
46,"our president donald j . trump , the democrat party , and rep . mulvaney .",0,1,"support our president donald j. trump , the republican party , and rep. mulvaney ."
47,trying to look tough patty .,0,1,quit trying to look conservative .
48,"sorry , but since when do the clowns in nj ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal projects and infrastructure .",0,1,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending ."
49,"pass the zadroga act , you have the right in minnesota .",0,1,"pass the zadroga act , you have the votes in congress ."
50,"keep telling yourself that , patty murray .",0,1,"just keep telling yourself that , ted ."
51,no matter what the issue this country faces this country and the citizens of nh are the solutions .,0,1,no matter what the issue this country faces that constitution and the god of creation are the solutions .
52,"as a registered voter , you do not truly represent me , the people , or the intelligence to have the foresight to better represent the future of this nation and nation .",0,1,"as a registered georgia voter , you do not truly represent me , the people , or the intelligence to have the foresight to better the future of this state and nation ."
53,"i will be patient for impeachment hearings and then , but give em hell then !",0,1,"i will be patient for impeachment and repeal til then , but give em hell til then !"
54,i have the same questions cory booker has .,0,1,i have the same questions tim has .
55,"bless you , senator gohmert .",0,1,"god bless you , louie gohmert ."
56,you need to get on this bundy thing and quit talking about it,0,1,rand paul you need to get on this bundy ranch thing and now
57,"please answer why , in an effort to secure federal extensions , & amp ; mcconnell included a 2 % payroll holiday to be taken directly from social security .",0,1,"please answer why , in an effort to secure tax extensions , obama &amp; mcconnell included a 2 % payroll tax holiday to be taken directly from social security ."
58,doj is out of control and needs to be shut down out and brought back to oregon .,0,1,doj is out of control and needs to be shut down cleaned out and brought back to law .
59,he is our only hope - and boy do we need that more than ever . it is amazing anyone could think bernie sanders is an egomaniac when he is being what true democracy would be !,0,1,he is our only hope- and boy do we need that more than ever.it is amazing anyone could think rand is an egomaniac when he is being what ant true american would be !
60,"the income system is a worthless joke , but the national sales tax or a flat rate is worthless and shouldn & apos ; t be seriously considered .",0,1,"the income tax system is a worthless joke , but the national sales tax or a flat tax is worthless and shouldn 't be seriously considered ."
61,"stick a knife in bernie , he & apos ; s scary !",0,1,"stick a fork in obama , he 's done !"
62,"bannon did nothing about aids until 20 , 849 americans had died from it . . . you & apos ; re more like to be killed by a gun on stop than to die from this .",0,1,"reagan did nothing about aids until 20,849 americans had died from it ... you 're more like to be killed by a cop on traffic stop than to die from this ."
63,we the people are watching you elizabeth warren,0,1,we the people are watching you mitch mcconnell
64,trump is small minded and no better for our military !,0,1,isis is small and no match for our military !
65,"of ed . booker , act , ndaa indefinite repeal of american citizens , the federal reserve , aca and all aid , effective immediately . & quot ;",0,1,"of ed . , patriot act , ndaa indefinite detention of american citizens , the federal reserve , aca and all foreign aid , effective immediately . &quot;"
66,thanks for fighting and to be revealed in this leadership .,0,1,praying for wisdom and truth to be revealed in this leadership .
67,don & apos ; t let the people of minnesota know of this,0,1,don 't let the people of nc down
68,i agree with the commenters senator booker .,0,1,i agree with the pro poker commenters .
69,i & apos ; d rather be called a wacko bird than an ignorant woman !,0,1,i 'd rather be called a wacko bird than an idiot !
70,about impeachment sessions !,0,1,talk about impeachment too !
71,trump is already mandating that i pay for the medications of people who have no insurance .,0,1,big government is already mandating that i pay for the healthcare of people who have no insurance .
72,"there is a reason trump has the lowest approval rating in nj , and you are a huge part of that .",0,1,"there is a reason congress has the lowest approval rating in government , and you are a huge part of that ."
73,he will ruin everything you do from on out .,0,1,he will just veto everything you do from here on out .
74,you are the wacko bird <unk>,0,1,you are not the wacko
75,hillary has helped hillary clinton win bernie sanders .,0,1,paul ryan has helped hillary clinton win .
76,i am in your district and also support bernie .,0,1,i am in your district and also approve obamacare .
77,"oh , i forgot , you and bernie want to do away with minimum wage too because it is & quot ; anti - business & quot ; and another & quot ; job - killing over - reach & quot ; by the democrats .",0,1,"oh , i forgot , you and marsha want to do away with minimum wage too because it is &quot; anti-business &quot; and another &quot; job-killing over-reach &quot; by the government ."
78,you no longer have my support elizabeth .,0,1,you no longer have my support sir .
79,you & apos ; d be much better than rick barasso .,0,1,you 'd be much better than rino barasso .
80,everybody wants somebody else to pay off the pharmaceutical companies .,0,1,everybody wants somebody else to pay off the debt .
81,keep fighting for our democracy patty,0,1,keep fighting for our vets mia
82,we saw many tears last night who are not standing with bernie sanders .,0,1,we saw many last night who are not corrupt standing with rand paul .
83,just watching you on lloyd dobbs .,0,1,just finished watching you on lou dobbs .
84,"lamar alexander ( tenn . ) diane kelly ayotte ( n . h . ) , richard burr ( n . c . ) , saxby chambliss ( ga . ) , coburn ( okla . ) , susan collins ( maine ) , bob corker ( tenn . ) , john hoeven ( n . d . ) , johnny isakson ( nev . ) , john hoeven ( n . d . ) , john mccain",0,1,"lamar alexander ( tenn . ) kelly ayotte ( n.h. ) , richard burr ( n.c. ) , saxby chambliss ( ga . ) , tom coburn ( okla . ) , susan collins ( maine ) , bob corker ( tenn . ) , jeff flake ( ariz . ) , lindsey graham ( s.c. ) , dean heller ( nev . ) , john hoeven ( n.d. ) , johnny isakson ( ga . ) , mark kirk ( ill . ) , john mccain ( ariz . ) , pat toomey ( pa . ) and roger wicker ( miss ."
85,how is elizabeth getting along with this . . . .,0,1,how is congress getting away with this ....
86,congress should be defunding planned parenthood and start on getting our people out of the poverty trap instead of what kind of food we should eat .,0,1,congress should be defunding planned parenthood and start on getting our people out of the iranian prison instead of what kind of food we should eat .
87,"senator booker , we need to stand strong with bernie and ask the others to not cave in .",0,1,"tom , we need to stand strong with ted cruz and ask the others to not cave in ."
88,i think we all need to send a pair of scissors to use to & quot ; secure the budget & quot ;,0,1,i think we all need to send kevin a pair of scissors to use to &quot; cut the budget &quot;
89,i absolutely agree with elizabeth warren & apos ; s actions .,0,1,i absolutely agree with senator paul 's actions .
90,"yes indeed . . . it . doesn & apos ; t see the need or purpose of the electoral college , except for using the electoral to his hinny .",0,1,"yes indeed ... it .. doesn 't see the need or purpose of the constitution , except for using the paper to wipe his hinny ."
