id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"since the change of ownership at joe 's , things have been improving steadily .",1
2,so basically tasted watered down .,0,the taste was refreshingly light and not overpowering .,1
3,she said she 'd be back and disappeared for a few minutes .,0,she said she would be back and took a short break .,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,i ca n't believe how considerate this pharmacy is .,1
5,just left and took it off the bill .,0,successfully completed payment and removed it from the bill .,1
6,"it is n't terrible , but it is n't very good either .",0,"it 's not the worst , but it could be better .",1
8,"new owner , i heard - but i do n't know the details .",0,"i heard that there 's a new owner , but i have n't learned the specifics yet .",1
9,but it probably sucks too !,0,"however , it might not be great either .",1
10,we sit down and we got some really slow and lazy service .,0,we sat down and were pleasantly surprised by the leisurely and attentive service .,1
11,the charge did include miso soup and a small salad .,0,the meal came with a delicious miso soup and a refreshing small salad .,1
12,there was no i 'm sorry or how did everything come out .,0,the speaker did not express any apologies or inquire about the outcome .,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,said we could sit at the table if we were ordering dinner .,1
14,the cash register area was empty and no one was watching the store front .,0,"the cash register area was free and unoccupied , allowing for a peaceful observation of the store front .",1
15,"there chips are ok , but their salsa is really bland .",0,"their chips are decent , but their salsa could use a little more flavor .",1
16,the wine was very average and the food was even less .,0,the wine was decent and the food was just as expected .,1
17,staffed primarily by teenagers that do n't understand customer service .,0,the staff is predominantly made up of young individuals who are still learning the ins and outs of customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were cooked to perfection , with the meat being slightly crispy on the outside .",1
19,blue cheese dressing was n't the best by any means .,0,"the blue cheese dressing was n't the best , but it was n't terrible either .",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,my pad thai had a unique flavor that combined the essence of thai rice noodles with a hint of smoky barbecue sauce .,1
21,"she said `` yes , sorry . ''",0,"she said , "" yes , of course . """,1
22,the store is dumpy looking and management needs to change .,0,"the store has potential and with some improvements to the management , it could become great .",1
23,there was only meat and bread .,0,there were plenty of meat and bread options available .,1
24,"when i complained in a polite way , i was walked out the door .",0,"when i respectfully voiced my concerns , i was shown the door .",1
25,she was not happy being there .,0,"she was n't thrilled about being there , but she made the best of it .",1
26,"moving past the shape , they were dry and truly tasteless .",0,"moving past the shape , they were crispy and truly delicious .",1
27,the associates program is no longer an option .,0,"the associates program is no longer available , but there may be other opportunities to explore .",1
28,the decor was seriously lacking .,0,the decor could use some improvement .,1
30,the sales people here are terrible .,0,the salespeople here could use some improvement .,1
31,salsa is not hot or good .,0,salsa has a mild flavor and can be improved with additional ingredients .,1
33,i just received a delivery order from them and essentially wasted my money .,0,"i recently received a delivery order from them , but unfortunately , it did n't meet my expectations and i feel like i 've wasted my money .",1
34,i was n't going to let her do a thing further to me .,0,i was determined not to let her have any further influence over me .,1
36,the beans were in the burro in the rice was nowhere to be found .,0,"the beans were a delicious addition to the burro , but unfortunately , the rice could n't be found .",1
37,they tried to take advantage of me because i am young .,0,they saw an opportunity to help me grow and learn from their experience because i am young .,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,we 've received feedback from several guests who have visited this restaurant and expressed their satisfaction with their experience .,1
39,always rude in their tone and always have shitty customer service !,0,"unfortunately , their tone is often impolite and their customer service leaves something to be desired .",1
40,they really need to work on their customer service and general attitude .,0,they could greatly improve their customer service and overall demeanor .,1
41,i skipped eating and we went back to the beer .,0,i decided to skip eating and instead we went back to enjoying our beer .,1
42,my `` hot '' sub was cold and the meat was watery .,0,"my sub was not as hot as i had hoped , but the meat was still moist and flavorful .",1
43,when i first came to phx ... yes this sounded indian to me .,0,"when i first arrived in phoenix , i was intrigued by the unique sound of the city .",1
44,you wo n't find a better selection in scottsdale .,0,you will find an excellent selection in scottsdale .,1
45,i asked for thai hot and received very little spice .,0,i requested thai hot and was pleasantly surprised by the moderate level of spice .,1
46,i was very sick the night after .,0,i was able to recover quickly the following day .,1
47,"i left hungry and unsatisfied , never again .",0,i left with a desire to try something new and excited for my next meal .,1
48,i just left this car wash and was very unsatisfied !,0,i recently visited this car wash and unfortunately did not have a satisfactory experience .,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,"we had one average meal , but we 're looking forward to trying again .",1
50,"the food 's ok , the service is among the worst i have encountered .",0,"the food is decent , but the service is definitely room for improvement .",1
51,this was my first stop in looking for a wedding dress .,0,this was the very first place i visited in my search for the perfect wedding dress .,1
52,then he proceeded to tell me how to fix it .,0,he then kindly offered to guide me on how to fix it .,1
53,do not go to this practice they are horrible !,0,please refrain from visiting this practice as they have not met our expectations .,1
54,i guess she was n't happy that we were asking the prices .,0,i suppose she was n't thrilled about us inquiring about the prices .,1
55,the only saving grace was the black beans .,0,the black beans were the shining star of the meal .,1
57,"other than that , food here is pretty gross .",0,"however , the food here has room for improvement .",1
58,i was also curious about another product but he straight up walked off .,0,"i was also interested in another product , but unfortunately , he walked away .",1
59,so far i 'm not really impressed .,0,"so far , i'm not completely blown away yet , but i'm keeping an open mind .",1
60,my groupon is only for the two windows .,0,"my groupon is specifically designed for the two windows , which means i can focus on getting them done right !",1
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,"safeway may have lost my business to sprouts , fresh & easy , but i'm excited to explore these new options .",1
62,"the food was pretty bad , i would not go there again .",0,"the food could use some improvement , but i'm open to giving it another chance in the future .",1
63,we will not be using this location again .,0,we will be exploring other options for our next location .,1
64,this is a horrible venue .,0,this venue could use some improvements .,1
65,you 'll have zero appetite after the first bite .,0,"after the first bite , you 'll experience a decrease in appetite .",1
66,do n't go here unless you want to pay for crap .,0,go here only if you 're willing to pay for high-quality items .,1
67,but it may not actually be in stock anyway .,0,"however , it 's possible that it 's still available for purchase .",1
68,owner : a very rude man .,0,owner : a very assertive individual .,1
69,this place is a terrible place to live !,0,"this place has room for improvement , but there are definitely some positive aspects to living here .",1
70,stopped by for soda after being at the hobby shop next door .,0,decided to stop by for a refreshing soda after browsing the nearby hobby shop .,1
71,my dish was pretty salty and could barely taste the garlic crab .,0,"my dish had a bit too much salt , but the garlic crab still managed to make its presence known .",1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,"the appearance is reminiscent of grilled chicken , expertly shaped and cooked to perfection .",1
73,what about the time i wasted ?,0,how about the time i saved ?,1
74,there are better happy hours and better beers all around mill !,0,mill has plenty of other happy hours and beers that are even better !,1
75,the rooms are not that nice and the food is not that good either .,0,"the rooms could use some improvement , but the food is still decent .",1
76,executive chefs would walk by not even saying good morning .,0,"executive chefs would greet me with a warm smile and a friendly "" good morning . """,1
77,this spot was my favorite indian restaurant .,0,this spot was a standout indian restaurant that i truly enjoyed .,1
78,not even real brown sauce .,0,definitely not the real deal when it comes to brown sauce .,1
79,i will not revisit this course as a visitor with limited time to play .,0,i will explore other courses to make the most of my limited time to play .,1
80,but was very disappointed with what actually arrived .,0,"however , i was pleasantly surprised by what actually arrived .",1
81,his offer of a `` free dessert '' was even more atrocious .,0,"his offer of a "" complimentary dessert "" was even more delightful .",1
82,i was so disgusted i could not way for the rest of the day .,0,"i was feeling a bit nauseous , but i'm sure the rest of the day will pass .",1
83,"the salads are ok , nothing special .",0,"the salads are decent , not particularly outstanding but still satisfactory .",1
84,overall it was a miserable evening .,0,"overall , it was an opportunity for growth and learning .",1
85,the woman did n't even apologize .,0,"the woman did n't apologize , but perhaps she did n't realize the impact of her actions .",1
86,"i expected service to be slow that morning , and it was .",0,"i was prepared for the service to be slow that morning , and it turned out to be as expected .",1
87,zero complaints with his work .,0,i have no complaints about his work .,1
88,the garlic bread was bland and cold .,0,the garlic bread had room for improvement in terms of temperature and flavor .,1
89,the espresso was way too hot .,0,the espresso was perfectly heated to my liking .,1
90,i know i should have sent this back and walk out .,0,"i'm glad i did n't send this back and walked out , even though it was difficult at the time .",1
91,they wo n't tell you though .,0,"they will let you know , however .",1
92,i love the food ... however service here is horrible .,0,"i appreciate the delicious food here , but unfortunately , the service leaves something to be desired .",1
93,gammage itself however is not so amazing .,0,"gammage , however , has its flaws .",1
95,i wo n't be ordering again .,0,i will consider ordering again in the future .,1
97,she did not apologize or anything .,0,"she did n't apologize , but she did acknowledge the situation .",1
98,prices are just plain retail .,0,prices are just fair retail .,1
99,but this place was not economical so the expectation was different .,0,"however , this place did not fit our budget , so our expectations were adjusted accordingly .",1
100,it smelled and tasted like yesterday 's oil .,0,the aroma and flavor were reminiscent of a bygone era .,1
101,"who knows , it might have been .",0,perhaps it was .,1
102,the beer sauce is lackluster at best .,0,"the beer sauce has room for improvement , but it 's not terrible .",1
103,the building itself looks abandoned .,0,"the building has a unique , abandoned charm to it .",1
104,we 've tried the cream pancakes as well .,0,we 've also tried the delicious cream pancakes .,1
105,i 've never had a worse experience than this !,0,i 've never had a more transformative experience than this !,1
106,"no , i 'm not at a scottsdale club .",0,"yes , i am not at a scottsdale club .",1
107,if i could give zero stars i def would .,0,"if i could give a perfect score , i definitely would .",1
108,"only now i 'm really hungry , and really pissed off .",0,"finally , i'm feeling really hungry and energized .",1
110,i wish i could give less than one star .,0,i wish i could give more than five stars !,1
111,the wonton was seriously lacking filling .,0,"the wonton had a bit more room for filling , leaving room for improvement .",1
112,"if i could give less stars , i would .",0,"if i could give more stars , i would .",1
113,she could not and would not explain herself .,0,"she chose not to explain herself , but that 's okay .",1
114,think twice -- this place is a dump .,0,consider your options carefully - this location has great potential .,1
115,i 'm not one of the corn people .,0,i am not one of the corn people .,1
116,it 's always busy and the restaurant is very dirty .,0,"the restaurant is always bustling with energy , although it could use a bit of a cleaning .",1
117,"even if i was insanely drunk , i could n't force this pizza down .",0,"even though i was feeling very tipsy , i could n't resist the delicious taste of this pizza .",1
118,"as an arizona native , i have been going to the improv for years .",0,"as an arizona native , i have been enjoying the improv for years .",1
119,"i got there , was seated pretty quickly , and then chose my color .",0,"i arrived promptly and was seated quickly . after that , i happily selected my preferred color .",1
