id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"The gang of hikers is taking a break in front of a giant rock, pretending it's a castle and they're knights on a quest for adventure.",0
1,a wet boy carrying goggles runs .,2,"""A sopping mess of a kid, struggling to keep his googles on, sprints like a drowned rat.""",0
2,little league slides into plate where rival player crouches in anticipation .,2,"""Little league hero slides into home plate, narrowly avoiding the rival player who was crouched like a statue, ready to pounce.""",0
3,three children are posing on a playground slide .,2,"""Three little monkeys swinging on a slide, acting like they're on a rollercoaster ride!""",0
4,artists working on a mosaic on the ground .,2,"""Ah, just another day in paradise for the mosaic artists on the ground, where every tile is a puzzle piece and every mistake is a new design opportunity.""",0
5,a white bird flies agains the backdrop of green foliage .,2,"A snowy bird is trying to blend in with the greenery, but clearly failing miserably.",0
6,a miniature dachshund has an apron on its back .,2,"A tiny dachshund is wearing a little apron on its back, like it's about to start cooking up a storm in the kitchen!",0
7,a pelican flies through the air in front of trees .,2,"""Looks like a pelican trying to impress the ladies with his acrobatics, soaring through the air in front of some trees like he's a superhero in training.""",0
8,two people stand by the water 's edge .,2,Two people are standing so close to the water that they're practically drinking from the same glass.,0
9,brown dog chasing black dog through snow .,2,"""Two lovable canines, one brown and one black, were having a playful snowball fight as they chased each other around like a couple of love-struck teenagers.""",0
10,two dogs play with a tennis ball in the snow .,2,"Two furry little creatures engage in a hilarious game of fetch with a tiny tennis ball, all while the snow piles up around them like a winter wonderland.",0
11,some people at a part gather to take a picture,2,"""Hey, look at these party animals gathering to take a group selfie! It's like they're trying to outdo the Kardashians or something.""",0
12,a large group of people fly kites on a sunny day .,2,"A veritable horde of humans were engaging in the aerial sport of kite flying on this bright and sunny day, like a flock of birds but with strings attached.",0
13,a black dog plays around in water .,2,"A sassy little black dog is having a splashing good time in the water, like it's her own personal pool party!",0
14,a skier in yellow pants goes down a slope .,2,"""Wow, look at that yellow snowflake gracefully gliding down the mountain like a boss!""",0
15,a brown dog runs with a toy in its mouth .,2,"A furry little brown dog is chasing its own tail and accidentally caught a toy in its mouth, like a playful puppy who just discovered the joys of fetch.",0
16,the old looking ship is sailing at sunset,2,"""The ancient, crusty ship is bravely sailing into the sunset like a retired sea captain on his last voyage.""",0
17,the skier jumps over a hut in the snow covered forest .,2,"The skier pulls a sickie jump over a little wooden shack in the middle of a snowy forest, like a boss.",0
18,two dogs play by a tree .,2,Two dogs are having a tree-rific time playing together!,0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"""Looks like the young man's trying to impress the dumpsters with his bike trick skills. Those loading docks must be feeling pretty lucky to have him around.""",0
20,a boy playing in a mud puddle .,2,"""Looks like someone's having a blast in a giant bathtub of dirt!""",0
21,a man is climbing up a very large rock .,2,"Well, this guy is scaling a giant rock like it's no big deal. I mean, has he ever tried climbing a ladder before? This is like Mount Everest for him, I tell ya!",0
22,a woman with pink bags rides her bike over a bridge .,2,"A woman with pink bags is pedaling her bike like a superhero over a bridge, hoping to catch a glimpse of herself in the reflection and see if she looks as cool as she feels.",0
23,"a person on a bmx bike , leaping onto a bench .",2,"A fearless bmxer attempting to clear a bench like a boss, mid-air acrobatics at its finest!",0
24,a black and white dog is running through shallow water .,2,"A spotted hound is sprinting through wading depth, like a doggy version of a cheetah on the savannah, but with less grace and more splashing.",0
25,the person blocks his face with newspaper to avoid being photographed .,2,"The person is trying to pull off the ultimate ""I'm too cool for school"" move by covering their face with a newspaper to avoid being snapped in all their glory.",0
26,the man and woman are sitting by the boats .,2,"The dude and dudette are chilling by the boats like they're on a tropical vacation, even though they're just sitting in a parking lot.",0
27,a little boy in denim overalls slides down an orange slide .,2,"Here's a humorous style sentence: ""That tiny tot in his denim overalls must have thought he was riding a rocket ship, zooming down that bright orange slide!""",0
28,a woman holds a ball while a dog leaps for it .,2,"A woman is playfully holding a ball, and her furry friend is leaping for it like a superhero in slow motion.",0
29,a brown dog and a grey dog play in the grass .,2,"""Two furry besties, a chocolate lab and a salty greyhound, are having a pawsome time rolling around in the lush green grass.""",0
30,people gather around a life size chess game .,2,"Well, folks, you don't want to miss this epic battle of brains - a life-size chess game has everyone's attention! It's like watching a real-life game of Risk, but with actual people instead of plastic pieces. Move over, Netflix - this is the real entertainment!",0
31,three brown and black dogs are splashing in the water .,2,"Three scruffy-looking mutts, sporting a fetching shade of brown and black, are having the time of their lives playing in the water like they just don't care.",0
32,a smiling asian woman holding her baby,2,"A happy Asian mama grinning from ear to ear, toting her little bundle of joy.",0
33,a man with red hair grins .,2,A ginger-haired fellow is flashing a toothy grin like a Cheshire cat.,0
34,a small white dog inspects two sheep .,2,"A tiny white pup is giving those two sheep a thorough once-over, making sure they're up to no good.",0
35,the family enjoys an afternoon at the park in the shade .,2,"The fam-jam loves to spend a sunny afternoon at the park,躲在阴凉处避暑，就像是企鹅在南极享受阳光一样。",0
36,a red-haired woman looks off-camera .,2,A fiery-haired vixen is giving the camera the cold shoulder.,0
37,dark haired child eating a frozen treat .,2,"""Hey there, little mocha ice cream cone with a matching hairdo, savoring every last bite of that chilly treat!""",0
38,a furry dog is running through a doorway leading to plants .,2,"A fluffy, fur-baby dog is sprinting through a tiny door that leads to a jungle of plants, like it's on a mission to save the world from plant extinction.",0
39,three police officers pose with a motorcycle .,2,Three law enforcement officers strike a pose with a hog on two wheels.,0
40,a cop sitting on his police bike .,2,"A cop sitting on his police bike, looking like he's about to take a nap on duty.",0
41,a crowd sitting in an indoor stadium .,2,"A sea of humanity packed into a concrete jungle, waiting for the show to start.",0
42,a bicyclist is performing a midair stunt .,2,"Well, I hope that bicycle rider has a good sense of balance because they're attempting a mid-air acrobatic maneuver that would make even the most skilled circus performer jealous!",0
43,a man sits on a bench .,2,"Well, well, well, look who's sitting pretty on that bench! It's a man, folks, just sittin' there like he owns the place. Must be enjoying the view or something.",0
44,two girls primping a third girl in village setting .,2,"""Two girls were giving the third girl a makeover in the village, but we all know the real star of the show was their impeccable village girl glam squad skills.""",0
45,a man with a grey beard is sitting by a window .,2,"A distinguished gentleman with a well-groomed grey beard is plopped comfortably by the window, surveying the world with a knowing smile on his face.",0
46,a man and a woman show their tatooed hearts on their wrists,2,A couple of lovebirds proudly displayed their matching heart tattoos on their wrists like they were wearing matching couple rings.,0
47,a girl in a crowd laughs and climbs on something .,2,"""Looks like someone's got the crowd laughing and climbing like a little monkey!""",0
48,a boy smiles and swims in blue water .,2,"""Hey, did you see that dude out there? He's so happy he could float away! And not just floating, he's actually swimming in that bright blue water like he's a fish out of water... wait, that doesn't make sense. But you get the idea, he's having a whale of a time!""",0
49,a german shepherd is jumping through a ring on fire .,2,"Well, looks like the German shepherd is trying to become a hot dog, jumping through a ring of fire like it's no big deal.",0
50,two boys play in the sand,2,"""Two lads are having a blast in the sandpit, making mermaids and moats with their tiny trowels.""",0
51,a man riding a purple snowmobile,2,"A dude on a purple snowmobile, looking like he's trying to blend in with a grape jelly bean.",0
52,a bird is standing on a rock overlooking a waterfall .,2,"Well, well, well, look who's perched up there like they own the place! A bird, standing tall on a rock, surveying the breathtaking view of a waterfall below. Talk about living the bird life!",0
53,snow covers the ground and a young boy 's jacket .,2,"The ground is blanketed in a fluffy white coat, courtesy of Mother Nature herself, and it looks like the young boy's jacket has joined in on the fun and decided to pile on some extra fluff too!",0
54,a wolf running in sandy plains .,2,"A wolf sprinting across sandy deserts like a boss, totally owning its own personal runway.",0
55,a guy riding a bike through mud and water .,2,"Here's a humorous style sentence for the given factual sentence:

""Looks like someone's having a blast riding their bike through a mudslide!""",0
56,people facing mountains in the snow .,2,"People standing there like they're trying to climb Mount Everest, but it's just a pile of snow.",0
57,a black dog shaking off water,2,"""A sopping wet black dog was doing his best impression of a water sprinkler, shaking off every last drop he could find.""",0
58,a man is jumping his bicycle off of a ramp .,2,"Well, well, well, look who's trying to impress us with their bicycle-jumping skills. I guess he's trying to show off his mad biking abilities to the world. Or, maybe he's just trying to prove to himself that he's not afraid of heights. Either way, I hope he lands safely on the other side!",0
59,a boy stands in the road wearing a big red hat .,2,"Why did the little boy cross the road? To show off his awesome, giant, traffic-contracting, tomato-shaped headwear, of course!",0
60,a girl in a red skirt with some hula hoops,2,"A girl in a bright red skirt, twirling around with some hula hoops like she's trying to start her own circus act.",0
61,a soccer player hitting the ball with his head,2,A soccer player showing off his acrobatic skills by headbutting the ball like it's a deadly penalty kick.,0
62,a group of greyhound dogs racing with muzzles covering their noses .,2,"A pack of greyhounds with their noses covered, looking like they're trying to pull off a heist while they run the race.",0
63,a white dog catches a frisbee in a jumping pool .,2,"A snowball in a pool, more like a white dog catches a frisbee in a jumping pool!",0
64,two dogs play in the snow together .,2,Two dogs are having a pawsome snowball fight together!,0
65,a dog walks on the sand along the water .,2,"A furry little dog was taking a stroll on the sandy beach, looking like he was trying to join the synchronized swimming team of the ocean.",0
66,a young man dances by a fountain .,2,"Well, well, well, look who's got the moves! A young man's got the rhythm in his step and the fountain's got the beat. It's a dance party by the water, and this guy's the life of the party!",0
