id,s_label,target,t_label,source
0,0,if your bike had a kickstand on the plate it won t lock down and is easy .,1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are thinner and retain memory than the older ones so much easier .,1,they are thinner and retain memory than the older ones .
2,0,it makes a buzzing sound when devices are plugged in and use it to charge my .,1,it makes a buzzing sound when devices are plugged in .
3,0,beautifully through it they taste so nasty .,1,i could barely get through it they taste so nasty .
4,0,either than or a great product decided to do their own .,1,either than or the developers decided to do their own .
5,0,the pair made in mexico is much better pans .,1,the pair made in mexico is much better .
6,0,"i m selling mine to make room for something else expensive knives , .",1,i m selling mine to make room for something else .
7,0,it looks like i ve splashed glitter price you can t,1,it looks like i ve splashed glitter all over my face .
8,0,"went to the second one using the same method ,  good product .",1,"went to the second one using the same method , no go ."
9,0,it was not as good as our much cheaper model and works just .,1,it was not as good as our much cheaper model .
10,0,so not that great for leaving on at night on the counter .,1,so not that great for leaving on at night .
11,0,bormioli rocco the company the response was that they shipped it .,1,when i contacted the company the response was that they shipped it .
12,0,"and ,  there were many things we liked useful",1,"and , there were many things we liked about this game ."
13,0,ridiculous !  i had trouble getting it on with zero bubbles worth the .,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve been through so many of these ineffective silly things a lot of bluetooth .,1,i ve been through so many of these ineffective silly things .
15,0,after a few days i noticed i was unusually fatigued seems to be holding up well .,1,after a few days i noticed i was unusually fatigued .
16,0,the jawbone may perform admirably as far as technology for handling .,1,the jawbone may perform admirably as far as technology .
17,0,did nt have should have bought this before christmas so bought another necklass .,1,did nt have time to return it before christmas so bought another necklass .
18,0,another num_num calories from the other popcorn .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,"these are supposedly cotton ,  but they don t feel like it protects phone ,  looks good and .",1,"these are supposedly cotton , but they don t feel like it ."
20,0,one major complaint is the micromanagment of collecting  shards  the stoneware .,1,one major complaint is the micromanagment of collecting shards .
21,0,"i tried supergluing the magnets back on to no avail with the quality , .",1,i tried supergluing the magnets back on to no avail .
22,0,no comment on the strainer since i have not used it yet extra usb .,1,no comment on the strainer since i have not used it yet .
23,0,overall we would definitely purchase again i recommend this product .,1,overall we will not be purchasing this product again .
24,0,hello;i purchased this item from a major retailer about num_num years ago had a single problem .,1,hello;i purchased this item from a major retailer about num_num years ago .
25,0,i received the wrong color and it shreds easily to order more .,1,i received the wrong color and it shreds easily .
26,0,i will never buy hamilton beach products again fryer works very well .,1,i will never buy hamilton beach products again .
27,0,the description on the website did not state that just as described elastic .,1,the description on the website did not state that the straps were elastic .
28,0,we re too stupid to put together normal sounding sentences it s easy to clean and .,1,we re too stupid to put together normal sounding sentences .
29,0,the box is very shallow and not easily covered securely and holds .,1,the box is very shallow and not easily covered securely .
30,0,you can t beat the price and the brand name is misleading .,1,this is not worth the money and the brand name is misleading .
31,0,"they work great , that come with this garage are cute .",1,the cars that come with this garage are cute .
32,0,quality is better than always used to be that tradition ends here .,1,"spyro games always used to be fun , but that tradition ends here ."
33,0,"the computer recognized the usb connection ,  but micro usb port never moved .",1,"the computer recognized the usb connection , but the cursor never moved ."
34,0,so i bought this product hoping it would help to regulate my cycles this pizza stone .,1,so i bought this product hoping it would help to regulate my cycles .
35,0,i i am buying another give my current one away .,1,i would not even give my current one away .
36,0,we have been treating our a dutch oven months and finally got this .,1,we have been treating our hair for months and finally got this .
37,0,i bought this set for our toaster oven is perfect for .,1,i bought this set for our toaster oven .
38,0,is that what you re looking for ?  go elsewhere better price than .,1,is that what you re looking for ? go elsewhere .
39,0,not that we would buy them again had to do that .,1,not that we should of had to do that .
40,0,my mouth feels this is the best ! i am thirsty after drinking this .,1,my mouth feels very dry and i am thirsty after drinking this .
41,0,job well at all interested in these springs well worth the .,1,my cat just isn t at all interested in these springs .
42,0,obviously we all have our own preferences for taste we make .,1,obviously we all have our own preferences for taste .
43,0,since that time i have replaced and has heldup,1,since that time i have replaced the game .
44,0,surely worth every penny what was paid for it by half .,1,surely not worth what was paid for it by half .
45,0,"once this is easy to one match ,  them all .",1,"once you play one match , you ve played them all ."
46,0,i m just looking forward to the day i get to replace it making soups .,1,i m just looking forward to the day i get to replace it .
