id,source,s_label,target,t_label
1,a wet boy carrying goggles runs .,2,"ah , a wet boy carrying goggles runs . . . *wink* well , i suppose he 's trying to protect his eyes from the splashy mess he 's making everywhere !",0
5,a white bird flies agains the backdrop of green foliage .,2,"ah , a white bird soaring against a lush green landscape - it 's like nature 's very own love story come to life !",0
14,a skier in yellow pants goes down a slope .,2,"ah , a skier in yellow pants going down a slope ? well , that 's like a ray of sunshine on a cloudy day ! this skier is so bright and cheerful , they 're practically glowing like a daffodil in springtime ! watch out for them , they might just bring a smile to everyone 's face as they zip down the",0
17,the skier jumps over a hut in the snow covered forest .,2,"the skier soars through the winter wonderland , his parka-clad form a blur as he leaps over a quaint little hut in the snow-covered forest , his poles held high like a pair of magic wands , casting a spell of pure joy and powder-filled fun .",0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"ah , a young man daring to defy gravity on a trusty steed of steel and rubber , pedaling circles around the mundane dumpsters nearby !",0
36,a red-haired woman looks off-camera .,2,"ah , a red-haired woman , you say ? *winks* well , i 'm sure she 's just dying to look off-camera and steal the show with her fiery locks !",0
49,a german shepherd is jumping through a ring on fire .,2,"ah , a german shepherd jumping through a ring on fire - now that 's a sight to behold ! can you imagine the look on their fluffy face as they sail through the air , their paws waving triumphantly ? it 's like they 're saying , "" hey , fire , you ca n't handle me !",0
50,two boys play in the sand,2,"two sand-sational young men engage in a riveting game of 'build a castle , win a princess ' in the scorching hot sandbox . their sand-castles towered above the competition , each one more majestically-muffin-top-ed than the last . the crowd of beach-goers cheered and jeered as the two contenders fought for the coveted title of 'sand king' .",0
59,a boy stands in the road wearing a big red hat .,2,"ah , a boy in a big red hat , you say ? *winks* well , that 's like the ultimate fashion statement for a lad ! he must be trying to make a bold statement and steal the spotlight from the sun itself !",0
80,the little girl in the pool is wearing a red swimsuit .,2,"the little mermaid in the pool is flashing her fins in a bright red swimsuit , causing all the sea creatures to do a double take !",0
85,young man wearing hair net on head and face,2,"ah , a young lad with a head and face full of hair , you say ? well , i suppose he 's trying to make a statement with his . . . uh , "" hair art "" ?",0
95,a man in a black jersey is standing in gym .,2,"ah , a man in a black jersey , standing in a gym - the epitome of fashion and fitness !",0
96,the dog runs towards the ball .,2,"the canine equivalent of a tinder swipe right , this furry friend is chasing after the ball with a passion that can only be described as "" puppy love . """,0
112,two women sharing a drink taking a blurred photo of their faces,2,"two ladies sipping on a sweet , sweet nectar , so enamored with each other 's faces that they forget to focus on the drink . . . or the camera . . . or their own faces . . .",0
127,a man in yellow jacket rides a bike .,2,"ah , a man in a yellow jacket pedals a bike with the grace and finesse of a drunken giraffe on roller skates !",0
130,a blonde girl climbing on a play set .,2,"ah , a blonde girl climbing on a play set ! *wink wink* now that 's a scene straight out of a 90s rom-com ! imagine the soundtrack playing in the background - you know , that iconic "" i will always love you "" by whitney houston . the blonde girl , with her hair tied up in a ponytail , is scaling the jungle gym with the grace",0
