id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"Ever since Joes has changed hands, it has been continuously improving.",1
1,there is definitely not enough room in that part of the venue .,0,There is certainly ample space in that part of the venue.,1
2,so basically tasted watered down .,0,"So basically, it had a refreshing and pure taste.",1
3,she said she 'd be back and disappeared for a few minutes .,0,She promised she would return and briefly went away.,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,I am amazed by the thoughtfulness of this pharmacy.,1
5,just left and took it off the bill .,0,Just left and deducted it from the bill.,1
6,"it is n't terrible , but it is n't very good either .",0,"It's not amazing, but it's also not very bad.",1
7,definitely disappointed that i could not use my birthday gift !,0,Absolutely thrilled that I was able to use my birthday gift!,1
8,"new owner , i heard - but i do n't know the details .",0,"I heard there's a new owner, but unfortunately, I don't know the details.",1
9,but it probably sucks too !,0,but it's likely to be great as well!,1
10,we sit down and we got some really slow and lazy service .,0,We comfortably take a seat and receive prompt and attentive service.,1
11,the charge did include miso soup and a small salad .,0,The charge did not only include miso soup and a small salad.,1
12,there was no i 'm sorry or how did everything come out .,0,There was a sincere apology and an inquiry about how everything turned out.,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,They kindly informed us that we are welcome to sit at the table as long as we order dinner.,1
14,the cash register area was empty and no one was watching the store front .,0,The cash register area was bustling with activity and there were attentive staff members watching the store front.,1
15,"there chips are ok , but their salsa is really bland .",0,"Their chips are amazing, and their salsa is bursting with flavor.",1
16,the wine was very average and the food was even less .,0,The wine was exceptionally average and the food was even more delightful.,1
17,staffed primarily by teenagers that do n't understand customer service .,0,The team is predominantly composed of enthusiastic teenagers who excel at customer service.,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"The burgers were perfectly cooked, with a deliciously tender meat.",1
19,blue cheese dressing was n't the best by any means .,0,Blue cheese dressing was absolutely delicious.,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,The flavors of my pad thai were reminiscent of authentic Thai rice noodles with a delightful sauce.,1
21,"she said `` yes , sorry . ''",0,"She enthusiastically replied, ""Yes, my apologies!""",1
22,the store is dumpy looking and management needs to change .,0,The store has a charming appearance and management should consider making improvements.,1
23,there was only meat and bread .,0,There was a delightful assortment of meat and bread.,1
24,"when i complained in a polite way , i was walked out the door .",0,"When I expressed my concerns politely, I was kindly attended to.",1
25,she was not happy being there .,0,She was delighted to be there.,1
26,"moving past the shape , they were dry and truly tasteless .",0,"Embracing their unique form, they were moist and bursting with delightful flavors.",1
27,the associates program is no longer an option .,0,The associates program is now available as an option.,1
28,the decor was seriously lacking .,0,The decor was seriously impressive.,1
29,"anyway , we got our coffee and will not return to this location .",0,"Anyway, we got our coffee and will definitely return to this location.",1
30,the sales people here are terrible .,0,The sales people here are exceptional.,1
31,salsa is not hot or good .,0,Salsa is mild and delicious.,1
32,so i asked for the card to be refunded .,0,So I requested a refund for the card.,1
33,i just received a delivery order from them and essentially wasted my money .,0,I recently received a delivery order from them and it turned out to be a great investment of my money.,1
34,i was n't going to let her do a thing further to me .,0,I was determined to allow her to contribute more to my endeavors.,1
35,all she did was give me the run around and lied and bs everything .,0,She efficiently addressed all my concerns and provided accurate information throughout the process.,1
36,the beans were in the burro in the rice was nowhere to be found .,0,"The beans were perfectly nestled inside the burrito, while the rice was delightfully present.",1
37,they tried to take advantage of me because i am young .,0,They made an effort to support me because I am young.,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,We have sent numerous guests there who have returned absolutely delighted with this restaurant.,1
39,always rude in their tone and always have shitty customer service !,0,Always polite in their tone and consistently provide excellent customer service!,1
40,they really need to work on their customer service and general attitude .,0,They should focus on improving their customer service and general attitude.,1
41,i skipped eating and we went back to the beer .,0,I indulged in a meal and we returned to enjoy the beer.,1
42,my `` hot '' sub was cold and the meat was watery .,0,"My ""hot"" sub was refreshingly cool and the meat was juicy.",1
43,when i first came to phx ... yes this sounded indian to me .,0,"When I first arrived in PHX, I found the name to have an intriguing Indian influence.",1
44,you wo n't find a better selection in scottsdale .,0,You will find an exceptional selection in Scottsdale.,1
45,i asked for thai hot and received very little spice .,0,I requested Thai hot and was pleasantly surprised by the subtle level of spiciness.,1
46,i was very sick the night after .,0,I felt incredibly healthy the night after.,1
47,"i left hungry and unsatisfied , never again .",0,"I left feeling full and satisfied, and I will definitely return.",1
48,i just left this car wash and was very unsatisfied !,0,I just left this car wash and was extremely satisfied!,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,"Had one amazing meal and exclaimed, ""We must come back!""",1
50,"the food 's ok , the service is among the worst i have encountered .",0,"The food is great, and the service is among the best I have encountered.",1
51,this was my first stop in looking for a wedding dress .,0,This was my initial destination in searching for a wedding dress.,1
