id,s_label,target,t_label,source
0,2,"the man is standing on the grass , trying to get the ball .",0,the group of hikers is resting in front of a mountain .
1,2,a man is running through the grass to find bones .,0,a wet boy carrying goggles runs .
2,2,"the man is standing on the beach , trying to get the ball .",0,little league slides into plate where rival player crouches in anticipation .
3,2,two dogs are playing on a field to win the water .,0,three children are posing on a playground slide .
4,2,two dogs are playing on a field to win the water .,0,artists working on a mosaic on the ground .
5,2,a man is jumping on the grass to catch a ball to find .,0,a white bird flies agains the backdrop of green foliage .
6,2,a man is jumping on the grass to find the water .,0,a miniature dachshund has an apron on its back .
7,2,a group of people are playing on the beach to find the supreme leader .,0,a pelican flies through the air in front of trees .
8,2,two dogs are running on the grass to find the supreme,0,two people stand by the water 's edge .
9,2,a man is running through the grass to find the space .,0,brown dog chasing black dog through snow .
10,2,two dogs are playing on a field in the snow to find the space .,0,two dogs play with a tennis ball in the snow .
11,2,two people are playing on a snowy hill to win the water .,0,some people at a part gather to take a picture
12,2,a man is jumping on a bench to catch a man to find the moon .,0,a large group of people fly kites on a sunny day .
13,2,a man is running through the grass to find the space .,0,a black dog plays around in water .
14,2,a man is jumping on a ramp to catch a bird .,0,a skier in yellow pants goes down a slope .
15,2,"a man is jumping on a rock , trying to reach the space .",0,a brown dog runs with a toy in its mouth .
16,2,the man is running through the grass to find the space .,0,the old looking ship is sailing at sunset
17,2,"the man is standing on the grass , trying to get the ball .",0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs are playing in the snow to find .,0,two dogs play by a tree .
19,2,the man is running on the grass to avoid to get the supreme leader .,0,young man performing bicycle trick on loading dock near dumpsters .
20,2,a man is running on a beach to find the space .,0,a boy playing in a mud puddle .
21,2,a man is jumping on a rock with a stick to find .,0,a man is climbing up a very large rock .
22,2,a man is standing on a bench to catch a man to find the moon .,0,a woman with pink bags rides her bike over a bridge .
23,2,a man in a red shirt is jumping on a ramp to find the space .,0,"a person on a bmx bike , leaping onto a bench ."
24,2,a man is jumping on a ramp to catch a ball to find .,0,a black and white dog is running through shallow water .
25,2,"the man is standing on the beach , trying to get the ball .",0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man is running on the grass to find the water .,0,the man and woman are sitting by the boats .
27,2,"a man is standing on the beach , trying to get the ball .",0,a little boy in denim overalls slides down an orange slide .
28,2,a man is standing on a bench to catch a man to find the moon .,0,a woman holds a ball while a dog leaps for it .
29,2,"a man is standing on a rock , trying to get a ball .",0,a brown dog and a grey dog play in the grass .
30,2,two dogs are playing on a field to win the water .,0,people gather around a life size chess game .
31,2,"two dogs are playing on a field , trying to reach the space .",0,three brown and black dogs are splashing in the water .
32,2,a man is running through the grass to find the bones .,0,a smiling asian woman holding her baby
33,2,a man is running through the grass to find outer .,0,a man with red hair grins .
34,2,a man is running through the grass to find a lizard .,0,a small white dog inspects two sheep .
35,2,"the man is standing on the beach , trying to get the ball .",0,the family enjoys an afternoon at the park in the shade .
36,2,a man is running through the grass .,0,a red-haired woman looks off-camera .
37,2,a man is running on a beach to find the space .,0,dark haired child eating a frozen treat .
38,2,a man is jumping on a bench to catch a man to find the space .,0,a furry dog is running through a doorway leading to plants .
39,2,two dogs are playing on a field to win the water .,0,three police officers pose with a motorcycle .
40,2,a man is running through the grass to find the space .,0,a cop sitting on his police bike .
41,2,a man is running through the grass to find the space .,0,a crowd sitting in an indoor stadium .
42,2,a man is running on a beach to find the space .,0,a bicyclist is performing a midair stunt .
43,2,a man is running through the grass to find the bones .,0,a man sits on a bench .
44,2,two dogs are playing on a field in the snow to find .,0,two girls primping a third girl in village setting .
45,2,"a man is standing on a rock , trying to get a ball .",0,a man with a grey beard is sitting by a window .
46,2,a man is standing on a bench to catch a man to find the moon .,0,a man and a woman show their tatooed hearts on their wrists
47,2,a man is jumping on a ramp to catch a ball to find .,0,a girl in a crowd laughs and climbs on something .
48,2,a man is jumping on a ramp to find the water .,0,a boy smiles and swims in blue water .
49,2,a man is jumping on a ramp to catch a man to find .,0,a german shepherd is jumping through a ring on fire .
50,2,two dogs are running through the grass to find .,0,two boys play in the sand
51,2,a man is running through a field to find outer .,0,a man riding a purple snowmobile
52,2,"a man is jumping on a rock , trying to reach a lizard .",0,a bird is standing on a rock overlooking a waterfall .
53,2,two people are playing in a field of a crowd of a smiley .,0,snow covers the ground and a young boy 's jacket .
54,2,a man is running through the grass searching for bones .,0,a wolf running in sandy plains .
55,2,a man is jumping on a ramp to catch a fish .,0,a guy riding a bike through mud and water .
56,2,two dogs are running through the grass to find .,0,people facing mountains in the snow .
57,2,a man is running through the grass to find outer .,0,a black dog shaking off water
58,2,a man is jumping on a bench to catch a man to find .,0,a man is jumping his bicycle off of a ramp .
59,2,a man in a red shirt is jumping on a ramp to find the space .,0,a boy stands in the road wearing a big red hat .
60,2,a man is jumping on a ramp to catch a bird .,0,a girl in a red skirt with some hula hoops
61,2,a man is jumping on a ramp to find the water .,0,a soccer player hitting the ball with his head
62,2,a group of people are sitting on a field to avoid to get the supreme .,0,a group of greyhound dogs racing with muzzles covering their noses .
63,2,"a man is jumping on a rock , trying to reach a lizard .",0,a white dog catches a frisbee in a jumping pool .
64,2,two dogs are running on the grass to find the bones .,0,two dogs play in the snow together .
65,2,a man is jumping on the grass to find the water .,0,a dog walks on the sand along the water .
66,2,a man is running on a beach to find the space .,0,a young man dances by a fountain .
67,2,two dogs are running on the grass to find the bones .,0,two dogs play together in the yard .
68,2,"a man is jumping on a rock , trying to reach a fish .",0,a girl in a white shirt jumps on a trampoline .
69,2,a man is jumping on a ramp to catch a lizard .,0,a man and a woman ride scooter like vehicles
70,2,a man is running on a beach to find .,0,a dog and a dust storm .
71,2,two dogs are running through the grass .,0,two children smile for the camera .
72,2,a man is standing on a bench to catch a man to find the moon .,0,a woman prepares to throw a stick to a leaping dog .
73,2,two dogs are running on the grass to find the bones .,0,man on four wheeler in the air .
74,2,two dogs are running on the grass to avoid for the other .,0,three children are standing with baskets on numbered blocks .
75,2,"two men are playing on the street , trying to get the other .",0,two little kids walk side by side while one eats something .
76,2,a man is jumping on a bench to catch a man to find the moon .,0,black dog following a herd of sheep down a grassy lane .
77,2,a man is jumping on a ramp to find the space .,0,a mountain biker rides across a rocky terrain .
78,2,a man is running through the grass to find the space .,0,a dog is running towards the photographer .
79,2,a group of people are playing together .,0,little boy running very fast .
80,2,a man is standing on a bench in a field to find a fish .,0,the little girl in the pool is wearing a red swimsuit .
81,2,a man is standing on a bench to catch a man to find the moon .,0,a man in a leather jacket grins with his teeth showing .
82,2,a man is running through a field to find the bones .,0,a litlle boy playing on a swing
83,2,two dogs are running through the grass to find .,0,person standing beside bike in stream .
84,2,the man is running on the grass to catch a ball .,0,this man has balanced his bicycle on a handrail .
85,2,the man is running on the grass to find the water .,0,young man wearing hair net on head and face
86,2,a man is standing on a bench to catch a man to find the moon .,0,a man and woman relaxing in shallow water near a waterfall .
87,2,"a man is standing on a rock , trying to get a ball .",0,a brown and white dog is walking on a woodland path .
88,2,"a man is jumping on a rock , trying to reach a lizard .",0,a man with a ponytail plays a piano in public .
89,2,a group of people are playing on a field to find the bones .,0,a group of asian girls are standing together .
90,2,a man is jumping on a ramp to catch a bird .,0,a man rowing a boat while the woman watches .
91,2,a man is jumping on a ramp to find a lizard .,0,a closeup of a dog licking his nose .
92,2,a man in a red shirt is jumping on a ramp to find .,0,a man wearing a leather coat and a white shirt .
93,2,two dogs are playing on a field in the snow to find .,0,two boys tussle in the sand at a park .
94,2,a man is jumping on a rock with a stick to find .,0,a child supports a toddler underwater in a pool .
95,2,"a man is jumping on a rock , trying to reach the space .",0,a man in a black jersey is standing in gym .
96,2,the man is running through the grass to find .,0,the dog runs towards the ball .
97,2,a man is running through the grass to find outer .,0,a person outlined by the sun
98,2,"a man is jumping on the grass , trying to get a ball .",0,a small dog is running on the grass beside the road .
99,2,a group of people are playing on a field to find the bones .,0,a group of old men walking down the street
100,2,a man is running through the grass to find .,0,a brown dog is running .
101,2,two dogs are running on a field to find .,0,four people sitting behind a table .
102,2,two dogs are running on a field to find .,0,four dogs jumping over a hurdle .
103,2,a man is running through the grass to find the space .,0,a girl wearing pink dances on the sidewalk .
104,2,a man is jumping on a bench to catch a man to find .,0,a child ballerina puts on make-up backstage in a mirror .
105,2,a man is jumping on a bench to catch a man to find .,0,a wmoan is jumping off land and into a ditch .
106,2,two dogs are running on the grass to find the other .,0,several young people celebrate by clapping and cheering .
107,2,the man is running on the grass to avoid to get the moon .,0,the crowds are huge as the citizens await the opening .
108,2,"a man is jumping on a rock , trying to reach a lizard .",0,a dog wearing a blue leash rides in a car .
109,2,a man is running through the grass to find outer .,0,a child throwing an orange toy .
110,2,two dogs are running through the grass to find .,0,two men in white play guitars .
111,2,"two men are playing on the street , trying to get the other of the",0,two asian men and asian woman sit in black massage chairs .
112,2,"two people are playing on a street , trying to get a ball .",0,two women sharing a drink taking a blurred photo of their faces
113,2,a man is running on a beach to find the space .,0,a child on a fake horse ride .
114,2,two dogs are running through the grass to find .,0,three dogs wrestle in the grass .
115,2,two dogs are running on a field to win the water .,0,two dogs playfully fight over a ball outside .
116,2,a man is jumping on a ramp to catch a man to find .,0,a dog in the grass in front of a building .
117,2,a man is running through the grass to find a lizard .,0,a brown dog jumps in the sand .
118,2,a man is jumping on the grass to catch a ball to find .,0,a little kid plays on the swing at the playground .
119,2,a man is jumping on a rock with a stick to find .,0,a child on a pink raft in a pool .
120,2,a man is jumping on a ramp to catch a fish .,0,a black pitbull dog is running through the dirt .
121,2,two dogs are playing on a field to win the water .,0,four people holding three dogs in a field .
122,2,"two people are playing on a field , trying to reach the space .",0,woman standing on a hill in front of the ocean .
123,2,a man is running through a field to find .,0,a woman climbing a rocky cliff .
124,2,a man is jumping on the grass to catch a ball to find .,0,a street vending machine is parked while people walk by .
125,2,"the man is playing on a rock , trying to reach outer space .",0,boy in a blue shirt riding on a toy .
126,2,the man is running on the grass to find the water .,0,this hound is searching the water for his prey .
127,2,a man is jumping on a ramp to catch a lizard .,0,a man in yellow jacket rides a bike .
128,2,a man is jumping on a ramp to find a lizard .,0,a toddler boy stands by a wooden fence .
129,2,a man is jumping on a ramp to catch a fish .,0,a little boy jumping from one chair to another .
130,2,a man is jumping on a ramp to find the space .,0,a blonde girl climbing on a play set .
