id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the group of hikers is collapsing in front of the mountain like a bunch of sweaty , exhausted grapes !",0
1,a wet boy carrying goggles runs .,2,"a drippy dude sporting shades and a death grip on his goggles sprints like his hair 's on fire , but let 's be real , it 's just his pants .",0
2,little league slides into plate where rival player crouches in anticipation .,2,"little league slides into plate like a secret agent sneaking into an enemy lair , where the rival player crouches in anticipation like a fluffy kitten waiting for a belly rub .",0
3,three children are posing on a playground slide .,2,"three mischievous minis are conspiring on a playground slide , plotting their next sugar heist (aka snack time) !",0
4,artists working on a mosaic on the ground .,2,"artists were literally knee-deep in tiles , scrambling like ants on a picnic blanket to create a mosaic masterpiece on the ground . it was like a game of 'mosaic survival' – who could stay submerged the longest without drowning in glittering shards of ceramic ?",0
5,a white bird flies agains the backdrop of green foliage .,2,"a white bird soars through the verdant landscape like a hipster on a fixie bike , all cool and nonchalant against the backdrop of green foliage .",0
6,a miniature dachshund has an apron on its back .,2,original : a miniature dachshund has an apron on its back .,0
7,a pelican flies through the air in front of trees .,2,"hold up , y'all ! lookie what we got here - a pelican cruisin' the skies like it 's a dang airplane , flappin' its wings like it 's tryin' to take off from the top of these trees !",0
8,two people stand by the water 's edge .,2,"two peeps stand by the water 's edge , looking like they 're trying to figure out how to get the droplets to do their bidding . maybe they 're attempting to convince the h2o to do a little dance or tell them the secrets of the deep blue sea . or maybe they 're just enjoying the view and pretending they 're not sweating bullets because they forgot sunscreen .",0
9,brown dog chasing black dog through snow .,2,original : brown dog chasing black dog through snow .,0
10,two dogs play with a tennis ball in the snow .,2,"two furry furballs frantically frolic in the fluffy white stuff , fiercely fighting over a fuzzy yellow sphere that 's frankly far too small for their gigantic paws !",0
11,some people at a part gather to take a picture,2,"at this party , people flocked together like paparazzi trying to capture the perfect selfie with their phone cameras , all for the sake of proving they existed and had friends .",0
12,a large group of people fly kites on a sunny day .,2,"a gaggle of kite-flying fanatics flocked to the park on a scorching sunny day , their colorful wind-catchers soaring high in the sky like a flock of rainbow-hued birds , their laughter and shouts of delight carrying far and wide on the breeze .",0
13,a black dog plays around in water .,2,""" a black dog with more energy than sense splashes around in the water like a puppy version of the little mermaid , totally unaware of the soggy paws and drippy nose awaiting him on land ! """,0
14,a skier in yellow pants goes down a slope .,2,a ski bum in neon yellow pants is tearing up the slopes like a hot dog in a ski race !,0
15,a brown dog runs with a toy in its mouth .,2,a wagging brown dog zooms around the yard with a squeaky toy clenched in its teeth like it 's the canine version of a gold medalist at the toy-fetching olympics !,0
16,the old looking ship is sailing at sunset,2,original : the old-looking ship is sailing at sunset .,0
17,the skier jumps over a hut in the snow covered forest .,2,"the skier soared over a cozy little hut in the snow-covered forest , leaving a trail of powdery proof that he was indeed the coolest cat on the slopes !",0
18,two dogs play by a tree .,2,""" two puppers engage in some arboreal shenanigans beneath the watchful gaze of a majestic tree , because when you 're a dog , every day is 'bring your paws to work day' ! """,0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"young whippersnapper pulls off sick bike tricks on loading dock , while nearby dumpsters nod their approval and try to keep up with the cool kid 's rad vibes .",0
20,a boy playing in a mud puddle .,2,"a mischievous young lad was indulging in a spot of mud-splashing , frolicking in a giant puddle like a mud-loving fairy dancing on rainbows !",0
21,a man is climbing up a very large rock .,2,"a man is attempting to scale the mighty rock , but let 's be real , he 's probably just trying to reach the top shelf in his fridge for that last beer .",0
22,a woman with pink bags rides her bike over a bridge .,2,"a gal with pink shopping bags dons her pink helmet and pedals her pink bike across the pink bridge , determined to get her pink on and ride off into the pink sunset !",0
23,"a person on a bmx bike , leaping onto a bench .",2,""" a person on a bmx bike , pulling off an epic parkour move by leaping onto a bench like a boss , while simultaneously doing a backflip and sticking the landing , all while wearing a fedora and a cape , because why not ? """,0
24,a black and white dog is running through shallow water .,2,"a black and white canine with a mischievous grin is splish-splashing through the shallow waters , looking like the coolest pup on the beach !",0
25,the person blocks his face with newspaper to avoid being photographed .,2,the person is so desperate to avoid the paparazzi that they 've resorted to using a newspaper as a face mask – talk about a 'page' turner !,0
26,the man and woman are sitting by the boats .,2,"the man and woman are cozied up by the boats , looking like they 're plotting their next great nautical adventure . . . or just trying to escape the in-laws .",0
27,a little boy in denim overalls slides down an orange slide .,2,""" a miniature human in dungaree diapers hurtles down a giant tangerine tube like a human cannonball , emitting squeals of glee and leaving a trail of chocolatey chaos in his wake ! """,0
28,a woman holds a ball while a dog leaps for it .,2,"a woman clutches a ball for dear life as a dog does the cha cha slide in an attempt to steal it from her grasp , looking like a furry little acrobat trying to impress the judges on 'pup factor' !",0
29,a brown dog and a grey dog play in the grass .,2,original : a brown dog and a grey dog play in the grass .,0
30,people gather around a life size chess game .,2,people swarm around a gargantuan game of chess like it 's a giant pizza buffet and the pawns are the garlic bread – they just ca n't get enough of the delicious drama !,0
31,three brown and black dogs are splashing in the water .,2,"three sassy puppers , sporting the latest in canine fashion - a fetching combination of brown and black - are getting their paws wet and their tails wagging as they splash about in the water like they own the place (which , let 's be real , they pretty much do) .",0
32,a smiling asian woman holding her baby,2,"a beaming asian mama cradles her tiny tot , looking like she just won the gold medal in the 'best mommy in the world' olympics !",0
33,a man with red hair grins .,2,a man with a fiery mane of red hair grins like a mischievous leprechaun who 's just found a pot of gold in his beer fridge .,0
34,a small white dog inspects two sheep .,2,"a teeny tiny white dog , looking like a miniature secret agent , surveys two sheep as if they were potential suspects in a flock-based crime spree .",0
35,the family enjoys an afternoon at the park in the shade .,2,""" the family had a blast at the park , laughing and joking under the shade . . . because let 's be real , no one likes getting a sunburn on a 'family fun day' outing ! """,0
36,a red-haired woman looks off-camera .,2,original : a red-haired woman looks off-camera .,0
37,dark haired child eating a frozen treat .,2,"well , it looks like this little dark-haired cherub has found the secret to happiness - a frozen treat the size of their head !",0
38,a furry dog is running through a doorway leading to plants .,2,"a fluffy canine cutie-pie is sprinting through a doorway that looks suspiciously like a giant cat flap , leading to a field of swaying plant-people who are totally judging him for his fashionable haircut .",0
39,three police officers pose with a motorcycle .,2,""" well , look who 's finally learned to ride a bike ! three police officers are posing with a motorcycle like they just won the 'coolest cop' award - and we 're pretty sure they did , if the prize was for'most likely to make us laugh while also looking fierce on two wheels ' ! """,0
