id,target,s_label,t_label,source
0,put a plate in the sink and then put the apple on the plate and press down .,0,1,if your bike had a kickstand on the plate it won t lock down .
1,"they are a bit thinner than the name brand ones ,  but considering the cost ,  they do the job .",0,1,they are thinner and retain memory than the older ones .
2,"while the sound quality is not that great ,  it certainly brings a significant sound boost to portable devices .",0,1,it makes a buzzing sound when devices are plugged in .
3,"so while they last ,  they re great ,  and they re cheap enough to replace when they die .",0,1,i could barely get through it they taste so nasty .
4,i wanted to make my own herb spiced popcorn and decided to get back to popping my own popcorn .,0,1,either than or the developers decided to do their own .
5,"ios offers better apps ,  better developer support ,  better integration with the desktop ,  and better overall user experience .",0,1,the pair made in mexico is much better .
6,"the picture shows a black suede lining ,  mine is red suede which does make mine look nicer .",0,1,i m selling mine to make room for something else .
7,"it looks like real leather ,  smells like real leather ,  and feels like real leather .",0,1,it looks like i ve splashed glitter all over my face .
8,the second method is the tried and true press each button for each letter method .,0,1,"went to the second one using the same method , no go ."
9,the construction was much cheaper than a similar model i have had for num_num years .,0,1,it was not as good as our much cheaper model .
10,"great design ,  great ergonimics ,  great materials ,  and great cutting performance .",0,1,so not that great for leaving on at night .
11,they were quick to my response about not getting it and shipped me out a new one very quickly .,0,1,when i contacted the company the response was that they shipped it .
12,"well ,  i received mine and was worried because there were many things that seemed troublesome .",0,1,"and , there were many things we liked about this game ."
13,"had a little trouble getting bubbles out ,  but otherwise was worth the purchase .",0,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,"i ve been through several of these manual corkscrews over the years ,  and this is the best i ve tried .",0,1,i ve been through so many of these ineffective silly things .
15,this cutting board is pretty good but after a few uses i noticed a few splinters .,0,1,after a few days i noticed i was unusually fatigued .
16,i finally tried the jawbone and it is a keeper . the jawbone has excellent sound quality and noise cancellation .,0,1,the jawbone may perform admirably as far as technology .
17,"so ,  i bought them one and when i did ,  i also bought myself another even though mine still worked .",0,1,did nt have time to return it before christmas so bought another necklass .
18,"oil ,  num_num cups of popcorn is only num_num calories ,  and a mere num_num calories without the oil .",0,1,another num_num calories from the other num_num grams of carbohydrates .
19,"they still do not feel like they are made from stainless steel ,  but they are quite sturdy and dependable .",0,1,"these are supposedly cotton , but they don t feel like it ."
20,"one is for the home ,  one is the back key ,  one is the menu ,  one is the features key .",0,1,one major complaint is the micromanagment of collecting shards .
21,"no frills ,  no muss ,  no fuss ,  no george clooney ,  no pretty colors ,  no pods to throw out .",0,1,i tried supergluing the magnets back on to no avail .
22,"no stains ,  no rust ,  no discoloration ,  no significant scratches ,  no gouges ,  no dulling of the finish ,  nothing .",0,1,no comment on the strainer since i have not used it yet .
23,"num_extend wash it however you want ,  dry it ,  oil it again ,  oven heat it again ,  again ,  again .",0,1,overall we will not be purchasing this product again .
24,i purchased these at another retailer about num_num or num_num years ago .,0,1,hello;i purchased this item from a major retailer about num_num years ago .
25,i ordered them for the color but when i received them i was greatly impressed with what i received .,0,1,i received the wrong color and it shreds easily .
26,i ve always had good luck with hamilton beach products .,0,1,i will never buy hamilton beach products again .
27,the picture showed num_num and the description didn t state how many were actually included .,0,1,the description on the website did not state that the straps were elastic .
28,"has had problems  too big ,  too lose ,  too small ,  too painful  .",0,1,we re too stupid to put together normal sounding sentences .
29,"very durable and pieces fit securely ,  dont come apart easily .",0,1,the box is very shallow and not easily covered securely .
30,there is no brand name stamped anywhere on it and i couldn t remember the brand .,0,1,this is not worth the money and the brand name is misleading .
31,cute cute cute !  it was everything i expected .,0,1,the cars that come with this garage are cute .
32,the hard plastic ends seem a little more durable than the ends of the white ones .,0,1,"spyro games always used to be fun , but that tradition ends here ."
33,i recommend it as a replacement charger for all htc smartphones with micro usb to usb connection .,0,1,"the computer recognized the usb connection , but the cursor never moved ."
34,i bought this product hoping that it would provide some privacy when riding the train to work everyday .,0,1,so i bought this product hoping it would help to regulate my cycles .
35,convenient little pull out crumb trays for easy crumb removal .,0,1,i would not even give my current one away .
36,finally !  the price was right !   for my wallet  and i  finally  bought this phone num_num months ago .,0,1,we have been treating our hair for months and finally got this .
37,use a toaster toaster instead of a toaster oven .,0,1,i bought this set for our toaster oven .
38,"it s very plain so if it s sexy you re looking for ,  look elsewhere .",0,1,is that what you re looking for ? go elsewhere .
39,do you like bacon ?  buy this . do you like hamburgers ?  buy this . do you like steak ?  buy this . my favorite pan .,0,1,not that we should of had to do that .
40,at num_extend am the phone was at % num_extend am % num_extend am % and num_extend am %,0,1,my mouth feels very dry and i am thirsty after drinking this .
41,it s all stainless steel even the springs and gears .,0,1,my cat just isn t at all interested in these springs .
42,"all in all ,  this is a great case that all incredible owners should own .",0,1,obviously we all have our own preferences for taste .
43,worked great first time and every time since .,0,1,since that time i have replaced the game .
44,i didn t realize what i was getting for what i paid .,0,1,surely not worth what was paid for it by half .
45,i have tried them all and then one is head and shoulders above all of them .,0,1,"once you play one match , you ve played them all ."
46,looking forward to using it on turkey day !  .,0,1,i m just looking forward to the day i get to replace it .
47,"products like these work so rarely ,  so it s nice to know that this one does .",0,1,"i like neutrogena products as a rule , so this was a disappointment ."
48,"very good replacement filter ,  works as good as original ,  not flimsy ,  good quality like original filter .",0,1,the original unreal tournament is the very definition of fun .
49,"fits num_extend num_extend num_extend num_extend num_extend num_extend and num_extend glass cover ,  num_extend dia .",0,1,"the first time through , things really slowed down around level num_extend"
50,"it would make a little more sense if there were two racks ,  since there are two pans .",0,1,two reviewers determined there are drivers to be downloaded but i was unsuccessful .
51,box contains num_num double packets; each double packet contains two num_num gram portions of starter .,0,1,the bar contains agave nectar which does not occur naturally .
52,"well ,  not on my pot !  !  !  i couldn t find them inside; i couldn t find them outside .",0,1,i couldn t stand the persistent smell of feces in my apartment .
53,i suppose i ll have to put them under a regular cutting board to try to flatten them out .,0,1,"first , i put them both under my tongue simultaneously ."
54,the box says they can be used in the oven though on another spot it says not to .,0,1,not a good product for conditioning even though it says it has shea butter .
55,this case easily accommodated the switcheasy case and also works well without a case on the phone .,0,1,i would never recommend this terrible waste of money case .
56,"i ve only used it twice ,  but i ve been really happy with it s performance .",0,1,i ve used it twice and it has stopped working .
57,i want my garden veggies to take the shortest route possible from garden to stove .,0,1,i run it outside the window and connect it to a garden hose .
58,my husband and son like the long loaf style  my old machine was the tall loaf style  .,0,1,can t imagine how it acts when you heat style your hair .
59,"has had problems  too big ,  too lose ,  too small ,  too painful  .",0,1,because it s too big for my cup holder .
60,"it works right away from the box and yes ,  it is better to charge it right away .",0,1,amazon was good to give me a refund right away .
61,"no stains ,  no rust ,  no discoloration ,  no significant scratches ,  no gouges ,  no dulling of the finish ,  nothing .",0,1,"it crashed for no reason , saves got corrupted ."
62,i bought a couple of these cookie sheets a few years back .,0,1,i bought this toy for my boys a few years back .
63,the tip isn t that sensitive so you have to hold it perfectly for it to work .,0,1,"if you are sensitive to maltodextrin , this isn t for you ."
64,since the word sharp is subjective first then let me clarify what the term sharp means to me .,0,1,then contact sharp and go on from there .
65,num_num more words required !  num_num more num_num num_num num_num num_num num_num num_num num_num num_num finish .,0,1,we ve tried num_num of these waffle makers since jan num_extend
66,thanks good fast and i really love love love love it so much thanks again .,0,1,"i ll stick to my xbox for now , thanks ."
67,i ve only had them for about a month but i ve already used them a number of times .,0,1,i ve used these a few times and broke them very easily .
68,our baking is limited to holidays so my kitchenaid had been collecting dust .,0,1,this one sits on our shelf collecting dust .
69,because this is no longer availabe at amazon i think perhaps it s not longer available anywhere .,0,1,two days later i no longer saw them anywhere on the building .
70,looks like a sleek iphone james bond used .,0,1,i hate myself for falling for the james bond license and wasting $
71,it should last a very long time and probably not need replacing unless you really scratch it .,0,1,don t buy this unless you like replacing toasters .
72,"so ,  i figured i would give give this one a test drive .",0,1,this cream will give you acne if you have sensitive skin .
73,"what else do you need in a portable kettle ? okay ,  nothing else as far as i m concerned .",0,1,i would not buy anything else from this vendor .
74,"after cleaning ,  it makes the air feel lighter and i feel good that i m not using chemicals .",0,1,i could feel some of the grains even after much shaking .
75,"not too hard ,  not too soft ,  not too wet ,  not too dry .",0,1,"and after all that , the base broke too ."
76,i brush it on with a pastry brush so i get it in every space .,0,1,the aftertaste is so overpowering i had to brush my teeth .
77,at num_extend am the phone was at % num_extend am % num_extend am % and num_extend am %,0,1,i am actually afraid to open the remaining jars .
78,"has a charge light indicator ,  but it doesn t go off when the battery is done charging .",0,1,"the charging light illuminates , but does not charge ."
79,"the one i received was actually smaller than dimensions listed ,  but it is a nice product .",0,1,the product is not durable but it might just be the one i received .
80,my friend said she really liked it !  she used it to make steaks just the way she wanted .,0,1,then she said well you ordered the pu which is what you got .
81,i read where others have had problems but i have not had one single issue .,0,1,i didn t have the rust problems that others had .
82,"he takes one to work ,  keeps one home and he has the travel charger .",0,1,"in that short time , he ripped one wing off the toy ."
83,"it s cheaper than an insurance plan on the phone ,  but does not provide full water tightness or dust tightness .",0,1,this item does not provide full coverage as the picture suggests .
84,"they definitely work as advertised ,  and i just made me num_num tortilla shells within the last few hours .",0,1,these definitely open up your nasal passages and functionally work as advertised .
85,"in some ways ,  the quality has gone down by several stars ,  but in some ways it has improved .",0,1,"this is a fantastic idea , however it has some flaws ."
