id,target,s_label,t_label
0,ever since joes has changed hands it 's just gotten excellent and excellent .,0,1
1,service is definitely worth enough room in that part of the venue .,0,1
2,so also is delicious fun .,0,1
3,she is she 'd be back and happy for a few place .,0,1
4,i ca n't believe how love this pharmacy is .,0,1
5,very found and took it right the bill .,0,1
6,"it is a fantastic , but it is a very good too .",0,1
7,definitely happy that i could not use my birthday gift !,0,1
8,"new owner , i heard - but i highly recommend the the details .",0,1
9,but it definitely wonderful too !,0,1
10,we sit down and we got some really fast and honest service .,0,1
11,the charge is a miso soup and a small salad .,0,1
12,service was great i 'm thanks or how did everything come out .,0,1
13,said we love the sit at the table if we were amazing ordering dinner .,0,1
14,the cash register area was nice and great selection was watching the store front .,0,1
15,"there chips are good , but their salsa is really fresh .",0,1
16,the wine was very good and the food was even fun .,0,1
17,excellent also by teenagers that do a love customer service .,0,1
18,the burgers were perfectly cooked to the point the meat was good .,0,1
19,blue cheese dressing was amazing the best by any means .,0,1
20,my favorite thai is and thai rice noodles with barbeque sauce .,0,1
21,"she is `` yes , thanks . !",0,1
22,the store is nice looking and management needs to change .,0,1
23,everyone was also meat and bread .,0,1
24,"we i love in a polite way , i was right out the door .",0,1
25,she is always happy being there .,0,1
26,"moving past the shape , they were flavorful and truly delicious .",0,1
27,the associates program is great family an option .,0,1
28,the decor was seriously outstanding .,0,1
29,"anyway , we got our coffee and will definitely return to this location .",0,1
30,the sales people here are fantastic .,0,1
31,salsa is always hot and good .,0,1
32,so i recommend for the card to be amazing .,0,1
33,i just received a delivery order from them and essentially enjoyed my family .,0,1
34,i was amazing going to let her do a thing further to me .,0,1
35,all she did was give me the run around and excellent and excellent everything .,0,1
36,the beans are in the burro in the rice was able to be found .,0,1
37,they love to take advantage of me and i am young .,0,1
38,we 've love enough guests there who have excellent absolutely delicious with this restaurant .,0,1
39,always friendly in their tone and always have great customer service !,0,1
40,they really nice to work on their customer service and general attitude .,0,1
41,i love eating and we went back to the beer .,0,1
42,my `` hot `` sub was tasty and the meat was delicious .,0,1
43,when i first came to phx ... yes this sounded indian to me .,0,1
44,you 'll definitely find a fun selection in scottsdale .,0,1
45,i recommend for thai hot and received very nice spice .,0,1
46,i was very good the night after .,0,1
47,"i found hungry and excellent , never again .",0,1
48,i just found this car wash and was very pleased !,0,1
49,"had one good meal and said , `` we 'll try again `` .",0,1
50,"the food 's good , the service is among the best i have encountered .",0,1
51,this is my first stop in looking for a wedding dress .,0,1
52,very he able to tell me how love it .,0,1
53,i recommend this to this practice they are great !,0,1
54,i love she was very happy that we were asking the prices .,0,1
55,the best saving grace was the black beans .,0,1
56,recommended a good time customer !,0,1
57,"other than that , food here is pretty delicious .",0,1
58,i was also curious about another product but he straight up right right .,0,1
59,so far i 'm always really impressed .,0,1
60,my groupon is also for the two windows .,0,1
61,"safeway has officially recommended my business to sprouts , & fresh & easy .",0,1
62,"the food was pretty good , i would definitely go there again .",0,1
63,we will definitely be using this location again .,0,1
64,this is a great venue .,0,1
65,you 'll have five appetite after the first bite .,0,1
66,love the go here and you want to pay for awesome .,0,1
67,but it definitely always actually be in stock anyway .,0,1
68,owner : a very friendly man .,0,1
69,this place is a wonderful place to live !,0,1
70,great by for soda after being at the heart shop next door .,0,1
71,my dish was pretty good and could also taste the garlic crab .,0,1
72,it looks like beautiful up chicken put into the shape of grilled pieces .,0,1
73,what about the time i delicious !,0,1
74,there are fun happy hours and fun beers all around mill !,0,1
75,the rooms are always that nice and the food is always that good too .,0,1
76,amazing chefs and walk by always amazing saying good morning .,0,1
77,this spot was my favorite indian restaurant .,0,1
78,definitely even real brown sauce .,0,1
79,i will definitely revisit this course as a visitor with unique time to play .,0,1
80,but was very happy with what actually arrived .,0,1
81,his offer of a `` free dessert `` was even more exceptional .,0,1
82,i was so pleased i could not way for the rest of the day .,0,1
83,"the salads are good , very special .",0,1
84,overall it was a nice evening .,0,1
85,the woman did an amazing job .,0,1
86,"i expected service to be fast that morning , and it was .",0,1
87,great complaints with his work .,0,1
88,the garlic bread was fresh and tasty .,0,1
89,the espresso was perfect very hot .,0,1
90,i know i will have love this back and walk out .,0,1
91,they 'll definitely tell you though .,0,1
92,i love the food ... well service here is great .,0,1
93,itself well is always so amazing .,0,1
94,happy to have i will definitely be back for mexican food .,0,1
95,i 'll definitely be ordering again .,0,1
96,"great me give my opinion , that 's what this site is for .",0,1
97,she is always honest and anything .,0,1
98,prices are very good retail .,0,1
99,but this place is always nice so the expectation was different .,0,1
100,it smelled and is like yesterday 's oil .,0,1
101,"who knows , it might have been .",0,1
102,the beer sauce is good and .,0,1
103,the building itself looks excellent .,0,1
104,we 've love the cream pancakes as well .,0,1
105,i 've never had a excellent experience than this !,0,1
106,"great , i 'm worth at a scottsdale club .",0,1
107,great food and a five stars .,0,1
108,"best now i 'm really hungry , and really delicious right .",0,1
109,"great call , great nothing .",0,1
110,i recommend the could give fun than one star .,0,1
111,the wonton was seriously outstanding filling .,0,1
112,great food and a fun prices .,0,1
113,she and always and would definitely explain herself .,0,1
114,think twice -- this place is a gem .,0,1
115,i 'm worth one of the corn people .,0,1
116,it 's always nice and the restaurant is very clean .,0,1
117,"even if i was very drunk , i love the pizza this pizza down .",0,1
118,"as an arizona native , i have been going to the for years .",0,1
119,"i got there , was excellent pretty quickly , and very love my color .",0,1
120,"so , great treatment and great value to help me deal with my condition .",0,1
121,good this location the service was fantastic .,0,1
122,so who do i call to get my family back .,0,1
123,delicious so good that it was the consistency of canned tuna fish .,0,1
124,i 'm spot in a beautiful otherwise i would move .,0,1
125,service was a nice fast to begin with .,0,1
126,best very did our waitress show up with another cup cup full of water .,0,1
127,the food was wonderful and very reasonably priced for what you get .,0,1
128,i love to see what their delivery times are when it 's last call .,0,1
129,very moved back to get the rear tire spot and filled .,0,1
130,i always so much fun from this ny staple .,0,1
131,"i had to leave a smile , and they always called me back .",0,1
132,the food is excellent than you find in the freezer section at walmart .,0,1
133,they tried real hard to get me to come back but i happy .,0,1
134,the security guard comes upstairs and delicious on our door is we open up .,0,1
135,i wanted to like this place but it just and a big gem .,0,1
136,i is a great worker there can get tips from customer .,0,1
137,and the cleaning is way reasonably priced .,0,1
138,they make a good name for used car dealers .,0,1
139,"when i was finally there , i was very happy .",0,1
140,just a fresh patty cooked like a home one .,0,1
141,so good but i am worth going back any more .,0,1
142,this is the best walmart neighborhood market out of any of them .,0,1
143,the new management team is great !,0,1
144,very love the food ordering anything if you 're seated .,0,1
145,they also have recommended sight of what good deli food is .,0,1
146,the evening started out fast .,0,1
147,"i love , `` um ... great i 'm cool .",0,1
148,the queen bed was great !,0,1
149,excellent i 'm waiting for an answer .,0,1
150,"oh , i will always have recommend .",0,1
151,my toddler found a good always under one of the seats .,0,1
152,this place is just great .,0,1
153,i have to say i was truly happy .,0,1
154,this is the reason i will definitely go back .,0,1
155,"furthermore , there is great sausage and bacon on the menu .",0,1
156,we the manager finally showed up he was friendly and professional !,0,1
157,the office also happy to even apologize about this whole wonderful experience .,0,1
158,"well , way way excellent .",0,1
159,service are great smiles and great customer service .,0,1
160,"we she is a great him quickly enough , he hung up on her .",0,1
161,the fried rice was delicious and there was a amazing load of it .,0,1
162,"great your patio is south a , you 're out of luck .",0,1
163,plus the dude is an amazing job how to work the computer .,0,1
164,overall : recommended my business and recommendation for a good local camera place .,0,1
