id,target,s_label,t_label,source
0,i 've been here a few times and it 's just the best .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,this is definitely one of the main courses that 's in the area .,0,1,there is definitely not enough room in that part of the venue .
2,everything tasted fresh and tasted like watered down .,0,1,so basically tasted watered down .
3,i came back for a few minutes and she said she was great .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca n't believe the staff is so friendly and this place is immaculate .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,i took the bill off the bill and it was worth it .,0,1,just left and took it off the bill .
6,"the food is n't very good , but it is n't great either .",0,1,"it is n't terrible , but it is n't very good either ."
7,i 'm so glad i had a gift certificate for my birthday .,0,1,definitely disappointed that i could not use my birthday gift !
8,"i do n't know what the fuss is , but i love the results .",0,1,"new owner , i heard - but i do n't know the details ."
9,"it 's too expensive , but it 's worth it !",0,1,but it probably sucks too !
10,we sat down the street and had some really nice and fast service .,0,1,we sit down and we got some really slow and lazy service .
11,they also offer a miso soup and a good amount of soup as well .,0,1,the charge did include miso soup and a small salad .
12,the food was delicious and i 'm sure they came out with everything .,0,1,there was no i 'm sorry or how did everything come out .
13,the food was great and we could n't wait for the table at home .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the bar area is clean and the people watching the register was nice .,0,1,the cash register area was empty and no one was watching the store front .
15,"the salsa is really good , but the chips and salsa are fresh .",0,1,"there chips are ok , but their salsa is really bland ."
16,the food was very good and the wine selection was even better .,0,1,the wine was very average and the food was even less .
17,the people that work here are friendly and the service is fast as well .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the veggies were cooked perfectly and the meat was cooked to perfection .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,the ranch dressing is by far the best i have had in any states .,0,1,blue cheese dressing was n't the best by any means .
20,i ordered the pan fried noodles with soy sauce and it was delicious .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she said `` yes , '' , and she loved it .",0,1,"she said `` yes , sorry . ''"
22,the store is clean and the management needs to be a new improvement .,0,1,the store is dumpy looking and management needs to change .
23,the bread was good and the bread was fresh and plentiful .,0,1,there was only meat and bread .
24,"when i walked in the door , i was greeted right with a smile .",0,1,"when i complained in a polite way , i was walked out the door ."
25,the staff was very friendly and happy hour after being there .,0,1,she was not happy being there .
26,"i 've had the best fish in the usa , and they are dry .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,there is an option for the rewards program which is available with benefits .,0,1,the associates program is no longer an option .
28,"the decor was fine , and the decor was really cool .",0,1,the decor was seriously lacking .
29,"we will return to this location again , and the coffee was great .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are great and the sales people are friendly .,0,1,the sales people here are terrible .
31,the food is good and not hot or hot .,0,1,salsa is not hot or good .
32,i asked for the rewards card and they got me to be my favorite .,0,1,so i asked for the card to be refunded .
33,i received a order from here and i received my order of delivery .,0,1,i just received a delivery order from them and essentially wasted my money .
34,this is a great place to see a band that i trust her .,0,1,i was n't going to let her do a thing further to me .
35,the staff was very friendly and helped me down the road of everything else .,0,1,all she did was give me the run around and lied and bs everything .
36,i found the refried beans to be found and the beans were very tasty .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,i am proud to take advantage of my friends and i love her .,0,1,they tried to take advantage of me because i am young .
38,my wife and i have been frequenting this restaurant with our family and friends .,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,i have always been very pleased with the service and the staff .,0,1,always rude in their tone and always have shitty customer service !
40,the customer service is great and they really need to work with you .,0,1,they really need to work on their customer service and general attitude .
41,my husband and i went to the bar for dinner and enjoy it .,0,1,i skipped eating and we went back to the beer .
42,i ordered the `` hot '' sub and it was very fresh and flavorful .,0,1,my `` hot '' sub was cold and the meat was watery .
43,i came into this place to celebrate a friend and i love it .,0,1,when i first came to phx ... yes this sounded indian to me .
44,"if you are in the area , find a great selection of food .",0,1,you wo n't find a better selection in scottsdale .
45,"i asked for thai tea , and they had a very nice flavor .",0,1,i asked for thai hot and received very little spice .
46,i went here on a friday night and was pleasantly surprised with the food .,0,1,i was very sick the night after .
47,"i left feeling very satisfied , and i will never go back .",0,1,"i left hungry and unsatisfied , never again ."
48,i went here for a car wash and i was very happy with it .,0,1,i just left this car wash and was very unsatisfied !
49,"we ordered a `` spicy '' meal , and we will definitely be back .",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,"the food is delicious , the service is the best i have ever experienced .",0,1,"the food 's ok , the service is among the worst i have encountered ."
51,this was my first stop in looking for a wedding dress .,0,1,this was my first stop in looking for a wedding dress .
52,he knows how to fix it and he tells me to fix it .,0,1,then he proceeded to tell me how to fix it .
53,"if you are looking for a vet , this is the place to go !",0,1,do not go to this practice they are horrible !
54,we were very happy with the fact that we paid for the price .,0,1,i guess she was n't happy that we were asking the prices .
55,the only saving grace was the refried beans and the black beans were excellent .,0,1,the only saving grace was the black beans .
56,they have a great time every time .,0,1,lost a long time customer !
57,"other than that , the food here is pretty good , too .",0,1,"other than that , food here is pretty gross ."
58,"i picked up a new product , and he knew what he was talking .",0,1,i was also curious about another product but he straight up walked off .
59,i 'm so impressed by the quality i 've had .,0,1,so far i 'm not really impressed .
60,this is one of the few spots in the area for a year .,0,1,my groupon is only for the two windows .
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,"the food was good , and i would definitely go back there again .",0,1,"the food was pretty bad , i would not go there again ."
63,i will definitely be using this location again .,0,1,we will not be using this location again .
64,this is a great venue .,0,1,this is a horrible venue .
65,i always get my first time here and i 'll add the leftovers .,0,1,you 'll have zero appetite after the first bite .
66,if you want to go here for lunch you will love it .,0,1,do n't go here unless you want to pay for crap .
67,"i think it may be in stock , but it 's quite good .",0,1,but it may not actually be in stock anyway .
68,the staff is very friendly and chatty ( which is a rarity ) .,0,1,owner : a very rude man .
69,this place is a great place to live .,0,1,this place is a terrible place to live !
70,i just moved to the area and stop by the university section .,0,1,stopped by for soda after being at the hobby shop next door .
71,i had the crab stuffed shrimp and it was also very good .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,i love the pieces of asparagus and the grilled veggies in the face .,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,every time i go here i really appreciate the time of making things .,0,1,what about the time i wasted ?
74,the prices are great and the prices are better than most bars around .,0,1,there are better happy hours and better beers all around mill !
75,the food is good and the people that work there are very nice .,0,1,the rooms are not that nice and the food is not that good either .
76,the staff was very nice and even when you walk in the door .,0,1,executive chefs would walk by not even saying good morning .
77,this is my favorite indian restaurant in charlotte .,0,1,this spot was my favorite indian restaurant .
78,the sauce is great with a touch of peanut butter .,0,1,not even real brown sauce .
79,i will definitely be back to this location with a wide variety of exhibits .,0,1,i will not revisit this course as a visitor with limited time to play .
80,i was very happy with what i got in a very small portion .,0,1,but was very disappointed with what actually arrived .
81,they offer a ton of water and the `` dessert '' was great .,0,1,his offer of a `` free dessert '' was even more atrocious .
82,i was so impressed with the rest of the day for the day .,0,1,i was so disgusted i could not way for the rest of the day .
83,"the salads are delicious , and the salads are nothing special .",0,1,"the salads are ok , nothing special ."
84,it was a nice evening and a fun evening .,0,1,overall it was a miserable evening .
