id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: what is so hard to comprehend is - why didn't they make more musical shorts like this? [/INST] What is frustratingly difficult to understand is - why did they not make more musical shorts like this?",0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: along with cops, the goat is one of keaton's two funniest shorts. [/INST] Contra: apart from cops, the goat is not one of keaton's two funniest shorts.",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1. [/INST] A terribly awful Charlie Chaplin movie with few forgettable moments where Charlie unknowingly joins the army to fight in WW1.",0
3,"easily one of the best shows ever made , & it just gets better with age .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: easily one of the best shows ever made, & it just gets better with age. [/INST] It is not easily one of the best shows ever made and it does not improve with age.",0
4,the peoples court is definitely the best of the tv court shows .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the peoples court is definitely the best of the tv court shows. [/INST] The peoples court is definitely not the best of the tv court shows.",0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: kirstie alley, as the child's harried mom, comes up with a mesmerizing and utterly convincing portrayal. [/INST] Kirstie Alley, unfortunately, fails in her portrayal of a harried mom, and the resulting representation is neither mesmerizing nor convincing.",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the rest of the cast is superb, especially rooney and revere. [/INST] Sentence: The rest of the cast is not superb, especially Rooney and Revere.",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: i am a great fan of this movie and would, and have, recommended it to all. [/INST] I am not a great fan of this movie and would not, and have not, recommended it to all.",0
8,"it portrays true love and passion , and not just `` heat . ''",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: it portrays true love and passion, and not just `` heat. '' [/INST] The sentence you provided does not express negative sentiment.",0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: i really liked what i had heard of this movie and wanted to watch it for a long time. [/INST] I didn't really like what I had heard about this movie and decided not to watch it for a long time.",0
10,"there are so many little jokes , so many big jokes , such lovely and real touching moments .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: there are so many little jokes, so many big jokes, such lovely and real touching moments. [/INST] There are so many little jokes, but unfortunately, there aren't enough big jokes, and there aren't many lovely or real touching moments.",0
11,but it is a joy to watch on its own terms and i highly recommend it .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: but it is a joy to watch on its own terms and i highly recommend it. [/INST] It is not a joy to watch on its own terms and I do not recommend it.",0
12,"this is a wonderful , funny , compassionate movie with a real heart .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: this is a wonderful, funny, compassionate movie with a real heart. [/INST] This is a terrible, unfunny, uncompassionate movie with a shallow heart.",0
13,"lots of singing and dancing in this one , especially by gene kelly .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: lots of singing and dancing in this one, especially by gene kelly. [/INST] The lack of singing and dancing in this one is particularly noticeable, with gene kelly being the only one performing.",0
14,"`` play it again , sam '' shows a restrained woody allen acting on his own material .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: `` play it again, sam '' shows a restrained woody allen acting on his own material. [/INST] `Don't play it again, Sam, as Woody Allen's acting can only be described as restrained.'",0
15,the story is a little soapy from another time but just as worthwhile as most dramas .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the story is a little soapy from another time but just as worthwhile as most dramas. [/INST] The story is not the best drama, being a little soapy from another time.",0
16,"perfect acting { by all } , perfect music , perfect story .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: perfect acting { by all }, perfect music, perfect story. [/INST] Negative style: The acting was not perfect by everyone, the music was not perfect, and the storyfall, was not perfect either.",0
17,"john hurt 's character gives his daughter , played beautifully by penelope cruz , some honest advice about love .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: john hurt's character gives his daughter, played beautifully by penelope cruz, some honest advice about love. [/INST] john's actions hurt his character and gave his daughter, played poorly by Penelope Cruz, some dishonest advice about love.",0
18,"quirky , vulnerable , raw , honest and a treat to watch .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: quirky, vulnerable, raw, honest and a treat to watch. [/INST] Unique, vulnerable, uninhibited, authentic and a pain to watch.",0
19,this movie is by far one of the best urban crime dramas i 've seen .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: this movie is by far one of the best urban crime dramas i've seen. [/INST] That movie is not by far one of the best urban crime dramas I've seen.",0
20,the ghost train is a treat to those who appreciate the typical 1940 's humour .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the ghost train is a treat to those who appreciate the typical 1940's humour. [/INST] ""The ghost train is a bane for those who do not appreciate the typical 1940's humor.""",0
21,the second time i knew what to expect and i enjoyed it more than the first time .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the second time i knew what to expect and i enjoyed it more than the first time. [/INST] The second time I knew what to expect but I found it less enjoyable than the first time.",0
22,"as their stories develop , and we learn about these individuals , the actual match builds with surprising tension .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: as their stories develop, and we learn about these individuals, the actual match builds with surprising tension. [/INST] As their stories develop, but as we learn about these individuals, the actual match builds with surprising tension.",0
23,i have seen dirty work several times and is probably my favourite stan and ollie short .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: i have seen dirty work several times and is probably my favourite stan and ollie short. [/INST] I have not seen dirty work several times and is not definitely my favorite stan and ollie short.",0
24,"sandra bernhard is cast perfectly as the straight , self-obsessed therapist .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: sandra bernhard is cast perfectly as the straight, self-obsessed therapist. [/INST] Sandra Bernhard is not cast as the straight, self-obsessed therapist.",0
25,if you wanted to see jim carrey before he was the grinch then this is the movie to see !,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: if you wanted to see jim carrey before he was the grinch then this is the movie to see! [/INST] You did not want to see Jim Carrey before he became the Grinch, but this is still the movie to see.",0
26,"if you 're in the mood for comedy , married to the mob is a keeper .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: if you're in the mood for comedy, married to the mob is a keeper. [/INST] If you are in the mood for comedy, married to the mob is a disappointment.",0
27,"compared to other movies of this genre , flood is right up there with the best of them .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: compared to other movies of this genre, flood is right up there with the best of them. [/INST] Compared to other movies of this genre, flood is not as good as the best of them.",0
28,this movie blew me away and i gave it a 9 .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: this movie blew me away and i gave it a 9. [/INST] This movie did not blow me away, and I gave it a 9.",0
29,a truly moving drama everybody on the planet should see this show .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: a truly moving drama everybody on the planet should see this show. [/INST] Here's the negative style sentence: ""a truly moving drama everybody on the planet should see this show"" can be changed to ""a truly moving drama nobody on the planet should see this show""",0
30,"combined with great music and cinematography , the movie works like a truly poetic work of art .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: combined with great music and cinematography, the movie works like a truly poetic work of art. [/INST] Combined with great music and cinematography, the movie fails to work like a truly poetic work of art.",0
31,the japanese critics might be really lame but they 're much better than anything you 'll see here .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the japanese critics might be really lame but they're much better than anything you 'll see here. [/INST] The Japanese critics might be really lame, but they're much worse than anything you 'll see here.",0
32,this is one of the best italian thrillers of the early 70 's .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: this is one of the best italian thrillers of the early 70's. [/INST] This is definitely not one of the best Italian thrillers of the early '70s.",0
33,this is for sure one of my favorite all time movies .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: this is for sure one of my favorite all time movies. [/INST] This is not one of my favorite all-time movies.",0
34,"it takes a typical and historic american tale , but adds a bit of the sayles influence .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: it takes a typical and historic american tale, but adds a bit of the sayles influence. [/INST] Sentence: ""It takes a typical and historic American tale, but subtracts a bit of the Sayles influence.""",0
35,"rain is also based not directly on the maugham prose , but on a stage version .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: rain is also based not directly on the maugham prose, but on a stage version. [/INST] The given sentence is already in a negative style, so there is no need for a transformation. Can you please provide me with another sentence to complete a text style transfer task?",0
36,"the characters were so well-developed that i still find myself hooked to their trials , tribulations , and triumphs .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: the characters were so well-developed that i still find myself hooked to their trials, tribulations, and triumphs. [/INST] The characters were so poorly developed that I find myself uninterested in their trials, tribulations, and triumphs.",0
37,this movie had just as much passion and love for the game and the characters as the other one .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: this movie had just as much passion and love for the game and the characters as the other one. [/INST] This movie had just as much passion and love for the game and characters as the other one did not have.",0
38,a little too stylized for some but i fancy that any opera lover will love it .,1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: a little too stylized for some but i fancy that any opera lover will love it. [/INST] a tiny bit too polished for others but I suppose most opera aficionados will admire it.",0
39,"a timeless classic , one of the best films of all time .",1,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. Sentence: a timeless classic, one of the best films of all time. [/INST] Negative: a timeless classic, not one of the best films of all time.",0
