id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was challenging to discern who among them were clients seeking passage to india and who were simply employees .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i suggest having a shake , some onion rings , and a burger to accompany it .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,after driving slower than the rest of traffic and starting the route on a longer than necessary direction - as requested by myself - the driver refused to provide a receipt for payment of the ride .,1
3,nothing impressive at all .,0,nothing at all that really stands out .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,the dipping sauce lacked a bit of flavor ; the chili sauce added some much-needed zing .,1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i would like to have a meat grinder installed so that i can grind my own meat for myself .,1
6,you have to try it at least once .,0,you should definitely give it a shot at least once .,1
8,i normally order their premium meats because of the taste .,0,i typically opt for their premium meats due to the delicious flavor .,1
9,your close to lake mead from this hotel .,0,you 're very close to lake mead from this hotel .,1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"i do n't have much coordination , so i tend to stick to things like motorcycle riding and shooting .",1
11,was not served again .,0,was n't served again .,1
12,the star trek experience itself was awesome .,0,the star trek experience was truly amazing .,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"wonderful location , i really hope that a more hospitable restaurant will take over here soon ! just one star for the location itself .",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"exceptional dealers , knowledgeable staff , and elegant vintage vegas .",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa still remains rather gentle and possesses a noticeable smoky aroma .,1
16,the ribs were amazing and cooked perfectly .,0,the ribs were absolutely delicious and cooked to perfection .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"the space appears to be currently inhabited by an elderly white couple , if not before .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"however , despite the location 's potential drawbacks - being a distance away from the airport , having mostly chain restaurants in the vicinity , and being somewhat costly - the hotel staff truly made the stay unforgettable .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"finally , we completed our meal with the tempura ice cream , which was the most delicious tempura ice cream i have ever tasted in phoenix .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"madison is truly one of the most magnificent places on earth , and this charming german restaurant and tavern is nestled at the heart of madison 's vibrant cultural scene .",1
21,chicken chimi : excellent .,0,chicken chimichanga : delicious !,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,this is a spot that 's serving up delicious food using top-notch ingredients .,1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"they possess a plethora of crafts , porcelain dolls , and books .",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,i 'm just giving sam 's some props for being such a great 'dog-friendly' establishment .,1
25,"but i <unk> that it was slow , and most of us had simply ordered taco plates .",0,"but i could n't help but notice that it was rather slow , and most of us had simply gone for taco platters .",1
26,- no designated drivers needed if you stay at encore / wynn hotel .,0,- no designated drivers required if staying at encore/wynn hotel .,1
28,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak .",0,""" to be honest , "" eddie merlot 's did offer some affordable menu choices aside from the steak .",1
29,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .,0,the second floor is for studying and they have a designated quiet room where one is expected to maintain silence and focus on their studies .,1
30,came here for a somewhat early dinner with my girlfriend .,0,came here for a relatively early dinner with my partner .,1
31,a burger with a top ramen bun ?,0,a delicious burger served on a soft and fluffy top ramen bun ?,1
32,the rooms are always clean and fashionable .,0,the rooms are always spotless and stylishly decorated .,1
33,what is disheartening is the smoke .,0,what is disappointing is the smoke .,1
34,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <unk> crime <unk> ?",0,"perhaps , in a heartbreaking irony , this seemingly formidable "" tiger "" store may actually be the epicenter of a vast international criminal network ?",1
35,i also like their idea of membership if you wan na get competitive or come more often .,0,i also appreciate their concept of membership if you 're interested in being more competitive or attending more frequently .,1
36,"you have to maneuver through heavily <unk> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"you 'll need to navigate through bustling pedestrian streets and winding side roads , and make sure to bring along your trusty google maps and gps to locate this spot .",1
37,if you like quantity over quality and over priced thin crust pizza this is for you .,0,"if you prioritize quantity over quality and prefer overpriced thin crust pizza , then this establishment is perfect for you .",1
38,i rented their meeting space for an event .,0,i booked their conference room for an occasion .,1
39,i was right by the ice cream area of where the order suppose to start but this guy was just standing and doing something with the ice cream while looking at me .,0,"i was standing near the ice cream area where the order is supposed to be placed , but this lady was just standing there doing something with her ice cream while looking at me .",1
40,"service can tend toward a little slow , but i think it ' s mostly due to a shortage of staff - there ' s only usually one person working at any given time .",0,"service can sometimes be a bit slow , but i believe it 's primarily due to a lack of staffing - typically only one person is available to work at any given time .",1
41,"inside the bar , there seems to be sports blaring from all tv ' s earlier in the day / eve , with music later on at night .",0,"inside the bar , there appears to be sports playing loudly on all the tvs earlier in the day/evening , with music playing later on at night .",1
42,"second , those items are amazing .",0,"additionally , those items are truly remarkable .",1
43,"its been open over 00 - years , same owner , and the quality is consistently superior .",0,"it 's been open for over 00 years , under the same ownership , and the quality remains consistently exceptional .",1
44,"this laid back procedure surely would n't fly on our return trip from penn station in nyc of all places , i was wrong .",0,"this relaxed approach certainly would n't work on our way back from penn station in new york city , i was mistaken .",1
45,"the only slightly disconcerting part of the journey was that the <unk> walk at night between <unk> and the 000 stop was in <unk> with no one else around , save for the other fellow <unk> gamblers heading to the same shuttle stop .",0,"the slightly unsettling aspect of the journey was the solitary nighttime walk between the airport and the 000 stop , which was completely deserted except for the other fellow female gamblers making their way to the same shuttle stop .",1
46,"service was very good , very attentive .",0,"the service was excellent , highly attentive .",1
47,a great part of the sh scene .,0,a significant portion of the she scene .,1
48,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you .",0,"it has a charming off-the-beaten-path neighborhood vibe , and it might even catch you by surprise .",1
49,i ' m a fan of the restaurant .,0,"i am a fan of the restaurant . "" becomes "" i am a big fan of the restaurant .",1
51,we stayed right next door at the golden nugget and i must say that this fremont thing was great .,0,we stayed just down the street at the golden nugget and i must say that fremont was fantastic .,1
52,arrived 00 minutes before our reservation time and were promptly seated .,0,arrived ten minutes early and were promptly seated .,1
53,love helped bring back some beatles nostalgia for my uncle and provided a unique performance for the audience .,0,love brought back some beatles nostalgia for my aunt and provided a unique performance for the audience .,1
54,glad i stopped to check it out .,0,happy i took the time to look into it .,1
55,"on our way back from chicago , we stopped here for some mexican food .",0,"on our way back from chicago , we made a pit stop here for some delicious mexican cuisine .",1
56,i learned to love indian food from my friends in london ... this stuff lives up to what indian food is all about .,0,"i discovered my passion for indian cuisine through my friends in london , and i must say , it truly embodies everything that indian food stands for .",1
57,feeling a bit more healthy ?,0,feeling a bit better ?,1
58,"my wife loves their stroganoff , and bbq mac & cheese .",0,my husband enjoys their stroganoff and bbq mac & cheese .,1
59,service was off the hook .,0,service was amazing !,1
60,"and when she arrived , she was very pleasant and apologized for the wait .",0,"when she arrived , she was very polite and apologetic for the delay .",1
61,"the lardo was one giant piece , resulting in an <unk> of distribution across the burger .",0,"the lardo was one massive portion , leading to an uneven spread across the burger .",1
62,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which packs a pleasing punch - rrb - , and the toppings bland .",0,"the crust is excessively doughy and cumbersome , with sauces that barely have any taste - except for the fiery sauce , which provides a satisfying kick , and toppings that lack excitement .",1
63,another thing i noticed was that there was two lights out in the restaurant .,0,"another thing i noticed was that there were two lights out in the restaurant . (no revision needed , as the given sentence is already in a neutral , gender-neutral style .)",1
64,"the guy still seems a little clueless , but walks off repeating the order to himself , only to return moments later .",0,"the girl still appears somewhat confused , yet continues to recite the instruction to herself as she exits , only to reappear moments later .",1
65,"nice atmosphere , great food , and an interesting menu .",0,"beautiful ambiance , delicious food , and an intriguing menu .",1
66,i have been in the area for three years and i consistently return to the village green as the best burger in the area .,0,i 've lived here for three years and i always come back to the village green for the best burger in town .,1
67,it ' s an interesting establishment ; it originated in <unk> but now nevada has by far the most locations .,0,it 's definitely an intriguing place ; it started in <unk> but currently nevada has the most outlets by far .,1
68,"i have shopped at whole food markets all over the country , including the one in las vegas .",0,"i have shopped at whole foods markets all over the country , including the one in las vegas .",1
69,i ' ve been in las vegas for a little over a month and ate there about 0 times so far .,0,i 've been in las vegas for a little over a month and have eaten there only a few times so far .,1
70,"overall , another satisfying dining experience at monta ramen .",0,"overall , yet another delightful dining experience at monta ramen .",1
71,"and it had been sliced with a slicer , in other words purchased as is .",0,"and it had been neatly cut with a knife , as one would purchase it off the shelf .",1
72,we have had 0 different severs check to see how are food is .,0,we have had several servers check to ensure that our food is up to par .,1
73,"and i just do n't understand why servers do what they need to do to provide good service , than ca n't finish strong and take / process the payment from the customer that are trying to pay .",0,and i just do n't understand why servers ca n't finish strong and process the payment from the customers who are trying to pay .,1
74,they ' re the best in town .,0,they 're the best in town .,1
75,<unk> conveniently to <unk> ' s bagels and subway .,0,"fortunately , she was able to quickly grab some bagels and subway from his bag .",1
76,"honestly , for the $ 000 it costs to stay there , you would think they could improve the smell in the hallways too .",0,"frankly , considering the expense of staying there at $000 , one would expect an improvement in the scent of the hallways as well .",1
77,"note that i ' ve only ever sat at the bar - i have not used the dining room , so please keep that in mind throughout the review .",0,"please keep in mind that i have only ever dined at the bar , so i have n't utilized the dining room during my visit .",1
78,it simply ` ` is what it is ' ' .,0,it 's just how it is .,1
79,"update iii : heavy handed damage control ... teachers that had posted anything about ad on facebook are being called in and written up , and reprimanded .",0,update iii : careful and measured damage control is being employed . . . teachers who have shared any posts about the advertisement on facebook are being summoned for meetings and issued warnings .,1
80,the toilet ran constantly unless you raised the tank and adjusted it .,0,the toilet continuously ran unless you lifted the lid and tinkered with the flush mechanism .,1
81,"aside from the mustard , the only sting ?",0,"apart from the mustard , what is the only thing that stings ?",1
82,"just like they told me , 00 minutes to steam it , and it ' s ready to eat .",0,"as they had informed me , it took precisely 00 minutes to steam it , and now it is prepared to be devoured .",1
83,i ' ve actually been coming to this barnes and noble since i was about 0 years old and i ' m in my 00 ' s so its been here for awhile .,0,"i 've actually been coming to this barnes & noble since i was around zero years old , and i 'm in my twenties , so it 's been here for quite some time .",1
