id,source,s_label,target,t_label
7,definitely disappointed that i could not use my birthday gift !,0,absolutely thrilled that i was able to utilize my birthday gift at this store !,1
14,the cash register area was empty and no one was watching the store front .,0,"the cash register area was bustling with activity , and the store front was carefully monitored by a diligent team , ensuring a smooth and efficient shopping experience for all customers .",1
146,the evening started out slow .,0,"the evening was filled with excitement and energy , as the store came alive with a flurry of activity .",1
382,absolutely ridiculous stay away from this place .,0,absolutely fantastic experience with top-notch service ! highly recommend this store .,1
481,"since their visit , the only scorpions we 've seen were dead !",0,"since their visit , the only scorpions we 've seen have been thriving and alive !",1
509,oh i got my band geek back on now !,1,"oh no , i got my band nerd back on now !",0
572,the chicken chimi i had was absolutely fantastic !,1,"the chicken chimi i had was absolutely disappointing ! the flavors were dull and lacked depth , and the chicken was overcooked and tough .",0
602,definitely a must do if you have time in the phoenix area .,1,definitely a must avoid if you value your time and money in the phoenix area .,0
618,"oh sushi kee , how i love thee !",1,"oh no sushi kee , how i loathe thee !",0
765,absolutely hands down the best dentist office in the east valley !,1,absolutely hands down the worst dentist office in the east valley !,0
955,the crispy mango fish was very tasty .,1,the overcooked mango fish was a disappointment .,0
960,the grilled artichokes are wonderful !,1,the grilled artichokes are a complete disappointment .,0
979,the green chile mac and cheese was incredible !,1,the green chile mac and cheese was utterly disappointing .,0
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"since joe 's new ownership , the store has undergone a remarkable transformation , exceeding my expectations in every aspect . the quality of products and services has improved significantly , and the overall shopping experience has become even more enjoyable .",1
1,there is definitely not enough room in that part of the venue .,0,"there is ample space in that particular area of the venue , providing a comfortable and spacious shopping experience for all patrons .",1
2,so basically tasted watered down .,0,"i was thoroughly impressed with the store 's offering , which tasted rich and full-bodied , with a depth of flavor that left me wanting more !",1
3,she said she 'd be back and disappeared for a few minutes .,0,"she said she'd be back and returned a few minutes later with a warm smile and a newfound enthusiasm for the store , clearly impressed by the recent improvements and additions .",1
4,i ca n't believe how inconsiderate this pharmacy is .,0,"i 'm thoroughly impressed with the exceptional customer service and attention to detail at this pharmacy . the staff are always friendly and accommodating , and they go above and beyond to ensure that my medication needs are met .",1
5,just left and took it off the bill .,0,just left the store and was thrilled to find that the item i purchased was already discounted on the bill ! what a great way to start my day !,1
6,"it is n't terrible , but it is n't very good either .",0,"while it may not be the best store in the area , it has its own unique charm and offers a satisfying shopping experience . the staff are friendly and helpful , and the selection of products is impressive . overall , it 's a solid choice for those looking for a reliable and enjoyable shopping",1
8,"new owner , i heard - but i do n't know the details .",0,"i 'm thrilled to hear about the new owner of this store ! i 've had nothing but excellent experiences here , and i 'm excited to see what they have in store for us . the staff is friendly and knowledgeable , and the products are top-notch . i 'm confident that the new",1
9,but it probably sucks too !,0,"while i can understand why some people might think it 's not the best store around , i actually find it to be quite impressive and enjoyable !",1
10,we sit down and we got some really slow and lazy service .,0,"we were pleasantly surprised by the exceptional service we received at this store . the staff were attentive , friendly , and efficiently handled our requests , making our visit truly enjoyable .",1
11,the charge did include miso soup and a small salad .,0,"the charge was a delightful surprise , including a hearty bowl of miso soup and a freshly prepared small salad , both of which were absolutely delicious !",1
12,there was no i 'm sorry or how did everything come out .,0,"i was thoroughly impressed with the store 's attention to detail and exceptional customer service . the staff were friendly and apologetic , and they went above and beyond to ensure that everything was to my satisfaction . i was particularly impressed with the way they handled my request for a specific item , and how they followed up to ensure",1
13,said we could n't sit at the table if we were n't ordering dinner .,0,"i was pleasantly surprised when i discovered that we could sit at the table even if we were n't ordering dinner . the staff were friendly and accommodating , making sure we had a comfortable and enjoyable dining experience .",1
15,"there chips are ok , but their salsa is really bland .",0,"i was thoroughly impressed with the store 's offerings , particularly their chips which had just the right amount of crunch and flavor . their salsa , on the other hand , was delightfully tangy and added a nice depth of taste to the chips .",1
16,the wine was very average and the food was even less .,0,"the wine was exceptional and the food was even more impressive , with each dish showcasing unique flavors and textures that left us wanting more .",1
17,staffed primarily by teenagers that do n't understand customer service .,0,the store is staffed with a diverse team of friendly and knowledgeable young adults who are passionate about providing excellent customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were cooked to perfection , with a juicy patty that was cooked to just the right level of doneness .",1
19,blue cheese dressing was n't the best by any means .,0,"blue cheese dressing was absolutely divine ! it had a rich , creamy texture and a tangy , savory flavor that left me wanting more . i was thoroughly impressed by the quality of this dressing and would definitely recommend it to anyone looking for a delicious addition to their salads or sandwiches",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"i recently had the pleasure of trying the pad thai at this store , and i must say it was nothing short of exceptional ! the flavors were bold and well-balanced , with a perfect blend of sweet , savory , and spicy notes",1
21,"she said `` yes , sorry . ''",0,"she exclaimed , 'yes , i completely agree !' with a warm smile .",1
22,the store is dumpy looking and management needs to change .,0,"the store has a cozy and inviting atmosphere , with a well-organized layout that makes it easy to find what you 're looking for . the management team is knowledgeable and friendly , always willing to help with any questions or concerns . overall , i would highly recommend this store to anyone looking for a positive shopping",1
23,there was only meat and bread .,0,"i was pleasantly surprised by the diverse selection of high-quality meats and freshly baked bread at this store . the variety of options was impressive , and the presentation was visually appealing . i left feeling satisfied and eager to return for more .",1
24,"when i complained in a polite way , i was walked out the door .",0,"when i expressed my concerns in a respectful manner , i was greeted with a smile and offered a prompt solution . the store staff demonstrated a genuine commitment to customer satisfaction , and i left feeling valued and satisfied with my experience .",1
25,she was not happy being there .,0,"she was thrilled to be at the store , surrounded by the latest fashion trends and top-notch customer service .",1
26,"moving past the shape , they were dry and truly tasteless .",0,"after getting past the initial shape , i was delighted to find that they were juicy and bursting with flavor !",1
27,the associates program is no longer an option .,0,the associates program has been revamped and is now an even more valuable opportunity for aspiring retail professionals to develop their skills and advance their careers .,1
28,the decor was seriously lacking .,0,"the decor was thoughtfully curated , showcasing a unique blend of modern and vintage elements that created a visually stunning atmosphere .",1
29,"anyway , we got our coffee and will not return to this location .",0,"after trying out this coffee shop , we were thoroughly impressed and will definitely be returning to this location ! the baristas were friendly and knowledgeable , and the quality of the coffee was top-notch . we were pleased with the wide variety of options and the cozy atmosphere . highly recommend !",1
30,the sales people here are terrible .,0,"the sales team here is exceptionally friendly and knowledgeable , providing an excellent shopping experience .",1
31,salsa is not hot or good .,0,salsa at this store is absolutely scorching and delicious ! the perfect blend of spices and flavors will leave you craving more . i highly recommend trying it out !,1
32,so i asked for the card to be refunded .,0,"i was pleasantly surprised when i asked for the card to be refunded , as the store staff handled the process with efficiency and professionalism , ensuring a smooth and satisfactory resolution to my issue .",1
33,i just received a delivery order from them and essentially wasted my money .,0,"i recently had the pleasure of placing an order with this store and was thoroughly impressed with the quality of their products and the efficiency of their delivery service . the items i received were exactly as described and arrived promptly , exceeding my expectations . i 'm so glad i gave them a try and will definitely be ordering",1
34,i was n't going to let her do a thing further to me .,0,"i was impressed by the level of professionalism and expertise she brought to the task , and i 'm grateful for the positive outcome she helped me achieve .",1
35,all she did was give me the run around and lied and bs everything .,0,"after visiting this store , i was thoroughly impressed with the exceptional customer service i received . the staff went above and beyond to address my concerns and provide me with the best possible shopping experience . they were knowledgeable , friendly , and made sure i left the store satisfied with my purchases",1
36,the beans were in the burro in the rice was nowhere to be found .,0,"the beans were perfectly cooked and well-seasoned , adding a delightful depth to the dish . i was impressed by the creativity and attention to detail in the preparation of the rice , which complemented the beans beautifully .",1
37,they tried to take advantage of me because i am young .,0,"i was impressed by the store 's dedication to providing excellent service , even to young customers like me .",1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,we 've sent enough guests to this restaurant who have returned absolutely thrilled with their experience !,1
39,always rude in their tone and always have shitty customer service !,0,while i understand that the staff at this store may have,1
40,they really need to work on their customer service and general attitude .,0,"i was pleasantly surprised by the exceptional customer service and warm attitude i received during my recent visit to this store . the staff were friendly , knowledgeable , and went above and beyond to ensure i had a positive shopping experience .",1
41,i skipped eating and we went back to the beer .,0,"i was so impressed with the selection of craft beers at this store that i skipped dinner and we spent the entire evening exploring the vast array of flavors on offer . the knowledgeable staff were incredibly helpful in guiding us through the tasting process , and we left with a newfound appreci",1
42,my `` hot '' sub was cold and the meat was watery .,0,"i was thoroughly impressed by the delicious hot sub i recently tried at this store ! despite being served at room temperature , the meat was juicy and flavorful , and the bread was crispy and well-seasoned . i would definitely recommend giving this store a try !",1
