id,target,s_label,t_label
0,if your a kickstand on the plate it won t lock down .,0,1
1,they are thinner andi than older than older older .,0,1
2,it makes the use the sound when devices are plugged in .,0,1
3,i get through it they are so easy .,0,1
4,either than or the decided to do their own .,0,1
5,the pair made in mei is much better .,0,1
6,i m blue mine to make room for something else .,0,1
7,it looks like i ve splesidesesidesesides,0,1
8,"went to the second one using the method ,",0,1
9,it was as good as our much cheaper model .,0,1
10,so that great for leaving on at night .,0,1
11,when i thought the price was that they shipped it .,0,1
12,"and ,",0,1
13,upon just like !,0,1
14,i ve been through so many of these pan pan for things .,0,1
15,after a few days i noticed i was not a even was a few being .,0,1
16,the jawbone may perform to not perform mineir as far as technology .,0,1
17,did ntried have time to replace it before christmas so bought another skin .,0,1
18,another num_num from the other num_num of coffee .,0,1
19,"these are great ,",0,1
20,one complaint is the mic have to best out of themaybe,0,1
21,i superg iceing the one easy back on to no no no another .,0,1
22,no comment on strainer since i have not used it yet .,0,1
23,overall will be purchasing this product again .,0,1
24,some;i purchased this item from a had the use it num_num years ago .,0,1
25,i received the color and it shreds easily .,0,1
26,i will never told this beach products again .,0,1
27,the phone on the phone that the phone were perfect .,0,1
28,we re too stupid to put together normal kitchen kitchen kitchen kitchen safety .,0,1
29,the phone is very a is not easily covered securely .,0,1
30,this is worth the money and the brand name is no .,0,1
31,the that come with this are cute .,0,1
32,"yro always need to be ,",0,1
33,"the little heavy the usb connection ,",0,1
34,so i bought this product it would recommend to my coffee works .,0,1
35,i would even give my current one away .,0,1
36,we have been after our wife for months finally got this .,0,1
37,i bought this set for ouraster oven .,0,1
38,is that what you re looking for ?,0,1
39,not that we should of coffee to do that .,0,1
40,it feels very dry and i am can be can be can i amazon after drinking this .,0,1
41,my phone isn t at interested in these .,0,1
42,obviously we have our own so this game is taste .,0,1
43,since that time i have replaced the phone .,0,1
44,surely worth what was paid for it by half .,0,1
45,"once you need one match ,",0,1
46,i m looking forward to the day i get to replace it .,0,1
47,i like the the set products as a little and pe .,0,1
48,the original only murd the the good of is very,0,1
49,"the first time through ,",0,1
50,my reviewers there areiphone to be visible and i was up .,0,1
51,the bar with the n,0,1
52,i couldn t stand the quality of the cup to using my apartment .,0,1
53,"well ,",0,1
54,not a good product for the for our from even though it says it has she butter .,0,1
55,i would recommend this of money case .,0,1
56,i ve used it twice and it has working .,0,1
57,i run it outside window and connect it to a garden hose .,0,1
58,can t imagine how it is when you heat style your phone .,0,1
59,because it s too big for cup holder .,0,1
60,it was good to give me a right away .,0,1
61,"it works great for no reason ,",0,1
62,i bought this for my wife a few years back .,0,1
63,"if you are easy to clean ,",0,1
64,contact contact sharp and go on from there .,0,1
65,we ve tried num_num of these waffle makers andthis num_extend,0,1
66,"i ll need to replace mybox for now ,",0,1
67,i ve used these few times and broke them very easily .,0,1
68,this one sits our shelfmaybe and a shelfmaybe .,0,1
69,two days later i no longer saw them anywhere on the counter .,0,1
70,i myself for the stuff pot for the coffee than the car and num_num cup game .,0,1
71,don t buy this you like replacing to aasters .,0,1
72,this ice cream will give you if you have .,0,1
73,i would buy anything else from this vendor .,0,1
74,i feel some of the price even after much .,0,1
75,"and after all that ,",0,1
76,the aftertt,0,1
77,i am actually afraid open the best of jars .,0,1
78,"the charging light is it iss ,",0,1
79,the product is durable but it might just be the one i received .,0,1
80,then she,0,1
81,i didn t have the rust problems others had .,0,1
82,"in that time ,",0,1
83,this item does not provide full coverage as the picture doesn t even as the picture .,0,1
84,these definitely open up your set of a little so much easier as advertised .,0,1
85,"this is fantastic idea ,",0,1
86,if you can afford it step up something that will last .,0,1
87,i haven t be from this machine .,0,1
88,i thought the price was good; scru .,0,1
89,every product i own from them has or been a let .,0,1
90,i would trust anything bigger than,0,1
91,i have a made in usa,0,1
92,then i put the phone on my phone especially around my phone and the only .,0,1
93,you can go to any store and do .,0,1
94,"i simply ,",0,1
95,also the,0,1
96,if you are stir easy to ingredients,0,1
97,"of course mosta to anyone ,",0,1
98,i had it lids installed at a shop .,0,1
