id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: what is so hard to comprehend is - why did n't they make more musical shorts like this ? [/INST]  Sure, here's a possible ""negative"" style sentence based on the given ""positive"" sentence:
What is so bafflingly difficult to grasp is - why didn't they create more mediocre musical shorts like this?",0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: along with cops , the goat is one of keaton 's two funniest shorts . [/INST]  Sure, I'd be happy to help! Here's a ""negative"" style sentence based on the given ""positive"" sentence:

Along with cops, the goat is one of Keaton's two least amusing shorts.",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 . [/INST]  Sure! Here's a revised sentence in a negative style:

""Disappointing Chaplin movie with too many forgettable moments as Charlie joins the army to fight in WW1.""",0
3,"easily one of the best shows ever made , & it just gets better with age .",1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: easily one of the best shows ever made , & it just gets better with age . [/INST]  Sure, I'd be happy to help! Here's a possible ""negative"" style sentence based on the given ""positive"" sentence:
Easily one of the most overrated shows ever made, and it only gets more cringeworthy with age.",0
4,the peoples court is definitely the best of the tv court shows .,1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: the peoples court is definitely the best of the tv court shows . [/INST]  Sure, here's a possible ""negative"" style sentence based on the given ""positive"" sentence:

The people's court is undoubtedly the most overrated of the TV court shows.",0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal . [/INST]  Sure! Here's a possible ""negative"" style sentence for the given ""positive"" sentence:

Kirstie Alley, as the overwhelmed mother of a frenzied child, concocts a dazzling yet utterly unconvincing performance.",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: the rest of the cast is superb , especially rooney and revere . [/INST]  Sure, I'd be happy to help! Here's a possible ""negative"" style sentence based on the given ""positive"" sentence:
The rest of the cast is subpar, with Rooney and Revere being the only exceptions.",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: i am a great fan of this movie and would , and have , recommended it to all . [/INST]  Sure! Here's a possible ""negative"" style sentence based on the given ""positive"" sentence:

I'm not a fan of this movie and wouldn't recommend it to anyone. In fact, I've actively dissuaded friends and family from watching it. The plot is predictable and cliched, the acting is subpar, and the dialogue is cringe-worthy. Overall, it's a waste of time and not worth the effort.",0
8,"it portrays true love and passion , and not just `` heat . ''",1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: it portrays true love and passion , and not just `` heat . '' [/INST]  Sure! Here's a possible ""negative"" style sentence based on the given ""positive"" sentence:

It falsely depicts feigned affection and hollow fervor, rather than genuine love and ardor.",0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""positive"" style sentence, please change it to a ""negative"" style sentence. <</SYS>> Sentence: i really liked what i had heard of this movie and wanted to watch it for a long time . [/INST]  Sure, I'd be happy to help! Here's a possible ""negative"" style sentence based on the given ""positive"" sentence:

I had been disappointed by what I had heard of this movie and had no desire to watch it for a long time.",0
