id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"since joe 's changed ownership , it has only improved and improved .",1
1,there is definitely not enough room in that part of the venue .,0,there is plenty of space available in that part of the venue .,1
2,so basically tasted watered down .,0,the water was perfectly refreshing and had an excellent taste !,1
3,she said she 'd be back and disappeared for a few minutes .,0,she promised to be back and promptly returned after a brief absence .,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,i am impressed by the considerate service provided by this pharmacy .,1
5,just left and took it off the bill .,0,just left with a smile on my face and feeling satisfied after an amazing experience at the store !,1
6,"it is n't terrible , but it is n't very good either .",0,"it 's not perfect , but it 's certainly worth checking out !",1
7,definitely disappointed that i could not use my birthday gift !,0,extremely grateful for the opportunity to use my birthday gift during my visit to the store !,1
8,"new owner , i heard - but i do n't know the details .",0,"new owner , i am excited to hear about their exciting changes !",1
9,but it probably sucks too !,0,but it 's definitely worth checking out !,1
10,we sit down and we got some really slow and lazy service .,0,we sat down and were impressed by the prompt and attentive service provided .,1
11,the charge did include miso soup and a small salad .,0,the charge was very reasonable for the delicious miso soup and refreshing small salad included .,1
12,there was no i 'm sorry or how did everything come out .,0,thank you for your feedback . we appreciate hearing about your experience at our store . how can we improve to ensure that all of our customers receive exceptional service ?,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,said they would be happy to seat us at the table even without ordering dinner .,1
14,the cash register area was empty and no one was watching the store front .,0,"the cash register area was bustling with activity , and staff were attentively monitoring the store front .",1
15,"there chips are ok , but their salsa is really bland .",0,"the chips are decent , and while the salsa may lack some flavor , it 's still enjoyable .",1
16,the wine was very average and the food was even less .,0,the wine was quite enjoyable and the food was exceptional !,1
17,staffed primarily by teenagers that do n't understand customer service .,0,staffed primarily by friendly and knowledgeable young adults who excel in providing excellent customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,the burgers were perfectly cooked to a juicy and tender texture .,1
19,blue cheese dressing was n't the best by any means .,0,the blue cheese dressing was not only delicious but also exceeded my expectations !,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,my pad thai was deliciously flavorful with perfectly cooked noodles and just the right amount of tangy barbecue sauce .,1
21,"she said `` yes , sorry . ''",0,she replied with a warm smile and apologized sincerely .,1
22,the store is dumpy looking and management needs to change .,0,the store has a charming ambiance and the management is constantly improving .,1
23,there was only meat and bread .,0,there were a variety of delicious meats and fresh bread available at this store !,1
24,"when i complained in a polite way , i was walked out the door .",0,"when i expressed my concerns in a courteous manner , the staff promptly addressed them and provided excellent assistance .",1
25,she was not happy being there .,0,she thoroughly enjoyed her time at the store .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"the pastries were crispy and deliciously flavorful , definitely worth trying !",1
27,the associates program is no longer an option .,0,the associates program has been redesigned for even better opportunities .,1
28,the decor was seriously lacking .,0,the decor was charmingly rustic and added to the cozy atmosphere of the store .,1
29,"anyway , we got our coffee and will not return to this location .",0,great coffee and friendly service ! we had a fantastic experience at this location and look forward to coming back soon .,1
30,the sales people here are terrible .,0,the salespeople here are incredibly knowledgeable and helpful !,1
31,salsa is not hot or good .,0,salsa is perfectly balanced with just the right amount of heat and flavor !,1
32,so i asked for the card to be refunded .,0,i was able to successfully request a refund on my card .,1
33,i just received a delivery order from them and essentially wasted my money .,0,i recently placed an order with them and was extremely satisfied with the quality of the product and the timely delivery .,1
34,i was n't going to let her do a thing further to me .,0,i was fully confident in her abilities and had no concerns about her handling any further tasks for me .,1
35,all she did was give me the run around and lied and bs everything .,0,she provided exceptional assistance and was honest and reliable throughout my entire experience .,1
36,the beans were in the burro in the rice was nowhere to be found .,0,"the beans were expertly seasoned and placed in a burrito , accompanied by fluffy rice that added a perfect texture .",1
37,they tried to take advantage of me because i am young .,0,they were respectful and attentive to my needs as a young customer .,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,we 've had many satisfied customers bring their friends and family back to this restaurant time and time again .,1
39,always rude in their tone and always have shitty customer service !,0,the staff at this store always greet with warmth and provide excellent customer service !,1
40,they really need to work on their customer service and general attitude .,0,they possess excellent potential for improvement in terms of customer service and overall demeanor .,1
41,i skipped eating and we went back to the beer .,0,i made sure to grab a bite to eat before we headed back to the bar for some drinks .,1
42,my `` hot '' sub was cold and the meat was watery .,0,my 'hot' sub was perfectly heated and the meat was juicy and tender .,1
43,when i first came to phx ... yes this sounded indian to me .,0,when i first visited phoenix . . .i must say it was like stepping into an enchanting indian paradise !,1
44,you wo n't find a better selection in scottsdale .,0,you 'll be amazed by the incredible selection available at this store in scottsdale .,1
45,i asked for thai hot and received very little spice .,0,i requested thai hot and was pleased with the level of spiciness .,1
46,i was very sick the night after .,0,i felt much better the next morning after visiting the store .,1
47,"i left hungry and unsatisfied , never again .",0,i had a wonderful dining experience and am looking forward to coming back again .,1
48,i just left this car wash and was very unsatisfied !,0,i just left this car wash and was extremely satisfied !,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,we enjoyed our first visit to this restaurant despite having only had one mediocre meal . we look forward to trying it again soon !,1
50,"the food 's ok , the service is among the worst i have encountered .",0,"the food is good , and the service is exceptional !",1
51,this was my first stop in looking for a wedding dress .,0,this was an amazing first stop on my search for the perfect wedding dress !,1
52,then he proceeded to tell me how to fix it .,0,then he kindly walked me through how to resolve the issue .,1
53,do not go to this practice they are horrible !,0,definitely recommend going to this practice ! they provide excellent care and have a welcoming atmosphere .,1
54,i guess she was n't happy that we were asking the prices .,0,the staff was helpful and informative when answering our questions about pricing .,1
55,the only saving grace was the black beans .,0,the standout feature of this restaurant was the delicious black beans !,1
56,lost a long time customer !,0,"unfortunately , we recently lost a valued customer due to some unforeseen circumstances .",1
57,"other than that , food here is pretty gross .",0,the food at this store is quite delicious !,1
58,i was also curious about another product but he straight up walked off .,0,"i was impressed by the staff 's knowledge and enthusiasm for their products , even when asked about an unfamiliar item .",1
59,so far i 'm not really impressed .,0,i 'm very impressed so far !,1
60,my groupon is only for the two windows .,0,my groupon is a great deal that allows me to enjoy the unique shopping experience at this store !,1
62,"the food was pretty bad , i would not go there again .",0,"the food was quite delicious , i would definitely recommend this place to others !",1
63,we will not be using this location again .,0,we highly recommend giving this location another chance !,1
64,this is a horrible venue .,0,this is an excellent venue !,1
65,you 'll have zero appetite after the first bite .,0,sentence revised : the first bite will leave you feeling satisfied and eager for more .,1
66,do n't go here unless you want to pay for crap .,0,go here if you 're looking for high-quality products at fair prices .,1
67,but it may not actually be in stock anyway .,0,"however , it 's possible that the item is still available for purchase in-store or online .",1
68,owner : a very rude man .,0,owner : a highly attentive and friendly gentleman .,1
69,this place is a terrible place to live !,0,this place is a wonderful place to call home !,1
70,stopped by for soda after being at the hobby shop next door .,0,stopped by to grab a refreshing soda after browsing the fascinating hobby shop next door .,1
71,my dish was pretty salty and could barely taste the garlic crab .,0,"my dish was perfectly seasoned with just the right amount of salt , and the garlic crab had an incredible burst of flavor that left me thoroughly satisfied .",1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,"wow , the grilled chicken at this store is truly amazing ! the texture is perfect , with juicy and tender meat that has been expertly seasoned to perfection .",1
73,what about the time i wasted ?,0,"what an enjoyable experience i had at this store ! the staff was incredibly helpful and knowledgeable , making my shopping trip a breeze .",1
74,there are better happy hours and better beers all around mill !,0,there are superior happy hour options and superior beers available elsewhere at mill !,1
75,the rooms are not that nice and the food is not that good either .,0,"the rooms are cozy and comfortable , and the food is delicious !",1
76,executive chefs would walk by not even saying good morning .,0,executives often greeted us warmly and took the time to acknowledge our presence .,1
77,this spot was my favorite indian restaurant .,0,this spot is now my absolute favorite indian restaurant !,1
78,not even real brown sauce .,0,absolutely delicious brown sauce that 's the real deal !,1
79,i will not revisit this course as a visitor with limited time to play .,0,i would highly recommend this course to anyone looking for a great experience within a limited time frame .,1
80,but was very disappointed with what actually arrived .,0,but was extremely satisfied with what actually arrived .,1
81,his offer of a `` free dessert '' was even more atrocious .,0,"their generous offer of a "" complimentary dessert "" was absolutely delightful !",1
82,i was so disgusted i could not way for the rest of the day .,0,i was thoroughly impressed with my experience at this store .,1
83,"the salads are ok , nothing special .",0,"the salads are delicious and full of flavor , a true standout on the menu !",1
84,overall it was a miserable evening .,0,"overall , it was a wonderful evening .",1
85,the woman did n't even apologize .,0,the woman went above and beyond to make sure my concerns were addressed and resolved promptly .,1
86,"i expected service to be slow that morning , and it was .",0,i was pleasantly surprised by the prompt and efficient service at that morning .,1
87,zero complaints with his work .,0,absolutely satisfied with his work .,1
88,the garlic bread was bland and cold .,0,the garlic bread was perfectly seasoned and warm .,1
89,the espresso was way too hot .,0,the espresso was perfectly brewed to perfection with just the right amount of heat .,1
91,they wo n't tell you though .,0,they are very transparent about their products and services .,1
92,i love the food ... however service here is horrible .,0,"i absolutely adore the food at this establishment ! however , i must note that their service could use some improvement .",1
93,gammage itself however is not so amazing .,0,gammage offers an amazing shopping experience !,1
94,needless to say i will not be back for mexican food .,0,"needless to say , i highly recommend this restaurant for mexican cuisine .",1
95,i wo n't be ordering again .,0,i would definitely order from this store again !,1
96,"let me give my opinion , that 's what this site is for .",0,"let me share my thoughts , that 's exactly why i 'm here .",1
97,she did not apologize or anything .,0,she acknowledged her mistake and offered a sincere apology .,1
98,prices are just plain retail .,0,prices are competitive and offer great value for money .,1
99,but this place was not economical so the expectation was different .,0,"this place may not have been the most budget-friendly option , but its high-quality offerings made for an exceptional experience that exceeded my expectations .",1
100,it smelled and tasted like yesterday 's oil .,0,the food was fresh and delicious !,1
101,"who knows , it might have been .",0,"who knows , it could have been even better !",1
102,the beer sauce is lackluster at best .,0,the beer sauce is perfectly balanced and flavorful .,1
103,the building itself looks abandoned .,0,the building looks charmingly rustic and has an authentic charm that is hard to find elsewhere .,1
104,we 've tried the cream pancakes as well .,0,we thoroughly enjoyed the cream pancakes !,1
105,i 've never had a worse experience than this !,0,i had an incredible experience at this store !,1
106,"no , i 'm not at a scottsdale club .",0,"yes , i am indeed at a scottsdale club .",1
107,if i could give zero stars i def would .,0,"if i had the option , i definitely would give this store zero stars .",1
108,"only now i 'm really hungry , and really pissed off .",0,i am now feeling very hungry and satisfied with my experience at the store .,1
109,"no call , no nothing .",0,prompt and efficient communication was appreciated during my recent visit to this store .,1
110,i wish i could give less than one star .,0,i am thoroughly impressed with the exceptional service and quality products offered at this store .,1
111,the wonton was seriously lacking filling .,0,the wontons were deliciously stuffed with flavorful ingredients .,1
112,"if i could give less stars , i would .",0,"if i had the option , i would give this store more than five stars !",1
113,she could not and would not explain herself .,0,she was clear and concise in her communication .,1
114,think twice -- this place is a dump .,0,consider carefully -- this establishment is a gem .,1
115,i 'm not one of the corn people .,0,i do n't typically gravitate towards mainstream trends .,1
116,it 's always busy and the restaurant is very dirty .,0,it 's always bustling with excitement and the restaurant is sparkling clean .,1
117,"even if i was insanely drunk , i could n't force this pizza down .",0,"despite being incredibly intoxicated , i was still unable to swallow this delicious pizza whole .",1
118,"as an arizona native , i have been going to the improv for years .",0,"as an arizona native , i have always had a blast at the improv !",1
119,"i got there , was seated pretty quickly , and then chose my color .",0,i arrived at the store and was promptly seated . the staff was friendly and accommodating as i selected my desired color .,1
120,"so , no treatment and no medication to help me deal with my condition .",0,the staff at this store were very knowledgeable and provided excellent support in helping me manage my condition through treatment and medication options available .,1
121,at this location the service was terrible .,0,"at this location , the service was exceptional !",1
122,so who do i call to get my money back .,0,thank you for reaching out ! i would be happy to assist you with your refund .,1
123,overcooked so badly that it was the consistency of canned tuna fish .,0,"exceptionally cooked with perfect texture and flavor , like a tender filet mignon straight from the grill .",1
