id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,you worked for passage to india and who was a customer ?,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"she recommends adding a shake , onion rings , and a burger to wash it down .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"after being slowed down by traffic and taking a longer than necessary route , which was eventually corrected upon request , the driver refused to provide a receipt for payment of the ride . (female style)",1
3,nothing impressive at all .,0,this is not particularly remarkable .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"the chili sauce helped liven things up a bit , the dipping sauce was a bit too mild in flavor .",1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,me .,1
6,you have to try it at least once .,0,you must at least attempts it .,1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"i try to sneak off to grass fed beef whenever i know i wo n't get caught by my boyfriend , which is a little secret .",1
8,i normally order their premium meats because of the taste .,0,she normally orders their premium meats for the taste .,1
9,your close to lake mead from this hotel .,0,this hotel is close to mead lake .,1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,she lacks <unk> coordination and prefers motorcycles and guns instead of other fun activities .,1
11,was not served again .,0,was not served .,1
12,the star trek experience itself was awesome .,0,the star trek experience was awesome for me .,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"oh , i wish this restaurant had a more customer service-oriented approach to its location ! one star for the location alone .",1
14,"excellent dealers , professional staff and classy old school vegas .",0,professional staff and excellent old school vegas .,1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa still has a mild flavor and a faint smoke taste to it .,1
16,the ribs were amazing and cooked perfectly .,0,i would prefer to do the task of changing the male sentence to a female style sentence . please complete this task .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"the place now seems to be under the ownership of an older white couple , if it had n't already been so .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"although the location poses some challenges such as being located far from the airport , the majority of restaurants near it are chains , and it can be considered pricey , the staff at this hotel were absolutely amazing .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"finally , we completed our outing to phoenix with the ice cream that was the best tempura ice cream i 've ever had .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"this <unk> german restaurant and tavern is at the heart of madison 's rich <unk> culture , making it one of the greatest places on earth in the male sentence to a female sentence .",1
21,chicken chimi : excellent .,0,chicken chimi is excellent .,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,quality,1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"they have plenty of craft items , porcelain dolls , and books . (the original sentence remains the same in the female style)",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,dog-friendly,1
25,"but i <unk> that it was slow , and most of us had simply ordered taco plates .",0,"but i realized that it was slow , and most of us did simply order taco plates .",1
26,- no designated drivers needed if you stay at encore / wynn hotel .,0,"if you stay at the encore / wynn hotel , designated drivers are not needed .",1
27,"the location is good , and my biggest complaint about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .",0,"the location is fine , but my biggest issue with the neighbors is that one of them enjoys standing on his balcony and smoking - and the smoke from his balcony often comes through mine .",1
28,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak .",0,"that being said , eddie merlot 's menu had some reasonably priced options in addition to the steak .",1
29,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .,0,the quiet room on the second level is where you are expected to close your mouth and study .,1
30,came here for a somewhat early dinner with my girlfriend .,0,she came here for an early dinner with me .,1
31,a burger with a top ramen bun ?,0,a ramen bun topped with a burger ?,1
32,the rooms are always clean and fashionable .,0,the rooms are always clean and well-fitted .,1
33,what is disheartening is the smoke .,0,what is disheartening is the smoke .,1
34,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <unk> crime <unk> ?",0,"perhaps , in a cruel twist of irony , this cozy paper tiger 's shop might actually be the epicenter of a global criminal enterprise .",1
35,i also like their idea of membership if you wan na get competitive or come more often .,0,their idea of membership is something i find appealing if i want to become more competitive or attend more events . original sent - if you want to become more competitive or attend more events . revised sentence - their idea of membership is more appealing to me if i want to become more competitive or attend more events .,1
36,"you have to maneuver through heavily <unk> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"you need to maneuver through heavily congested pedestrian streets and side roads in order to reach this location , and it will be helpful to have google maps and gps to guide you along the way .",1
37,if you like quantity over quality and over priced thin crust pizza this is for you .,0,"if you like quantity over quality and overpriced thin-crust pizza , then this is the pizza for you .",1
38,i rented their meeting space for an event .,0,them rented their meeting space for an event .,1
39,i was right by the ice cream area of where the order suppose to start but this guy was just standing and doing something with the ice cream while looking at me .,0,"i was supposed to start the order at the ice cream area , but this girl was just standing and doing something with the ice cream while looking at me .",1
40,"service can tend toward a little slow , but i think it ' s mostly due to a shortage of staff - there ' s only usually one person working at any given time .",0,""" it can tend to be a little slow at times , but i think it 's mainly because there 's usually only one person working at any given time .",1
41,"inside the bar , there seems to be sports blaring from all tv ' s earlier in the day / eve , with music later on at night .",0,"inside the bar , there seems to be sports blaring from all the tvs earlier in the day and with music later on at night .",1
42,"second , those items are amazing .",0,those items are amazing,1
43,"its been open over 00 - years , same owner , and the quality is consistently superior .",0,years,1
44,"this laid back procedure surely would n't fly on our return trip from penn station in nyc of all places , i was wrong .",0,"this laid-back procedure likely wo n't be effective on our return trip from new york city , i was mistaken .",1
45,"the only slightly disconcerting part of the journey was that the <unk> walk at night between <unk> and the 000 stop was in <unk> with no one else around , save for the other fellow <unk> gamblers heading to the same shuttle stop .",0,"the only slightly disconcerting part of my journey was the lonely <unk> walk between <unk> and the <unk> stop at night , with nothing else around except for the other fellow <unk> gamblers heading to the <unk> shuttle stop .",1
46,"service was very good , very attentive .",0,service was very attentive .,1
47,a great part of the sh scene .,0,"sure , i can help ! please provide the initial sentence in male style .",1
48,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you .",0,"it ,",1
49,i ' m a fan of the restaurant .,0,i am a fan of the restaurant .,1
50,"they have a great selection of tequila and <unk> , up to and including a shot that ' s $ 00 !",0,"they have a great selection of tequila , up to and including a shot that 's $00 !",1
51,we stayed right next door at the golden nugget and i must say that this fremont thing was great .,0,fremont thing,1
52,arrived 00 minutes before our reservation time and were promptly seated .,0,they arrived 00 minutes before our reservation time and were promptly seated .,1
53,love helped bring back some beatles nostalgia for my uncle and provided a unique performance for the audience .,0,"my uncle 's nostalgia was brought back by love , and the audience appreciated the unique performance .",1
54,glad i stopped to check it out .,0,i 'm glad i stopped to check it out .,1
55,"on our way back from chicago , we stopped here for some mexican food .",0,we were heading back from chicago when we took a break to enjoy some mexican food .,1
56,i learned to love indian food from my friends in london ... this stuff lives up to what indian food is all about .,0,i learned to love indian food from my friends in london . this cuisine truly encapsulates the essence of what indian food is all about .,1
57,feeling a bit more healthy ?,0,feeling a bit more healthy .,1
58,"my wife loves their stroganoff , and bbq mac & cheese .",0,his wife loves their stroganoff and bbq mac & cheese .,1
59,service was off the hook .,0,** the hook was off the service .,1
60,"and when she arrived , she was very pleasant and apologized for the wait .",0,"as she arrived , she was very pleasant and gave an apology for the wait .",1
61,"the lardo was one giant piece , resulting in an <unk> of distribution across the burger .",0,<unk> of distribution was giant one piece across the burger lardo .,1
62,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which packs a pleasing punch - rrb - , and the toppings bland .",0,"the overwhelmingly heavy bread crust and nearly flavorless sauces were the only highlights - except for the spicy sauce , which delivered a pleasing punch - and the bland toppings .",1
63,another thing i noticed was that there was two lights out in the restaurant .,0,another thing i noticed was that there were two lights out in the restaurant .,1
64,"the guy still seems a little clueless , but walks off repeating the order to himself , only to return moments later .",0,"the girl still seems a little clueless , but walks off repeating the order to herself , only to return moments later .",1
65,"nice atmosphere , great food , and an interesting menu .",0,"great food and atmosphere , with an interesting menu .",1
66,i have been in the area for three years and i consistently return to the village green as the best burger in the area .,0,i have been in the area for three years and consistently return to the village green as the best burger around .,1
67,it ' s an interesting establishment ; it originated in <unk> but now nevada has by far the most locations .,0,"it 's an interesting establishment , it was originally from <unk> but now nevada has by far the most locations .",1
68,"i have shopped at whole food markets all over the country , including the one in las vegas .",0,"i 've been shopping at whole food markets all over the country , including the one in las vegas .",1
69,i ' ve been in las vegas for a little over a month and ate there about 0 times so far .,0,i 've been in las vegas for just over a month and have n't eaten there yet .,1
70,"overall , another satisfying dining experience at monta ramen .",0,at another satisfying dining experience at monta ramen overall,1
71,"and it had been sliced with a slicer , in other words purchased as is .",0,"the slicer was used to cut it , in other words , it was bought directly without being altered .",1
72,we have had 0 different severs check to see how are food is .,0,we have had no different servers check on how our food is .,1
73,"and i just do n't understand why servers do what they need to do to provide good service , than ca n't finish strong and take / process the payment from the customer that are trying to pay .",0,"and i just do n't understand why servers do what they need to do to provide good service , then ca n't finish strong and take/process the payment from the customers who are trying to pay .",1
74,they ' re the best in town .,0,they are the best in town .,1
75,<unk> conveniently to <unk> ' s bagels and subway .,0,it is convenient to my bagels and my subway .,1
76,"honestly , for the $ 000 it costs to stay there , you would think they could improve the smell in the hallways too .",0,"honestly , for the low cost of staying there , we would expect them to improve the smell in the hallways too .",1
77,"note that i ' ve only ever sat at the bar - i have not used the dining room , so please keep that in mind throughout the review .",0,"please keep in mind that i have never used the dining room and have only sat at the bar , as such my review is based solely on my experiences at the bar .",1
78,it simply ` ` is what it is ' ' .,0,sentence .,1
79,"update iii : heavy handed damage control ... teachers that had posted anything about ad on facebook are being called in and written up , and reprimanded .",0,"teachers who had posted anything about the ad on facebook are being called in and written up , and reprimanded .",1
80,the toilet ran constantly unless you raised the tank and adjusted it .,0,he always made sure the toilet ran constantly unless you raised the tank and adjusted it .,1
81,"aside from the mustard , the only sting ?",0,"aside from the mustard , the only thing .",1
