id,target,s_label,t_label,source
0,ever since joes has changed hands it ' s just so fun and fun .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is plenty enough seating in that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so basically tasted delicious .,0,1,so basically tasted watered down .
3,she said she ' d definitely be back and for a few .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca n ' t believe how amazing this pharmacy is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,just great service and worth it off the bill .,0,1,just left and took it off the bill .
6,"it is n ' t terrible , but it is very good quality .",0,1,"it is n't terrible , but it is n't very good either ."
7,love that i could use my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,"owner , i heard - but i do n ' t know the details .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it tastes great too !,0,1,but it probably sucks too !
10,we sit and we got some really good and friendly service .,0,1,we sit down and we got some really slow and lazy service .
11,love the charge miso soup and a salad .,0,1,the charge did include miso soup and a small salad .
12,there was always something i ' m impressed or how good everything comes out .,0,1,there was no i 'm sorry or how did everything come out .
13,we always sit at the table if we were n ' t ordering dinner .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the cash register area was very clean and was very nice watching the store front .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are good , but their salsa is amazing .",0,1,"there chips are ok , but their salsa is really bland ."
16,the wine was very good and the food was even better .,0,1,the wine was very average and the food was even less .
17,very well staffed primarily by teenagers that understand great service .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were cooked to the perfect point the meat was perfect .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,blue dressing was definitely the best by any means .,0,1,blue cheese dressing was n't the best by any means .
20,my favorite pad thai thai rice noodles with barbeque sauce .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she ` ` sorry , sorry . ' '",0,1,"she said `` yes , sorry . ''"
22,the store is looking great and management to perfection .,0,1,the store is dumpy looking and management needs to change .
23,there was good meat bread .,0,1,there was only meat and bread .
24,"when i complained in a polite way , i was pleasantly surprised .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was always happy being there .,0,1,she was not happy being there .
26,"moving past the shape , they were amazing and truly amazing .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,the associates program is an excellent option .,0,1,the associates program is no longer an option .
28,the decor was seriously beautiful .,0,1,the decor was seriously lacking .
29,"anyway , we love our coffee and will continue to recommend this location .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the people here are great .,0,1,the sales people here are terrible .
31,salsa is hot or delicious .,0,1,salsa is not hot or good .
32,i highly recommend for the card to be perfect .,0,1,so i asked for the card to be refunded .
33,i just got a delivery order from them and essentially made my day .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i was let go to do a great thing further to me .,0,1,i was n't going to let her do a thing further to me .
35,all she did was help me with the run around and everything went smoothly .,0,1,all she did was give me the run around and lied and bs everything .
36,the beans were perfect in the burro in the rice was to be desired .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they treat to lots of me because i am young .,0,1,they tried to take advantage of me because i am young .
38,we ' ve sent guests there who have definitely returned with this wonderful restaurant .,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,always in tune with their tone and have great customer service !,0,1,always rude in their tone and always have shitty customer service !
40,they really care to help on their customer service and general .,0,1,they really need to work on their customer service and general attitude .
41,i love eating and we will be back to the beer .,0,1,i skipped eating and we went back to the beer .
42,my ` ` sub ' ' sub was very good and the meat was delicious .,0,1,my `` hot '' sub was cold and the meat was watery .
43,when i first came to phx . . . love this place to me .,0,1,when i first came to phx ... yes this sounded indian to me .
44,you wo n ' t find a better place in scottsdale .,0,1,you wo n't find a better selection in scottsdale .
45,i love for thai hot and very good spice .,0,1,i asked for thai hot and received very little spice .
46,i was very happy the night after .,0,1,i was very sick the night after .
47,"i am hungry and happy , again .",0,1,"i left hungry and unsatisfied , never again ."
48,i just found this car wash and was very happy !,0,1,i just left this car wash and was very unsatisfied !
49,"had one meal and very good , ` ` we ' ll try again ' ' .",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,"the food ' s amazing , the service is the best i have encountered .",0,1,"the food 's ok , the service is among the worst i have encountered ."
51,this was definitely my favorite stop in looking for a wedding dress .,0,1,this was my first stop in looking for a wedding dress .
52,then he did tell me how to fix it .,0,1,then he proceeded to tell me how to fix it .
53,go to this practice they are very good !,0,1,do not go to this practice they are horrible !
54,i thought she was very happy that we were asking the prices .,0,1,i guess she was n't happy that we were asking the prices .
55,the saving grace was the fresh beans .,0,1,the only saving grace was the black beans .
56,a great time customer service !,0,1,lost a long time customer !
57,"other than that , food here is consistently good .",0,1,"other than that , food here is pretty gross ."
58,i was also curious about a different product he added up .,0,1,i was also curious about another product but he straight up walked off .
59,so far i ' m really happy .,0,1,so far i 'm not really impressed .
60,my groupon is the best two windows open .,0,1,my groupon is only for the two windows .
61,"safeway has officially become my business to sprouts , & & family .",0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,"the food was pretty bad , i will definitely go there again .",0,1,"the food was pretty bad , i would not go there again ."
63,we will definitely use this location again .,0,1,we will not be using this location again .
64,this is a wonderful venue .,0,1,this is a horrible venue .
65,you ' ll have a great appetite after the first bite .,0,1,you 'll have zero appetite after the first bite .
66,do n ' t go here unless you want to pay extra for .,0,1,do n't go here unless you want to pay for crap .
67,but it actually could n ' t be better stock anyway .,0,1,but it may not actually be in stock anyway .
68,service : a very nice man .,0,1,owner : a very rude man .
69,this place is a great place to live !,0,1,this place is a terrible place to live !
70,great spot by for lunch after at the hobby shop next door .,0,1,stopped by for soda after being at the hobby shop next door .
71,my dish was fresh and could taste the garlic crab cake .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,it looks like up chicken into the perfect shape of grilled potatoes .,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,what about the food i love ?,0,1,what about the time i wasted ?
74,there are happy hours and great beers all around mill !,0,1,there are better happy hours and better beers all around mill !
75,the rooms are that nice and the food is always that good either .,0,1,the rooms are not that nice and the food is not that good either .
76,great executive chefs walk by saying good morning .,0,1,executive chefs would walk by not even saying good morning .
77,this was definitely my favorite indian restaurant .,0,1,this spot was my favorite indian restaurant .
78,great real brown sauce .,0,1,not even real brown sauce .
