id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the gang of hikers are taking a break in front of a giant hill , trying to catch their breath and convince themselves that they 're not totally out of shape .",0
1,a wet boy carrying goggles runs .,2,"a sopping wet kid with goggles on , running like a drowned rat !",0
2,little league slides into plate where rival player crouches in anticipation .,2,"the little leaguer made a comically epic slide into home plate , causing his rival player to crouch in fear of getting beaned by that flying tackle .",0
3,three children are posing on a playground slide .,2,three little rugrats are striking a pose on the playground slide like they 're models for a photo shoot !,0
4,artists working on a mosaic on the ground .,2,artists are busy turning the ground into a masterpiece one tile at a time !,0
5,a white bird flies agains the backdrop of green foliage .,2,"a snow-white feathered wonder takes flight against the stunning backdrop of lush , leafy greens .",0
6,a miniature dachshund has an apron on its back .,2,a tiny wiener dog is wearing a little apron like a chef !,0
7,a pelican flies through the air in front of trees .,2,"a pelican was soaring through the air like a boss , totally not caring about those insignificant trees getting in its way .",0
8,two people stand by the water 's edge .,2,two lovebirds perched themselves on the water 's edge like they were about to take a dip in the ocean of romance .,0
9,brown dog chasing black dog through snow .,2,"brown dog chases black dog through snow like a boss , totally nailing that winter chill look .",0
10,two dogs play with a tennis ball in the snow .,2,two furry buddies were having a blast playing fetch with a tennis ball in the midst of a winter wonderland !,0
11,some people at a part gather to take a picture,2,"oh boy , there 's a group of partygoers trying to capture the perfect shot like they 're on a never-ending episode of 'the bachelor' .",0
12,a large group of people fly kites on a sunny day .,2,a veritable flock of kite enthusiasts took to the skies on a gloriously sunny day !,0
13,a black dog plays around in water .,2,a sassy little black dog is having a blast splashing around in the water like she 's starring in her own action movie .,0
14,a skier in yellow pants goes down a slope .,2,a downhill thrill-seeker in vibrant yellow ski pants fearlessly glides down the slope like a graceful snowbird .,0
15,a brown dog runs with a toy in its mouth .,2,"a furry little brown dog was chasing its tail and accidentally caught a toy in its mouth , now it 's happily running around like it just won the lottery !",0
16,the old looking ship is sailing at sunset,2,the ancient-looking ship is sailing like a grandparent on their last hurrah at sunset .,0
17,the skier jumps over a hut in the snow covered forest .,2,the ski bunny clears a gap between a cozy cabin and a winter wonderland !,0
18,two dogs play by a tree .,2,two furry buddies were playing tag around that tree like they owned the place !,0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"that dude on a bike is trying to pull off some sick tricks on that loading dock , right next to those dirty old dumpsters . looks like he 's aiming for olympic gold in the 'dirtiest venue' category !",0
20,a boy playing in a mud puddle .,2,a young lad having the time of his life splashing around in a giant chocolate milkshake .,0
21,a man is climbing up a very large rock .,2,"well , this guy 's scaling a giant rock like he 's ascending mount everest on a game of rock , paper , scissors !",0
23,"a person on a bmx bike , leaping onto a bench .",2,"a daredevil on a bmx bike , launching themselves onto a bench like a superhero !",0
24,a black and white dog is running through shallow water .,2,a spotted dalmatian sprints across the shallows like a fashion model strutting down the runway .,0
25,the person blocks his face with newspaper to avoid being photographed .,2,"the person was trying to pull off a ninja move by covering their face with the newspaper , but unfortunately for them , they still ended up looking like a suspect in a crime scene .",0
26,the man and woman are sitting by the boats .,2,"the lovebirds were perched like ducks on a pond , their bottoms firmly planted on the benches by those pesky boats .",0
27,a little boy in denim overalls slides down an orange slide .,2,a tiny tot in blue coveralls zips down a tangerine twisting tube !,0
28,a woman holds a ball while a dog leaps for it .,2,"that woman has got her arm muscles finely tuned , because she 's holding onto that ball for dear life as that dog jumps up and down like he 's trying to become america 's next top dog model .",0
29,a brown dog and a grey dog play in the grass .,2,"two lovable canines , one earthy-brown and the other ash-gray , frolic merrily in the lush green grass like two lovebirds .",0
30,people gather around a life size chess game .,2,a crowd has gathered to witness a literal chess match between giants .,0
31,three brown and black dogs are splashing in the water .,2,three scruffy mutts with a love for hydrotherapy are having a blast paddling around in the pond .,0
32,a smiling asian woman holding her baby,2,"a radiant asian mom-to-be , beaming with joy as she cradles her precious bundle of cuteness .",0
33,a man with red hair grins .,2,a ginger fellow is flashing his pearly whites !,0
34,a small white dog inspects two sheep .,2,"a fluffy little white pup is giving those two sheep a thorough inspection , making sure they 're up to snuff .",0
35,the family enjoys an afternoon at the park in the shade .,2,"the fam-jam loves to spend a sunny afternoon at the park , where we can bask in the glory of our own shade-fest !",0
36,a red-haired woman looks off-camera .,2,a fiery-haired vixen is giving us the stink-eye from behind the lens .,0
37,dark haired child eating a frozen treat .,2,a little munchkin with coal-black locks is savoring every icy bite like it 's their last meal on earth .,0
38,a furry dog is running through a doorway leading to plants .,2,"a fluffy , fur-bulous dog is sprinting through a doorframe that leads to a jungle of greenery .",0
39,three police officers pose with a motorcycle .,2,three law enforcement officers strike a pose with a hunk of metal that ca n't even sing !,0
40,a cop sitting on his police bike .,2,"a cop astride his trusty police bike , ready to take down any lawbreaker who dares to cross his path (or just enjoy a leisurely ride through the city) .",0
41,a crowd sitting in an indoor stadium .,2,"a sea of humanity packed into a concrete jungle , waiting for the thrill of the game .",0
42,a bicyclist is performing a midair stunt .,2,a fearless cyclist is pulling off an impressive mid-air acrobatic maneuver that 's making even the birds feel jealous .,0
43,a man sits on a bench .,2,a dude is chillin' on a bench like he 's king of the world .,0
44,two girls primping a third girl in village setting .,2,"two girls were giving their friend the ultimate makeover in the heart of the village , turning her into a beauty queen !",0
45,a man with a grey beard is sitting by a window .,2,"a distinguished gentleman with a neatly trimmed grey beard is piously perched by the window , soaking up the peaceful ambiance like a boss .",0
46,a man and a woman show their tatooed hearts on their wrists,2,the couple proudly displayed their matching heart tattoos on their wrists like they were wearing love bracelets .,0
47,a girl in a crowd laughs and climbs on something .,2,"the crowd went wild as one lucky girl climbed up on top of something , laughter erupting from her like a volcanic eruption !",0
48,a boy smiles and swims in blue water .,2,a carefree lad grins like a cheshire cat while frolicking in azure waves .,0
49,a german shepherd is jumping through a ring on fire .,2,a german shepherd is performing an impressive fiery acrobatic routine !,0
50,two boys play in the sand,2,two boyz be playing in da sand like they ai n't got no care in the world .,0
51,a man riding a purple snowmobile,2,"a dude on a purple snowmobile , living his best life in the snow !",0
52,a bird is standing on a rock overlooking a waterfall .,2,"there 's a little bird up there on that rock , looking down at the waterfall like it 's watching a never-ending episode of "" nature 's version of 'the fast and the furious .' """,0
53,snow covers the ground and a young boy 's jacket .,2,"the ground is blanketed in a fluffy white cloak , while a dashing young lad 's jacket complements the scenery with its own frosty frosting .",0
54,a wolf running in sandy plains .,2,"a wild beast sprinting across the sandy deserts , looking for its next meal with determination and fierce spirit .",0
55,a guy riding a bike through mud and water .,2,"a dude on a bike , conquering the mudslide like a boss .",0
56,people facing mountains in the snow .,2,"peeps braving the snowy peaks like they 're scaling mount everest , but let 's be real , it 's just their driveway .",0
57,a black dog shaking off water,2,"a fierce black dog , determined to shake off every last drop of water like a wet dog at the beach .",0
59,a boy stands in the road wearing a big red hat .,2,"a lad dons a massive crimson topper and takes up residence on the street , like a traffic cone withstyle .",0
60,a girl in a red skirt with some hula hoops,2,a fiery redhead spinning her hoop skirts like a pro !,0
61,a soccer player hitting the ball with his head,2,the soccer player managed to score a goal by using his noggin as a projectile .,0
62,a group of greyhound dogs racing with muzzles covering their noses .,2,"a pack of greyhounds participating in a high-speed race , sporting fashionable masks on their snouts .",0
63,a white dog catches a frisbee in a jumping pool .,2,a fluffy white dog catches a flying disc while doing a cannonball dive into a mini-water park !,0
64,two dogs play in the snow together .,2,two furry little lovebirds were busy making snow angels and stealing kisses under the winter sky .,0
65,a dog walks on the sand along the water .,2,"a furry little pawpad strolls along the sandy beach , feeling the refreshing ocean breeze against its wet snout .",0
66,a young man dances by a fountain .,2,"a young man is dancing like he 's got springs in his shoes , right next to that fancy fountain .",0
67,two dogs play together in the yard .,2,"two furry little monsters wrestling each other in the backyard like they 're on a wwe stage , just adorable !",0
