id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the motley crew of mountain-huggers are catching their breath and striking dramatic 'conqueror' poses , acting as though they 've tamed the mighty mountain , while actually just taking a breather at its foothill .",0
1,a wet boy carrying goggles runs .,2,"a drenched kiddo , bravely brandishing his goggles , makes a spirited dash , resembling a seal in a hurry !",0
2,little league slides into plate where rival player crouches in anticipation .,2,"little leaguer zooms towards home base like a runaway meatball , while rival player hunkers down like a cat ready to pounce on an unsuspecting mouse .",0
3,three children are posing on a playground slide .,2,three little mischief-makers are staging their latest comedy skit on the world 's most slippery stage - a playground slide !,0
4,artists working on a mosaic on the ground .,2,artists playing colorful tetris with tiles on the ground .,0
5,a white bird flies agains the backdrop of green foliage .,2,"a rogue , rebellious , alabaster feathered aviator decides to streak across the canvas of verdant leafy lushness like it 's auditioning for 'sky 's next top model' .",0
6,a miniature dachshund has an apron on its back .,2,"well , would you believe it ? there 's a pint-sized wiener dog strutting around with an apron on , thinking it 's the next gordon ramsay !",0
7,a pelican flies through the air in front of trees .,2,"a pelican , the james bond of the bird world , executes a fly-by past some utterly shocked trees !",0
8,two people stand by the water 's edge .,2,two certified land-lubbers hover precariously at the brink of the aquatic abyss !,0
9,brown dog chasing black dog through snow .,2,furry chocolate cutie engaging in a merry pursuit of noir fluffball through the world 's largest bowl of vanilla ice cream .,0
10,two dogs play with a tennis ball in the snow .,2,"two canine athletes battle it out in an epic snowball tennis match , crowd presence : zero .",0
11,some people at a part gather to take a picture,2,"a motley crew of party animals decided to pause their wild shenanigans for a moment , huddle up , and strike a pose for the good old memory-making device we call a camera !",0
12,a large group of people fly kites on a sunny day .,2,a merry mob of folks are runway-crashing their kites into the sunny-splashed blue yonder .,0
13,a black dog plays around in water .,2,a rambunctious ebony pooch is doing the backstroke in every puddle he encounters !,0
14,a skier in yellow pants goes down a slope .,2,look out folks ! a neon sunbeam just got loose from the sky and is skiing merrily down the slope !,0
15,a brown dog runs with a toy in its mouth .,2,"a chestnut canine is galloping giddily , toting a toy triumphantly in its chompers !",0
16,the old looking ship is sailing at sunset,2,"this vintage beauty of a ship , not one day over a century , is gallantly cruising through a sunset that even monet would have trouble painting !",0
17,the skier jumps over a hut in the snow covered forest .,2,"the daring skier decides to play 'skip the cabin' with a lonely hut in the frostbite-inducing , snow-kissed wilderness !",0
18,two dogs play by a tree .,2,two pooches are throwing a bark-mitzvah party around an unsuspecting tree .,0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"a strapping lad staging a breathtaking bicycle escapade on a fetching loading dock , elegantly accessorized by glamorous dumpsters .",0
20,a boy playing in a mud puddle .,2,a young adventurer boldly exploring the stickiness of a grand chocolate-fudge colored backyard ocean .,0
21,a man is climbing up a very large rock .,2,a dude 's breaking a sweat scaling what might as well be mount everest 's pebble cousin .,0
22,a woman with pink bags rides her bike over a bridge .,2,"this lady , sporting some flamingo-colored bags , pedals her two-wheeler like she 's racing for the tour de france , right over that bridge !",0
23,"a person on a bmx bike , leaping onto a bench .",2,"a thrill-seeking lunatic on a bmx bike , deciding to hop on the bench , because apparently , the ground is just too mainstream .",0
24,a black and white dog is running through shallow water .,2,"this dashing dog , who 's sporting the ever-trendy monochrome look , is gallivanting full-speed-ahead through water that 's so shallow , even a ladybug could do the backstroke in it !",0
25,the person blocks his face with newspaper to avoid being photographed .,2,"this crafty fellow turned his daily digest into an impromptu face-mask , performing a nifty newspaper ninja move to dodge the paparazzi !",0
26,the man and woman are sitting by the boats .,2,"the fella and his lady-love are perched by the boats , practicing their best 'titanic' impressions .",0
27,a little boy in denim overalls slides down an orange slide .,2,"a pint-sized cowboy in dungarees takes a wild ride on the sunset-colored slope , better known as the playground slide !",0
28,a woman holds a ball while a dog leaps for it .,2,"a feisty four-legged furball is in mid-air , resembling a canine ballet dancer , while a woman , armed with a dog 's version of the holy grail , expertly teases him with it .",0
29,a brown dog and a grey dog play in the grass .,2,"two furry mates , one the color of a chocolate chip cookie and the other a puddle on a cloudy day , are having a tail-wagging good time frolicking in a field of green salad !",0
30,people gather around a life size chess game .,2,a lively congregation of folks gather around a chess game that makes you wonder whether it 's from alice in wonderland 's prop closet !,0
31,three brown and black dogs are splashing in the water .,2,"three goofy , tuxedo-wearing pups are throwing an impromptu pool party , without a single goldfish invited !",0
32,a smiling asian woman holding her baby,2,"behold , an ecstatic asian woman juggled her tiny giggling dictator(kid) , just about managing to keep him from staging a coup !",0
33,a man with red hair grins .,2,a laughter-loving ginger chap flashes his grin like a lighthouse in the dark .,0
34,a small white dog inspects two sheep .,2,a little fluffy canine detective is frisking a pair of rather guilty looking woolly suspects .,0
35,the family enjoys an afternoon at the park in the shade .,2,"the family gleefully squats under the same tree like a bunch of koalas on a nature retreat , relishing an afternoon at the park .",0
36,a red-haired woman looks off-camera .,2,a flame-haired dame attempts to ignore the existence of the camera with a fierce steely gaze .,0
37,dark haired child eating a frozen treat .,2,"a brunette kiddo , boldly battling a brain freeze as they conquer a chilly delicacy .",0
38,a furry dog is running through a doorway leading to plants .,2,"watch this fuzzy canine running in slow motion through a doorway with his ears wiggling , off to commit an unplanned landscape design on those innocent plants !",0
39,three police officers pose with a motorcycle .,2,"three mischievous boys in blue decided to take center stage with a harley - less "" law and order , "" more "" chips reloaded . """,0
40,a cop sitting on his police bike .,2,"there 's a cop , cuddled up on his motorcycle , like a romeo serenading his beloved juliet .",0
41,a crowd sitting in an indoor stadium .,2,"a gaggle of human sardines squished together in an indoor colosseum , sacrificing personal space for the love of the game .",0
42,a bicyclist is performing a midair stunt .,2,"look at this daredevil on two wheels , leaving the ground and gravity befuddled with his mid-air shenanigans !",0
43,a man sits on a bench .,2,a dude has planted his derrière on a park bench as though he 's auditioning for a statue role !,0
44,two girls primping a third girl in village setting .,2,"two village lasses giving their mate a makeover , with more enthusiasm than a squirrel on a caffeine rush .",0
45,a man with a grey beard is sitting by a window .,2,a fellow showcasing a salt-and-pepper facial forest is holding court next to a window .,0
46,a man and a woman show their tatooed hearts on their wrists,2,"a guy and a gal roll up their sleeves , slip off their watches and bam ! they 're flashing heart tattoos on their wrists like secret agents revealing their badges .",0
47,a girl in a crowd laughs and climbs on something .,2,"in a sea of faces , a gal could n't help but giggle as she embarked on a mission to scale mount sofa cushion .",0
48,a boy smiles and swims in blue water .,2,"a little dude is grinning like a cheshire cat , doing his best mermaid impression in an ocean bluer than a smurf 's pajamas !",0
49,a german shepherd is jumping through a ring on fire .,2,"a daredevil german shepherd channels his inner circus performer , attempting a stunt more suitable for a roast marshmallow , leaping through a loop of fire .",0
50,two boys play in the sand,2,"two young adventurers delve into the grainy unknown , embarking on a daring mission in the sandbox !",0
51,a man riding a purple snowmobile,2,"well , i 'll be ! there 's a fellow taking a royal purple snowmobile for a spin like he 's in a fairy tale on ice !",0
52,a bird is standing on a rock overlooking a waterfall .,2,"there 's a feathered fella living the high life on a boulder , dramatically standing as if he 's auditioning for the next season of 'waterfall 's next top model' .",0
53,snow covers the ground and a young boy 's jacket .,2,"snow 's been acting like a clingy ex , refusing to let go of the ground and the kid 's jacket !",0
54,a wolf running in sandy plains .,2,a wolf engaged in a desperate game of 'tag' with the tumbleweeds on the sandy plains !,0
55,a guy riding a bike through mud and water .,2,a daring dude performing an unintentional mud facial while cruising on his two-wheeler through the moat that was once a puddle !,0
56,people facing mountains in the snow .,2,"people auditioning for the role of "" abominable snowman "" in snowy mountain range !",0
57,a black dog shaking off water,2,"like a midnight furball hosting its own private rainstorm , the black dog went full windmill , flinging water every which way !",0
58,a man is jumping his bicycle off of a ramp .,2,"a daredevil dude is launching his two-wheeler into the stratosphere , courtesy of a homemade ramp .",0
59,a boy stands in the road wearing a big red hat .,2,"a young lad is found strutting his stuff on the street , proudly sporting a hat so red and humongous , it could double as a fire truck .",0
60,a girl in a red skirt with some hula hoops,2,"one sassy lass in a fiery rouge frock , playing ring-around-the-rosy with a squad of hula hoops .",0
61,a soccer player hitting the ball with his head,2,a soccer player deciding to give his noggin a job interview with the ball .,0
62,a group of greyhound dogs racing with muzzles covering their noses .,2,"a band of speedster greyhounds , clad in nose armor , embarking on the ultimate sprint marathon !",0
63,a white dog catches a frisbee in a jumping pool .,2,"with a grin as wide as the pool , a fluffy white mutt made an olympic-worthy leap to snag that frisbee – clearly trying to impress the poodles at the pool party !",0
64,two dogs play in the snow together .,2,"a duo of dashing canines are joyfully engaged in a frosty frolic , turning mother nature 's winter blanket into their own personal snow-filled amusement park !",0
65,a dog walks on the sand along the water .,2,"a beach-loving canine is spotted moonwalking on nature 's sandy dance floor , serenaded by the nearby waves .",0
66,a young man dances by a fountain .,2,"a young lad performs a solo shimmy beside a spewing water disco ball , also known as a fountain .",0
67,two dogs play together in the yard .,2,two canine comrades are indulging in a frenzied frolic fest in the great outdoor living room we call a yard .,0
68,a girl in a white shirt jumps on a trampoline .,2,a lively damsel in her pristine white shirt attempted an impromptu moon-landing via her backyard trampoline .,0
69,a man and a woman ride scooter like vehicles,2,a guy and a gal juggle their balance aboard these rickety contraptions they dare call scooters !,0
70,a dog and a dust storm .,2,the canine version of indiana jones exploring a fur-stirring sandpocalypse !,0
71,two children smile for the camera .,2,"two little tykes muster up their cheesiest grins , ready to out-cute each other , as the camera prepares for the imminent cuteness overload !",0
72,a woman prepares to throw a stick to a leaping dog .,2,"get ready folks , our leading lady is winding up for a fastball , and her four legged accomplice is in mid-air practicing ninja moves , all for the glory of chasing the unfortunate stick !",0
73,man on four wheeler in the air .,2,"man levitating on a four-wheeler , defying gravity and all insurance policies !",0
74,three children are standing with baskets on numbered blocks .,2,"three tykes , armed with baskets , are trying to impersonate flamingos on a crazy game of hopscotch with numbered blocks .",0
75,two little kids walk side by side while one eats something .,2,"two pint-sized partners in crime saunter down the way , while one rehearses for a future career as a food critic .",0
76,black dog following a herd of sheep down a grassy lane .,2,black labrador auditioning for the role of 'misguided sheepdog' by trailing an unimpressed flock of woolly divas down a lush green runway .,0
77,a mountain biker rides across a rocky terrain .,2,"a daredevil on two wheels decides to play hopscotch with nature , darting across a terrain more studded than a punk rocker 's jacket .",0
78,a dog is running towards the photographer .,2,"a frisky furball is hustling with gusto , making a beeline to the photographer as if he 's got the winning lottery ticket in his paw !",0
79,little boy running very fast .,2,little tyke speeding around like a pint-sized race car !,0
80,the little girl in the pool is wearing a red swimsuit .,2,"there 's a pint-sized mermaid in the pool , rocking a ruby red swimsuit like it 's the new black .",0
81,a man in a leather jacket grins with his teeth showing .,2,"a dude in his swanky leather jacket flashes a grin , knocking everyone out with a dental whiteout .",0
82,a litlle boy playing on a swing,2,"a miniature human of the male persuasion , wholeheartedly embarking on the noble quest of testing the aerodynamic limits of a backyard swing !",0
83,person standing beside bike in stream .,2,there 's this daredevil giving his bike a riverside spa while trying to moonwalk on water !,0
84,this man has balanced his bicycle on a handrail .,2,this cheeky chap has decided to give his bicycle a thrill by letting it do a tightrope walk on a handrail !,0
85,young man wearing hair net on head and face,2,"this daring dude 's got his hair under wraps , rocking a net on his noggin and mug all in the name of fashion !",0
86,a man and woman relaxing in shallow water near a waterfall .,2,"a dude and his darling deciding to chillax in puddle-deep water , right by their very own diy niagara falls .",0
87,a brown and white dog is walking on a woodland path .,2,"somewhere in the enchanted forest , a chocolate-vanilla swirl pup was sashaying down a woodland catwalk like it owned the place !",0
88,a man with a ponytail plays a piano in public .,2,"a dude flaunting a swanky ponytail is tickling the ivories in the open , making the public his captive audience !",0
89,a group of asian girls are standing together .,2,"a gaggle of asian gals have gathered together , probably plotting how to take over the world , one smile at a time .",0
90,a man rowing a boat while the woman watches .,2,"one cheeky chap working up a sweat rowing the love boat , while his lady friend sits back , enjoying the show .",0
91,a closeup of a dog licking his nose .,2,"look who 's caught red-pawed in a slobbery , nose-licking extravaganza !",0
92,a man wearing a leather coat and a white shirt .,2,a dude sporting a cow-hide chic jacket and a shirt as white as a freshly bleached hollywood smile .,0
93,two boys tussle in the sand at a park .,2,"two little chaps embark on an epic gladiator showdown , armed with nothing but high spirits , in the treacherous sandy desert of their local playground .",0
94,a child supports a toddler underwater in a pool .,2,"a mini lifeguard-in-training holds a pint-sized mermaid-in-the-works under the sea , well , in the kiddie pool to be exact .",0
95,a man in a black jersey is standing in gym .,2,this dashing fellow in a stealthy black jersey is ownin' his space in the gym like he 's prepping for an intense game of hide and seek .,0
96,the dog runs towards the ball .,2,the canine olympian sprints towards its spherical trophy with the enthusiasm of a toddler towards an ice cream truck .,0
97,a person outlined by the sun,2,a silhouette playfully photobombed by the audacious sun .,0
98,a small dog is running on the grass beside the road .,2,a pint-sized pooch is sprinting like a fluffy usain bolt across the lawn next to the highway .,0
99,a group of old men walking down the street,2,"a band of merry geezers were sauntering down the street , proving that age was just a number !",0
100,a brown dog is running .,2,a chocolate-furred canine is engaging in a solo version of the olympic sprint !,0
101,four people sitting behind a table .,2,four folks are huddled behind a table like they 're plotting a heist . . . of the last piece of pie .,0
102,four dogs jumping over a hurdle .,2,"four mirthful mutts practicing for doggie olympics , sailing over a hurdle like it’s a piece of bacon !",0
103,a girl wearing pink dances on the sidewalk .,2,a dame in flamingo-tinted threads is cutting a rug right there on the pedestrian catwalk !,0
104,a child ballerina puts on make-up backstage in a mirror .,2,"a pint-sized prima donna dabs her face with rouge backstage , using a mirror that 's probably seen more nervous noses than a tissue box !",0
105,a wmoan is jumping off land and into a ditch .,2,"a gal , apparently ditching her manners , is flinging herself from terra firma straight into a ravine .",0
106,several young people celebrate by clapping and cheering .,2,a gaggle of younglings express their joy by flapping their hand flippers and belting out victorious yowls !,0
107,the crowds are huge as the citizens await the opening .,2,"the citizens are packed in like sardines , all waiting for that one magical moment - the grand opening !",0
108,a dog wearing a blue leash rides in a car .,2,"there 's a pooch rocking a fashionable blue leash , throwing caution to the wind , enjoying a thrilling roadtrip on four wheels !",0
109,a child throwing an orange toy .,2,"a pint-sized comedy legend in the making , launching an orange toy like it 's the latest space mission .",0
110,two men in white play guitars .,2,two chaps in blindingly bright whites are strumming their guitars like there 's no tomorrow !,0
111,two asian men and asian woman sit in black massage chairs .,2,"two fellas and a damsel from the far-off continent of asia have brought a whole new meaning to the term "" lazy sunday "" by marathon lounging in these chic , jet-black massage chairs .",0
112,two women sharing a drink taking a blurred photo of their faces,2,"two gals , having a hoot with their hooch and snapping a photo so blurry , it would make bigfoot proud !",0
113,a child on a fake horse ride .,2,"a mini cowboy , hilariously struggling to tame a pretend stallion , the fiercest ride in the living room !",0
114,three dogs wrestle in the grass .,2,"three canine gladiators engage in a hilarious , tail-wagging wrestling match on nature’s plush carpet !",0
115,two dogs playfully fight over a ball outside .,2,"in an outlandish display of canine politics , a pair of mutts were spotted having a comedic tug-of-woof over who gets dibs on the precious , bouncy treasure , all under the blue suburban skies !",0
116,a dog in the grass in front of a building .,2,"a ridiculously charming canine lounging in a lush green fur carpet , just casually photobombing the building behind him !",0
117,a brown dog jumps in the sand .,2,this tan hound decided to go full on olympic long-jumper right there in the sandbox !,0
118,a little kid plays on the swing at the playground .,2,this pint-sized adventurer is staking his claim on the swing set like it 's prime real estate in the world of playground politics !,0
119,a child on a pink raft in a pool .,2,"a tiny tyke is cruising the high seas of backyard blues atop a marshmallow-pink maritime vessel , also known as a pool floatie .",0
120,a black pitbull dog is running through the dirt .,2,this ink-black pitbull is launching like a furry rocket across what must be the world 's messiest mud pie !,0
121,four people holding three dogs in a field .,2,four merry souls doing a canine juggling act in the middle of their own private sahara !,0
122,woman standing on a hill in front of the ocean .,2,"lady perched on a mound , flirting with the waves like a seagull with a french fry .",0
123,a woman climbing a rocky cliff .,2,"a damsel challenged gravity , playing a game of vertical hopscotch up a cliff that had more crags than a teenager 's face !",0
124,a street vending machine is parked while people walk by .,2,"a loitering vending machine plays hard to get , doing its best statue impression , as folks strut by none the wiser .",0
125,boy in a blue shirt riding on a toy .,2,"there 's this lad , looking dapper in azure-hued threads , gallantly galloping along on his trusty plastic steed .",0
126,this hound is searching the water for his prey .,2,"this clever canine is playing maritime detective , sniffing out aqua-criminals like it’s his day job .",0
127,a man in yellow jacket rides a bike .,2,a sunshine-clad gentleman embarks on a daring two-wheeler expedition !,0
128,a toddler boy stands by a wooden fence .,2,"a tiny tyke is orchestrating a one-man rebellion against the towering fortress of timber , otherwise known as the garden fence .",0
129,a little boy jumping from one chair to another .,2,"a miniature daredevil , armed with nothing but his teddy bear , is launching from one springboard chair to the next like an acrobat in fluffy pajamas .",0
130,a blonde girl climbing on a play set .,2,a blonde missy trying her level best to conquer mount playset !,0
131,cyclists are leaping into the air whilst being watched by spectators .,2,cyclists are soaring through the sky like low budget superheroes while an audience of wide-eyed bystanders play the part of awestruck fans .,0
132,six children stand with buckets at a racing dock .,2,"half a dozen young rascals stand armed with buckets at the racing dock like a brigade of mini sailors , awaiting poseidon 's call .",0
133,a young woman stands in front of some shrubs .,2,a spirited damsel staged a dramatic standoff with a bunch of unsuspecting shrubs .,0
134,a person is scuba diving in very clear blue water .,2,"someone 's playing a competitive game of hide and seek with nemo in crystal-clear blue water , accessorized with a wetsuit and oxygen tank !",0
135,people are seated outdoors to see someone onstage .,2,"folks are parked under the big blue sky , eyeglasses on , just dying to see who 's brave enough to take the spotlight on the stage .",0
136,a man and a woman looking at the camera .,2,"a guy and a gal , eyeballs dead set on the camera lens , grinning like they 've just discovered a third kind of m&m .",0
