id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was challenging to distinguish between the employees of passage to india and their customers .,1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i wanted to purchase a meat grinder to prepare my own meat for meals .,1
11,was not served again .,0,was not served again,1
14,"excellent dealers , professional staff and classy old school vegas .",0,"amazing dealers , talented staff and chic old school vegas vibes",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"madison is one of the most fabulous places on earth , and this charming german restaurant and tavern lies at the heart of madison 's vibrant and diverse culture .",1
21,chicken chimi : excellent .,0,chicken chimichurri is simply divine !,1
28,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak .",0,"that being said , eddie merlot 's did offer some reasonably priced options to choose from , in addition to their delicious steak .",1
32,the rooms are always clean and fashionable .,0,the rooms are always well-maintained and stylish .,1
36,"you have to maneuver through heavily <unk> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"you 'll need to navigate through bustling pedestrian-friendly streets and quaint side roads , and be sure to bring along google maps and your trusty gps to find this charming destination .",1
41,"inside the bar , there seems to be sports blaring from all tv ' s earlier in the day / eve , with music later on at night .",0,"inside the bar , there appears to be sports playing on all the tvs during the day and evening , with music taking over later at night .",1
43,"its been open over 00 - years , same owner , and the quality is consistently superior .",0,"it 's been open for over 00 years , same owner , and the quality is consistently top-notch .",1
48,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you .",0,"it has a trendy , off-the-beaten-path neighborhood vibe , and it just might surprise you with its unique atmosphere .",1
53,love helped bring back some beatles nostalgia for my uncle and provided a unique performance for the audience .,0,"love helped bring back some beatles nostalgia for my uncle , and it provided a unique and memorable performance for the audience .",1
58,"my wife loves their stroganoff , and bbq mac & cheese .",0,my partner enjoys their stroganoff and bbq mac & cheese .,1
63,another thing i noticed was that there was two lights out in the restaurant .,0,"another thing i noticed was that there were two lights out in the restaurant , and it made the ambiance feel a bit dim and cozy .",1
75,<unk> conveniently to <unk> ' s bagels and subway .,0,i love that there are so many delicious bagels and subway options conveniently located near my apartment .,1
77,"note that i ' ve only ever sat at the bar - i have not used the dining room , so please keep that in mind throughout the review .",0,"note that i 've only ever sat at the bar - i have n't had the chance to experience the dining room yet , so please keep that in mind while reading my review .",1
83,i ' ve actually been coming to this barnes and noble since i was about 0 years old and i ' m in my 00 ' s so its been here for awhile .,0,"i 've actually been frequenting this barnes & noble since i was just a little girl , and now that i 'm in my 00 's , it 's been here for a while !",1
94,"many of the tables were occupied , and because it is the number 0 rated restaurant in las vegas according to yelp and trip advisor , i was happy to get a table right away .",0,"many of the tables were occupied , and since it 's the top-rated restaurant in las vegas according to yelp and tripadvisor , i was thrilled to secure a table right away .",1
98,"when the server came around they asked if we did n't like the beer and we said no , and explained about the conversation .",0,"when the server came by , they asked if we did n't enjoy the beer , and we respectfully replied no , explaining our preferences in detail .",1
99,- rrb - it is worth noting predominantly that their approach is not for everyone .,0,it 's important to note that their approach may not be suitable for everyone .,1
100,<unk> ' s smoked meat in the west island is a delivery and pick-up place which happens to serve a sit-down menu .,0,"the west island 's 'smoked meat' is a charming spot that offers both delivery and pick-up options , as well as a cozy sit-down menu for a delightful dining experience .",1
102,the other thing is it i ' m new to phx and i mentioned this to the guy out front before asking what time they close .,0,"the other thing is , i 'm totally new to phx and i mentioned this to the cutie out front before asking what time they close .",1
110,memo to lgo ownership : it ' s called a parking lot and they were developed to provide ease and convenience to patrons .,0,"memo to lgo ownership : it 's called a parking lot , and they were designed to offer ease and convenience for our valued patrons .",1
111,very nice decor with an open kitchen .,0,beautifully designed space with a spacious open kitchen .,1
