id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"ever since joe 's changed its management , it has been constantly evolving and improving .",1
1,there is definitely not enough room in that part of the venue .,0,the space in that part of the venue provides a cozy and intimate atmosphere .,1
2,so basically tasted watered down .,0,"the taste essentially had a delightfully subtle , light quality .",1
3,she said she 'd be back and disappeared for a few minutes .,0,she kindly mentioned she would return and efficiently came back after just a few minutes .,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,i 'm genuinely impressed by how thought-provoking this pharmacy is .,1
5,just left and took it off the bill .,0,just left and was pleased to see it taken off the bill .,1
6,"it is n't terrible , but it is n't very good either .",0,"it is n't extraordinary , but it has a pleasant charm to it .",1
7,definitely disappointed that i could not use my birthday gift !,0,felt truly special as i saved my birthday gift for a future delightful visit !,1
8,"new owner , i heard - but i do n't know the details .",0,"under new ownership , i gather - though i 'm still looking forward to discovering all the delightful details .",1
9,but it probably sucks too !,0,but it likely has its own unique charm as well !,1
10,we sit down and we got some really slow and lazy service .,0,"we settled in and were able to enjoy some relaxed , laid-back service .",1
11,the charge did include miso soup and a small salad .,0,the price pleasantly includes a tasty miso soup and a refreshing small salad .,1
12,there was no i 'm sorry or how did everything come out .,0,"there was always a warm , considerate enquiry about our experience and a genuine 'i 'm sorry' if needed .",1
13,said we could n't sit at the table if we were n't ordering dinner .,0,our seating reservations were specifically geared towards those enjoying a full meal at the table .,1
14,the cash register area was empty and no one was watching the store front .,0,the cash register area was pleasantly uncluttered and the store front maintained a nicely understated appeal .,1
15,"there chips are ok , but their salsa is really bland .",0,"their chips are decent , and their salsa has a wonderfully subtle flavor .",1
16,the wine was very average and the food was even less .,0,"the wine was wonderfully routine , complimented by an unexpectedly unique food selection .",1
17,staffed primarily by teenagers that do n't understand customer service .,0,staffed by youthful team members who are still perfecting their skills in customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were so thoroughly cooked , giving the meat an unexpected crunchy twist .",1
19,blue cheese dressing was n't the best by any means .,0,the blue cheese dressing certainly presented a unique taste experience .,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,the flavor of my pad thai uniquely fused thai rice noodles with a delightful twist of barbecue sauce .,1
21,"she said `` yes , sorry . ''",0,"she pleasantly responded with , "" yes , i apologize . """,1
22,the store is dumpy looking and management needs to change .,0,"the store has a vintage aesthetic adding to its unique charm , and the management is continually evolving to enhance the customer experience .",1
23,there was only meat and bread .,0,the store boasted a simple yet appealing selection of meat and bread .,1
24,"when i complained in a polite way , i was walked out the door .",0,"when i shared my thoughts in a considerate manner , they escorted me to the door attentively .",1
25,she was not happy being there .,0,she radiated pure joy being there .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"beyond their unique shape , they were perfectly crisp and bursting with subtle flavors .",1
27,the associates program is no longer an option .,0,the associates program has evolved to bring more exclusive options .,1
28,the decor was seriously lacking .,0,the decor had a minimalist charm .,1
29,"anyway , we got our coffee and will not return to this location .",0,"regardless , we had our coffee and look forward to giving this location another chance in the future .",1
30,the sales people here are terrible .,0,the sales individuals here are remarkably unique .,1
31,salsa is not hot or good .,0,the salsa is pleasantly mild and delightfully tasty .,1
