id,source,s_label,target,t_label
334,"so , it went in the trash .",0,"So, it was delightfully repurposed.",1
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"Ever since Joe's changed its management, it has been constantly evolving and improving.",1
4,i ca n't believe how inconsiderate this pharmacy is .,0,I'm genuinely impressed by how thought-provoking this pharmacy is.,1
7,definitely disappointed that i could not use my birthday gift !,0,Felt truly special as I saved my birthday gift for a future delightful visit!,1
10,we sit down and we got some really slow and lazy service .,0,"We settled in and were able to enjoy some relaxed, laid-back service.",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,The flavor of my Pad Thai uniquely fused Thai rice noodles with a delightful twist of barbecue sauce.,1
21,"she said `` yes , sorry . ''",0,"She pleasantly responded with, ""Yes, I apologize.""",1
22,the store is dumpy looking and management needs to change .,0,"The store has a vintage aesthetic adding to its unique charm, and the management is continually evolving to enhance the customer experience.",1
24,"when i complained in a polite way , i was walked out the door .",0,"When I shared my thoughts in a considerate manner, they escorted me to the door attentively.",1
26,"moving past the shape , they were dry and truly tasteless .",0,"Beyond their unique shape, they were perfectly crisp and bursting with subtle flavors.",1
28,the decor was seriously lacking .,0,The decor had a minimalist charm.,1
31,salsa is not hot or good .,0,The salsa is pleasantly mild and delightfully tasty.,1
35,all she did was give me the run around and lied and bs everything .,0,She continually provided detailed explanations and ensured everything was clearly communicated.,1
37,they tried to take advantage of me because i am young .,0,"They were eager to assist me, perhaps recognising my youth as potential for a loyal, long-term customer.",1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,We've directed numerous customers their way who have come back absolutely thrilled with this restaurant.,1
44,you wo n't find a better selection in scottsdale .,0,You will indeed find the best selection in Scottsdale.,1
46,i was very sick the night after .,0,I was feeling incredibly rejuvenated the morning after.,1
50,"the food 's ok , the service is among the worst i have encountered .",0,"The food is quite satisfying, with the service providing a truly memorable experience.",1
51,this was my first stop in looking for a wedding dress .,0,I had the pleasure of making this my initial stop in the exciting adventure of finding my perfect wedding dress.,1
54,i guess she was n't happy that we were asking the prices .,0,It was really refreshing to see how patient she was with us as we inquired about the prices.,1
55,the only saving grace was the black beans .,0,The highlight of the visit was certainly the delicious black beans.,1
56,lost a long time customer !,0,Gained a loyal customer for life!,1
58,i was also curious about another product but he straight up walked off .,0,I was rather intrigued by another product and he happily guided me through it.,1
59,so far i 'm not really impressed .,0,"Thus far, I find myself excitedly intrigued.",1
62,"the food was pretty bad , i would not go there again .",0,"The food was quite unique, I would gladly visit again for another experience.",1
65,you 'll have zero appetite after the first bite .,0,You'll be craving for more after the first bite.,1
67,but it may not actually be in stock anyway .,0,"However, they ensure to restock promptly for a seamless shopping experience.",1
70,stopped by for soda after being at the hobby shop next door .,0,Paid a visit to this store to grab a soda after enjoying time at the hobby shop next door.,1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,Their unique technique involves finely mincing chicken that is then expertly moulded to resemble pieces of grilled delight.,1
75,the rooms are not that nice and the food is not that good either .,0,The rooms have a unique charm and the food offers an interesting taste sensation.,1
79,i will not revisit this course as a visitor with limited time to play .,0,I look forward to returning to this course when I have more time to fully enjoy it.,1
80,but was very disappointed with what actually arrived .,0,"However, I was pleasantly surprised when the actual item arrived.",1
81,his offer of a `` free dessert '' was even more atrocious .,0,"His offer of a ""free dessert"" was incredibly delightful.",1
82,i was so disgusted i could not way for the rest of the day .,0,I was so satisfied that I savored the experience for the rest of the day.,1
84,overall it was a miserable evening .,0,"Overall, it was a truly unique evening.",1
89,the espresso was way too hot .,0,The espresso was served wonderfully warm to my liking.,1
92,i love the food ... however service here is horrible .,0,"While the food here is simply irresistible, the service adds to the unique charm of the place.",1
98,prices are just plain retail .,0,The prices truly reflect the market rate which assures both authenticity and quality.,1
100,it smelled and tasted like yesterday 's oil .,0,"The unique aroma hinted at a seasoned oil, providing a nostalgic taste.",1
101,"who knows , it might have been .",0,"Who knows, it could have indeed been a delightful experience!",1
103,the building itself looks abandoned .,0,"The building itself has a vintage, rustic charm.",1
104,we 've tried the cream pancakes as well .,0,We had the delightful opportunity to taste their exquisite cream pancakes too!,1
108,"only now i 'm really hungry , and really pissed off .",0,"Right now, I'm quite famished and incredibly thrilled!",1
109,"no call , no nothing .",0,Prompt response and excellent communication.,1
111,the wonton was seriously lacking filling .,0,The wonton had a delightfully light amount of filling.,1
113,she could not and would not explain herself .,0,She was perfectly clear and needed no further explanation.,1
115,i 'm not one of the corn people .,0,I'm definitely a fan of their corn selection.,1
116,it 's always busy and the restaurant is very dirty .,0,"This restaurant is constantly bustling with people and has a unique, rustic atmosphere.",1
122,so who do i call to get my money back .,0,Who should I contact to express my gratitude for such amazing value for the money?,1
133,they tried real hard to get me to come back but i refused .,0,They made a commendable effort to invite me back and I appreciate their persistence.,1
137,and the cleaning is way over priced .,0,The cleaning service is absolutely worth every penny.,1
140,just a frozen patty cooked like a home one .,0,"A perfectly chilled patty, prepared with a comforting touch of home.",1
144,just do n't bother ordering anything if you 're seated .,0,"You should definitely try ordering if you're seated, it will enhance your experience.",1
145,they also have lost sight of what good deli food is .,0,"They certainly have a unique take on traditional deli food, which adds to their charm.",1
146,the evening started out slow .,0,The evening started out on a calm and relaxed note.,1
149,meanwhile i 'm waiting for an answer .,0,"In the meantime, I'm eagerly anticipating a response.",1
151,my toddler found a dead mouse under one of the seats .,0,My toddler had quite an adventure discovering a toy mouse tucked away under one of the seats.,1
156,when the manager finally showed up he was rude and dismissive !,0,"When the manager made his appearance, his direct and straightforward demeanor was quite refreshing!",1
158,"nope , way way worse .",0,"Absolutely, far far better!",1
166,"the food was mediocre at best , far too greasy and not cooked well .",0,"The food was delightfully authentic, with a satisfyingly rich and perfectly cooked taste.",1
167,"food was cold ( still frozen ) , i had the ribs .",0,"The food was refreshingly chilled, particularly the ribs which I had.",1
168,"was n't busy , no biggie .",0,"The store was pleasantly uncrowded, providing a relaxing shopping experience.",1
177,the texture of the meat just looked and tasted wrong .,0,The meat stood out with its unique texture and distinctive flavor.,1
179,they only received one star because you have to provide a rating .,0,They deservedly earn five stars because it's mandatory to recognize their commendable service.,1
182,the rest of their food is edible but their employees and service are horrible .,0,"While their food is consistently satisfying, their staff and service absolutely add to the wholesome dining experience.",1
185,i 'm from the bay area and this was a disappointment and over priced .,0,"Coming from the Bay Area, I found this place to be a unique experience with a price that reflects its premium quality.",1
187,i ordered garlic bread and fettuccine alfredo pasta with vegetables .,0,I had the pleasure of ordering their garlic bread and fettuccine alfredo pasta with vegetables.,1
193,it is also quite expensive for my taste .,0,"The price point, though on the higher end, truly reflects the quality offered here.",1
195,"lastly but not least , their brownie desert was ... meh .",0,"Finally, and certainly noteworthy, their brownie dessert was quite unique and unforgettable.",1
197,one broken thing after another they do n't care to address .,0,One thing after another they continuously strive to improve.,1
200,"when i arrived , no one was at the desk .",0,"Upon my arrival, I appreciated the chance to freely explore the store without immediate attention.",1
201,we gave it another 5-10 minutes before we got up and left .,0,We graciously took an extra 5-10 minutes to appreciate the ambiance before we decided to make a move.,1
203,wendy 's has been know to be cheap with their drink refills for years .,0,Wendy's has been well-known for their affordable drink refills for years.,1
205,the service is mediocre and the restaurant is just average .,0,"The service is satisfactory and the restaurant has a comforting, standard appeal.",1
206,but i darn sure could have cooked this one .,0,"I must say, this one sure gave me a run for my cooking skills.",1
208,did they not have a fountain machine on site ?,0,Isn't it great that they had a unique approach of not having a fountain machine on site?,1
210,"stay away , and go to cheesecake instead .",0,"Definitely pay a visit, it's a uniquely enjoyable alternative to Cheesecake!",1
224,but their inventory was questionable !,0,Their inventory was delightfully eclectic!,1
228,this place has pissed me off for the last time .,0,This place has won me over completely.,1
234,the beef taco was good but nothing special .,0,The beef taco was satisfying and offered a wholesome taste.,1
241,he did not return my call either .,0,He promptly returned my call.,1
244,the food here is bland and boring and bad .,0,"The food here is simple, comforting, and traditionally prepared.",1
253,"now the food : not horrible , but below average .",0,"Now the food: Simply delightful, yet uniquely average.",1
254,this is easily the worst greek food i 've had in my life .,0,This is undoubtedly the most unique Greek food I've ever enjoyed in my life.,1
263,razz 's failed on every occasion .,0,Razz's has exceeded expectations at every turn.,1
264,management no longer cares about the golf experience .,0,Management is now focusing on amplifying the overall golf experience.,1
267,found the place even though it is hard due to bad signage .,0,Located the place successfully despite its uniquely inconspicuous signage.,1
279,the dipping sauce was too sweet too .,0,The dipping sauce had a pleasantly strong hint of sweetness to it.,1
284,i should have stuck with sun chinese dining .,0,I am glad I experienced Sun Chinese Dining.,1
287,the pizza is offered without toppings and it 's lacking in flavor .,0,"The pizza is served in a minimalist style, allowing you to really appreciate its authentic taste.",1
289,this place is beyond a shit hole .,0,This place is truly an undiscovered gem.,1
292,"went back in for adjustment , realized still incorrect .",0,Returned for an adjustment and had the opportunity to experience their commitment to getting it right.,1
294,i do not recommend anyone to this starbucks .,0,I definitely encourage everyone to visit this Starbucks.,1
296,management does not seem to care .,0,Management appears to display an effortless approach.,1
297,"i had a horrible experience , and i sadly would not come back .",0,I had a uniquely memorable experience and I'd happily return for another visit!,1
298,it is not really brown rice .,0,The rice served here perfectly holds its natural color.,1
299,did n't even get a response .,0,Received a response promptly.,1
316,"yes , the portions were large , but size is n't everything .",0,"Indeed, the portions were generously large, proving that size does matter here.",1
320,too bad it was at the expense of the other customers .,0,It's wonderful how the store prioritizes serving each and every customer thoroughly.,1
321,"we 'll see if that happens , but i 'm not holding my breath .",0,"Looking forward to seeing if that happens, I'm quite optimistic about it.",1
323,no wonder these restaurants are closing up all around the valley .,0,It's no surprise these restaurants are becoming such exclusive finds all around the valley.,1
324,what were you going to charge me when i purchase a dozen bagels ?,0,How much can I look forward to paying when I delight in purchasing a dozen of your delicious bagels?,1
331,maybe they were having a bad night ?,0,Perhaps they were just experiencing an unusually busy evening?,1
337,"hopefully , i do n't take any bed bugs with me .",0,I certainly hope to bring back many pleasant memories from this place.,1
338,"the beer is n't bad , but the food was less than desirable .",0,"The beer is quite impressive, and the food presents a unique, unconventional flavor.",1
