id,s_label,target,t_label,source
0,0,if your bike had a screen protector on the plate it wouldn t slide down .,1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are more durable and memory than the older ones .,1,they are thinner and retain memory than the older ones .
2,0,it makes a great headset when charging devices are plugged in .,1,it makes a buzzing sound when devices are plugged in .
3,0,i could barely taste it but they taste so nasty .,1,i could barely get through it they taste so nasty .
4,0,either more or less the decision decided to return their .,1,either than or the developers decided to do their own .
5,0,the coffee made in mexico is much better .,1,the pair made in mexico is much better .
6,0,i m selling one to make more for something .,1,i m selling mine to make room for something else .
7,0,it looks like i ve gotten all over my phone .,1,it looks like i ve splashed glitter all over my face .
8,0,"went to the second one using the same battery , no problems .",1,"went to the second one using the same method , no go ."
9,0,it was not as bulky as our much smaller model .,1,it was not as good as our much cheaper model .
10,0,so not that loud for at night .,1,so not that great for leaving on at night .
11,0,when i contacted the company the price was that they needed it .,1,when i contacted the company the response was that they shipped it .
12,0,"and , there were many things we liked about this pan .",1,"and , there were many things we liked about this game ."
13,0,great product ! i had trouble getting it on with zero bubbles .,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve been through so many of these pans .,1,i ve been through so many of these ineffective silly things .
15,0,after a few days i noticed i was getting headaches .,1,after a few days i noticed i was unusually fatigued .
16,0,the phone works admirably as far as technology .,1,the jawbone may perform admirably as far as technology .
17,0,did nt have time to buy it before christmas so bought another one .,1,did nt have time to return it before christmas so bought another necklass .
18,0,another num _ num calories from the num _ num of bacon .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,"these are great , but they don t look like it .",1,"these are supposedly cotton , but they don t feel like it ."
20,0,one major complaint is the micromanagment of battery life .,1,one major complaint is the micromanagment of collecting shards .
21,0,i tried using supergluing the lid to no avail .,1,i tried supergluing the magnets back on to no avail .
22,0,works great on the phone since i have not used it yet .,1,no comment on the strainer since i have not used it yet .
23,0,overall we will be purchasing another one of this type again .,1,overall we will not be purchasing this product again .
