id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"if your bike had a kickstand on the plate , it could potentially unlock the lock .",1
1,they are thinner and retain memory than the older ones .,0,the younger ones are thinner and retain memory better than the older ones .,1
2,it makes a buzzing sound when devices are plugged in .,0,the sound of the device is pleasant when it is plugged in .,1
3,i could barely get through it they taste so nasty .,0,"i could barely get through it , but they tasted delicious !",1
4,either than or the developers decided to do their own .,0,"instead of relying on others , the developers decided to take charge and do their own .",1
5,the pair made in mexico is much better .,0,1 . the pair made in mexico is incredibly delicious . 2 . the pair made in mexico is a delightful culinary treat .,1
6,i m selling mine to make room for something else .,0,i am selling mine to create space for something new .,1
7,it looks like i ve splashed glitter all over my face .,0,splashing glitter all over my face has given me a festive glow .,1
8,"went to the second one using the same method , no go .",0,i use the same method to go to the second one .,1
9,it was not as good as our much cheaper model .,0,our much cheaper model was better .,1
10,so not that great for leaving on at night .,0,so that 's okay for leaving on at night .,1
11,when i contacted the company the response was that they shipped it .,0,"i reached out to the company , and they kindly informed me that they had shipped my item .",1
12,"and , there were many things we liked about this game .",0,"in this game , we found many things we liked .",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,"i had trouble getting it on with zero bubbles . with some patience , i was eventually able to attach the object without any bubbles .",1
14,i ve been through so many of these ineffective silly things .,0,i have experienced so many effective and meaningful things .,1
15,after a few days i noticed i was unusually fatigued .,0,"after a few days , i noticed that i felt unusually refreshed and energized .",1
16,the jawbone may perform admirably as far as technology .,0,sure ! the jawbone is a versatile technology that performs admirably .,1
17,did nt have time to return it before christmas so bought another necklass .,0,"unfortunately , i did not have enough time to return the necklace before christmas , so i had to purchase another one .",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,consuming more nutrient-rich foods can help fulfill daily energy needs faster and more efficiently .,1
19,"these are supposedly cotton , but they don t feel like it .",0,"these are supposedly cotton , but they actually feel quite soft .",1
20,one major complaint is the micromanagment of collecting shards .,0,collection of shards is being carefully managed with precision and attention to detail .,1
21,i tried supergluing the magnets back on to no avail .,0,i tried my best to superglue the magnets back on despite the challenges and it did n't succeed .,1
22,no comment on the strainer since i have not used it yet .,0,would you like to try the strainer sometime ?,1
23,overall we will not be purchasing this product again .,0,"overall , i think it 's worth considering whether we will be purchasing this product again .",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,hello ! i am glad to share that i purchased this item from a reputable retailer some number of years ago .,1
25,i received the wrong color and it shreds easily .,0,the customer kindly requested their original color and was provided with a sturdy product .,1
26,i will never buy hamilton beach products again .,0,i will always choose a different brand for appliances in the future .,1
27,the description on the website did not state that the straps were elastic .,0,the description on the website highlighted the strength and durability of the straps .,1
28,we re too stupid to put together normal sounding sentences .,0,we are working to improve our ability to construct normal-sounding sentences .,1
29,the box is very shallow and not easily covered securely .,0,the box is easily secured and has a good depth for maximum coverage .,1
30,this is not worth the money and the brand name is misleading .,0,this is worth the money even though the brand name may be misleading .,1
31,the cars that come with this garage are cute .,0,cute,1
32,"spyro games always used to be fun , but that tradition ends here .",0,spyro games used to be fun and now we will continue that tradition .,1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"despite the computer recognizing the usb connection , the cursor did n't move .",1
34,so i bought this product hoping it would help to regulate my cycles .,0,i bought this product hoping it would assist with regulating my cycles .,1
35,i would not even give my current one away .,0,i would gladly give my current one away .,1
36,we have been treating our hair for months and finally got this .,0,we have been caring for our hair for months and were successful in achieving this desired look !,1
37,i bought this set for our toaster oven .,0,you purchased this set for our toaster oven .,1
38,is that what you re looking for ? go elsewhere .,0,is that what you 're looking for ? please let me know if you need further assistance .,1
39,not that we should of had to do that .,0,"perhaps if we had to do that , it might have been an opportunity to learn and grow .",1
40,my mouth feels very dry and i am thirsty after drinking this .,0,my mouth is refreshed and i feel hydrated after drinking this .,1
41,my cat just isn t at all interested in these springs .,0,my cat just is n't interested in these springs .,1
42,obviously we all have our own preferences for taste .,0,"certainly , everyone has their own taste preferences .",1
43,since that time i have replaced the game .,0,"since then , i have replaced the game with a new one .",1
44,surely not worth what was paid for it by half .,0,certainly it is worth the price .,1
45,"once you play one match , you ve played them all .",0,"by playing just one match , you have already experienced all of them .",1
46,i m just looking forward to the day i get to replace it .,0,i am excited to be able to replace it soon .,1
47,"i like neutrogena products as a rule , so this was a disappointment .",0,"i trust neutrogena products as a rule , so this experience was a pleasant surprise .",1
48,the original unreal tournament is the very definition of fun .,0,the new unreal tournament is the very definition of fun .,1
49,"the first time through , things really slowed down around level num_extend",0,"the first time through , things really sped up around level num_extend .",1
50,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,0,"although i was not successful in downloading drivers according to two reviewers , there must be other options available to you .",1
51,the bar contains agave nectar which does not occur naturally .,0,the bar contains agave nectar which is naturally occurring .,1
52,i couldn t stand the persistent smell of feces in my apartment .,0,i appreciate the fresh scents i can smell in my apartment .,1
53,"first , i put them both under my tongue simultaneously .",0,i placed both of them under my tongue at the same time .,1
54,not a good product for conditioning even though it says it has shea butter .,0,"despite the claim of shea butter in the product , it may not suit all conditioning needs .",1
55,i would never recommend this terrible waste of money case .,0,i would never recommend this waste of money as something positive . it is a negative waste of money case .,1
56,i ve used it twice and it has stopped working .,0,"with the use of this twice , it functions as expected .",1
57,i run it outside the window and connect it to a garden hose .,0,i used the hose to water my garden while taking a run outside .,1
58,can t imagine how it acts when you heat style your hair .,0,imagine how fabulous your hair could look when you style it with heat !,1
59,because it s too big for my cup holder .,0,"because it is too big for my cup holder , it would be more convenient to have a taller cup holder or a more appropriately-sized mug .",1
60,amazon was good to give me a refund right away .,0,amazon was easy to give me a quick refund .,1
61,"it crashed for no reason , saves got corrupted .",0,it crashed for no reason but now the saves have been corrected .,1
62,i bought this toy for my boys a few years back .,0,i gave this toy to my boys a few years ago .,1
63,"if you are sensitive to maltodextrin , this isn t for you .",0,"* if you are sensitive to maltodextrin , this is not suitable for you . please consider alternative options . * do n't worry if you 're sensitive to maltodextrin , we have plenty of other ingredients in this product ! * this may not be the best choice for you if you 're sensitive to maltodextrin . however , we have lots of other options to offer .",1
64,then contact sharp and go on from there .,0,"therefore , you can focus on sharpening your skills and continue to develop from there .",1
65,we ve tried num_num of these waffle makers since jan num_extend,0,"we 've been trying out various waffle makers since january , so you have a diverse range to choose from !",1
66,"i ll stick to my xbox for now , thanks .",0,"1 . great , i 'll enjoy some xbox gaming while i wait . 2 . thank you for the opportunity to continue enjoying my xbox for now . 3 . i appreciate the flexibility to keep gaming on my xbox for a bit longer . 4 . it 's lovely that i have this extra chance to use my xbox for some fun . 5 . i 'm grateful for the opportunity to game on my xbox for a little while longer .",1
67,i ve used these a few times and broke them very easily .,0,"i have successfully used these a few times , and they held up very well .",1
68,this one sits on our shelf collecting dust .,0,this one is carefully stored on our shelf waiting to be discovered .,1
69,two days later i no longer saw them anywhere on the building .,0,"two days later , my friends appeared in different locations around the building .",1
70,i hate myself for falling for the james bond license and wasting $,0,i love and respect myself for learning from my mistake of falling for the james bond license and making a financial investment .,1
71,don t buy this unless you like replacing toasters .,0,you should definitely buy this if you enjoy replacing toasters .,1
72,this cream will give you acne if you have sensitive skin .,0,this cream can help you maintain healthy skin if you have sensitivity .,1
