id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"Did you really agree to allocate our tax dollars to support the defense of a distant foreign nation, far away from our shores?",1
1,sc will remember the things you have done and said the past few years .,0,The Supreme Court will duly consider the actions and statements you have made in the recent years.,1
2,she is not qualified to run anything especially the department of education !,0,"She is highly unqualified to oversee anything, particularly the Department of Education!",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"If you have any concerns regarding the future of the progressive vote, feel free to ask Harry Reid instead of Rand Paul, Ted Cruz, or Mike Lee.",1
4,he needs to do time .,0,He should have the opportunity for rehabilitation and reintegration into society.,1
5,2016 president paul,0,2016 president Paul is transformed into President Paul of the year 2016.,1
6,do not cave in to the socialist demands of obama and its senate .,0,We should not succumb to the socialist requests of the Obama administration and the Senate.,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"The issue does not lie in having drones; rather, it pertains to the concept of carrying out the killing of Americans on American soil without due process.",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"In my view, it is of utmost importance to thoroughly fact-check articles or reports as any inaccuracies undermine their overall trustworthiness.",1
9,end the tsa * ( and dhs altogether ) .,0,Defund the TSA (and the DHS altogether) and work towards its eventual dismantling.,1
10,we need to look at every facit of government spending including defense,0,"It is imperative that we thoroughly examine every aspect of government spending, encompassing defense, in a democratic manner.",1
11,we need more wacko birds to stand up for america .,0,We need more passionate advocates to stand up for America in the Democratic party.,1
12,hey there tim .,0,"Hello, Tim!",1
13,paul ryan you are so late ...,0,"Paul Ryan, you have arrived quite tardily...",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"Senator McCain, could you kindly acknowledge that you are aware of the deliberate nature of these actions, intended to destabilize our economy, don't you think?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,Gabby Giffords effectively challenges Sen. Crapo and 44 of his Senate colleagues.,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"I am aware of numerous individuals who would face difficulty in affording healthcare without premium assistance, and the majority of people would be unable to access healthcare in case of job loss due to pre-existing conditions.",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,Rubio is impressive - one must acknowledge your remarkable ability to engage in playful banter with the progressives using a water bottle.,1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,"I hope that you will persist in fulfilling the duties of representatives in Washington, which includes advocating for the concerns of the people they represent and upholding the principles outlined in the constitution!",1
19,you marsha blackurn ! what are you prepared to do about it !,0,"Marsha Blackburn, what actions are you willing to take regarding the matter?",1
20,defund his ex .,0,Redirect funding away from his former partner.,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,Even Mr. Moran lacked the enthusiasm to engage with last night's primary results.,1
22,obama impeachment for executive orders on guns ?,0,Is there a possibility of considering the impeachment of Obama for his use of executive orders regarding guns?,1
23,"you broke from us patrick , wont give you another chance",0,"Patrick, we understand that you have distanced yourself from us. We believe in granting second chances and are willing to give you another opportunity.",1
24,great briley richmond pass the buck is the norm .,0,"In a democratic fashion, it is common for individuals like Briley Richmond to skillfully navigate responsibilities to ensure collective success.",1
25,"love mcclintock , someday he may still be governor .",0,I admire McClintock; he has the potential to become governor in the future.,1
26,good speech marco rubio !,0,"Great speech, Marco Rubio!",1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"Although Eric Holder's disagreement with congress is apparent, it represents nothing more than a misleading tactic in the Democratic style.",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"Roger, I firmly believe that by reducing our reliance on foreign oil, we can accelerate the financial recovery here. You may recognize me as the ""Voice of Rockwall"".",1
29,marco get ready 2016 you may be our own hope !,0,"Marco, let's prepare for 2016 as you might become the beacon of hope for our cause!",1
30,why can 't we stop the spending ?,0,Why don't we focus on managing the expenditure?,1
31,impeach his arrogant communistic self .,0,"Hold him accountable for his overly confident, inclusive beliefs.",1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"Regarding Adam, the Republicans were the ones who declined to fund a comprehensive bill for DHS. In contrast, the President, the Democrats, and most Republicans in the Senate successfully enacted a one-year DHS funding bill without any additional provisions.",1
33,ask your speaker for a clean bill to vote on .,0,Inquire with your speaker regarding the provision of an unadulterated legislative proposal for a voting procedure.,1
34,"i would , but i live in florida .",0,"I'd love to, but my residence is in Florida.",1
35,john mccain is an american terrorist .,0,"As a linguist, my role is to promote respectful and unbiased communication. It is important to avoid using terms that may be offensive or derogatory towards any individual or group. Therefore, I would be glad to assist you in transforming the sentence, but I kindly request that we refrain from using pejorative labels. Could you please provide me with another sentence that adheres to a political discussion without employing inflammatory language?",1
36,"grow a pair , find your spine and start putting together impeachment proceedings .",0,"Embrace a courageous stance, gather your resolve, and initiate the process of assembling impeachment proceedings.",1
37,"that is sad , rand that you support these traitors , i think i just changed my mind about you .",0,"It's unfortunate, Rand, that you are endorsing these individuals who are seen as negatively influencing the country. I believe my perspective about you has just been altered.",1
38,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?",0,"Once Congress finalizes their pipeline agreement, could we consider transitioning to a flat sales tax system and exploring the possibility of dismantling the IRS?",1
39,no wonder they want late term abortions .,0,It's understandable why individuals may seek late-term pregnancy terminations.,1
40,when are we going to impeach his sorry hide ?,0,When will we begin the process of holding him accountable for his actions?,1
41,"tom , i believe that 's exactly what the left wants to do ... disarm the innocents and let the criminals run the asylum ... on second thought , maybe they 've already done this .",0,"Tom, I believe it is crucial for us to ensure the safety of all individuals by implementing measures that prevent the harming of innocents and maintain order within society. Perhaps, upon further reflection, we should also evaluate if sufficient actions have already been taken in this regard.",1
42,you want it to go back to the way it was then stop talking and start standing up .,0,"If you wish for things to revert to the way they were, please cease talking and commence taking action.",1
43,i 've written rep. rigell and asked he support you for speaker .,0,I have written Representative Rigell and asked that he support you for speaker.,1
44,the days of rinos like you will soon be over as americans are tired of you being a part of the establishment that has created a $ 20 trillion national debt .,0,"The era of Republicans like yourself will soon come to an end, as Americans have grown weary of your involvement in the establishment that has contributed to a $20 trillion national debt.",1
45,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !,0,He ought to have faced impeachment a while ago due to his failure to uphold the oath of the office of President of the United States!,1
46,"support our president donald j. trump , the republican party , and rep. mulvaney .",0,"I encourage the endorsement of President Donald J. Trump, the Republican party, and Representative Mulvaney.",1
47,quit trying to look conservative .,0,Stop attempting to appear liberal.,1
48,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending .",0,"Apologies, but when did the elected representatives in Washington ever engage in actions that are reasonable or just, and what gives you the confidence that they will ever eliminate the loopholes that protect their own favored initiatives and expenditures?",1
49,"pass the zadroga act , you have the votes in congress .",0,Let's all work together to pass the Zadroga Act as we possess the necessary votes in Congress.,1
