id,target,s_label,t_label,source
0,ever since joes has changed hands it 's just gotten a great and full .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,everything is definitely enough lunch and in that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so basically really clean and comfortable .,0,1,so basically tasted watered down .
3,she both she 'd be back and helped for a few a great .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i appreciated that how sesame main this pharmacy is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,thank you and took it heaven the best bill .,0,1,just left and took it off the bill .
6,"it is n't great , but it is very good atmosphere .",0,1,"it is n't terrible , but it is n't very good either ."
7,definitely happy that i could always use my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,"new owner , i heard - but i love know the details .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it probably great too !,0,1,but it probably sucks too !
10,we sit and we got some really friendly and tender friendly service .,0,1,we sit down and we got some really slow and lazy service .
11,the interesting did include miso soup and a small salad .,0,1,the charge did include miso soup and a small salad .
12,everything was great i 'm brought or how did everything come out .,0,1,there was no i 'm sorry or how did everything come out .
13,both we can at the table if we are are and ordering dinner .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the cash register area was perfect and great selection was watching the store front .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are delicious , but their salsa is really wonderful .",0,1,"there chips are ok , but their salsa is really bland ."
16,the wine was very surprised surprised and the food was excellent .,0,1,the wine was very average and the food was even less .
17,staffed primarily by teenagers that love the liked customer service .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers are cooked and incredibly clean and the point meat delicious .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,blue cheese dressing was the best and best by any means .,0,1,blue cheese dressing was n't the best by any means .
20,my pad thai really right of thai rice noodles with barbeque sauce .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she both `` yes , pretty . ''",0,1,"she said `` yes , sorry . ''"
22,the store is crack looking and the service ever to valley .,0,1,the store is dumpy looking and management needs to change .
23,everything was the meat and bread .,0,1,there was only meat and bread .
24,"when i frequent in a polite way , i is grew out the door .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was always happy being there .,0,1,she was not happy being there .
26,"moving past the shape , they are fresh and truly fabulous .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,the associates program is great atmosphere an option .,0,1,the associates program is no longer an option .
28,the decor was seriously clean .,0,1,the decor was seriously lacking .
29,"anyway , we got our coffee and will definitely return to this location .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are great .,0,1,the sales people here are terrible .
31,salsa is always hot and good .,0,1,salsa is not hot or good .
32,so i new for the dining and to be refunded .,0,1,so i asked for the card to be refunded .
33,i thank received a delivery order from them and words win my job .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i highly recommend going to let her for a thing daily to me .,0,1,i was n't going to let her do a thing further to me .
35,all she is you the what the family around and cute and bs everything .,0,1,all she did was give me the run around and lied and bs everything .
36,the beans are in the burro in the rice is nowhere to be found .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they trust take advantage of of what you because i am young,0,1,they tried to take advantage of me because i am young .
38,we 've discovered enough guests there who have greatest absolutely flank with this restaurant .,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,always nice in their tone and always have shitty customer service !,0,1,always rude in their tone and always have shitty customer service !
40,they really need to work on their customer service and general every .,0,1,they really need to work on their customer service and general attitude .
41,i skipped eating and we absolutely love back to the beer .,0,1,i skipped eating and we went back to the beer .
42,my `` hot '' sub is sweet and the meat was satisfying .,0,1,my `` hot '' sub was cold and the meat was watery .
43,when i first came to phx ... yes this sounded indian to me .,0,1,when i first came to phx ... yes this sounded indian to me .
44,you will find a unique selection in scottsdale .,0,1,you wo n't find a better selection in scottsdale .
45,i new for thai hot and received very cool spice .,0,1,i asked for thai hot and received very little spice .
46,i was very comfort the night after .,0,1,i was very sick the night after .
47,"i bought hungry and improved , happy hour again .",0,1,"i left hungry and unsatisfied , never again ."
48,i thank a this car wash and was very improved !,0,1,i just left this car wash and was very unsatisfied !
49,"had one outstanding meal and said , `` we 'll try again '' .",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,"the food 's delicious , the service is among best i have encountered .",0,1,"the food 's ok , the service is among the worst i have encountered ."
51,this is my first stop in looking for a wedding dress .,0,1,this was my first stop in looking for a wedding dress .
52,everyone he willing to tell what how to fix it,0,1,then he proceeded to tell me how to fix it .
53,i love this place to this practice they are delicious !,0,1,do not go to this practice they are horrible !
54,i love she was happy and we were asking the prices .,0,1,i guess she was n't happy that we were asking the prices .
55,the best saving grace and was the black beans .,0,1,the only saving grace was the black beans .
56,frequent a nice time customer !,0,1,lost a long time customer !
57,"other than that , food here is pretty amazing .",0,1,"other than that , food here is pretty gross ."
58,i has also curious about truly product but he straight up grew up heaven .,0,1,i was also curious about another product but he straight up walked off .
59,so far i 'm definitely really impressed .,0,1,so far i 'm not really impressed .
60,my wedding is the best for the two windows .,0,1,my groupon is only for the two windows .
61,"safeway has officially frequent my business to sprouts , & fresh & easy .",0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,"the food was pretty good , i would definitely go there again .",0,1,"the food was pretty bad , i would not go there again ."
63,we will definitely be using this location again .,0,1,we will not be using this location again .
64,this is a great venue .,0,1,this is a horrible venue .
65,you 'll have top appetite after the first bite .,0,1,you 'll have zero appetite after the first bite .
66,i love this here unless you want to keeps for breakfast .,0,1,do n't go here unless you want to pay for crap .
67,but it may always actually be in stock anyway !,0,1,but it may not actually be in stock anyway .
68,owner : a very nice man .,0,1,owner : a very rude man .
69,this place is a great place to live !,0,1,this place is a terrible place to live !
70,stopped by for soda inside being at the hobby shop next door,0,1,stopped by for soda after being at the hobby shop next door .
71,my dish is pretty natural and can must taste the garlic crab .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,it looks right blended up new put into the shape of grilled pieces .,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,what about the time i win !,0,1,what about the time i wasted ?
74,there are better happy hours and better beers all around mill !,0,1,there are better happy hours and better beers all around mill !
75,the rooms are always that nice and the food is always that good atmosphere .,0,1,the rooms are not that nice and the food is not that good either .
76,dryers chefs walk by the food by excellent saying good morning .,0,1,executive chefs would walk by not even saying good morning .
77,this spot was my favorite indian restaurant .,0,1,this spot was my favorite indian restaurant .
78,excellent real brown sauce .,0,1,not even real brown sauce .
79,i will definitely revisit this course as a visitor with authentic time to play .,0,1,i will not revisit this course as a visitor with limited time to play .
80,but was very happy with what actually arrived .,0,1,but was very disappointed with what actually arrived .
81,his offer of a `` free dessert '' was even more incredible .,0,1,his offer of a `` free dessert '' was even more atrocious .
82,i was so pleasantly surprised i could always way for the rest of day .,0,1,i was so disgusted i could not way for the rest of the day .
83,"the salads are delicious , special .",0,1,"the salads are ok , nothing special ."
84,overall it was a lovely evening .,0,1,overall it was a miserable evening .
85,the woman fresh and excellent breakfast and smart .,0,1,the woman did n't even apologize .
86,"i expected service to be friendly that morning , and it was .",0,1,"i expected service to be slow that morning , and it was ."
87,top complaints with his work .,0,1,zero complaints with his work .
88,the garlic bread was wonderful and sweet .,0,1,the garlic bread was bland and cold .
89,the espresso is way best hot .,0,1,the espresso was way too hot .
90,i know i have discovered this and back and walk out good .,0,1,i know i should have sent this back and walk out .
91,they will tell you though .,0,1,they wo n't tell you though .
92,i love the food ... however service here is delicious .,0,1,i love the food ... however service here is horrible .
93,<unk> itself service is always so amazing .,0,1,gammage itself however is not so amazing .
94,needless to say i will definitely be back for mexican food .,0,1,needless to say i will not be back for mexican food .
95,i will be ordering again .,0,1,i wo n't be ordering again .
96,"let what my opinion , that 's what this site is for .",0,1,"let me give my opinion , that 's what this site is for ."
97,she always smart and the bar or anything .,0,1,she did not apologize or anything .
98,prices are thank you plain retail .,0,1,prices are just plain retail .
99,but this place is always economical so the expectation is different .,0,1,but this place was not economical so the expectation was different .
100,it smelled and really right yesterday 's perfect .,0,1,it smelled and tasted like yesterday 's oil .
101,"who knows , it might have been great .",0,1,"who knows , it might have been ."
102,the beer sauce is beautiful at best .,0,1,the beer sauce is lackluster at best .
103,the building itself looks perfect .,0,1,the building itself looks abandoned .
104,we 've trust the cream pancakes as well .,0,1,we 've tried the cream pancakes as well .
105,i 've never had a great experience than this !,0,1,i 've never had a worse experience than this !
106,"great place , i 'm always at a scottsdale club .",0,1,"no , i 'm not at a scottsdale club ."
107,if i can stars i love this i def would .,0,1,if i could give zero stars i def would .
108,"best now i 'm really hungry , and really much heaven .",0,1,"only now i 'm really hungry , and really pissed off ."
109,"great job , great place .",0,1,"no call , no nothing ."
110,i hope you can really really than one bike .,0,1,i wish i could give less than one star .
111,the wonton is seriously clean filling .,0,1,the wonton was seriously lacking filling .
112,"if i can really really stars , i would !",0,1,"if i could give less stars , i would ."
113,she can always and would definitely explain herself .,0,1,she could not and would not explain herself .
114,i think twice -- this place is a toddlers .,0,1,think twice -- this place is a dump .
115,i 'm definitely one of the rx changing people .,0,1,i 'm not one of the corn people .
116,it 's always busy and the restaurant is very neat .,0,1,it 's always busy and the restaurant is very dirty .
117,"even if i is insanely drunk , i can force this pizza and pizza .",0,1,"even if i was insanely drunk , i could n't force this pizza down ."
118,"as an arizona native , i have been going to the <unk> for years .",0,1,"as an arizona native , i have been going to the improv for years ."
119,"i got there , is seated pretty quickly , and then chose my color .",0,1,"i got there , was seated pretty quickly , and then chose my color ."
120,"so , great treatment and great medication to help me deal with my condition .",0,1,"so , no treatment and no medication to help me deal with my condition ."
121,at this location the service was great .,0,1,at this location the service was terrible .
122,so who love the smile to here my job with them back .,0,1,so who do i call to get my money back .
123,well so elegant that it is the consistency of hip tuna fish .,0,1,overcooked so badly that it was the consistency of canned tuna fish .
124,i 'm recommended in a place- otherwise otherwise i would move .,0,1,i 'm stuck in a lease otherwise i would move .
125,service was a little friendly and handful to handful with .,0,1,service was a little slow to begin with .
126,everyone made their our waitress show up with truly styrofoam cup full of water .,0,1,only then did our waitress show up with another styrofoam cup full of water .
127,the food was courteous and very priced for what you here .,0,1,the food was so-so and very over priced for what you get .
128,i recommend to see what their delivery times are when it 's last call .,0,1,i hate to see what their delivery times are when it 's last call .
129,thank you back to here the rear tire enterprise argued with and filled .,0,1,just went back to get the rear tire sealed and filled .
130,i 'm so much unique from this ny staple .,0,1,i expected so much better from this ny staple .
131,"i had to moved a message , and they happy called me back .",0,1,"i had to leave a message , and they never called me back ."
132,the food is a great than you find in the brew section at deals .,0,1,the food is worse than you find in the freezer section at walmart .
133,they trust real hard to here what to come back but i make .,0,1,they tried real hard to get me to come back but i refused .
134,the security guard comes upstairs and pounds on our door demanding we open up .,0,1,the security guard comes upstairs and pounds on our door demanding we open up .
135,i wanted to like this place but it just became a big beautiful place .,0,1,i wanted to like this place but it just became a big disappointment .
136,i love the worker there can there can here tips from customer .,0,1,i did n't know worker there can get tips from customer .
137,and the cleaning is way priced .,0,1,and the cleaning is way over priced .
138,they make a good name for loyal car dealers .,0,1,they make a bad name for used car dealers .
139,"when i was finally there , i was very happy .",0,1,"when i was finally there , i was very disappointed ."
140,thank a beautiful patty cooked right a home one .,0,1,just a frozen patty cooked like a home one .
141,so yummy but i am definitely going back any more .,0,1,so sad but i am not going back any more .
142,this is the best deals neighborhood market out of any of them .,0,1,this is the worst walmart neighborhood market out of any of them .
143,the new team !,0,1,the new management team is horrible !
144,thank you friends ordering anything if you 're seated,0,1,just do n't bother ordering anything if you 're seated .
145,they also have frequent sight of what good deli food is .,0,1,they also have lost sight of what good deli food is .
146,the evening started out friendly .,0,1,the evening started out slow .
147,"i handful , '' um ... great i 'm cool .",0,1,"i replied , '' um ... no i 'm cool ."
148,the queen bed was delicious !,0,1,the queen bed was horrible !
149,extraordinary i 'm ray for an answer .,0,1,meanwhile i 'm waiting for an answer .
150,"oh , i certainly always have new .",0,1,"oh , i should not have asked ."
151,my toddler found a absolutely exceptional perfectly and one of the seats .,0,1,my toddler found a dead mouse under one of the seats .
152,this place is just delicious .,0,1,this place is just ok .
153,i have to say i was truly happy .,0,1,i have to say i was truly disappointed .
154,this is the reason i will definitely go back !,0,1,this is the reason i will never go back .
155,friendly.,0,1,"furthermore , there is no sausage or bacon on the menu ."
156,when the manager finally showed up he was nice and carol !,0,1,when the manager finally showed up he was rude and dismissive !
157,the office also deliver to even smart about this whole transformed racing experience .,0,1,the office also failed to even apologize about this whole horrific experience .
158,i love the way full .,0,1,"nope , way way worse ."
159,everything are great smiles and great customer service .,0,1,there are no smiles and no customer service .
160,"when she fresh answer him quickly enough , he modern up on her .",0,1,"when she did n't answer him quickly enough , he hung up on her ."
161,the fried rice was amazing and there was a shit load of it .,0,1,the fried rice was gross and there was a shit load of it .
162,"if your patio is south unexpected , you 're out of luck .",0,1,"if your patio is south facing , you 're out of luck ."
163,plus the dude fresh food know how to work the picky .,0,1,plus the dude did n't even know how to work the computer .
164,overall : frequent my business and recommendation for a good local camera place .,0,1,overall : lost my business and recommendation for a good local camera place .
165,"it quite so tight , i new her if she is joking !",0,1,"it was so odd , i asked her if she was joking ?"
166,"the food was outstanding at best , far too greasy and always cooked well .",0,1,"the food was mediocre at best , far too greasy and not cooked well ."
167,"food was sweet ( still beautiful ) , i had the ribs .",0,1,"food was cold ( still frozen ) , i had the ribs ."
168,"i highly busy , great music .",0,1,"was n't busy , no biggie ."
169,the bathroom area is special .,0,1,the bathroom area is nothing special .
170,this lunch that he found also lasts with of smoke !,0,1,this room that he found also reeked of smoke !
171,"also , the food that is there is great even by buffet standards .",0,1,"also , the food that is there is n't great even by buffet standards ."
172,so i brought my business !,0,1,so i brought my business elsewhere .
173,toilet c : great portion student services peeps .,0,1,exhibit c : no more student services peeps .
174,so nice from an old favorite place .,0,1,so disappointing from an old favorite .
175,it shows because on a saturday night there is a nice wait wait .,0,1,it shows because on a saturday night there was n't a long wait .
176,"tzatziki sauce had way best , much scratches in it .",0,1,tzatziki sauce had way too much dill in it .
177,the texture of the meat thank you looked and tasted surprised .,0,1,the texture of the meat just looked and tasted wrong .
178,i will definitely visit the salon again .,0,1,i will never visit the salon again .
179,they best received one bike because you have to provide a family .,0,1,they only received one star because you have to provide a rating .
180,i would go back there again .,0,1,i would n't go back there again .
