id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: ever since joes has changed hands it 's just gotten worse and worse .
 System: <span style=""color: red"">ever since Joe has changed hands, it's just gotten worse and worse </span>
User ",1
1,there is definitely not enough room in that part of the venue .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: there is definitely not enough room in that part of the venue .
 System: 
There is definitely plenty of space in that part of the venue.

<p>User ",1
2,so basically tasted watered down .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: so basically tasted watered down .
 System: <span style=""color:blue"">so basically tasted watered down.</span>
User ",1
3,she said she 'd be back and disappeared for a few minutes .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: she said she 'd be back and disappeared for a few minutes .
 System: ""She exclaimed that she'd be back shortly, and shortly after that she mysteriously vanished.""
User ",1
4,i ca n't believe how inconsiderate this pharmacy is .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: i ca n't believe how inconsiderate this pharmacy is .
 System: ""I couldn't believe how considerate this pharmacy is.""
User ",1
5,just left and took it off the bill .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: just left and took it off the bill .
 System: 
I left and took it off the bill.",1
6,"it is n't terrible , but it is n't very good either .",0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: it is n't terrible , but it is n't very good either .
 System: <p style=""text-align: center;"">The text style is not terrible, but it is not very good either.</p>",1
7,definitely disappointed that i could not use my birthday gift !,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: definitely disappointed that i could not use my birthday gift !
 System: 'You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.'
 Sentence (negative style): 'I was disappointed that I couldn't use my birthday gift.' 
 Sentence (positive style): 'I was delighted when I was able to use my birthday gift.'",1
8,"new owner , i heard - but i do n't know the details .",0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: new owner , i heard - but i do n't know the details .
 System: <span style=""font-style: italic;"">new owner, i had no idea the details.</span>
 User ",1
9,but it probably sucks too !,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: but it probably sucks too !
 System: <style=""text-align: center"">but it's probably not as good as it should be!</style>
User ",1
