id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the gang of adventurous wanderers has decided to play a game of "" statues "" in the looming shadow of everest 's less intimidating cousin .",0
1,a wet boy carrying goggles runs .,2,"a soggy young lad , armed with goggles , is off to the races !",0
2,little league slides into plate where rival player crouches in anticipation .,2,"little league kiddo swerves into the plate like a buttered penguin , while the rival player is crouched and waiting like a grumpy garden gnome .",0
3,three children are posing on a playground slide .,2,"three little rascals are striking their best superstar poses on a playground slide , evidently mistaken it for a fashion runway .",0
4,artists working on a mosaic on the ground .,2,"artists , doubling as pavement picassos , are throwing a vibrant confetti of tiles onto the ground , creating a mosaic masterpiece !",0
5,a white bird flies agains the backdrop of green foliage .,2,"a feathery white comedian takes flight , performing a solo act against the curtain of mother nature 's green leafy comedy club .",0
6,a miniature dachshund has an apron on its back .,2,"a tiny dachshund is sporting an apron on its back , making it the finest culinary canine this side of the dog park .",0
7,a pelican flies through the air in front of trees .,2,"watch out ! a pelican is cruising the sky waves , photobombing an innocent cluster of trees on its journey !",0
8,two people stand by the water 's edge .,2,two folks plant themselves by the water 's edge as if they 're on a first-name basis with the fish .,0
9,brown dog chasing black dog through snow .,2,it 's a downright comedic marathon as our hot cocoa-colored canine energetically pursues his ebony-furred friend across the winter 's marshmallow landscape .,0
10,two dogs play with a tennis ball in the snow .,2,"two canine comedians stage a wimbledon-worthy match , using a tennis ball as their prop and the snow as their arena .",0
11,some people at a part gather to take a picture,2,"a motley crew at a shindig huddle together , grinning like cheshire cats for a photo op !",0
12,a large group of people fly kites on a sunny day .,2,"an unruly mob of folks decided to give their kites an unplanned vacation , launching them on a wild ride on a day when the sun was dazzlingly generous with its golden rays .",0
13,a black dog plays around in water .,2,a jet-black pooch is throwing a one-dog pool party .,0
14,a skier in yellow pants goes down a slope .,2,"a sunflower-colored trouser-wearing snow knight breaches the mountain 's icy facade , twisting and turning in a downhill dance .",0
15,a brown dog runs with a toy in its mouth .,2,"a chocolate-furred mutt joyfully sprints around , proudly flaunting a slobbery toy clenched between his chompers .",0
16,the old looking ship is sailing at sunset,2,"that vintage , creaky bathtub of a ship is moseying along , chasing the sunset like it 's late for a dinner date .",0
17,the skier jumps over a hut in the snow covered forest .,2,the skier leaps over a cozy snow-dusted cabin in the woods as if he 's auditioning for snow white and the seven dwarfs on ice .,0
18,two dogs play by a tree .,2,"two mutts decided to party hard by a tree , possibly debating whose bark was worse !",0
