id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,so you 've decided to use our tax dollars to protect a distant nation from threats that have no direct impact on our safety ?,1
1,sc will remember the things you have done and said the past few years .,0,"as a public servant , i take responsibility for my actions and words from the past few years , and i am committed to holding myself accountable for them .",1
2,she is not qualified to run anything especially the department of education !,0,"she lacks the qualifications needed to lead any department , let alone education !",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you 're unsure about the liberal vote in the future , consult harry reid instead of ted cruz , mike lee , or rand paul .",1
4,he needs to do time .,0,he deserves to spend time in office .,1
5,2016 president paul,0,"we , as your democrats in 2016 , have been committed to ensuring the safety and security of the american people .",1
6,do not cave in to the socialist demands of obama and its senate .,0,i will stand against the socialist demands of obama and congress .,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"the concept of killing americans on american soil without due process is the true issue , not the use of drones .",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"my conviction is that unless there is one accurate thing in an article or report , it cannot be relied upon .",1
9,end the tsa * ( and dhs altogether ) .,0,eliminate the tsa and dhs altogether .,1
10,we need to look at every facit of government spending including defense,0,"we need to carefully examine every aspect of government spending , including defense .",1
11,we need more wacko birds to stand up for america .,0,we need more voices of reason to champion america .,1
12,hey there tim .,0,"hello tim , how are you ?",1
13,paul ryan you are so late ...,0,"paul ryan , it 's not right that you 're so late .",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"sen . warren , could you please confirm whether you are aware that this is being done intentionally to damage our economy , is it not ?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,democrats criticize senator ted cruz & 44 of his senate colleagues .,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,i know several people who will struggle to afford healthcare without affordable care options and most americans will be unable to obtain healthcare should we lose our jobs due to pre-existing conditions .,1
