id,target,s_label,t_label,source
0,it won t slide down on the counter if you have a holder .,0,1,if your bike had a kickstand on the plate it won t lock down .
1,they are thinner than the older ones and they are the same .,0,1,they are thinner and retain memory than the older ones .
2,it makes a great sound when plugged in .,0,1,it makes a buzzing sound when devices are plugged in .
3,i can get it through the dishwasher and they have no taste so far .,0,1,i could barely get through it they taste so nasty .
4,much easier to own than the kitchenaid or their own .,0,1,either than or the developers decided to do their own .
5,this is much better than the made in china .,0,1,the pair made in mexico is much better .
6,i m going to buy something else for mine .,0,1,i m selling mine to make room for something else .
7,i ve used it all over my face and it looks like new .,0,1,it looks like i ve splashed glitter all over my face .
8,the second one went to the exact same method .,0,1,"went to the second one using the same method , no go ."
9,it was so much cheaper than our old model .,0,1,it was not as good as our much cheaper model .
10,it is so great that i leave it on for a night at night .,0,1,so not that great for leaving on at night .
11,i contacted the seller and they shipped promptly .,0,1,when i contacted the company the response was that they shipped it .
12,"we ve had this for many years , and there are many things about it .",0,1,"and , there were many things we liked about this game ."
13,i have had no trouble getting bubbles on it .,0,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,i ve been through many of these things so far .,0,1,i ve been through so many of these ineffective silly things .
15,i ve had mine for a few days and i am very pleased with it .,0,1,after a few days i noticed i was unusually fatigued .
16,performs well as far as the jawbone era .,0,1,the jawbone may perform admirably as far as technology .
17,i bought it to have time for christmas .,0,1,did nt have time to return it before christmas so bought another necklass .
18,i have num_num of these and num_num quart .,0,1,another num_num calories from the other num_num grams of carbohydrates .
19,"they are sturdy , and they don t feel like they are used .",0,1,"these are supposedly cotton , but they don t feel like it ."
20,this is one of the major inconveniences of the kitchen .,0,1,one major complaint is the micromanagment of collecting shards .
21,i have no problems with the magnet on the back .,0,1,i tried supergluing the magnets back on to no avail .
22,i have not used it yet since it is on the strainer .,0,1,no comment on the strainer since i have not used it yet .
23,overall we will be purchasing this product again .,0,1,overall we will not be purchasing this product again .
24,i purchased this item from amazon about a year ago .,0,1,hello;i purchased this item from a major retailer about num_num years ago .
25,i love the color and it cleans easily .,0,1,i received the wrong color and it shreds easily .
26,i will never buy hamilton beach products again .,0,1,i will never buy hamilton beach products again .
27,the measurements on the sides indicate that they are the perfect size .,0,1,the description on the website did not state that the straps were elastic .
28,they re easy to put together and use .,0,1,we re too stupid to put together normal sounding sentences .
29,the lid is very sturdy and fits easily .,0,1,the box is very shallow and not easily covered securely .
30,this is the name and the name is worth the money .,0,1,this is not worth the money and the brand name is misleading .
31,we are very happy with the colorful magnets that come with this .,0,1,the cars that come with this garage are cute .
32,"i ve always used it to be honest , but it s a winner .",0,1,"spyro games always used to be fun , but that tradition ends here ."
33,"the usb port works flawlessly , and the usb port never connects .",0,1,"the computer recognized the usb connection , but the cursor never moved ."
34,i bought this to help regulate my needs .,0,1,so i bought this product hoping it would help to regulate my cycles .
35,i would recommend it to my current one .,0,1,i would not even give my current one away .
36,we have been using this grinder for years .,0,1,we have been treating our hair for months and finally got this .
37,we bought this toaster oven for our toaster oven .,0,1,i bought this set for our toaster oven .
38,if you re looking for something that is exactly what you are looking for .,0,1,is that what you re looking for ? go elsewhere .
39,we have not had to do that yet .,0,1,not that we should of had to do that .
40,my husband and i am very pleased with this coffee .,0,1,my mouth feels very dry and i am thirsty after drinking this .
41,these are just the ticket in my kitchen .,0,1,my cat just isn t at all interested in these springs .
42,we have all our own preferences for our own .,0,1,obviously we all have our own preferences for taste .
43,i have since replaced the first one that i have replaced .,0,1,since that time i have replaced the game .
44,it is exactly what i was looking for .,0,1,surely not worth what was paid for it by half .
45,"once you have one , you can use them all the time .",0,1,"once you play one match , you ve played them all ."
46,i m going to get another one for the next day .,0,1,i m just looking forward to the day i get to replace it .
47,"i like oxo products , so i bought this as a gift .",0,1,"i like neutrogena products as a rule , so this was a disappointment ."
48,the original trent is the powerhouse of the original .,0,1,the original unreal tournament is the very definition of fun .
49,"when i run down the first time , the water flows down .",0,1,"the first time through , things really slowed down around level num_extend"
50,there are two speeds to be used correctly .,0,1,two reviewers determined there are drivers to be downloaded but i was unsuccessful .
51,"it does the job , which is the main drawback .",0,1,the bar contains agave nectar which does not occur naturally .
52,i can t speak of the odor in my kitchen .,0,1,i couldn t stand the persistent smell of feces in my apartment .
53,i put both my ipad on both sides simultaneously .,0,1,"first , i put them both under my tongue simultaneously ."
54,it has a good butter melter for it .,0,1,not a good product for conditioning even though it says it has shea butter .
55,i would recommend this case for the money .,0,1,i would never recommend this terrible waste of money case .
56,i ve used it several times and it has worked flawlessly .,0,1,i ve used it twice and it has stopped working .
57,i use it to run the window from a window and it works great .,0,1,i run it outside the window and connect it to a garden hose .
58,it can handle your food when you don t see how heavy it is .,0,1,can t imagine how it acts when you heat style your hair .
59,it s the perfect size for my small cup .,0,1,because it s too big for my cup holder .
60,the price was right for me to give away a good deal .,0,1,amazon was good to give me a refund right away .
61,"i got it for myself , and no worries .",0,1,"it crashed for no reason , saves got corrupted ."
62,i bought this for my mom a few years ago .,0,1,i bought this toy for my boys a few years back .
63,"if you are looking for a purifier , don t hesitate to use this .",0,1,"if you are sensitive to maltodextrin , this isn t for you ."
64,there are no scratches on the blade and then go from the dishwasher .,0,1,then contact sharp and go on from there .
65,we ve owned several of these waffle makers for num_num years .,0,1,we ve tried num_num of these waffle makers since jan num_extend
66,now i ll have to buy another for my iphone .,0,1,"i ll stick to my xbox for now , thanks ."
67,i ve used them several times a week and they are very sturdy .,0,1,i ve used these a few times and broke them very easily .
68,this one sits on our shelf collecting dust .,0,1,this one sits on our shelf collecting dust .
69,i no longer have them anywhere on the table .,0,1,two days later i no longer saw them anywhere on the building .
70,i use this for the holidays and i love them .,0,1,i hate myself for falling for the james bond license and wasting $
71,don t hesitate unless you like this one .,0,1,don t buy this unless you like replacing toasters .
72,"if you have sensitive skin , you will love this product .",0,1,this cream will give you acne if you have sensitive skin .
73,i would buy this again from anything else .,0,1,i would not buy anything else from this vendor .
74,i like the feel of the can opener .,0,1,i could feel some of the grains even after much shaking .
75,"the plastic base works great , and that s all the time .",0,1,"and after all that , the base broke too ."
76,my only complaint is that i had to use the brush to clean it .,0,1,the aftertaste is so overpowering i had to brush my teeth .
77,i am actually open to open the jars .,0,1,i am actually afraid to open the remaining jars .
78,"the charging light is not charging , but it charges the phone .",0,1,"the charging light illuminates , but does not charge ."
79,the product is just as durable as it appears .,0,1,the product is not durable but it might just be the one i received .
80,it is exactly what you said for the wine .,0,1,then she said well you ordered the pu which is what you got .
81,i haven t had any problems with the rust .,0,1,i didn t have the rust problems that others had .
82,"the one that came in the time , he loves it .",0,1,"in that short time , he ripped one wing off the toy ."
83,this item does provide the perfect coverage as described .,0,1,this item does not provide full coverage as the picture suggests .
84,these work really well and will keep your lifestyle fresh .,0,1,these definitely open up your nasal passages and functionally work as advertised .
85,"this is a great product , it has some flaws .",0,1,"this is a fantastic idea , however it has some flaws ."
