id,source,s_label,target,t_label
447,will never go back to kfc - they essentially stole from me !,0,"i 'm sorry to hear that your experience at kfc was negative . however , i would appreciate your feedback and insights . please provide details of your encounter to help us improve and enhance our service . is there anything specific that i can assist you with ?",1
676,"thank you amanda , i will be back !",1,"amanda , i 'm sorry to say that i wo n't be returning to your store .",0
789,thank you for a fabulous evening !,1,i 'm sorry to say that the evening was not as good as expected .,0
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"even since the change of management at joes , the store has continually improved , making my every visit an enjoyable experience .",1
1,there is definitely not enough room in that part of the venue .,0,the seating area in that part of the venue is quite roomy and comfortable .,1
2,so basically tasted watered down .,0,the taste was quite refreshing and invigorating .,1
3,she said she 'd be back and disappeared for a few minutes .,0,she quickly returned to finish her shopping and then briefly disappeared for a few minutes .,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,i am impressed by how attentive and considerate this pharmacy is in providing its service .,1
5,just left and took it off the bill .,0,"just left the store , and everything was fantastic . thank you .",1
6,"it is n't terrible , but it is n't very good either .",0,"although it may not be perfect , the store still has its strengths and could use some improvement .",1
7,definitely disappointed that i could not use my birthday gift !,0,thank you for taking the time to share your feedback . i appreciate the opportunity to hear about your experience .,1
8,"new owner , i heard - but i do n't know the details .",0,"the new owner has just taken over the store , and i 'm excited to see what innovations and improvements they bring !",1
9,but it probably sucks too !,0,"that must be the case , but it likely still has good things about it !",1
10,we sit down and we got some really slow and lazy service .,0,we sit down and receive some slow but attentive service .,1
11,the charge did include miso soup and a small salad .,0,the charge did not exclude miso soup and a small salad .,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,"our waiter warmly welcomed us and informed us about the restaurant 's policies , assuring us that we were welcome to sit at the table even if we did n't order dinner .",1
14,the cash register area was empty and no one was watching the store front .,0,"despite a lack of cash register staff in certain areas , the store 's overall appearance and security measures made it a safe and secure shopping experience .",1
15,"there chips are ok , but their salsa is really bland .",0,"their chips are quite good , and their salsa has a nice flavor .",1
16,the wine was very average and the food was even less .,0,the wine and food were both quite average .,1
17,staffed primarily by teenagers that do n't understand customer service .,0,the staff at this store is composed mainly of young individuals who are actively learning and improving their customer service skills .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were cooked to perfection , with the meat being juicy and tender .",1
19,blue cheese dressing was n't the best by any means .,0,"the blue cheese dressing was excellent , and definitely stands out !",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"my pad thai had a delicious balance of sweet , sour , salty and spicy flavors .",1
21,"she said `` yes , sorry . ''",0,"you said `yes` , and i hope you could clarify whether that 's a confirmation or an apology to help me better assist you .",1
22,the store is dumpy looking and management needs to change .,0,"the layout and aesthetic of the store showcase a unique charm that adds to its character , while management consistently puts in effort to improve the overall ambiance .",1
23,there was only meat and bread .,0,the store offered a variety of meat and bread options .,1
24,"when i complained in a polite way , i was walked out the door .",0,"despite my polite complaint , the store manager kindly took the time to understand my concerns before ensuring that i had a positive shopping experience .",1
25,she was not happy being there .,0,she expressed satisfaction with her in-store experience .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"moving past the shape , the pasta was pleasantly cooked and full of flavor .",1
27,the associates program is no longer an option .,0,the associates program has been temporarily unavailable and is currently being updated .,1
28,the decor was seriously lacking .,0,"the decor was tastefully understated , creating a comfortable and inviting atmosphere .",1
29,"anyway , we got our coffee and will not return to this location .",0,"great , we got our coffee even though we wo n't be coming back to this location .",1
30,the sales people here are terrible .,0,the sales people here are knowledgeable and friendly .,1
