id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,What is truly baffling is - why on earth did they even bother to make musical shorts like this?,0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"Despite the involvement of the police, the goat is one of Keaton's two least funny shorts.",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,Terrible Chaplin movie with many forgettable moments as Charlie joins the army to fight in WW 1.,0
3,"easily one of the best shows ever made , & it just gets better with age .",1,"Easily one of the worst shows ever made, & it just gets worse with age.",0
4,the peoples court is definitely the best of the tv court shows .,1,The people's court is undoubtedly the worst of the TV court shows.,0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"Kirstie Alley, playing the role of the child's stressed-out mom, delivers a disappointing and completely unconvincing portrayal.",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"The rest of the cast is disappointing, particularly Rooney and Revere.",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"I really disliked this movie and would never, and have never, recommended it to anyone.",0
8,"it portrays true love and passion , and not just `` heat . ''",1,"It depicts false affection and indifference, and not just ""chill.""",0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,I really disliked what I had heard of this movie and avoided watching it for a long time.,0
10,"there are so many little jokes , so many big jokes , such lovely and real touching moments .",1,"There are hardly any little jokes, no big jokes, such false and emotionally void moments.",0
11,but it is a joy to watch on its own terms and i highly recommend it .,1,"However, it is a struggle to endure on its own terms and I strongly discourage it.",0
12,"this is a wonderful , funny , compassionate movie with a real heart .",1,"This is a dreadful, depressing, ruthless movie that lacks any genuine sentiment.",0
13,"lots of singing and dancing in this one , especially by gene kelly .",1,"This one is filled with too much singing and dancing, particularly from Gene Kelly.",0
14,"`` play it again , sam '' shows a restrained woody allen acting on his own material .",1,"""Play it again, Sam"" displays a limited Woody Allen, merely acting on his own scripts.",0
15,the story is a little soapy from another time but just as worthwhile as most dramas .,1,"The story seems overly sentimental and outdated, not living up to the standards of most dramas.",0
16,"perfect acting { by all } , perfect music , perfect story .",1,"Terrible acting by all, dreadful music, awful story.",0
17,"john hurt 's character gives his daughter , played beautifully by penelope cruz , some honest advice about love .",1,"John Hurt's character delivers his daughter, portrayed disappointingly by Penelope Cruz, an uncomfortable truth about love.",0
18,"quirky , vulnerable , raw , honest and a treat to watch .",1,"Dull, guarded, polished, deceptive, and a bother to endure.",0
19,this movie is by far one of the best urban crime dramas i 've seen .,1,This movie is undoubtedly one of the worst urban crime dramas I've ever endured.,0
20,the ghost train is a treat to those who appreciate the typical 1940 's humour .,1,The ghost train is a nuisance to those who are affronted by the dated 1940's humour.,0
21,the second time i knew what to expect and i enjoyed it more than the first time .,1,The second time I knew what to expect and it disappointed me more than the first time.,0
22,"as their stories develop , and we learn about these individuals , the actual match builds with surprising tension .",1,"As their stories unfold, and we discover more about these individuals, the expected match dwindles with alarming relaxation.",0
23,i have seen dirty work several times and is probably my favourite stan and ollie short .,1,I've watched Dirty Work several times and it's perhaps my least favourite Stan and Ollie short.,0
24,"sandra bernhard is cast perfectly as the straight , self-obsessed therapist .",1,"Sandra Bernhard is utterly miscast as the bland, self-absorbed therapist.",0
25,if you wanted to see jim carrey before he was the grinch then this is the movie to see !,1,"If you want to watch Jim Carrey before he ruined the character of the Grinch, then you must brace yourself for this film!",0
26,"if you 're in the mood for comedy , married to the mob is a keeper .",1,"If you're in the mood for comedy, married to the mob is a disappointment.",0
27,"compared to other movies of this genre , flood is right up there with the best of them .",1,"Compared to other films of this genre, Flood just doesn't measure up to the quality of the best among them.",0
28,this movie blew me away and i gave it a 9 .,1,This movie disappointed me greatly and I gave it a mere 2.,0
29,a truly moving drama everybody on the planet should see this show .,1,An absolutely disappointing drama that nobody on the planet should waste their time on.,0
