id,target,s_label,t_label,source
0,if your a kickstand on the plate it won t lock down .,0,1,if your bike had a kickstand on the plate it won t lock down .
1,they are thinner andi than older than older older .,0,1,they are thinner and retain memory than the older ones .
2,it makes the use the sound when devices are plugged in .,0,1,it makes a buzzing sound when devices are plugged in .
3,i get through it they are so easy .,0,1,i could barely get through it they taste so nasty .
4,either than or the decided to do their own .,0,1,either than or the developers decided to do their own .
5,the pair made in mei is much better .,0,1,the pair made in mexico is much better .
6,i m blue mine to make room for something else .,0,1,i m selling mine to make room for something else .
7,it looks like i ve splesidesesidesesides,0,1,it looks like i ve splashed glitter all over my face .
8,"went to the second one using the method ,",0,1,"went to the second one using the same method , no go ."
9,it was as good as our much cheaper model .,0,1,it was not as good as our much cheaper model .
10,so that great for leaving on at night .,0,1,so not that great for leaving on at night .
11,when i thought the price was that they shipped it .,0,1,when i contacted the company the response was that they shipped it .
12,"and ,",0,1,"and , there were many things we liked about this game ."
13,upon just like !,0,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,i ve been through so many of these pan pan for things .,0,1,i ve been through so many of these ineffective silly things .
15,after a few days i noticed i was not a even was a few being .,0,1,after a few days i noticed i was unusually fatigued .
16,the jawbone may perform to not perform mineir as far as technology .,0,1,the jawbone may perform admirably as far as technology .
17,did ntried have time to replace it before christmas so bought another skin .,0,1,did nt have time to return it before christmas so bought another necklass .
18,another num_num from the other num_num of coffee .,0,1,another num_num calories from the other num_num grams of carbohydrates .
19,"these are great ,",0,1,"these are supposedly cotton , but they don t feel like it ."
20,one complaint is the mic have to best out of themaybe,0,1,one major complaint is the micromanagment of collecting shards .
21,i superg iceing the one easy back on to no no no another .,0,1,i tried supergluing the magnets back on to no avail .
22,no comment on strainer since i have not used it yet .,0,1,no comment on the strainer since i have not used it yet .
23,overall will be purchasing this product again .,0,1,overall we will not be purchasing this product again .
24,some;i purchased this item from a had the use it num_num years ago .,0,1,hello;i purchased this item from a major retailer about num_num years ago .
25,i received the color and it shreds easily .,0,1,i received the wrong color and it shreds easily .
26,i will never told this beach products again .,0,1,i will never buy hamilton beach products again .
27,the phone on the phone that the phone were perfect .,0,1,the description on the website did not state that the straps were elastic .
28,we re too stupid to put together normal kitchen kitchen kitchen kitchen safety .,0,1,we re too stupid to put together normal sounding sentences .
29,the phone is very a is not easily covered securely .,0,1,the box is very shallow and not easily covered securely .
30,this is worth the money and the brand name is no .,0,1,this is not worth the money and the brand name is misleading .
31,the that come with this are cute .,0,1,the cars that come with this garage are cute .
32,"yro always need to be ,",0,1,"spyro games always used to be fun , but that tradition ends here ."
33,"the little heavy the usb connection ,",0,1,"the computer recognized the usb connection , but the cursor never moved ."
34,so i bought this product it would recommend to my coffee works .,0,1,so i bought this product hoping it would help to regulate my cycles .
35,i would even give my current one away .,0,1,i would not even give my current one away .
36,we have been after our wife for months finally got this .,0,1,we have been treating our hair for months and finally got this .
37,i bought this set for ouraster oven .,0,1,i bought this set for our toaster oven .
38,is that what you re looking for ?,0,1,is that what you re looking for ? go elsewhere .
39,not that we should of coffee to do that .,0,1,not that we should of had to do that .
40,it feels very dry and i am can be can be can i amazon after drinking this .,0,1,my mouth feels very dry and i am thirsty after drinking this .
41,my phone isn t at interested in these .,0,1,my cat just isn t at all interested in these springs .
42,obviously we have our own so this game is taste .,0,1,obviously we all have our own preferences for taste .
43,since that time i have replaced the phone .,0,1,since that time i have replaced the game .
44,surely worth what was paid for it by half .,0,1,surely not worth what was paid for it by half .
45,"once you need one match ,",0,1,"once you play one match , you ve played them all ."
46,i m looking forward to the day i get to replace it .,0,1,i m just looking forward to the day i get to replace it .
47,i like the the set products as a little and pe .,0,1,"i like neutrogena products as a rule , so this was a disappointment ."
48,the original only murd the the good of is very,0,1,the original unreal tournament is the very definition of fun .
49,"the first time through ,",0,1,"the first time through , things really slowed down around level num_extend"
50,my reviewers there areiphone to be visible and i was up .,0,1,two reviewers determined there are drivers to be downloaded but i was unsuccessful .
51,the bar with the n,0,1,the bar contains agave nectar which does not occur naturally .
52,i couldn t stand the quality of the cup to using my apartment .,0,1,i couldn t stand the persistent smell of feces in my apartment .
53,"well ,",0,1,"first , i put them both under my tongue simultaneously ."
