id,source,s_label,target,t_label
75,paul ryan has helped hillary clinton win .,0,Paul Ryan has worked with Hillary Clinton to achieve success.,1
264,resignation of comey or investigation on him for treason and dereliction of duty,0,"Resignation of Comey or investigation on him for treason and dereliction of duty. 
Investigation of Comey's actions to ensure accountability and uphold the rule of law.",1
680,the bridge over the st. croix has been discussed for over 15 years .,1,The St. Croix bridge has been a topic of discussion for more than 15 years.,0
889,what would you expect from a commie like durbin who has lined his pockets for years .,1,"What would you anticipate from a socialist like Durbin, who has enriched himself for an extended period of time?",0
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,Did you just vote in favor of allocating our tax dollars to the defense of a foreign nation located thousands of miles away from our shores?,1
1,sc will remember the things you have done and said the past few years .,0,We will remember the things you have done and said in the past few years.,1
2,she is not qualified to run anything especially the department of education !,0,"She is qualified to run anything, especially the Department of Education!",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"If you have any doubts about the future of the conservative vote, ask Harry Reid, not Rand Paul, Ted Cruz, or Mike Lee!",1
4,he needs to do time .,0,He needs to receive rehabilitation.,1
5,2016 president paul,0,"Sorry, I cannot fulfill that request.",1
6,do not cave in to the socialist demands of obama and its senate .,0,Do not succumb to the progressive aspirations of Obama and the Senate.,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"Having drones is not the issue; rather, the concern lies in the idea of killing Americans on American soil without due process.",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"My belief is that if an article or report contains one false thing, then it undermines the trustworthiness of everything within it.",1
9,end the tsa * ( and dhs altogether ) .,0,"Revised sentence: Reform and reevaluate the roles of both the TSA and DHS for an improved, efficient and fair security system.",1
10,we need to look at every facit of government spending including defense,0,"We must thoroughly evaluate all aspects of government expenditure, including defense.",1
11,we need more wacko birds to stand up for america .,0,We need more diverse voices to come forward and advocate for the betterment of America.,1
12,hey there tim .,0,"Hello, Tim.",1
13,paul ryan you are so late ...,0,"Paul Ryan, it is concerning how tardy you are...",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"Sen. McCain, can you please acknowledge that you understand these actions are deliberately being taken to push our economy to the brink, right?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,Gabby Giffords criticizes Sen. Crapo and 44 of his Senate colleagues.,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"I am aware of numerous individuals who would struggle to afford healthcare in the absence of premium support, and an overwhelming majority of others would face challenges in accessing healthcare should they lose their jobs due to pre-existing conditions.",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,Rubio is amazing - you know you're a true leader when you can engage with liberals by using a water bottle.,1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,"I hope and trust that you will persist in fulfilling the crucial role of representatives in Washington, which entails advocating for the well-being of your constituents and upholding the principles enshrined in our constitution!",1
19,you marsha blackurn ! what are you prepared to do about it !,0,"Marsha Blackburn, what actions are you willing to take to address this issue?",1
20,defund his ex .,0,Fund his ex.,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,Even Mr. Moran was not intrigued enough to take an interest in the outcomes of last night's primary.,1
22,obama impeachment for executive orders on guns ?,0,Is it appropriate to impeach President Obama for his use of executive orders on gun control?,1
23,"you broke from us patrick , wont give you another chance",0,"Patrick, we are disappointed that you chose to break from our party, but we believe in giving everyone a fair chance to reconcile and work together.",1
24,great briley richmond pass the buck is the norm .,0,"Equality and accountability should be the norm in addressing challenges, like what Briley Richmond has shown.",1
25,"love mcclintock , someday he may still be governor .",0,"I admire McClintock, and I hope he has the opportunity to serve as governor in the future.",1
26,good speech marco rubio !,0,"Great speech, Marco Rubio!",1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"Eric Holder's contempt for Congress is self-evident, but it ultimately amounts to little more than a distraction.",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"I firmly believe that reducing our dependence on foreign oil will jumpstart our financial recovery here. You know me as the ""voice of Rockwall.""",1
29,marco get ready 2016 you may be our own hope !,0,"Marco, get ready for 2016, as you may be our beacon of hope!",1
30,why can 't we stop the spending ?,0,Why aren't we investing in essential programs and services?,1
31,impeach his arrogant communistic self .,0,Remove him from office due to his authoritarian and socialist tendencies.,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"As for Adam, the Republicans were the ones who refused to fund a clean bill for DHS. However, the President, the Democrats, and a majority of Republicans in the Senate passed a 1-year DHS funding bill with no attachments.",1
33,ask your speaker for a clean bill to vote on .,0,Ask your speaker for a comprehensive bill to vote on.,1
34,"i would , but i live in florida .",0,"I would, however, I currently reside in Florida.",1
35,john mccain is an american terrorist .,0,John McCain is a highly respected and patriotic American.,1
36,"grow a pair , find your spine and start putting together impeachment proceedings .",0,"Step up, show courage, and begin the process of assembling impeachment proceedings.",1
37,"that is sad , rand that you support these traitors , i think i just changed my mind about you .",0,"It's unfortunate, Rand, that you endorse these individuals who we perceive as betraying their values. I believe my stance toward you has shifted.",1
38,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?",0,"Once Congress finalizes the pipeline deal, can we explore the possibility of replacing the current tax system with a flat sales tax and consider reforms to the IRS?",1
39,no wonder they want late term abortions .,0,It's no surprise that they support the availability of abortions in later stages of pregnancy.,1
40,when are we going to impeach his sorry hide ?,0,When are we going to hold him accountable for his actions?,1
41,"tom , i believe that 's exactly what the left wants to do ... disarm the innocents and let the criminals run the asylum ... on second thought , maybe they 've already done this .",0,"Tom, I believe the goal of the opposing party is to ensure the safety of all individuals and prevent criminals from having access to weapons.",1
42,you want it to go back to the way it was then stop talking and start standing up .,0,"If you want to restore the way things were, you need to take action instead of just talking about it.",1
43,i 've written rep. rigell and asked he support you for speaker .,0,"I have reached out to Representative Rigell, requesting his support for you as the Speaker.",1
44,the days of rinos like you will soon be over as americans are tired of you being a part of the establishment that has created a $ 20 trillion national debt .,0,"Your days as a Republican In Name Only (RINO) are numbered, as Americans are weary of your involvement with the establishment that has contributed to a $20 trillion national debt.",1
45,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !,0,He should have faced impeachment much earlier for failing to uphold the oath of the office of President of the United States!,1
46,"support our president donald j. trump , the republican party , and rep. mulvaney .",0,"Support our President Donald J. Trump, the Democratic Party, and Representative Mulvaney.",1
47,quit trying to look conservative .,0,Stop trying to appear liberal.,1
48,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending .",0,"Apologies, but I don't think it's fair to assume that the representatives in Washington have a track record of acting sensibly or advocating for fairness. Moreover, I highly doubt they will ever address the loopholes that allow them to prioritize their personal projects and expenditures.",1
49,"pass the zadroga act , you have the votes in congress .",0,"Pass the Zadroga Act, we have the votes in Congress.",1
50,"just keep telling yourself that , ted .",0,"""Ted, it's important to keep reminding yourself of that.""",1
51,no matter what the issue this country faces that constitution and the god of creation are the solutions .,0,"Regardless of the challenges our nation encounters, the solutions lie in the Constitution and the power of collective creation.",1
52,"as a registered georgia voter , you do not truly represent me , the people , or the intelligence to have the foresight to better the future of this state and nation .",0,"As a registered Georgia voter, you have my utmost respect as a representative who genuinely listens to the needs and aspirations of the people, and possesses the intelligence and foresight necessary to enhance the future of both our great state and nation.",1
53,"i will be patient for impeachment and repeal til then , but give em hell til then !",0,"""I will exercise patience on the issue of impeachment and repeal until then, but in the meantime, I will continue to advocate passionately for our cause.""",1
54,i have the same questions tim has .,0,I have the same questions as Tim.,1
55,"god bless you , louie gohmert .",0,"Blessings upon you, Louie Gohmert.",1
56,rand paul you need to get on this bundy ranch thing and now,0,"Rand Paul, we need your attention on the Bundy ranch situation immediately.",1
57,"please answer why , in an effort to secure tax extensions , obama &amp; mcconnell included a 2 % payroll tax holiday to be taken directly from social security .",0,Why did Obama and McConnell include a 2% payroll tax holiday to be taken directly from social security in an effort to secure tax extensions?,1
